Overview of the different libraries investigated in this study. If no additional reference for a library is given, the reference for the library is :                                                                                                                                                                                                                                                                                                                    A Mammalian microRNA Expression Atlas Based on Small RNA Library Sequencing 							
							
Landgraf, Pablo; Rusu, Mirabela; Sheridan, Robert; Sewer, Alain; Iovino, Nicola; Aravin, Alexei; Pfeffer, S�bastien; Rice, Amanda; Kamphorst, Alice O.; Landthaler, Markus; Lin, Carolina; Socci, Nicholas D.; Hermida, Leandro; Fulci, Valerio; Chiaretti, Sabina; Fo�, Robin; Schliwka, Julia; Fuchs, Uta; Novosel, Astrid; M�ller, Roman-Ulrich; Schermer, Bernhard; Bissels, Ute; Inman, Jason; Phan, Quang; Chien, Minchen; Weir, David B.; Choksi, Ruchi; De Vita, Gabriella; Frezzetti, Daniela; Trompeter, Hans-Ingo; Hornung, Veit; Teng, Grace; Hartmann, Gunther; Palkovits, Miklos; Di Lauro, Roberto; Wernet, Peter; Macino, Giuseppe; Rogler, Charles E.; Nagle, James W.; Ju, Jingyue; Papavasiliou, F. Nina; Benzing, Thomas; Lichter, Peter; Tam, Wayne; Brownstein, Michael J.; Bosio, Andreas; Borkhardt, Arndt; Russo, James J.; Sander, Chris; Zavolan, Mihaela; Tuschl, Thomas							
							
 doi:10.1016/j.cell.2007.04.040 (volume 129 issue 7 pp.1401 - 1414) 							
Sequence type	Library name	Description	Tissue type code	Tissue type	Species	Ref	Collaborator 
	Hepatoma-HepG2-HBV	Hepatoma cell line, HBV infected	8.1.0.0	liver, hepatocellular carcinoma cell	hsa		C. Rogler, 
crogler@aecom.yu.edu							
Lung adeno carcinoma	Lung-adenoc-A549-mock	A549 (model for typII epithelial cells)	11.1.1.0	respiratory system, lung, adenocarcinoma cell	hsa 		
	Lung-adenoc-A549-IFNa	A549-IF alpha treated	11.1.1.0	respiratory system, lung, adenocarcinoma cell	hsa 		
	Lung-adenoc-A549-IFNb	A549-IF beta treated	11.1.1.0	respiratory system, lung, adenocarcinoma cell	hsa 		
	Lung-adenoc-A549-IFNg	A549-IF gamma treated	11.1.1.0	respiratory system, lung, adenocarcinoma cell	hsa 		
							
Heart							
Heart	Heart		1.1.0.0	cardiovascular system, heart	hsa		M. Brownstein, 
mike@venterinstitute.org							
							
Hematopoetic organs							
Spleen	Spleen	spleen from a 65 year old female, 5 hours post mortem	6.2.1.0	hematopoietic system, lymphoid tissue, spleen	hsa		M. Brownstein, 
mike@venterinstitute.org							
pluripotent hematopoetic stem cell 	HSC-CD34	CD34+ - sorted cells	6.4.0.0	hematopoietic system, pluripotent hematopoietic stem cell	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
T-lymphocytes	T-cell-CD4	T helper cells, peripheral blood (pool from 4 healthy donors)	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		
	T-cell-CD4-2	T helper cells	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	T-cell-CD4-A301	CD4+ T-cell line	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		F.A. Grässer, 
graesser@med-rz.uni-sb.de							
	T-cell-CD4-ACH2	CD4+ T-cell line, HIV integrated, not replicating	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		F.A. Grässer, 
graesser@med-rz.uni-sb.de							
	T-cell-CD4-ACH2-stim	CD4+ T-cell line, HIV replicating after 10h induction with PMA/Ionomycin	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		F.A. Grässer, 
graesser@med-rz.uni-sb.de							
	T-cell-CD4-naive	CD4+ CD45 RA+(CD45RO-) naïve cells	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		G Macino, 
macino@bce.uniroma1.it							
	T-cell-CD4-effector	CD4+, CD45RO+, CD27-, CCR7-. Effector cells	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		G Macino, 
macino@bce.uniroma1.it							
	T-cell-CD4-memory	CD4+CD45RO+(CD45RA-) memory cells	6.1.2.2	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD4	hsa		G Macino, 
macino@bce.uniroma1.it							
	T-cell-CD8-2	cytotoxic T-cells	6.1.2.3	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD8	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	T-cell-CD8	cytotoxic T-cells, peripheral blood(pool from 4 healthy donors)	6.1.2.3	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD8	hsa		G Macino, 
macino@bce.uniroma1.it							
	T-cell-CD8-naive	CD8+, CD45RA+, CD27+, CCR7+	6.1.2.3	hematopoietic system, lymphoid lineage, T lineage, T-lymphocyte CD8	hsa		G Macino, 
macino@bce.uniroma1.it							
	B-cell-CD19	B cells from peripheral blood	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	hsa		
	B-cell-CD19-pool	B cells from peripheral blood (pool from 4 healthy donors)	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	hsa		G Macino, 
macino@bce.uniroma1.it							
	B-cell-CD19-2	B cells from peripheral blood	6.1.1.4	hematopoietic system, lymphoid lineage, B lineage, B-lymphocyte	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
NK cells	NK-CD56	NK cells from peripheral blood (pool from 4 healthy donors)	6.1.3.0	hematopoietic system, lymphoid lineage, natural killer cell	hsa		
Monocytes	Monocytes-CD14	Monocyte  cells from peripheral blood (pool from 4 healthy donors)	6.3.7.0	hematopoietic system, myeloid lineage, monocyte	hsa		
Granulocytes	Granulocytes-CD15	Granulocyte  cells from peripheral blood (pool from 4 healthy donors)	6.3.6.0	hematopoietic system, myeloid lineage, granulocyte	hsa		
Dendritic cells	DC-unstim	myeloid dendritic cells not  stimulated	6.3.8.0	hematopoietic system, myeloid lineage, dendritic cell	hsa		G. Hartmann, 
gunther.hartmann@ukb.uni-bonn.de							
	DC-stim	myeloid dendritic cells stimulated with endotoxin	6.3.8.0	hematopoietic system, myeloid lineage, dendritic cell	hsa		G. Hartmann, 
gunther.hartmann@ukb.uni-bonn.de							
B-ALL	B-ALL-REH	precursor ALL	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		
	B-ALL1-d0	ALL_Down Syndrom	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL2-d0	pro-B-ALL, initial, MLL/AF4 translocation	6.1.1.1	hematopoietic system, lymphoid lineage, B lineage, pre-pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL2-d29	pro-B-ALL,first remission 4.3 Mio blasts	6.1.1.1	hematopoietic system, lymphoid lineage, B lineage, pre-pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL3-d0	pro-B-All relapse, initial, TEL/AML1 fusion	6.1.1.1	hematopoietic system, lymphoid lineage, B lineage, pre-pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL3-d29	pro-B-All relapse, d29 12.5 Mio blasts	6.1.1.1	hematopoietic system, lymphoid lineage, B lineage, pre-pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL4-d0	cALL_at diagnosis, Down syndrome	6.1.1.3	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast [cALL]	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL4-d29	cALL_d29 1st remission 0.4 million blasts, Down syndrome	6.1.1.3	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast [cALL]	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL5-d0	cALL_at diagnosis 10 million blasts, , TEL/AML1 fusion	6.1.1.3	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast [cALL]	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL5-d29	cALL_d29 1st remission 0.4 million blasts	6.1.1.3	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast [cALL]	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL6-d0	pre-B-ALL at diagnosis	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL6-d29	pre-B-ALL, 1st remission	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL7-d0	pre-B-ALL relapse at diagnosis	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL7-d29	pre-B-ALL relapse 10 million blasts	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL8-d0	pre-B-ALL at diagnosis 60% blasts, 5 million	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL8-d29	pre-B-ALLd29 2.5  million blasts, <5% blasts, beginning regeneration	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL8-d43	pre-B-ALL d43 1.4 million blasts, <5% blasts	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	B-ALL9-d0	ALL from patient peripheral blood, B cells	6.1.1.2	hematopoietic system, lymphoid lineage, B lineage, pre-B-lymphoblast	hsa		G Macino, 
macino@bce.uniroma1.it							
T-ALL	T-ALL-Jurkat	jurkat cell line	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	hsa		
	T-ALL1-d0	ALL from patient peripheral blood, T cells	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	hsa		G Macino, 
macino@bce.uniroma1.it							
	T-ALL2-d0	ALL from patient peripheral blood, T cells	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	hsa		G Macino, 
macino@bce.uniroma1.it							
	T-ALL3-d0	T-ALL, 90% blasts initial (1  Mio blasts)	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	T-ALL3-d29	T-ALL,d29 8 Mio blasts, <5% blasts	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
	T-ALL4-d0	T-ALL, 90% blasts	6.1.2.1	hematopoietic system, lymphoid lineage, T lineage, T-lymphoblast	hsa		A.Borkhardt, 
arndt.borkhardt@med.uni-muenchen.de							
