Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Material Type	Description	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Factor Value[organism part]	Factor Value[cell type]
FCA23_Female_body_adult_5dWT_Luo_sample2_S14	ERS6860646	SAMEA9135845	Drosophila melanogaster	S14	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA23_Female_body_adult_5dWT_Luo_sample2_S14	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8328e36__FCA23_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002	group 16	sequencing assay	ERX5671938	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002.bam	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002.bam	ERR6032654	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032654/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002.bam	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002_R1_001.fastq.gz	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002_R2_001.fastq.gz	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L002_I1_001.fastq.gz	body	    
FCA23_Female_body_adult_5dWT_Luo_sample2_S14	ERS6860646	SAMEA9135845	Drosophila melanogaster	S14	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA23_Female_body_adult_5dWT_Luo_sample2_S14	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8328e36__FCA23_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003	group 16	sequencing assay	ERX5671938	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003.bam	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003.bam	ERR6032655	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032655/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003.bam	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003_R1_001.fastq.gz	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003_R2_001.fastq.gz	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L003_I1_001.fastq.gz	body	    
FCA23_Female_body_adult_5dWT_Luo_sample2_S14	ERS6860646	SAMEA9135845	Drosophila melanogaster	S14	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA23_Female_body_adult_5dWT_Luo_sample2_S14	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8328e36__FCA23_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004	group 16	sequencing assay	ERX5671938	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004.bam	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004.bam	ERR6032656	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032656/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004.bam	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004_R1_001.fastq.gz	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004_R2_001.fastq.gz	FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA23_Female_body_adult_5dWT_Luo_sample2_S14_L004_I1_001.fastq.gz	body	    
FCA24_Female_body_adult_5dWT_Luo_sample3_S15	ERS6860647	SAMEA9135846	Drosophila melanogaster	S15	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA24_Female_body_adult_5dWT_Luo_sample3_S15	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f83b3be4__FCA24_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001	group 17	sequencing assay	ERX5671939	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001.bam	ERR6032657	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032657/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001_R1_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001_R2_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L001_I1_001.fastq.gz	body	    
FCA24_Female_body_adult_5dWT_Luo_sample3_S15	ERS6860647	SAMEA9135846	Drosophila melanogaster	S15	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA24_Female_body_adult_5dWT_Luo_sample3_S15	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f83b3be4__FCA24_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002	group 17	sequencing assay	ERX5671939	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002.bam	ERR6032658	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032658/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002_R1_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002_R2_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L002_I1_001.fastq.gz	body	    
FCA24_Female_body_adult_5dWT_Luo_sample3_S15	ERS6860647	SAMEA9135846	Drosophila melanogaster	S15	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA24_Female_body_adult_5dWT_Luo_sample3_S15	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f83b3be4__FCA24_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003	group 17	sequencing assay	ERX5671939	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003.bam	ERR6032659	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032659/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003_R1_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003_R2_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L003_I1_001.fastq.gz	body	    
FCA24_Female_body_adult_5dWT_Luo_sample3_S15	ERS6860647	SAMEA9135846	Drosophila melanogaster	S15	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA24_Female_body_adult_5dWT_Luo_sample3_S15	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f83b3be4__FCA24_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004	group 17	sequencing assay	ERX5671939	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004.bam	ERR6032660	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032660/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004.bam	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004_R1_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004_R2_001.fastq.gz	FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA24_Female_body_adult_5dWT_Luo_sample3_S15_L004_I1_001.fastq.gz	body	    
FCA25_Female_body_adult_5dWT_Luo_sample4_S16	ERS6860648	SAMEA9135847	Drosophila melanogaster	S16	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA25_Female_body_adult_5dWT_Luo_sample4_S16	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8438c5e__FCA25_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001	group 18	sequencing assay	ERX5671940	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001.bam	ERR6032661	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032661/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001_R1_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001_R2_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L001_I1_001.fastq.gz	body	    
FCA25_Female_body_adult_5dWT_Luo_sample4_S16	ERS6860648	SAMEA9135847	Drosophila melanogaster	S16	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA25_Female_body_adult_5dWT_Luo_sample4_S16	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8438c5e__FCA25_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002	group 18	sequencing assay	ERX5671940	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002.bam	ERR6032662	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032662/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002_R1_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002_R2_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L002_I1_001.fastq.gz	body	    
FCA25_Female_body_adult_5dWT_Luo_sample4_S16	ERS6860648	SAMEA9135847	Drosophila melanogaster	S16	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA25_Female_body_adult_5dWT_Luo_sample4_S16	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8438c5e__FCA25_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003	group 18	sequencing assay	ERX5671940	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003.bam	ERR6032663	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032663/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003_R1_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003_R2_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L003_I1_001.fastq.gz	body	    
FCA25_Female_body_adult_5dWT_Luo_sample4_S16	ERS6860648	SAMEA9135847	Drosophila melanogaster	S16	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA25_Female_body_adult_5dWT_Luo_sample4_S16	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f8438c5e__FCA25_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004	group 18	sequencing assay	ERX5671940	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004.bam	ERR6032664	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032664/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004.bam	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004_R1_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004_R2_001.fastq.gz	FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA25_Female_body_adult_5dWT_Luo_sample4_S16_L004_I1_001.fastq.gz	body	    
FCA26_Female_body_adult_5dWT_Luo_sample5_S17	ERS6860649	SAMEA9135848	Drosophila melanogaster	S17	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA26_Female_body_adult_5dWT_Luo_sample5_S17	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f84bfd1c__FCA26_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001	group 19	sequencing assay	ERX5671941	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001.bam	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001.bam	ERR6032665	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032665/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001.bam	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001_R1_001.fastq.gz	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001_R2_001.fastq.gz	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L001_I1_001.fastq.gz	body	    
FCA26_Female_body_adult_5dWT_Luo_sample5_S17	ERS6860649	SAMEA9135848	Drosophila melanogaster	S17	w1118	5	day	EFO	UO_0000033	adult	female	wild type genotype	body	  	organism part	FCA26_Female_body_adult_5dWT_Luo_sample5_S17	P-MTAB-110591	P-MTAB-110592	P-MTAB-110593	f84bfd1c__FCA26_Female_body_adult	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	0	index 1	8	10x	none	16	read 1	12	P-MTAB-110594	Chan Zuckerberg Biohub, Stanford, USA2. Oliver lab, National Institutes of Health, USA	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002	group 19	sequencing assay	ERX5671941	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002.bam	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002.bam	ERR6032666	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR603/ERR6032666/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002.bam	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002_R1_001.fastq.gz	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002_R2_001.fastq.gz	FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10519/FCA26_Female_body_adult_5dWT_Luo_sample5_S17_L002_I1_001.fastq.gz	body	    
