"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"projectTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"GSE43721"	"Cellular source and mechanisms of high transcriptome complexity in the mammalian testis (RNA-Seq organs)"	"Understanding the extent of genomic transcription and its functional relevance is a central goal in genomics research. However, detailed genome-wide investigations of transcriptome complexities in major mammalian organs and their underlying cellular sources, transcriptional mechanisms, and functional relevance have been scarce. Here we first show, using extensive RNA-seq data, that transcription of both functional and nonfunctional genomic elements is substantially more widespread in the testis than in other organs across representative mammals. By scrutinizing the transcriptomes of all main testicular cell types in the mouse, we then reveal that meiotic spermatocytes and especially post-meiotic round spermatids have remarkably diverse transcriptomes, which explains the high transcriptome complexity of the testis as a whole. The widespread transcriptional activity in spermatocytes and spermatids encompasses protein-coding genes and long noncoding RNA genes but also poorly conserved intergenic sequences, suggesting that much of it is not of immediate functional relevance. Rather, our analyses of genome-wide epigenetic data show that this prevalent transcription, which apparently promoted the birth of new genes during evolution, results from a highly permissive chromatin state during and after meiosis that may ultimately facilitate the replacement of histones by protamines during late spermatogenesis."	"GEO"	"total"									
"GSE43892"	"Transcriptome data used for gene annotation"	"To optimize the genome annotation, four tissue RNA libraries (i.e. heart, liver, lung and kidney) were constructed using the Illumina mRNA-Seq Prep Kit"	"GEO"	"total"									"SRP018288"
"GSE58387"	"The human skeletal muscle transcriptome - sex differences, alternative splicing and tissue homogeneity assessed with RNA sequencing"	"The amount of RNA sequencing data on skeletal muscle is very limited. We have analyzed a large set of human muscle biopsy samples and provide extensive information on the baseline skeletal muscle transcriptome, including completely novel protein-coding transcripts."	"GEO"	"total"									
"GSE58608"	"The human skeletal muscle transcriptome assessed with RNA sequencing"	"The amount of RNA sequencing data on skeletal muscle is very limited. We have analyzed a large set of human muscle biopsy samples and provide extensive information on the baseline skeletal muscle transcriptome, including completely novel protein-coding transcripts."	"GEO"	"total"									
"GSE43013"	"Gene Expression Defines Natural Changes in Mammalian Lifespan"	"RNA-seq gene expression profiling in normal liver, kidney and brain of 33 mammalian species."	"GEO"	"total"									"SRP017611"
"GSE38998"	"RNA sequencing in fly heads to examine the effect of spermidine feeding on transcription in the ageing fly brain."	"mRNA profiles from 3 and 10 day old Drosophila melanogaster heads were generated in duplicate by deep sequencing using Illumina GAIIx. mRNA profiles from flies that were fed food with 5mM spermidine were compared to profiles from flies that had no spermidine in thier food."	"GEO"	"partial"									"SRP014006"
"#GSE53690"	"Type I IFN responses in rhesus macaques prevent SIV transmission and slow disease progression"	"Expression profiling by high throughput sequencing"	"GEO"	"partial"									"SRP034563; libraryselection is hybrid selection, poly-A and oligo-DT that we accept"
"SRP044781"	"SRA - Transcriptome analysis of 12 zebrafish tissues"	"Total RNA was qualified using an Agilent BioAnalyzer and 1 microg was used for polyA selection and library construction with Illumina's TruSeq stranded total RNA sample preparation kit according to the manufacturer's instructions (TruSeq stranded total RNA SamplePrep Guide RevC)"	"GEO"	"total"									
"GSE71755"	"Telomerase is essential for zebrafish heart regeneration"	"Unlike human hearts, zebrafish hearts efficiently regenerate after injury. Regeneration is driven by the strong proliferation response of its cardiomyocytes to injury. In this study, we show that active telomerase is required for cardiomyocyte proliferation and full organ recovery, supporting the potential of telomerase therapy as a means of stimulating cell proliferation upon myocardial infarction."	"GEO"	"partial"									
"GSE63191"	"RNA sequencing of the developing zebrafish head"	"We sequenced strand-specific mRNA from the heads of 3 groups of wild type zebrafish (Danio rerio) 5 days post fertilization."	"GEO"	"total"									
"GSE68666"	"Transcriptional profiling of zebrafish embryos developmentally exposed to oxygenated PAHs 1,9-benz-10-anthrone and benzanthracene-7,12-dione"	"The purpose of this study was to identify transcripts differentially expressed in zebrafish embryos exposed to two oxygenated PAHs, 1,9-benz-10-anthrone and benzanthracene-7,12-dione, which cause abnormal development."	"GEO"	"partial"									
"GSE63133"	"Spring Varaemia of Carp Virus (SVCV) infection of adult zebrafish"	"During viral infection, a large number of immune response signaling molecules including the interferon regulatory (IRF) family and type I interferon (IFN) transcribe. The exact identity and expression levels of fish IRFs and type-I IFNs during viral infection remains largely unknown. Here, we utilized Illumina sequencing technology to determine differential expression patterns for both zebrafish IRFs and type-I IFNs during two stages of SVCV infection, i.e. 6h and 24h post-infection. For 12 zebrafish IRFs, we identified DrIRF1 mRNA as one of the most abundant in normal tissues and also in SVCV-infected tissues, but DrIRF11 had a very weak basal expression and was almost not induced by SVCV infection. We also identified the highly basal expression of DrIRF7, which together with DrIRF3, was highly induced by SVCV infection. For type-I IFNs, zebrafish has four IFN genes, three of which, IFN1/2/3, particularly IFN 1 and IFN 3, were significantly transcribed under the same conditions."	"GEO"	"partial"									
"GSE42846"	"Marker gene discovery for Staphylococcus epidermidis infection in zebrafish embryos (RNA-Seq)"	"We use the zebrafish embryo model to study the innate immune response against Staphylococcus epidermidis. Therefore, we injected S. epidermidis into the yolk at 2 hpf and took samples at 5 days post injection."	"GEO"	"partial"									
"#GSE61202"	"Identification of differentially expressed genes during development of the zebrafish pineal complex using RNA sequencing"	"We describe a method for isolating RNA suitable for high-throughput RNA sequencing (RNA-seq) from small numbers of fluorescently labeled cells isolated from live zebrafish (Danio rerio) embryos without using costly, commercially available columns. This method ensures high cell viability after dissociation and suspension of cells and gives a very high yield of intact RNA. We demonstrate the utility of our new protocol by isolating RNA from fluorescence activated cell sorted (FAC sorted) pineal complex neurons in wild-type and tbx2b knockdown embryos at 24 hours post fertilization. Tbx2b is a transcription factor required for pineal complex formation. We describe a bioinformatics pipeline used to analyze differential expression following high-throughput sequencing and demonstrate the validity of our results using in situ hybridization of differentially expressed transcripts. This protocol brings modern transcriptome analysis to the study of small cell populations in zebrafish"	"GEO"	"total"									
"GSE71681"	"Yap and Taz regulate retinal pigment epithelial cell fate"	"The optic vesicle comprises a pool of bi-potential progenitor cells from which the retinal pigment epithelium (RPE) and neural retina fates segregate during ocular morphogenesis. Several transcription factors and signaling pathways have been shown to be important for RPE maintenance and differentiation, but an understanding of the initial fate specification and determination of this ocular cell type is lacking. We show that Yap/Taz-Tead activity is necessary and sufficient for optic vesicle progenitors to adopt RPE identity in zebrafish. A Teadresponsive transgene is expressed within the domain of the optic cup from which RPE arises, and Yap immunoreactivity localizes to the nuclei of prospective RPE cells. yap (yap1) mutants lack a subset of RPE cells and/or exhibit coloboma. Loss of RPE in yap mutants is exacerbated in combination with taz (wwtr1) mutant alleles such that, when Yap and Taz are both absent, optic vesicle progenitor cells completely lose their ability to form RPE. The mechanism of Yap dependent RPE cell type determination is reliant on both nuclear localization of Yap and interaction with a Tead co-factor. In contrast to loss of Yap and Taz, overexpression of either protein within optic vesicle progenitors leads to ectopic pigmentation in a dosagedependent manner. Overall, this study identifies Yap and Taz as key early regulators of RPE genesis and provides a mechanistic framework for understanding the congenital ocular defects of Sveinsson's chorioretinal atrophy and congenital retinal coloboma."	"GEO"	"partial"									
"#GSE57792"	"Gene expression profiling of zebrafish embryos at 5 days post fertilization"	"We use the zebrafish embryo model to study the innate immune response against Mycobacterium marinum. Therefore, we injected M. marinum into the yolk at the 64 cell stage and took samples at 5 days post injection."	"GEO"	"partial"									
"GSE39703"	"Transcriptomic analysis of zebrafish during development and homeostasis"	"Sequencing libraries were generated from total RNA samples following the mRNAseq protocol for the generation of single end (16-36 hpf, 5 day larvae, adult head and adult tail) or paired end (24 hpf) libraries (Illumina). Single end reads of 36 nucleotides and paired end reads (2 x 76 nucleotides) were obtained with a GAIIx (Illumina). Gene expression at the different stages/tissu was assessed by cufflinks and HTseq."	"GEO"	"total"									
"#GSE54839"	"A molecular profile of chronic cocaine abuse includes differential expression of genes regulating transcription, chromatin and dopamine cell phenotype"	"Human post-mortem midbrain gene expression derived from cocaine-related deaths are compared to midbrain gene expression of non-cocaine related deaths. Each subject was was arrayed in triplicates."	"GEO"	"partial"									"platform: Illumina HumanHT-12 V3.0 expression beadchip"
"#GSE18044"	"Effect of maternal tobacco smoke exposure on the placental transcriptome"		"GEO"	"partial"									"platform: Illumina humanRef-8 v2.0 expression beadchip"
"#GSE57691"	"Differential gene expression in human abdominal aortic aneurysm and atherosclerosis"	"The aim of this study was to assess the relative gene expression in human AAA and AOD."	"GEO"	"total"									"platform: Illumina HumanHT-12 V4.0 expression beadchip"
"GSE64283"	"Tissue-specific circular RNA induction during human fetal development"	"35 human fetal samples from 6 tissues (3 - 7 replicates per tissue) collected between 10 and 20 weeks gestational time were sequenced using Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold sample prep kit."	"GEO"	"total"									
"#GSE38804"	"Epigenome analysis of brain between human and chimpanzee"		"GEO"	"total"									"platform: Illumina HumanMethylation27 BeadChip"
"#GSE66302"	"A human fetal transcriptional atlas"		"GEO"	"total"									
"#GSE68189"	"Comprehensive analysis of microRNA expression in the human developing brain reveals microRNA-10 as a caudalizing factor"	"MicroRNA sequencing of 34 samples from human embryonic stem cells and human fetal brains."	"GEO"	"partial"									
"#GSE57369"	"The chromatin modifier CHD8 targets autism risk genes during human neurodevelopment"	"Whole-exome sequencing studies have implicated chromatin modifiers and transcriptional regulators in autism spectrum disorder (ASD) through the identification of de novo loss of function mutations in affected individuals."	"GEO"	"partial"									"discarded, not RNA-seq, Julien Roux said by skype talking about SRX534846 and SRX534847"
"GSE57344"	"RNA-Seq Identifies Novel Myocardial Gene Expression Signatures of Heart Failure [RNA-seq]"	"Identify the signature genes based on RNA-seq come from six Heart Failure and healthy individuals. Validation is based on Affymetrix microarray of a total of 313 individuals with/without Heart Failure."	"GEO"	"partial"									"SRP041706"
"#GSE57338"	"RNA-Seq Identifies Novel Myocardial Gene Expression Signatures of Heart Failure [microarray]"	"Identify the signature genes based on RNA-seq come from six Heart Failure and healthy individuals. Validation is based on Affymetrix microarray of a total of 313 individuals with/without Heart Failure."	"GEO"	"partial"									
"GSE62098"	"RNA-Seq of the corpus callosum from 12 individuals"	"We performed RNA-Seq for the corpus callosum sampled from 12 individuals. The samples were dissected from the frozen postmortem brain. The 12 individuals were matched by their age, sex and ethnicity for the postmortem brain samples, but differed in their disease status with half of the subjects were diagnosed with autism spectrum disorders."	"GEO"	"total"									
"#GSE58910"	"Transcriptome analysis of oxdative-stress induced senescence in human astrocytes"	"Examination of transcriptome changes by RNAseq in pre-senescent and senescent astrocytes using 2 biological replicates per condition"	"GEO"	"partial"									
"GSE63501"	"Dysregulation of microRNAs in neurodegeneration"	"This dataset contains small RNA-seq data from six Alzheimer disease, three tangle-predominant dementia and seven control brains."	"GEO"	"partial"									"discarded, see issue #115 julien-roux"
"#GSE46139"	"Genome-wide analysis of E17.5 pituitary gland gene expression of control and Insm1 mutant mice"	"Analysis of genes regulated by Insm1 in embryonic day 17.5 pituitary gland. Total RNA from pituitary glands of E17.5 control embryos was compared to E17.5 Insm1 mutant embryos."	"GEO"	"partial"									"platform: Illumina MouseRef-8 v2.0 expression beadchip"
"GSE49587"	"Developmental arrest of Drosophila survival motor neuron (Smn) mutants accounts for differences in expression of minor intron-containing genes"	"RNA-seq was used to analyze mRNA levels and splicing differences between wild-type (Oregon R) and Smn null mutant larvae."	"GEO"	"partial"									
"GSE44612"	"Comparative Validation of the D. melanogaster Encyclopedia of DNA Elements Transcript Models"	"The model organism Encyclopedia of DNA Elements project (modENCODE) has produced a comprehensive annotation of D. melanogaster transcript models based on an enormous amount of high-throughput experimental data. However, some transcribed elements may not be functional, and technical artifacts may lead to erroneous inference of transcription. Inter-species comparison provides confidence to predicted annotation, since transcriptional activity that has been evolutionarily conserved is likely to have an advantageous function. We have performed RNA-Seq and CAGE-Seq experiments on more than 80 samples from multiple tissues and stages of 15 Drosophila species, including 8 previously unsequenced genomes. We have found strikingly conserved sequence, expression, and splicing for the vast majority of transcript models in modENCODE annotation (e.g. 99% exons of coding sequences (CDS), 88% exons of untranslated regions (UTR), and 87% splicing events), indicating that the transcriptome annotation is of very high quality. We also describe dynamic transcriptome evolution within the Drosophila genus, including conserved promoter structure, labile positions of transcription start sites, and rapidly evolving RNA-editing events. We demonstrate how this phylogenetic approach to DNA element validation will prove useful in the annotation of other high priority genomes, especially for genomes that are less compact than Drosophila (e.g. the vast majority of vertebrate genomes)."	"GEO"	"total"									
"#GSE38397"	"Comparative oncogenomic analysis of copy number alterations in human and zebrafish tumors enables cancer driver discovery"	"The identification of cancer drivers is a major goal of current cancer research. Finding driver genes within large chromosomal events is especially challenging because such alterations encompass many genes. Previously, we demonstrated that zebrafish malignant peripheral nerve sheath tumors (MPNSTs) are highly aneuploid, much like human tumors. In this study, we examined 147 zebrafish MPNSTs by massively parallel sequencing and identified both large and focal copy number alterations (CNAs). Given the low degree of conserved synteny between fish and mammals, we reasoned that comparative analyses of CNAs from fish versus human MPNSTs would enable elimination of a large proportion of passenger mutations, especially on large CNAs. Accordingly, we found less than one third of the human CNA genes were co-gained or co-lost in zebrafish, dramatically narrowing the list of candidate cancer drivers for both focal and large CNAs. We conclude that zebrafish-human comparative analysis represents a powerful, and broadly applicable, tool to enrich for evolutionarily conserved cancer drivers. --- This filing comprises data related to GEO entry GSE23666 (*Highly Aneuploid Zebrafish Malignant Peripheral Nerve Sheath Tumors have Genetic Alterations Similar to Human Cancers*), representing a followup study."	"GEO"	"partial"									"discarded, not RNA-seq, Julien Roux said by skype"
"#E-MTAB-2950"	"RNA-seq of mouse 1-cell embryos"	"Initiation of zygotic transcription in mammals is poorly understood. In mice, zygotic transcription is first detected shortly after pronucleus formation in 1-cell embryos but the identity of the transcribed loci and mechanisms regulating their expression are not known. Using total RNA-seq we find that transcription in 1-cell embryos is highly promiscuous such that intergenic regions are extensively expressed and thousands of genes are transcribed at relatively low levels."	"ArrayExpress"	"partial"									
"#GSE41299"	"Small RNA analysis of Tu And SJD zebrafish strain and their progeny"	"Small RNA libraries were derived from Ovaries of the Founder strain and their offspring and their reciprocal offspring. RNA from 5 individual ovaries was pooled ."	"GEO"	"total"									
"SRP012682"	"Genotype-Tissue Expression (GTEx) Common Fund Project"	"The aim of the Genotype-Tissue Expression (GTEx) Project is to increase our understanding of how changes in our genes affect human health and disease with the ultimate goal of improving health care for future generations. GTEx will create a database that researchers can use to study how inherited changes in genes lead to common diseases. GTEx researchers are studying genes in different tissues obtained from many different people. The GTEx project also includes a study of the GTEx donor consent process - this study will help ensure that the consent process and other aspects of the project effectively address the concerns and expectations of participants in the study. GTEx is a pioneering project that uses state-of-the-art protocols for obtaining and storing a large range of organs and tissues, and for testing them in the lab. Until now, no project has analyzed genetic variation and expression in as many tissues from the same person in... (for more see dbGaP study page.)"	"GTEx - dbGAP"	"partial"									
"#SRP009247"	"Human-specific patterns of gene expression in the brain (RNA-Seq)"	"We identified human-specific gene expression patterns in the brain by comparing expression with chimpanzee and rhesus macaque. Overall design: DpnII tag-based libraries were generated from human, chimpanzee, and rhesus macaque brain (frontal pole, hippocampus, caudate nucleus), and sequenced using an Illumina Genome Analyzer."	"GEO"	"partial"									"GSE33587"
"SRP022612"	"RNA-seq of Danio rerio and Mus musculus skin for three different age groups"	"Comparison of temporal gene expression profiles (www.jenage.de) The RNA-seq data comprises 3 age groups: 2, 15 and 30 months for mouse skin; 5, 24 and 42 months for zebrafish skin. Illumina 50bp single-stranded single-read RNA sequencing Overall design: 15 samples for mouse: 5 biological replicates for 2 months, 6 biological replicates for 15 months and 4 biological replicates for 30 months; 20 samples for zebrafish: 9 biological replicates for 5 months, 6 biological replicates for 24 months and 5 biological replicates for 42 months"	"GEO"	"total"									"GSE46916"
"SRP090001"	"Roadmap to implantation- RNA seq of ovine LE, GE and conceptus during early pregnancy"	"RNA seq analysis of 4 samples of each tissue type (luminal epithelium (LE), glandular epithelium (GE) and conceptus) for 4 animals. Pre-sequencing amplification of LE, GE and day 12 conceptus samples."	"GEO"	"partial"									"GSE87017"
"SRP029760"	"Origins and functional evolution of Y chromosome gene repertoires across the class Mammalia"	"We collected (Illumina) RNA-seq data (polyadenylated RNA fraction) for a number of tissue samples from common marmoset and elephant. We developed a subtraction approach based on male/female RNA-seq data, Illumina genomic data and available genomes to identify and assemble Y transcripts. For marmoset samples, we added Y coding genes and noncoding sequences to the reference genomes in order to assess their expression levels. We then mapped all RNA-seq reads with TopHat 1.4.0 and used Cufflinks 2.0.0 (all mapped reads, embedded multi-read and fragment bias correction) to calculate the FPKM (Fragments Per Kilobase of transcript per Million mapped reads) values for all genes in the genomes with our refined annotations."	"GEO"	"partial"									"GSE50747"
"SRP064186"	"Developmental gene expression of Xenopus laevis J strain"	"Collect mRNA from whole embryos; two clutches were used (Taira dataset for one pair, Ueno dataset for the other pair)"	"GEO"	"total"									"GSE73430"
"SRP064167"	"Tissue gene expression of Xenopus laevis J strain"	"Collect mRNA from whole tissue; two female frogs were used as donors for most tissues (Taira dataset for one frog, Ueno dataset for the other frog); testis samples were collected from two male frogs (sibling of two female donors)"	"GEO"	"total"									"GSE73419"
"E-MTAB-2449"	"RNA-seq of achilles tendon from young and old donors to study age-related changes in tendon"	"Tendon from young and old donors was used for RNA-Seq analysis. The aim of the study was to identify differentially expressed tendon transcripts in ageing in order to to characterize molecular mechanisms associated with age-related changes in tendon."	"ArrayExpress"	"total"									"PRJEB6129; RNA-seq but assay type is reported as GWS (lower confidence annotation)"
"SRP074330"	"RNA-Seq analysis of Gtf2ird1 knockout epidermal tissue provides potential insights into molecular mechanisms underpinning Williams-Beuren syndrome"	"mRNA sequencing of lip tissue from 3 wild type mice (WT) and 3 Gtf2ird1 knockout mice generated by deep sequencing using Illumina HiSeq 2000 platform at the Ramaciotti Centre for Genomics UNSW."	"GEO"	"partial"									"GSE81082"
"SRP053433"	"Combining ChIP-Seq and RNA-Seq data in early placental development to study trophoblast invasion [RNA-Seq]"	"RNA-Seq at two time points in early placenta development (e7.5 an e9.5). There are 3 biological replicates per time point. Samples were pooled and sequenced on two lanes."	"GEO"	"total"									"GSE65808"
"SRP027378"	"Deep sequencing of the porcine endometrial transcriptome on day 12 of pregnancy"	"In total, 8 samples were analyzed, 4 biological replicates for pregnant animals (samples from 4 different animals) and 4 biological replicates for cyclic controls (samples from 4 different animals)"	"GEO"	"total"									"GSE48862"
"SRP070951"	"Genetic architecture of gene expression underlying variation in host response to porcine reproductive and respiratory syndrome virus infection"	"Sixteen pigs (8 AA and 8 AB individual at the WUR marker) were selected from the PHGC3 trial. Twenty-eight pigs (18 AA, 9 AB and 1 BB individuals at the WUR marker) were selected from the PHGC5 trial. After a seven-day acclimation period, pigs were challenged orally with PRRSV isolate NVSL 97-7985 and followed for 42 days post infection (dpi). RNA-Seq was performed using Illumina HiSeq on whole blood samples obtained from each individual at 0, 4, 7, 10, and 14 dpi. For individuals from the PHGC5 trial, RNA-Seq was performed on whole blood samples collected at 2 additional time-points: 21 and 28 dpi. The PHGC5 RNA-Seq data is represented here."	"GEO"	"partial"									"GSE78762"
"#SRP069349"	"Whole Blood RNAseq Analysis of Pigs Infected with PRRSv"	"RNAseq analysis of gene expression and variant discovery on whole blood samples from pigs infected with the PRRS virus"	"SRA"	"partial"									"PRJNA311061; discarded, size-fractionated, see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/32"
"SRP098705"	"A new developmental mechanism for the separation of the mammalian middle ear ossicles from the jaw"	"Multiple mammalian lineages independently evolved a definitive mammalian middle ear (DMME) through breakdown of Meckel's cartilage (MC). However, the cellular and molecular drivers of this evolutionary transition remain unknown for most mammal groups. Here, we identify such drivers in the living marsupial opossum Monodelphis domestica, whose MC transformation during development anatomically mirrors the evolutionary transformation observed in fossils. Specifically, we link increases in cellular apoptosis and TGF-BR2 signalling to MC breakdown in opossums. We demonstrate that a simple change in TGF-b signalling is sufficient to inhibit MC breakdown during opossum development, indicating that changes in TGF-b signalling might be key during mammalian evolution. Furthermore, the apoptosis that we observe during opossum MC breakdown does not seemingly occur in mouse, consistent with homoplastic DMME evolution in the marsupial and placental lineages."	"GEO"	"total"									"GSE94390"
"SRP095747"	"Comparative transcriptomic and proteomic analysis provides insight into the key genes involved in high-altitude adaptation in Tibetan pig (RNA-seq)"	"mRNA profiles of 6-month old Tibetan pigs raised at highland (TH), Tibetan pigs raised at lowland (TL), Yorkshire pigs raised at highland (YH) and Yorkshire raised at lowland (YL) were generated by deep sequencing, every pig breed has two replicates, using Hiseq 2000."	"GEO"	"total"									"GSE92981"
"SRP094971"	"An atlas and analysis of bovine skeletal muscle long noncoding RNAs"	"In this study, 7188 bovine skeletal muscle lncRNAs were identified by RNA-Seq and a stringent screening procedure in four different muscle tissues. These lncRNAs shared many characteristics with other mammalian lncRNAs, such as the shorter ORF and lower expression level than mRNAs. Furthermore, the chromosomal locations and global expression patterns for these lncRNAs were also described in detail.Our results provided a global expression pattern of lncRNAs specific to bovine skeletal muscle and supplied us important targets for studying the function of lncRNAs in muscle development, which would help to better identify mechanisms underlying muscle development in bovine."	"GEO"	"total"									"GSE92288"
"SRP092799"	"Testing the Ret and Sema3d genetic interaction in mouse enteric nervous system development"	"poly-A RNA-seq in embryonic day 12.5 mouse gut from 3 wildtype males, 3 wildtype females, 3 Ret null homozyogote males, 3 Ret null homozyogote females, 3 Sema3d null homozyogote males, 3 Sema3d null homozyogote females, 3 Ret-Sema3d double null homozyogote males, 3 Ret-Sema3d double null homozyogote females"	"GEO"	"partial"									"GSE89627"
"ERP013735"	"Porcine hippocampal RNA-seq and RRBS datasets"	"RNA-seq and RRBS datasets from hippocampal tissue collected from 4 week old control and iron deficient piglets."	"SRA"	"partial"	"FAANG, PigGTEx"								"PRJEB12278"
"ERP011338"	"The Tetraodon Nigroviridis Transcriptome During Early Development"	"Tetraodon embryos were obtained by in vitro fertilization of eggs and their development was observed through brightfield microscopy. The embryo development was divided into distinct stages using morphological features as described for normal development of other fish species like medaka (Oryzias latipes), zebrafish (Danio rerio), and fugu (Takifugu rubripes). Total RNA was extracted with Trizol (Invitrogen) according to the manufacturer s protocol from eggs, whole embryo at 30% epiboly (30 epi) and whole embryo at 24 hours post fertilisation (24 hpf). The RNA samples were treated with 2U Dnase I (Qiagen) per microg RNA sample at 37°C for 10 minutes. Digested samples were then treated with 20 mg/mL proteinase K (Sigma Aldrich) at 37°C for 45 minutes. The quality and quantity of total RNA were assessed with the Bioanalyzer 2100 (Agilent) and no sign of degradation was detected (RIN > 9.0). Sequencing libraries were generated from total RNA samples following the Truseq RNA protocol (Illumina). Single end reads (1 x 50 nucleotides) were obtained from 3 lanes on a Hiseq1000 using SBS v3 kits (Illumina)."	"SRA"	"total"									"PRJEB10132"
