Experiment	Tissue	Life stage	Sex	Treatment	GEO Record	Platform
WBPaper00030839:Larval_Reference_Rep2_Set3	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep3_Set1	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep3_Set3	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep4_Set2	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep4_Set3	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep5_Set2	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00030839:Larval_Reference_Rep5_Set3	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DM18_N2_0hr_1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DM22_N2_0hr_2	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DM32_N2_0hr_3	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DMR28_N2_24hr_1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DMR30_N2_24hr_2	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DMR32_N2_24hr_3	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031003:DMR34_N2_24hr_4	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031070:N2_1	whole animal	WBls:0000038	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031070:N2_2	whole animal	WBls:0000038	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031070:N2_3	whole animal	WBls:0000038	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031532:Larval_Reference_rep_1	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031532:Larval_Reference_rep_2	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031532:Larval_Reference_rep_3	whole animal	WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031832:N2_1	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031832:N2_2	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00031832:N2_3	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032425:WT_1	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032425:WT_2	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032425:WT_3	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fasting_1	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fasted for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fasting_2	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fasted for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fasting_3	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fasted for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fasting_4	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fasted for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fasting_5	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fasted for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fed_1	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fed ad libitum for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fed_2	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fed ad libitum for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fed_3	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fed ad libitum for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fed_4	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fed ad libitum for 48 h.	N.A.	GPL200
WBPaper00032430:N2-controlRNAi-fed_5	whole animal	WBls:0000067	Hermaphrodite	Worms grown on control RNAi plates were fed ad libitum for 48 h.	N.A.	GPL200
WBPaper00032528:N2-1	whole animal	WBls:0000035	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032528:N2-2	whole animal	WBls:0000035	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032528:N2-3	whole animal	WBls:0000035	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:emb_2hr	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_0hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_1hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_3hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_6hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_12hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_15hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032948:L1_24hr_fed	whole animal	WBls:0000024	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00032976:XX_WT-E-080307_A	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GEO record: GSM365580	GPL200
WBPaper00032976:XX_WT-E-080307_B	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GEO record: GSM365581	GPL200
WBPaper00032976:XX_WT-E-080307_C	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GEO record: GSM365582	GPL200
WBPaper00032976:XX_WT-E-090707_A	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GEO record: GSM365583	GPL200
WBPaper00032976:XX_WT-E-090707_B	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GEO record: GSM365584	GPL200
WBPaper00032976:XX_WT-E-090707_C	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for XO_TY2222-E.	GEO record: GSM365585	GPL200
WBPaper00032976:XX_WT-N-080307_A	whole animal	WBls:0000003	Hermaphrodite	Wild Type control for dpy-27.	GEO record: GSM365595	GPL200
WBPaper00032976:XX_WT-N-080307_B	whole animal	WBls:0000003	Hermaphrodite	Wild Type control for dpy-27.	GEO record: GSM365596	GPL200
WBPaper00032976:XX_WT-N-080307_C	whole animal	WBls:0000003	Hermaphrodite	Wild Type control for dpy-27.	GEO record: GSM365597	GPL200
WBPaper00032976:XX_WT-P-081407_A	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for sdc-2. N2 worms were fed Ahringer library feeding bacteria bearing a plasmid lacking an insert.	GEO record: GSM365589	GPL200
WBPaper00032976:XX_WT-P-081407_B	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for sdc-2. N2 worms were fed Ahringer library feeding bacteria bearing a plasmid lacking an insert.	GEO record: GSM365590	GPL200
WBPaper00032976:XX_WT-P-081407_C	whole animal	WBls:0000003	Hermaphrodite	Wild Type controls for sdc-2. N2 worms were fed Ahringer library feeding bacteria bearing a plasmid lacking an insert.	GEO record: GSM365591	GPL200
WBPaper00033099:dichlorvos_control-rep1	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of dichlorvos.	N.A.	GPL200
WBPaper00033099:dichlorvos_control-rep2	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of dichlorvos.	N.A.	GPL200
WBPaper00033099:dichlorvos_control-rep3	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of dichlorvos.	N.A.	GPL200
WBPaper00033099:fenamiphos_control-rep1	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of fenamiphos.	N.A.	GPL200
WBPaper00033099:fenamiphos_control-rep2	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of fenamiphos.	N.A.	GPL200
WBPaper00033099:fenamiphos_control-rep3	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of fenamiphos.	N.A.	GPL200
WBPaper00033099:mefloquine_control-rep1	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of mefloquine.	N.A.	GPL200
WBPaper00033099:mefloquine_control-rep2	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of mefloquine.	N.A.	GPL200
WBPaper00033099:mefloquine_control-rep3	whole animal	WBls:0000038	Hermaphrodite	Animals were develop as a control with no treatment of mefloquine.	N.A.	GPL200
WBPaper00034739:N2_dauer_1	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034739:N2_dauer_2	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034739:N2_dauer_3	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034739:N2_non_dauer_1	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034739:N2_non_dauer_2	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034739:N2_non_dauer_3	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034761:N2_1	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034761:N2_2	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00034761:N2_3	whole animal	WBls:0000024|WBls:0000027	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00035197:N2_3	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00035197:N2_4	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00035197:N2_5	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00035197:N2_6	whole animal	WBls:0000064	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00035227:bio-electrospray	whole animal	WBls:0000024	Hermaphrodite	Maintained as control nematodes but passed with an applied voltage (bio-electrosprayed).  Bio-electrospraying was carried out with a stainless steel needle with an internal and external bore diameter of ~6 and ~8mm respectively. The mid-section of the needle, held firmly in resin, was connected to a high voltage power supply (FP-30, Glassman Europe Ltd, Tadley, UK) capable of providing a voltage of up to 30kV with a drawing current of ~4mA with high resolution. The inlet of the needle was connected to medical grade silicone tubing with a similar internal bore diameter. The inlet end of the silicone tube was connected to a reservoir of M9 buffer containing age synchronous C. elegans larvae (L1s). The flow of suspended nematodes was controlled by way of gravitational flow and could be varied from ~10-5-10-8m3s-1.	N.A.	GPL200
WBPaper00035227:control_exposure	whole animal	WBls:0000024	Hermaphrodite	Control nematodes.	N.A.	GPL200
WBPaper00035429:N2_control_2007_rep1	whole animal	WBls:0000064	Hermaphrodite	Young adult (24 h post-vulval crescent L4 stage) whole nematodes were reared at 25 centigrade in control conditions.	N.A.	GPL200
WBPaper00035429:N2_control_2007_rep2	whole animal	WBls:0000064	Hermaphrodite	Young adult (24 h post-vulval crescent L4 stage) whole nematodes were reared at 25 centigrade in control conditions.	N.A.	GPL200
WBPaper00035429:N2_control_2008_rep1	whole animal	WBls:0000064	Hermaphrodite	Young adult (24 h post-vulval crescent L4 stage) whole nematodes were reared at 25 centigrade in control conditions.	N.A.	GPL200
WBPaper00035429:N2_control_2008_rep2	whole animal	WBls:0000064	Hermaphrodite	Young adult (24 h post-vulval crescent L4 stage) whole nematodes were reared at 25 centigrade in control conditions.	N.A.	GPL200
WBPaper00035891:control_OP50_rep1	whole animal	WBls:0000064	Hermaphrodite	control, OP50.	GEO record: GSM1220540	GPL200
WBPaper00035891:control_OP50_rep2	whole animal	WBls:0000064	Hermaphrodite	control, OP50.	GEO record: GSM1220544	GPL200
WBPaper00035891:control_OP50_rep3	whole animal	WBls:0000064	Hermaphrodite	control, OP50.	GEO record: GSM1220548	GPL200
WBPaper00035891:control_PA14_rep1	whole animal	WBls:0000064	Hermaphrodite	control, PA14.	GEO record: GSM1220541	GPL200
WBPaper00035891:control_PA14_rep2	whole animal	WBls:0000064	Hermaphrodite	control, PA14.	GEO record: GSM1220545	GPL200
WBPaper00035891:control_PA14_rep3	whole animal	WBls:0000064	Hermaphrodite	control, PA14.	GEO record: GSM1220549	GPL200
WBPaper00036135:N2__1	whole animal	N.A.	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00036135:N2__2	whole animal	N.A.	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00036291:N2_bio_rep1	whole animal	N.A.	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00036291:N2_bio_rep2	whole animal	N.A.	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00036291:N2_bio_rep3	whole animal	N.A.	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00036383:Day8_N2_EV_rep1	whole animal	WBls:0000070	Hermaphrodite	control empty vector	GEO record: GSM756685	GPL200
WBPaper00036383:Day8_N2_EV_rep2	whole animal	WBls:0000070	Hermaphrodite	control empty vector	GEO record: GSM756686	GPL200
WBPaper00036383:L3_N2_EV_rep1	whole animal	WBls:0000035	Hermaphrodite	control empty vector	GEO record: GSM756612	GPL200
WBPaper00036383:L3_N2_EV_rep2	whole animal	WBls:0000035	Hermaphrodite	control empty vector	GEO record: GSM756613	GPL200
WBPaper00036383:L3_N2_EV_rep3	whole animal	WBls:0000035	Hermaphrodite	control empty vector	GEO record: GSM756614	GPL200
WBPaper00037611:wt_total_RNA_bio_rep1	WBbt:0007849	WBls:0000041	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00037611:wt_total_RNA_bio_rep2	WBbt:0007849	WBls:0000041	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00037611:wt_total_RNA_bio_rep3	WBbt:0007849	WBls:0000041	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00037611:wt_total_RNA_bio_rep4	WBbt:0007849	WBls:0000041	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00037695:T1_control_4	whole animal	WBls:0000041	Hermaphrodite	N.A.	GEO record: GSM589355	GPL200
WBPaper00037695:T1_control_6	whole animal	WBls:0000041	Hermaphrodite	N.A.	GEO record: GSM589360	GPL200
WBPaper00037695:T2_control_4	whole animal	WBls:0000041	Hermaphrodite	N.A.	GEO record: GSM589356	GPL200
WBPaper00037695:T2_control_6	whole animal	WBls:0000041	Hermaphrodite	N.A.	GEO record: GSM589361	GPL200
WBPaper00037695:T6_control_4	whole animal	WBls:0000041	Hermaphrodite	N.A.	GEO record: GSM589352	GPL200
WBPaper00038060:N2_1	whole animal	WBls:0000024	Hermaphrodite	N.A.	GEO record: GSM499032	GPL200
WBPaper00038060:N2_2	whole animal	WBls:0000024	Hermaphrodite	N.A.	GEO record: GSM499033	GPL200
WBPaper00038060:N2_3	whole animal	WBls:0000024	Hermaphrodite	N.A.	GEO record: GSM499034	GPL200
WBPaper00038172:WT_1	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM627440	GPL200
WBPaper00038172:WT_2	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM627441	GPL200
WBPaper00038172:WT_3	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM627442	GPL200
WBPaper00038180:WT_fedL1_rep1	whole animal	WBls:0000024	Hermaphrodite	N.A.	GEO record: GSM634543	GPL200
WBPaper00038180:WT_fedL1_rep2	whole animal	WBls:0000024	Hermaphrodite	N.A.	GEO record: GSM634544	GPL200
WBPaper00038180:WT_fedL1_rep3	whole animal	WBls:0000024	Hermaphrodite	N.A.	GEO record: GSM634545	GPL200
WBPaper00038180:XX_mixedEmbryo-WT-N_080307_A	whole animal	WBls:0000003	Hermaphrodite	N.A.	GEO record: GSM635241	GPL200
WBPaper00038180:XX_mixedEmbryo-WT-N_080307_B	whole animal	WBls:0000003	Hermaphrodite	N.A.	GEO record: GSM635242	GPL200
WBPaper00038180:XX_mixedEmbryo-WT-N_080307_C	whole animal	WBls:0000003	Hermaphrodite	N.A.	GEO record: GSM635243	GPL200
WBPaper00038304:wt_rep1	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM688037	GPL200
WBPaper00038304:wt_rep2	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM688038	GPL200
WBPaper00038304:wt_rep3	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM688039	GPL200
WBPaper00038462:day_6_adults_rep1	whole animal	WBls:0000069	Hermaphrodite	N.A.	GEO record: GSM542655	GPL200
WBPaper00038462:day_6_adults_rep2	whole animal	WBls:0000069	Hermaphrodite	N.A.	GEO record: GSM542656	GPL200
WBPaper00038462:day_6_adults_rep3	whole animal	WBls:0000069	Hermaphrodite	N.A.	GEO record: GSM542657	GPL200
WBPaper00038462:day_15_adults_rep1	whole animal	WBls:0000074	Hermaphrodite	N.A.	GEO record: GSM542658	GPL200
WBPaper00038462:day_15_adults_rep2	whole animal	WBls:0000074	Hermaphrodite	N.A.	GEO record: GSM542659	GPL200
WBPaper00038462:day_15_adults_rep3	whole animal	WBls:0000074	Hermaphrodite	N.A.	GEO record: GSM542660	GPL200
WBPaper00038462:L4_rep1	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM542652	GPL200
WBPaper00038462:L4_rep2	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM542653	GPL200
WBPaper00038462:L4_rep3	whole animal	WBls:0000038	Hermaphrodite	N.A.	GEO record: GSM542654	GPL200
WBPaper00040185:Control_rep1	whole animal	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM794220	GPL200
WBPaper00040185:Control_rep2	whole animal	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM794221	GPL200
WBPaper00040185:Control_rep3	whole animal	WBls:0000027	Hermaphrodite	N.A.	GEO record: GSM794222	GPL200
WBPaper00040420:FLP_1	WBbt:0004798|WBbt:0004797	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:FLP_2	WBbt:0004798|WBbt:0004797	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:FLP_3	WBbt:0004798|WBbt:0004797	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:TRN_1	WBbt:0008431	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:TRN_2	WBbt:0008431	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:TRN_3	WBbt:0008431	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:TRN_4	WBbt:0008431	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:WholeAnimal_1	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:WholeAnimal_2	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:WholeAnimal_3	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040420:WholeAnimal_4	whole animal	WBls:0000003	Hermaphrodite	N.A.	N.A.	GPL200
WBPaper00040603:wild-type_1	whole animal	N.A.	Hermaphrodite	N.A.	GEO record: GSM842065	GPL200
