libraryId	experimentId	platform	SRSId	anatId	anatName	cellTypeId	cellTypeName	stageId	stageName	url_GSM	infoOrgan	infoCellType_abInitio	infoCellType_inferred	clusterId	clusterName	infoStage	anatAnnotationStatus	cellTypeAnnotationStatus	stageAnnotationStatus	sex	strain	genotype	speciesId	RNAseqTags	protocol	protocolType	lib_name	sampleTitle	comment	condition	annotatorId	lastModificationDate
SRX22232262	SRP467631	Illumina NovaSeq 6000	SRS19286370	UBERON:0004035	cortical subplate			MmusDv:0000155	9-week-old stage		CTXsp - CLA-EP-LA-BLA-BMA-PA: Cortical subplate - Claustrum - Endopiriform nucleus - Lateral amygdalar nucleus - Basolateral amygdalar nucleus - Basomedial amygdalar nucleus - Posterior amygdalar nucleus this just refers to the entire Cortical subplate so Cortical subplate should be the annotation					67 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200820_01_E08	SAMN37926648		Light	SAC	2025-01-10
SRX22232261	SRP467631	Illumina NovaSeq 6000	SRS19286736	UBERON:0002421	hippocampal formation			MmusDv:0000152	7-week-old stage		PAR-POST-PRE-SUB-ProS: Parasubiculum - Postsubiculum - Presubiculum - Subiculum - Prosubiculum					53 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201029_01_F10	SAMN37926960		Dark	SAC	2025-01-10
SRX22232260	SRP467631	Illumina NovaSeq 6000	SRS19286723	UBERON:0006514	pallidum			MmusDv:0000152	7-week-old stage		CNU - PAL: Cerebral nuclei - Pallidum					54 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201106_01_B03	SAMN37926972		Dark	SAC	2025-01-10
SRX22232259	SRP467631	Illumina NovaSeq 6000	SRS19286863	UBERON:0007635	nucleus of medulla oblongata			MmusDv:0000152	7-week-old stage		MY - CN-DCN-ECU-NTS-SPVC-SPVI-SPVO: Medulla -Medulla, behavioral state related - Medulla, motor related					53 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210128_01_H04	SAMN37927050		Dark	SAC	2025-01-10
SRX22232258	SRP467631	Illumina NovaSeq 6000	SRS19286862	UBERON:0001896	medulla oblongata			MmusDv:0000154	8-week-old stage		MY - MYsat-MYmot post: Medulla -Medulla, behavioral state related - Medulla, motor related - posterior					59 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210114_01_E02	SAMN37927036		Light	SAC	2025-01-10
SRX22232257	SRP467631	Illumina NovaSeq 6000	SRS19286855	UBERON:0005403	ventral striatum			MmusDv:0000155	9-week-old stage		STR - STRv: Striatum - Striatum ventral region					63 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201016_01_H04	SAMN37926945		Dark	SAC	2025-01-10
SRX22232256	SRP467631	Illumina NovaSeq 6000	SRS19286712	UBERON:0001891	midbrain			MmusDv:0000154	8-week-old stage		MB - VTA-SN: Midbrain - Ventral tegmental area-Substantia nigra					59 days	other		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201106_01_G03	SAMN37926966		Dark	SAC	2025-01-10
SRX22232255	SRP467631	Illumina NovaSeq 6000	SRS19286861	UBERON:0001891	midbrain			MmusDv:0000155	9-week-old stage		MB - MRN-CUN-RN-RR-PPN-PRT-SC-IC: Midbrain - Midbrain reticular nucleus - Cuneiform nucleus - Red nucleus - Midbrain reticular nucleus, retrorubral area - Pedunculopontine nucleus - Pretectal region - Superior colliculus - Inferior colliculus 					64 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210422_01_A02	SAMN37927075		Light	SAC	2025-01-10
SRX22232254	SRP467631	Illumina NovaSeq 6000	SRS19286860	UBERON:0001897	dorsal plus ventral thalamus			MmusDv:0000152	7-week-old stage		TH: Thalamus					54 days	perfect match		missing child term	F	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210430_01_D04	SAMN37927077		Dark	SAC	2025-01-10
SRX22232253	SRP467631	Illumina NovaSeq 6000	SRS19286815	UBERON:0001954	Ammon's horn			MmusDv:0000154	8-week-old stage		HIP - CA: Hippocampal region - Ammon's horn					61 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201112_01_F04	SAMN37926978		Dark	SAC	2025-01-10
SRX22232252	SRP467631	Illumina NovaSeq 6000	SRS19286793	UBERON:0002421	hippocampal formation			MmusDv:0000152	7-week-old stage		PAR-POST-PRE-SUB-ProS: Parasubiculum - Postsubiculum - Presubiculum - Subiculum - Prosubiculum					53 days	other		missing child term	F	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201030_01_C12	SAMN37926961		Light	SAC	2025-01-10
SRX22232251	SRP467631	Illumina NovaSeq 6000	SRS19286812	UBERON:0000988	pons			MmusDv:0000152	7-week-old stage		PONS - Pmot-Psat ant: Pons - Pons, motor related - Pons, behavioral state related anterior					55 days	other		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201119_01_E08	SAMN37926984		Light	SAC	2025-01-10
SRX22232250	SRP467631	Illumina NovaSeq 6000	SRS19286373	UBERON:8440030	striatum-like amygdalar nuclei			MmusDv:0000154	8-week-old stage		STR - sAMY: Striatum - Striatum-like amygdalar nuclei					59 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200827_01_C10	SAMN37926651		Dark	SAC	2025-01-10
SRX22232249	SRP467631	Illumina NovaSeq 6000	SRS19286858	UBERON:0002273	lateral zone of hypothalamus			MmusDv:0000154	8-week-old stage		HY LZ: Hypothalamus - Hypothalamic lateral zone					60 days	perfect match		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201217_01_F06	SAMN37927030		Dark	SAC	2025-01-10
SRX22232248	SRP467631	Illumina NovaSeq 6000	SRS19286371	UBERON:0004035	cortical subplate			MmusDv:0000154	8-week-old stage		CTXsp - CLA-EP-LA-BLA-BMA-PA: Cortical subplate - Claustrum - Endopiriform nucleus - Lateral amygdalar nucleus - Basolateral amygdalar nucleus - Basomedial amygdalar nucleus - Posterior amygdalar nucleus this just refers to the entire Cortical subplate so Cortical subplate should be the annotation					59 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200827_01_F09	SAMN37926650		Light	SAC	2025-01-10
SRX22232247	SRP467631	Illumina NovaSeq 6000	SRS19286762	UBERON:0001954	Ammon's horn			MmusDv:0000154	8-week-old stage		HIP - CA: Hippocampal region - Ammon's horn					61 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201112_01_A05	SAMN37926970		Light	SAC	2025-01-10
SRX22232246	SRP467631	Illumina NovaSeq 6000	SRS19286372	UBERON:8440030	striatum-like amygdalar nuclei			MmusDv:0000154	8-week-old stage		STR - sAMY: Striatum - Striatum-like amygdalar nuclei					57 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200820_01_F03	SAMN37926649		Light	SAC	2025-01-10
SRX22232245	SRP467631	Illumina NovaSeq 6000	SRS19286859	UBERON:0034893	agranular insular cortex			MmusDv:0000152	7-week-old stage		AI-CLA: Agranular insular area - Claustrum					55 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201008_01_H10	SAMN37926938		Dark	SAC	2025-01-10
SRX22232244	SRP467631	Illumina NovaSeq 6000	SRS19286829	UBERON:0000988	pons			MmusDv:0000154	8-week-old stage		PONS - Pmot-Psat post: Pons - Pons, motor related - Pons, behavioral state related anterior					62 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201113_01_D07	SAMN37926975		Dark	SAC	2025-01-10
SRX22232243	SRP467631	Illumina NovaSeq 6000	SRS19286857	UBERON:0001896	medulla oblongata			MmusDv:0000154	8-week-old stage		MY - MYsat-MYmot ant: Medulla -Medulla, behavioral state related - Medulla, motor related - anterior					57 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210121_01_A03	SAMN37927043		Dark	SAC	2025-01-10
SRX22232242	SRP467631	Illumina NovaSeq 6000	SRS19286856	UBERON:0035886	posterior parietal association areas			MmusDv:0000154	8-week-old stage		VIS-PTLp: Visual areas - Posterior parietal association areas					59 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201120_01_H09	SAMN37926993		Light	SAC	2025-01-10
SRX22232241	SRP467631	Illumina NovaSeq 6000	SRS19286824	UBERON:0000988	pons			MmusDv:0000155	9-week-old stage		PONS - Pmot-Psat ant: Pons - Pons, motor related - Pons, behavioral state related anterior					66 days	other		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201113_01_H07	SAMN37926967		Dark	SAC	2025-01-10
SRX22232240	SRP467631	Illumina NovaSeq 6000	SRS19286855	UBERON:0005403	ventral striatum			MmusDv:0000155	9-week-old stage		STR - STRv: Striatum - Striatum ventral region					63 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201016_01_A05	SAMN37926945		Dark	SAC	2025-01-10
SRX22232239	SRP467631	Illumina NovaSeq 6000	SRS19286854	UBERON:0005382	dorsal striatum			MmusDv:0000152	7-week-old stage		STR - STRd: Striatum - Striatum dorsal region					54 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201105_01_G01	SAMN37926973		Dark	SAC	2025-01-10
SRX22232238	SRP467631	Illumina NovaSeq 6000	SRS19286854	UBERON:0005382	dorsal striatum			MmusDv:0000152	7-week-old stage		STR - STRd: Striatum - Striatum dorsal region					54 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201105_01_E01	SAMN37926973		Dark	SAC	2025-01-10
SRX22232237	SRP467631	Illumina NovaSeq 6000	SRS19286742	UBERON:0013531	retrosplenial region			MmusDv:0000155	9-week-old stage		RSP: Retrosplenial area					69 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201023_01_A09	SAMN37926943		Dark	SAC	2025-01-10
SRX22232236	SRP467631	Illumina NovaSeq 6000	SRS19286853	UBERON:0002245	cerebellar hemisphere			MmusDv:0000154	8-week-old stage		CB - HEM: Cerebellum - Hemispheric regions 					58 days	perfect match		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201217_01_G07	SAMN37927033		Dark	SAC	2025-01-10
SRX22232235	SRP467631	Illumina NovaSeq 6000	SRS19286852	UBERON:0007628	lateral septal complex			MmusDv:0000154	8-week-old stage		STR - LSX: Striatum - Lateral septal complex					59 days	perfect match		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201203_01_F12	SAMN37927001		Dark	SAC	2025-01-10
SRX22232234	SRP467631	Illumina NovaSeq 6000	SRS19286851	UBERON:0005401	cerebral hemisphere gray matter			MmusDv:0000154	8-week-old stage		OLF - AON-TT-DP-PIR-COA-NLOT-PAA-TR: Olfactory areas - Anterior olfactory nucleus - Taenia tecta - Dorsal peduncular area - Piriform area - Cortical amygdalar area - Nucleus of the lateral olfactory tract - Piriform-amygdalar area - Postpiriform transition area					59 days	other		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210114_01_A01	SAMN37927037		Light	SAC	2025-01-10
SRX22232233	SRP467631	Illumina NovaSeq 6000	SRS19286720	UBERON:0002421	hippocampal formation			MmusDv:0000154	8-week-old stage		PAR-POST-PRE-SUB-ProS: Parasubiculum - Postsubiculum - Presubiculum - Subiculum - Prosubiculum					58 days	other		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201029_01_H10	SAMN37926956		Light	SAC	2025-01-10
SRX22232232	SRP467631	Illumina NovaSeq 6000	SRS19286849	UBERON:0001896	medulla oblongata			MmusDv:0000152	7-week-old stage		MY - MYsat-Mymot: Medulla -Medulla, behavioral state related - Medulla, motor related					54 days	other		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210422_01_E02	SAMN37927076		Dark	SAC	2025-01-10
SRX22232231	SRP467631	Illumina NovaSeq 6000	SRS19286850	UBERON:0001897	dorsal plus ventral thalamus			MmusDv:0000155	9-week-old stage		TH: Thalamus					65 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210401_01_E09	SAMN37927070		Light	SAC	2025-01-10
SRX22232230	SRP467631	Illumina NovaSeq 6000	SRS19286846	UBERON:0000956	cerebral cortex			MmusDv:0000152	7-week-old stage		MO-FRP: Somatomotor areas - Frontal pole, cerebral cortex					53 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201203_01_A11	SAMN37927016		Light	SAC	2025-01-10
SRX22232229	SRP467631	Illumina NovaSeq 6000	SRS19286847	UBERON:0002245	cerebellar hemisphere			MmusDv:0000155	9-week-old stage		CB - HEM: Cerebellum - Hemispheric regions 					67 days	perfect match		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201217_01_A07	SAMN37927018		Light	SAC	2025-01-10
SRX22232228	SRP467631	Illumina NovaSeq 6000	SRS19286448	UBERON:0003528	brain gray matter			MmusDv:0000154	8-week-old stage		MB-PONS - DR-PPN-SOC-V: Midbrain - Pons - Dorsal nucleus raphe - Pedunculopontine nucleus - Superior olivary complex - Motor nucleus of trigeminal					58 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_220414_01_C07	SAMN37926694		Light	SAC	2025-01-10
SRX22232227	SRP467631	Illumina NovaSeq 6000	SRS19286848	UBERON:0000956	cerebral cortex			MmusDv:0000154	8-week-old stage		SS-GU-VISC: Somatosensory areas, Gustatory areas, Visceral area					61 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201204_01_D01	SAMN37926983		Light	SAC	2025-01-10
SRX22232226	SRP467631	Illumina NovaSeq 6000	SRS19286845	UBERON:0007628	lateral septal complex			MmusDv:0000152	7-week-old stage		STR - LSX: Striatum - Lateral septal complex					53 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201203_01_E11	SAMN37927015		Dark	SAC	2025-01-10
SRX22232225	SRP467631	Illumina NovaSeq 6000	SRS19286817	UBERON:0000988	pons			MmusDv:0000155	9-week-old stage		PONS - Pmot-Psat ant: Pons - Pons, motor related - Pons, behavioral state related anterior					69 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201113_01_F06	SAMN37926957		Light	SAC	2025-01-10
SRX22232224	SRP467631	Illumina NovaSeq 6000	SRS19286370	UBERON:0004035	cortical subplate			MmusDv:0000155	9-week-old stage		CTXsp - CLA-EP-LA-BLA-BMA-PA: Cortical subplate - Claustrum - Endopiriform nucleus - Lateral amygdalar nucleus - Basolateral amygdalar nucleus - Basomedial amygdalar nucleus - Posterior amygdalar nucleus this just refers to the entire Cortical subplate so Cortical subplate should be the annotation					67 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200820_01_E02	SAMN37926648		Light	SAC	2025-01-10
SRX22232223	SRP467631	Illumina NovaSeq 6000	SRS19286844	UBERON:0002264	olfactory bulb			MmusDv:0000154	8-week-old stage		OLF - MOB-AOB: Olfactory areas - Main olfactory bulb - Accessory olfactory bulb					59 days	perfect match		missing child term	M	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201203_01_A12	SAMN37927002		Light	SAC	2025-01-10
SRX22232222	SRP467631	Illumina NovaSeq 6000	SRS19286843	UBERON:0035886	posterior parietal association areas			MmusDv:0000154	8-week-old stage		VIS-PTLp: Visual areas - Posterior parietal association areas					61 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201204_01_F01	SAMN37926997		Dark	SAC	2025-01-10
SRX22232221	SRP467631	Illumina NovaSeq 6000	SRS19286841	UBERON:0000988	pons			MmusDv:0000154	8-week-old stage		PONS - Pmot-Psat ant: Pons - Pons, motor related - Pons, behavioral state related anterior					59 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201119_01_H08	SAMN37926987		Dark	SAC	2025-01-10
SRX22232220	SRP467631	Illumina NovaSeq 6000	SRS19286842	UBERON:0005401	cerebral hemisphere gray matter			MmusDv:0000154	8-week-old stage		OLF - AON-TT-DP-PIR-COA-NLOT-PAA-TR: Olfactory areas - Anterior olfactory nucleus - Taenia tecta - Dorsal peduncular area - Piriform area - Cortical amygdalar area - Nucleus of the lateral olfactory tract - Piriform-amygdalar area - Postpiriform transition area					58 days	other		missing child term	F	C57BL/6J	Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210121_01_G02	SAMN37927047		Dark	SAC	2025-01-10
SRX22232219	SRP467631	Illumina NovaSeq 6000	SRS19286413	UBERON:0004035	cortical subplate			MmusDv:0000155	9-week-old stage		CTXsp - CLA-EP-LA-BLA-BMA-PA: Cortical subplate - Claustrum - Endopiriform nucleus - Lateral amygdalar nucleus - Basolateral amygdalar nucleus - Basomedial amygdalar nucleus - Posterior amygdalar nucleus this just refers to the entire Cortical subplate so Cortical subplate should be the annotation					65 days	perfect match		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200723_01_F09	SAMN37926641		Light	SAC	2025-01-10
SRX22232218	SRP467631	Illumina NovaSeq 6000	SRS19286369	UBERON:8440030	striatum-like amygdalar nuclei			MmusDv:0000155	9-week-old stage		STR - sAMY: Striatum - Striatum-like amygdalar nuclei					66 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_200813_01_G11	SAMN37926647		Dark	SAC	2025-01-10
SRX22232217	SRP467631	Illumina NovaSeq 6000	SRS19286840	UBERON:0002037	cerebellum			MmusDv:0000155	9-week-old stage		CB - VERM-CBN: Cerebellum - Vermal regions - Cerebellar nuclei					67 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210408_01_G10	SAMN37927071		Light	SAC	2025-01-10
SRX22232216	SRP467631	Illumina NovaSeq 6000	SRS19286839	UBERON:0007628	lateral septal complex			MmusDv:0000155	9-week-old stage		STR - LSX: Striatum - Lateral septal complex					67 days	perfect match		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210325_01_E08	SAMN37927064		Light	SAC	2025-01-10
SRX22232215	SRP467631	Illumina NovaSeq 6000	SRS19286837	UBERON:0000956	cerebral cortex			MmusDv:0000154	8-week-old stage		MO-FRP: Somatomotor areas - Frontal pole, cerebral cortex					61 days	other		missing child term	M	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_201204_01_A01	SAMN37926982		Light	SAC	2025-01-10
SRX22232214	SRP467631	Illumina NovaSeq 6000	SRS19286838	UBERON:0000988	pons			MmusDv:0000152	7-week-old stage		PONS - Psen: Pons - Pons, sensory related					54 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210226_01_H11	SAMN37927056		Dark	SAC	2025-01-10
SRX22232213	SRP467631	Illumina NovaSeq 6000	SRS19286836	UBERON:0001896	medulla oblongata			MmusDv:0000155	9-week-old stage		MY - MYsat-Mymot: Medulla -Medulla, behavioral state related - Medulla, motor related					64 days	other		missing child term	F	C57BL/6J	Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt	10090	scRNA-seq	10X Genomics V3	3'end	L8TX_210422_01_B02	SAMN37927074		Light	SAC	2025-01-10
