"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"
"GSE37433"	"Function, targets and evolution of Caenorhabditis elegans piRNAs"		"GEO"	"partial"	"available, downloaded"
"#GSE38196"	"ATFS-1 mediates a protective transcription program during mitochondrial stress"	"ATFS-1 has been shown to regulate transcription of mitochondrial chaperone genes such as mtHsp70/hsp-6 and hsp-60 in response to mitocondrial stress. To identify the entire ATFS-1-mediated response, we compared the transcript profiles from wild-type and atfs-1(tm4525) worms raised in the absence and presence of mitochondrial stress. We used microarrays to identify genes regulated by ATFS-1 during mitochondrial stress"	"GEO"	"partial"	"wild-type-control, knockdown: control RNAi on genetic background: N2"
"GSE39012"	"Expression data from L3 stage Caernorhabditis elegans after arsenic exposure"	"We used microarrays to explore the global affect on gene expression in C. elegans after exposure to arsenic"	"GEO"	"partial"	"available, downloaded"
"GSE39252"	"Expression changes in Caenorhabditis elegans xpa-1 mutant"	"Background: The ability of an organism to repair DNA damage is implicated in carcinogenesis and aging. Interestingly expression profiling of Nucleotide Excision Repair (NER) deficient segmental progeroid mice revealed gene expression changes resembling these observed in aged wild type animals. Our previous transcriptional profiling of NER-deficient C. elegans xpa-1 mutant showed overrepresentation of genes involved in lifespan determination and upregulation of several oxidative stress response genes (Fensgard et al. Aging 2010). However, since an independent study performed by Boyd and coworkers (Boyd et al. Mut Res 2010) showed limited number of changes in xpa-1 mutant. Therefore to independently validate that transcriptome modulation does take place in xpa-1 mutants, we performed another global gene expression profiling based on 5 independent biological replicates allowing more stringent statistical analysis. Results: In agreement with what was observed by Boyd and coworkers (Boyd et al. Mut Res 2010) current transcriptomic analysis detected fewer changes in xpa-1 C. elegans mutant with only a few genes regulated more than 4-fold. Nevertheless, Gene Ontology (GO) enrichment analysis performed on statistically significantly regulated unique protein coding genes revealed overrepresentation of aging gene cluster. Moreover, as before, overexpression of several genes involved in oxidative stress responses was detected. Conclusion: More stringent statistical analysis predictably resulted in a smaller number of regulated genes and thus overrepresented GOs comparing to the earlier paper. However, major conclusions of the previous study can be still regarded as valid, as the most important aging GO is still overrepresented.Activation of oxidative stress-responses and downregulation of insulin-like signaling (ILS) is seen in Nucleotide Excision Repair (NER) deficient segmental progeroid mice. Evidence suggests that this is a survival response to persistent transcription-blocking DNA damage, although the relevant lesions have not been identified. Here we provide evidence for transcriptional reprogramming in NER-deficient C. elegans xpa-1 by transcriptomic and proteomic approaches. This reprograming is accompanied by increased intracellular ROS and ATP levels and lifespan shortening in xpa-1 mutant. Moreover we show that Base Excision Repair DNA glycosylase NTH-1 is upstream form the signaling events leading to transcriptomic changes, as its downregulation reverses overexpression of sod-3, gst-4 and aqp-1 genes, reduces intracellular ROS and ATP levels and reverses lifespan shortening observed in xpa-1 mutant. Surprisingly, however, these responses appear to not depend on cyclopurine levels, since these lesions are lower in xpa-1 C. elegans mutant than in the wild type. Finally, we also explore here which other upstream factors are necessary for transcriptional reprograming in xpa-1 mutant. "	"GEO"	"partial"	"available, downloaded"
"GSE41056"	"Analysis of gene expression changes upon infection of C.elegans with Orsay virus"	"Analysis of the transcriptional response to viral infection in C.elegans."	"GEO"	"partial"	"available, downloaded"
"GSE43959"	"Diet-Induced Developmental Acceleration Independent of TOR and Insulin in C. elegans"		"GEO"	"partial"	"available, downloaded"
"#GSE50513"	"Identify genes regulated by zip-2 in absence and presence of P. aeruginosa PA14 infection at 4h"	"Very little is known about how animals discriminate pathogens from innocuous microbes. To address this question, we examined infection-response gene induction in the nematode Caenorhabditis elegans. We focused on genes that are induced in C. elegans by infection with the bacterial pathogen Pseudomonas aeruginosa, but are not induced by an isogenic attenuated gacA mutant. Most of these genes are induced independently of known immunity pathways. We generated a GFP reporter for one of these genes, infection response gene 1 (irg-1), which is induced strongly by wild-type P. aeruginosa strain PA14, but not by other C. elegans pathogens or by other wild-type P. aeruginosa strains that are weakly pathogenic to C. elegans. To identify components of the pathway that induces irg-1 in response to infection, we performed an RNA interference screen of C. elegans transcription factors. This screen identified zip-2, a bZIP transcription factor that is required for inducing irg-1, as well as several other genes, and is important for defense against infection by P. aeruginosa. These data indicate that zip-2 is part of a specialized pathogen response pathway that is induced by virulent strains of P. aeruginosa and provides defense against this pathogen."	"GEO"	"partial"	"N2 C. elegans treated with L4440 control RNAi"
"GSE44318"	"Expression data from Caenorhabditis elegans fed with 13L cocoa peptide"	"Cocoa protein content is a very interesting source for isolation of antioxidant bio-peptides, which can be used for the prevention of age-related diseases. We use microarrays to study the global genome expression of C. elegans fed with a peptide (13L) isolated from cocoa."	"GEO"	"partial"	"available, downloaded"
"GSE46288"	"Expression data from C. elegans during L3 and L3-lethargus"	"To identify genes differentially expressed during L3 lethargus, we collected RNA during the third larval stage (L3) lethargus period, 37 hours after feeding developmentally-arrested L1 animals. Animals in lethargus were identified based on quiescence of locomotion and feeding. Additional time point for RNA collection was in the mid-L3 stage, 32 hours after feeding developmentally-arrested L1 animals. These samples were interrogated with the Affymetrix C. elegans Genome Array."	"GEO"	"total"	"available, downloaded"
"GSE46289"	"Expression data from C. elegans during L4, L4-lethargus, and Adult"	"To identify genes differentially expressed during the molt, we collected RNA 30-40 minutes after feeding cessation at the start of the fourth larval stage (L4) lethargus. Additional time points for RNA collection were in the mid-L4 stage, approximately four hours prior to lethargus, and in the young adult stage, four hours after lethargus. These samples were interrogated with the Affymetrix C. elegans Genome Array."	"GEO"	"total"	"available, downloaded"
"GSE25513"	"AMPK and calcineurin induced longevity is mediated by CRTC-1 and CREB"	"AMPK (AAK-2) and calcineurin (TAX-6) mediate longevity exclusively through post-translational modification of CRTC-1, the sole C. elegans CRTC (CREB regulated transcriptional coactivator). We performed microarrays to examine the transcriptional responses elicited by the pro-longevity: activation of AMPK, deactivation of calcineurin, and decrease of CREB (CRH-1) activity."	"GEO"	"partial"	"available, downloaded"
"GSE40127"	"GEI-8, a homologue of vertebrate nuclear receptor corepressor NCoR/SMRT, regulates development and neuronal functions in C. elegans."		"GEO"	"partial"	"available, downloaded"
"GSE52064"	"DRM complex mutant lin-54 vs. H3K36 methyltransferase mutant mes-4 vs. lin-54; mes-4 double mutant vs. wild type C.elegans germline"		"GEO"	"partial"	"available, downloaded"
"GSE54024"	"Expression Data of Reactive Oxygen Species Signalling in C. elegans"	"Young adult C. elegans were grown using a 4-hour synchronized lay and harvested by hand picking. At least three biological repeats were obtained for each condition. Worm RNA was extracted and prepared for hybridization to Affymetrix chips. We compared the gene expression patterns of genetic mutants and the wild type treated with paraquat all against a wild type control. "	"GEO"	"partial"	"available, downloaded"
"GSE23013"	"mRNA microarray analysis on young adult Caenorhabditis elegans exposed to benzene, toluene, formaldehyde and a BTF mix"		"GEO"	"partial"	"available, downloaded"
"#GSE48347"	"C. elegans mixed stage embryo total RNA levels by microarray: L4440 RNAi, smo-1 RNAi and sdc-2 (y93)+RNAi"		"GEO"		"discarded: grown on empty vector (L4440) RNAi"
"#GSE14640"	"A condensin-like dosage compensation complex acts at a distance to control expression throughout the genome"		"GEO"		"discarded:  The wild-type control for the sdc-2 RNAi was N2 worms fed Ahringer library feeding bacteria bearing a plasmid lacking an insert."
"#GSE39145"	"Multiple DNA repair pathways collectively protect against DNA damage-induced replicative aging."	"Eight mixed stage C. elegans samples were run on Affymetrix GeneChip C. elegans Genome Arrays. Four samples belong to ercc-1 mutant group and four to the wild-type, N2."	"GEO"		"discarded: eats plasmid RNAi with bacteria"
"GSE41486"	"Expression data from Caenorhabditis elegans exposed to single-walled carbon nanotubes"	"Exposure of synchronized L1 worms to different concentrations of a-SWCNTs for 48 hr at 22°C."	"GEO"	"partial"	"available, downloaded"
"GSE36358"	"Expression Data from International C.elegans Experiment 1st"	"The effect of microgravity on gene expression in C.elegans was comprehensively analysed by DNA microarray. This is the first DNA microarray analysis for C.elegans grown under microgravity. Hyper gravity and clinorotation experiments were performed as reference against the flight experiment."	"GEO"	"partial"	"available, downloaded"
"GSE27677"	"A conserved JNK/AP-1 module is a key mediator of intermittent fasting-induced longevity in C. Elegans"	"Two and three independent experiments were performed in the time course and mutants, respectively."	"GEO"	"partial"	"available, downloaded"
"GSE35354"	"Meta-analysis of global transcriptomics of Quercetin and Tannic acid exposed C. Elegans"	"The global transcriptome was compared in wild type nematodes raised in the presence of 0, 50, 100, and 200 µM Quercetin (Q) or 0, 100, 200, and 300 µM Tannic acid (TA)."	"GEO"	"partial"	"available, downloaded"
"#GSE28856"	"Expression data of wild-type C. elegans shifted from 23 degrees to 17 degrees"	"C. elegans exhibits thermotaxis, where most of the animals that had been cultivated at a particular temperature ranging from 15°C to 25°C for a few hours with a food source and then placed on a thermal gradient for an hour migrate to the cultivation temperature. In addition, animals that were previously conditioned to migrate to a certain temperature are capable of migrating to a new cultivation temperature a few hours after the cultivation temperature was shifted to the new temperature.To gain the detailed molecular insight into thermotactic behavior, the genome-wide microarray analysis during behavioral conditioning was performed. We compared the transcriptional profile of animals conditioned to migrate to the new temperature 17°C with that of animals conditioned to migrate to the previous temperature 23°C"	"GEO"		"discarded : see issue#53, missing information about replicates, not clear experimental design"
"GSE42192"	"Gene expression data from C.elegans"	"Gene expression in C. elegans wild-type strain (N2) was analyzed in worm populations fed with E. coli OP50 (control condition) or the corresponding LAB (Lactobacillus rhamnosus CNCM I-3690 or Lactobacillus rhamnosus CNCM I-4317) . Three days and ten days feeding period was analyzed."	"GEO"	"total"	"available, downloaded"
"#GSE28853"					"discarded : superserie, to consider annotations or comments on  GSE28494 and GSE28852"
"#GSE28852"					"discarded : see issue#53, this experiment is based on Chromatin-immunoprecipitation"
"GSE28494"	"Germline and embryo gene expression of wild-type vs. mutants in lin-54, a component of the C. elegans DRM complex"	"We compared embryonic or germline gene expression profile of lin-54 mutants with that of wild-type N2 C. elegans. Embryos were obtained from a strain carrying the partial loss-of-function allele lin-54(n2990) grown at 25C for one generation. Germlines were isolated from lin-54(n3423) null adults that lack detectable lin-54 transcript and protein. We isolated the germline region from the tip until late pachytene stage of meiosis, because nuclei in this region are morphologically similar between wild-type and mutant and are all undergoing X chromosome silencing. 3 biological replicates of each genotype/tissue were examined."	"GEO"	"partial"	"available, downloaded"
"GSE43952 "	"Integration of Metabolic and Gene Regulatory Networks Modulates The C. elegans Dietary Response"	"3 biological replicates for each condition, wild type is reference sample"	"GEO"	"partial"	"available, downloaded"
"GSE65417"	"Expression data from C. elegans wild type, hlh-25 mutant and hlh-29 mutant strains"	"In Caenorhabditis elegans, the six proteins that make up the REF-1 family are HES homologs that act in both Notch dependent and Notch-independent pathways to regulate embryonic events. To further our understanding of how the REF-1 family works to coordinate post-embryonic cellular events, we performed transcriptome analysis of HLH-25 and HLH-29 mutant strains."	"GEO"	"partial"	"available, downloaded"
"GSE45292"	"In vivo gene expression analysis of C elegans in response to rifampicin"	"We have discovered rifampicin as a glycation inhibitor, which increases life span in C elegans. In order to understand the mechanism of rifampicin action, microarray analysis was performed to study the changes in gene expression brought about by the drug."	"GEO"	"partial"	"available, downloaded"
"GSE68709"	"Exposure of C. elegans to AOBr-containing surface water samples and to a M. aeruginosa batch culture"	"Nematodes were exposed to filtrated samples of Lake Stößensee Berlin (August and October) and compared to the control-group (exposure to water). Furthermore, nematodes were exposed to filtrated M. aeruinosa batch culture samples and compared to another control-group (exposure to Z-Medium). Three samples (biological replicates) were prepared for each group."	"GEO"	"partial"	"available, downloaded"
"GSE52747"	"Transcriptional response induced by Wnt signaling in Caenorhabditis elegans affects lateral and ventral hypodermal cell development"	"Identification of genes expressed in seam cells and VPCs at L2-L3 stage with three replications"	"GEO"	"partial"	"available, downloaded"
"GSE72029"	"C. elegans gene expression in healthy and PA14-infected wild-type and fshr-1 mutant worms"	"Three independent biological replicates were analyzed for each of the four conditions. For any given replicate, all four conditions were prepared in parallel. Conditions were N2 worms on OP50, N2 worms on PA14, fshr-1(ok778) worms on OP50, and fshr-1(ok778) worms on PA14"	"GEO"	"partial"	"available, downloaded"
"GSE45651"	"Expression data from the starved first larval stage (L1) C. elegans animals that were incubated in S-basal buffer for 30 hours after bleaching"	"Gravid C. elegans adult animals were bleached with hypochlorite and sodium hydroxide. The resulting eggs were hatched in 8–10 mL S-basal without cholesterol in 15-mL conical tubes, which were placed on an end-over-end rocker (VWR) at 20 °C. 30 hours later, starved L1s were collected for RNA preparations. Wild type and lin-35/Rb mutant were profiled in triplicate. All replicates were biological replicates."	"GEO"	"partial"	"available, downloaded"
