"#libraryId"	"experimentId"	"platform"	"SRSId"	"anatId"	"anatName"	"stageId"	"stageName"	"url_GSM"	"infoOrgan"	"infoStage"	"anatAnnotationStatus"	"anatBiologicalStatus"	"stageAnnotationStatus"	"sex"	"strain"	"genotype"	"speciesId"	"protocol"	"protocolType"	"RNASelection"	"globin_reduction"	"replicate"	"sampleTitle"	"PATOid"	"PATOname"	"comment"	"condition"	"annotatorId"	"lastModificationDate"
"SRX191950"	"GSE41367"	"Illumina Genome Analyzer IIx"	"SRS367361"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"whole animal"	"L4 & adult males"	"other"	"full sampling"	"other"	"NA"	"JK574 fog-2(q71)"		6239			"polyA"		4				"Caenorhabditis elegans; from Wormbase, by Seb; Three biological replicates per sex per species were collected for a total of 30 samples"		"ANN"	"2016-02-01"
"SRX191951"	"GSE41367"	"Illumina HiSeq 2000"	"SRS367362"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"whole animal"	"L4 & adult males"	"other"	"full sampling"	"other"	"NA"	"JK574 fog-2(q71)"		6239			"polyA"		5				"Caenorhabditis elegans; from Wormbase, by Seb; Three biological replicates per sex per species were collected for a total of 30 samples"		"ANN"	"2016-02-01"
"SRX191952"	"GSE41367"	"Illumina HiSeq 2000"	"SRS367363"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"whole animal"	"L4 & adult males"	"other"	"full sampling"	"other"	"NA"	"JK574 fog-2(q71)"		6239			"polyA"		6				"Caenorhabditis elegans; from Wormbase, by Seb; Three biological replicates per sex per species were collected for a total of 30 samples"		"ANN"	"2016-02-01"
"SRX004863"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS003001"	"UBERON:0019248"	"early embryo"	"WBls:0000004"	"proliferating embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		5				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX037186"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS151140"	"UBERON:0019248"	"early embryo"	"WBls:0000004"	"proliferating embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		4				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX037197"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS151142"	"UBERON:0019248"	"early embryo"	"WBls:0000004"	"proliferating embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		3				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX099901"	"SRP000401"	"Illumina HiSeq 2000"	"SRS258165"	"UBERON:0019248"	"early embryo"	"WBls:0000006"	"1-cell embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		2				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX099902"	"SRP000401"	"Illumina HiSeq 2000"	"SRS258165"	"UBERON:0019248"	"early embryo"	"WBls:0000006"	"1-cell embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		2				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX099907"	"SRP000401"	"Illumina HiSeq 2000"	"SRS258085"	"UBERON:0019248"	"early embryo"	"WBls:0000006"	"1-cell embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb; ANN, I change from '2-cell embryo Ce' to '1-cell embryo Ce' because info are egg incubated 30 min, and at least 40 min are necessary to reach the first cleavage, see http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx, so still zygote (1-cell) see https://www.wormatlas.org/hermaphrodite/introduction/mainframe.htm"		"ANN"	"2021-05-10"
"SRX099908"	"SRP000401"	"Illumina HiSeq 2000"	"SRS258085"	"UBERON:0019248"	"early embryo"	"WBls:0000006"	"1-cell embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb; ANN, I change from '2-cell embryo Ce' to '1-cell embryo Ce' because info are egg incubated 30 min, and at least 40 min are necessary to reach the first cleavage, see http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx, so still zygote (1-cell) see https://www.wormatlas.org/hermaphrodite/introduction/mainframe.htm"		"ANN"	"2021-05-10"
"SRX099915"	"SRP000401"	"Illumina HiSeq 2000"	"SRS258166"	"UBERON:0019251"	"4-cell stage embryo"	"Wbls:0000008"	"4-cell embryo Ce"		"embryo"	"embryo between 4 and 8 cells"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb; ANN, I change from '28-cell embryo Ce' to '4-cell embryo Ce' because info are egg incubated 90 min,  see https://www.wormatlas.org/hermaphrodite/introduction/mainframe.htm"		"ANN"	"2021-05-10"
"SRX085217"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS242382"	"UBERON:0019248"	"early embryo"	"WBls:0000010"	"gastrulating embryo Ce"		"embryo"	"early embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb; egg incubated 120 minutes"		"ANN"	"2021-05-10"
"SRX085286"	"SRP000401"	"Illumina HiSeq 2000"	"SRS242498"	"WBbt:0005451"	"pharyngeal muscle cell"	"WBls:0000021"	"fully-elongated embryo Ce"		"pharyngeal muscle"	"late embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX085287"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS242498"	"WBbt:0005451"	"pharyngeal muscle cell"	"WBls:0000021"	"fully-elongated embryo Ce"		"pharyngeal muscle"	"late embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"		1				"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX004866"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS003004"	"UBERON:0000323"	"late embryo"	"WBls:0000021"	"fully-elongated embryo Ce"		"generic sample"	"late embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX047446"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS174136"	"UBERON:0000323"	"late embryo"	"WBls:0000021"	"fully-elongated embryo Ce"		"generic sample"	"late embryo"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX037288"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS151153"	"UBERON:0002548"	"larva"	"WBls:0000024"	"L1 larva Ce"		"larva"	"larva L1"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX047653"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS174229"	"UBERON:0002548"	"larva"	"WBls:0000027"	"L2 larva Ce"		"larva"	"larva L2"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX036881"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS150938"	"UBERON:0002548"	"larva"	"WBls:0000035"	"L3 larva Ce"		"larva"	"larva L3"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX008144"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS004864"	"UBERON:0002548"	"larva"	"WBls:0000038"	"L4 larva Ce"		"larva"	"larva L4"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"SRX050630"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS179276"	"UBERON:0002548"	"larva"	"WBls:0000038"	"L4 larva Ce"		"larva"	"larva L4"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"ANN"	"2021-05-10"
"#SRX035162"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS150472"	"UBERON:0007023"	"adult organism"	"Wbls:0000057"	"adult hermaphrodite Ce"		"generic sample"	"adult"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; commented because not normal sample (treatment); excluded TRUE"		"ANN"	"2021-05-10"
"#SRX036882"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS150939"	"UBERON:0007023"	"adult organism"	"Wbls:0000057"	"adult hermaphrodite Ce"		"generic sample"	"adult"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; excluded TRUE"		"ANN"	"2021-05-10"
"#SRX036967"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS150966"	"UBERON:0007023"	"adult organism"	"Wbls:0000057"	"adult hermaphrodite Ce"		"generic sample"	"adult"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; excluded TRUE"		"ANN"	"2021-05-10"
"#SRX036969"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS150967"	"UBERON:0007023"	"adult organism"	"Wbls:0000057"	"adult hermaphrodite Ce"		"generic sample"	"adult"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; excluded TRUE"		"ANN"	"2021-05-10"
"#SRX036970"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS150968"	"UBERON:0007023"	"adult organism"	"Wbls:0000057"	"adult hermaphrodite Ce"		"generic sample"	"adult"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; excluded TRUE"		"ANN"	"2021-05-10"
"SRX047787"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS178501"	"UBERON:0007023"	"adult organism"	"WBls:0000064"	"1-day post-L4 adult hermaphrodite Ce (C elegans)"		"generic sample"	"Young Adult for 46 hours"	"perfect match"	"not documented"	"perfect match"	"H"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; excluded TRUE"		"ANN"	"2021-05-10"
"#SRX007173"	"SRP001010"	"Illumina Genome Analyzer"	"SRS004409"	"UBERON:0000468"	"multi-cellular organism"	"UBERON:0000104"	"life cycle"		"generic sample"	"mixed stages"	"other"	"not documented"	"other"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33; excluded TRUE"		"ANN"	"2018-01-29"
"#SRX007069"	"SRP001010"	"Illumina Genome Analyzer"	"SRS004409"	"UBERON:0002548"	"larva"	"WBls:0000038"	"L4 larva Ce"		"larva"	"larva L4"	"perfect match"	"not documented"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33; excluded TRUE"		"ANN"	"2018-01-29"
"#SRX007170"	"SRP001010"	"Illumina Genome Analyzer"	"SRS004409"	"UBERON:0007023"	"adult organism"	"WBls:0000041"	"adult Ce"		"generic sample"	"adult"	"perfect match"	"not documented"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb; see https://gitlab.isb-sib.ch/Bgee/expression-annotations/issues/33; excluded TRUE"		"ANN"	"2018-01-29"
"SRX026729"	"SRP003492"	"Illumina Genome Analyzer II"	"SRS114804"	"UBERON:0002548"	"larva"	"WBls:0000024"	"L1 larva Ce"		"larva"	"larva L1"	"perfect match"	"not documented"	"perfect match"	"NA"	"N2"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"AME"	"2015-05-29"
"SRX026728"	"SRP003492"	"Illumina Genome Analyzer II"	"SRS114806"	"UBERON:0002548"	"larva"	"WBls:0000035"	"L3 larva Ce"		"larva"	"larva L3"	"perfect match"	"not documented"	"perfect match"	"NA"	"NA"		6239			"polyA"						"Caenorhabditis elegans; from Wormbase, by Seb"		"AME"	"2015-05-29"
"#SRX185637"	"SRP015688"	"Illumina Genome Analyzer II"	"SRS361800"	"UBERON:0002548"	"larva"	"WBls:0000023"	"Pool no. 1, C. elegans mixed-stage wild-type larvae"		"larva"	"mixed stages"	"other"	"not documented"	"other"	"H"	"N2"		6239					1				"Caenorhabditis elegans; from Wormbase, by Seb; first of two larval pools in this study; Info sex from the paper, PMID:22991463"		"AME"	"2015-05-29"
"#SRX185639"	"SRP015688"	"Illumina Genome Analyzer II"	"SRS361805"	"UBERON:0002548"	"larva"	"WBls:0000023"	"Pool no. 2, C. elegans mixed-stage wild-type larvae"		"larva"	"mixed stages"	"other"	"not documented"	"other"	"H"	"N2"		6239					2				"Caenorhabditis elegans; from Wormbase, by Seb; second of two larval pools in this study; Info sex from the paper, PMID:22991463"		"AME"	"2015-05-29"
"#SRX185660"	"SRP015688"	"Illumina Genome Analyzer II"	"SRS361806"	"WBbt:0005062"	"linker cell"	"WBls:0000035"	"Pooled C. elegans linker cells, L3"		"linker cell"	"larva L3"	"perfect match"	"not documented"	"perfect match"	"NA"	"N2"		6239					1				"Caenorhabditis elegans; from Wormbase, by Seb"		"AME"	"2015-05-29"
"#SRX185661"	"SRP015688"	"Illumina Genome Analyzer II"	"SRS361807"	"WBbt:0005062"	"linker cell"	"WBls:0000038"	"Pooled C. elegans linker cells, L4"		"linker cell"	"larva L4"	"perfect match"	"not documented"	"perfect match"	"NA"	"N2"		6239					1				"Caenorhabditis elegans; from Wormbase, by Seb"		"AME"	"2015-05-29"
"SRX265354"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412493"	"UBERON:0007023"	"adult organism"	"WBls:0000064"	"1-day post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (1 days after L4)"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"		1				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265355"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412494"	"UBERON:0007023"	"adult organism"	"WBls:0000064"	"1-day post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (1 days after L4)"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"		2				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265356"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412495"	"UBERON:0007023"	"adult organism"	"WBls:0000064"	"1-day post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (1 days after L4)"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"		3				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265360"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412499"	"UBERON:0007023"	"adult organism"	"WBls:0000068"	"5-days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (5 days after L4)"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"		1				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265361"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412500"	"UBERON:0007023"	"adult organism"	"WBls:0000068"	"5-days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (5 days after L4)"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"		2				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265362"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412501"	"UBERON:0007023"	"adult organism"	"WBls:0000068"	"5-days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (5 days after L4)"	"perfect match"	"full sampling"	"perfect match"	"NA"	"N2"		6239			"polyA"		3				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265366"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412505"	"UBERON:0007023"	"adult organism"	"WBls:0000070"	"7-10 days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (10 days after L4)"	"perfect match"	"full sampling"	"other"	"NA"	"N2"		6239			"polyA"		1				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265367"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412506"	"UBERON:0007023"	"adult organism"	"WBls:0000070"	"7-10 days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (10 days after L4)"	"perfect match"	"full sampling"	"other"	"NA"	"N2"		6239			"polyA"		2				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265368"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412507"	"UBERON:0007023"	"adult organism"	"WBls:0000070"	"7-10 days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (10 days after L4)"	"perfect match"	"full sampling"	"other"	"NA"	"N2"		6239			"polyA"		3				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265372"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412511"	"UBERON:0007023"	"adult organism"	"WBls:0000676"	"20-days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (20 days after L4)"	"perfect match"	"full sampling"	"other"	"NA"	"N2"		6239			"polyA"		1				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX265373"	"SRP021083"	"Illumina HiSeq 2000"	"SRS412512"	"UBERON:0007023"	"adult organism"	"WBls:0000676"	"20-days post-L4 adult hermaphrodite Ce (C elegans)"		"whole animal"	"Adult (20 days after L4)"	"perfect match"	"full sampling"	"other"	"NA"	"N2"		6239			"polyA"		2				"info stain in paper PMID:24199155; Experiments were conducted in triplicates"		"ANN"	"2016-02-29"
"SRX001872"	"SRP000401"	"Illumina Genome Analyzer"	"SRS001788"	"UBERON:0002548"	"larva"	"WBls:0000027"	"L2 larva Ce"		"larva"	"mid-L2 stage"	"perfect match"	"full sampling"	"other"	"H"	"N2"		6239			"polyA"						"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-10"
"SRX001873"	"SRP000401"	"Illumina Genome Analyzer"	"SRS001789"	"UBERON:0007023"	"adult organism"	"WBls:0000064"	"1-day post-L4 adult hermaphrodite Ce (C elegans)"		"generic sample"	"Young Adult for 46 hours"	"perfect match"	"full sampling"	"perfect match"	"H"	"N2"		6239			"polyA"						"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-10"
"SRX001874"	"SRP000401"	"Illumina Genome Analyzer"	"SRS001791"	"UBERON:0002548"	"larva"	"WBls:0000038"	"L4 larva Ce"		"larva"	"larva L4"	"perfect match"	"full sampling"	"perfect match"	"H"	"N2"		6239			"polyA"						"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-10"
"SRX001875"	"SRP000401"	"Illumina Genome Analyzer"	"SRS001790"	"UBERON:0002548"	"larva"	"WBls:0000035"	"L3 larva Ce"		"larva"	"larva L3"	"perfect match"	"full sampling"	"perfect match"	"H"	"N2"		6239			"polyA"						"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-10"
"SRX004864"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS003002"	"UBERON:0019248"	"early embryo"	"WBls:0000004"	"proliferating embryo Ce"		"embryo"	"early embryo"	"perfect match"	"full sampling"	"perfect match"	"H"	"N2"		6239			"polyA"		2				"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-10"
"SRX004865"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS003003"	"UBERON:0000323"	"late embryo"	"WBls:0000021"	"fully-elongated embryo Ce"		"embryo"	"late embryo"	"perfect match"	"full sampling"	"perfect match"	"H"	"N2"		6239			"polyA"						"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-10"
"SRX004867"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS003005"	"UBERON:0002548"	"larva"	"WBls:0000024"	"L1 larva Ce"		"larva"	"larva L1"	"perfect match"	"full sampling"	"perfect match"	"H"	"N2"		6239			"polyA"								"ANN"	"2021-05-10"
"SRX004868"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS003000"	"UBERON:0002548"	"larva"	"WBls:0000038"	"L4 larva Ce"		"larva"	"larva L4"	"perfect match"	"full sampling"	"perfect match"	"M"	"N2"		6239			"polyA"								"ANN"	"2021-05-10"
"#SRX004869"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS002999"						"larva"	"mid-L1 stage"				"H"	"N2"		6239			"polyA"									
"#SRX008136"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS004857"											"NA"						"polyA"									
"#SRX008138"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS004859"											"NA"						"polyA"									
"#SRX008139"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS004860"											"NA"						"polyA"									
"#SRX008140"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS004861"											"NA"						"polyA"									
"#SRX011569"	"SRP000401"													"NA"															
"#SRX014006"	"SRP000401"													"NA"															
"#SRX014007"	"SRP000401"													"NA"															
"#SRX014008"	"SRP000401"													"NA"															
"#SRX014009"	"SRP000401"													"NA"															
"#SRX014010"	"SRP000401"													"NA"															
"#SRX037198"	"SRP000401"													"NA"															
"#SRX037199"	"SRP000401"													"NA"															
"#SRX037200"	"SRP000401"													"NA"															
"SRX047469"	"SRP000401"	"Illumina Genome Analyzer II"	"SRS174140"	"UBERON:0002548"	"larva"	"WBls:0000038"	"L4 larva Ce"		"larva"	"mid-L4 stage"	"perfect match"	"full sampling"	"other"	"M"	"N2"		6239			"polyA"						"http://cmptxn.gersteinlab.org/Comparative_Datasets.xlsx  And pmid:19181841"		"ANN"	"2021-05-11"
"#SRX047470"	"SRP000401"		"SRS174141"											"NA"															
