libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	protocol	protocolType	libraryType	infoOrgan	stageId	uberonId	sex	strain	readLength	organism
SRX1457074	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457075	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457076	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457077	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457078	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457079	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457080	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457081	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457082	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457083	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457084	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457085	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457086	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457087	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457088	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457089	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457090	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457091	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457092	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457093	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457094	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457095	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457096	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457097	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457098	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457099	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457100	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457101	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457102	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457103	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457104	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457105	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457106	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457107	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457108	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457109	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457110	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457111	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457112	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457113	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457114	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457115	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457116	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457117	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457118	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457119	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457120	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457121	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457122	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457123	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457124	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457125	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457126	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457127	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457128	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457129	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457130	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457131	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457132	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457133	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457134	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457135	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457136	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457137	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457138	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457139	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457140	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457141	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457142	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457143	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457144	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457145	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457146	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457147	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457148	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457149	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457150	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457151	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457152	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457153	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457154	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457155	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457156	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457157	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457158	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457159	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457160	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457161	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457162	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457163	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457164	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457165	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457166	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457167	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457168	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457169	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457170	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457171	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457172	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
SRX1457173	SRP066834	neural cell	CL:0002319	9606	Illumina HiSeq 2500	SMARTer Ultra Low	Full-length	PAIRED	Fetal neocortex	HsapDv:0000050	UBERON:0001950	(Missing)	(Missing)	100	Homo_sapiens
