"libraryId"	"experimentId"	"platform"	"SRSId"	"anatId"	"anatName"	"cellTypeId"	"cellTypeName"	"stageId"	"stageName"	"url_GSM"	"infoOrgan"	"infoCellType_abInitio"	"infoCellType_inferred"	"clusterId"	"clusterName"	"infoStage"	"anatAnnotationStatus"	"cellTypeAnnotationStatus"	"stageAnnotationStatus"	"sex"	"strain"	"genotype"	"speciesId"	"RNAseqTags"	"protocol"	"protocolType"	"lib_name"	"sampleTitle"	"comment"	"condition"	"annotatorId"	"lastModificationDate"	"run_accession"	"read_count"	"tax_id"	"scientific_name"	"library_layout"
"ERX3382893"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498064"	"UBERON:0001159"	"sigmoid colon"	"CL:0000738"	"leukocyte"	"HsapDv:0000241"	"seventh decade stage"	""	"sigmoid colon"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"60 to 64"	""	"missing child term"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135916"	"SAMEA5694103"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358386"	362853868	9606	"Homo sapiens"	"SINGLE"
"ERX3382894"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498065"	"UBERON:0001157"	"transverse colon"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000241"	"seventh decade stage"	""	"transverse colon"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"60 to 64"	""	"perfect match"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135917"	"SAMEA5694104"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358387"	364292009	9606	"Homo sapiens"	"SINGLE"
"ERX3382895"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498066"	"UBERON:0001157"	"transverse colon"	"CL:0000738"	"leukocyte"	"HsapDv:0000241"	"seventh decade stage"	""	"transverse colon"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"60 to 64"	""	"missing child term"	"other"	"F"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY135918"	"SAMEA5694105"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358388"	478380740	9606	"Homo sapiens"	"SINGLE"
"ERX3382896"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498067"	"UBERON:0001153"	"caecum"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000240"	"sixth decade stage"	""	"caecum"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"55 to 60"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208410"	"SAMEA5694106"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358389"	390267448	9606	"Homo sapiens"	"SINGLE"
"ERX3382897"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498068"	"UBERON:0001153"	"caecum"	"CL:0000738"	"leukocyte"	"HsapDv:0000240"	"sixth decade stage"	""	"caecum"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"55 to 60"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208411"	"SAMEA5694107"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358390"	403784286	9606	"Homo sapiens"	"SINGLE"
"ERX3382898"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498069"	"UBERON:0002509"	"mesenteric lymph node"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000240"	"sixth decade stage"	""	"mesenteric lymph node"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"55 to 60"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208412"	"SAMEA5694108"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358391"	371492553	9606	"Homo sapiens"	"SINGLE"
"ERX3382899"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498070"	"UBERON:0002509"	"mesenteric lymph node"	"CL:0000738"	"leukocyte"	"HsapDv:0000240"	"sixth decade stage"	""	"mesenteric lymph node"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"55 to 60"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208413"	"SAMEA5694109"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358392"	356450578	9606	"Homo sapiens"	"SINGLE"
"ERX3382900"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498071"	"UBERON:0001159"	"sigmoid colon"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000240"	"sixth decade stage"	""	"sigmoid colon"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"55 to 60"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208414"	"SAMEA5694110"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358393"	368552013	9606	"Homo sapiens"	"SINGLE"
"ERX3382901"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498072"	"UBERON:0001159"	"sigmoid colon"	"CL:0000738"	"leukocyte"	"HsapDv:0000240"	"sixth decade stage"	""	"sigmoid colon"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"55 to 60"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208415"	"SAMEA5694111"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358394"	356632513	9606	"Homo sapiens"	"SINGLE"
"ERX3382902"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498073"	"UBERON:0001157"	"transverse colon"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000240"	"sixth decade stage"	""	"transverse colon"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"55 to 60"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208416"	"SAMEA5694112"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358395"	353834533	9606	"Homo sapiens"	"SINGLE"
"ERX3382903"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498074"	"UBERON:0001157"	"transverse colon"	"CL:0000738"	"leukocyte"	"HsapDv:0000240"	"sixth decade stage"	""	"transverse colon"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"55 to 60"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"4861STDY7208417"	"SAMEA5694113"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358396"	386059476	9606	"Homo sapiens"	"SINGLE"
"ERX3382904"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498075"	"UBERON:0001153"	"caecum"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000239"	"fifth decade stage"	""	"caecum"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"40 to 44"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255675"	"SAMEA5694114"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358397"	291568757	9606	"Homo sapiens"	"SINGLE"
"ERX3382905"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498076"	"UBERON:0001153"	"caecum"	"CL:0000738"	"leukocyte"	"HsapDv:0000239"	"fifth decade stage"	""	"caecum"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"40 to 44"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255676"	"SAMEA5694115"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358398"	311881171	9606	"Homo sapiens"	"SINGLE"
"ERX3382906"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498077"	"UBERON:0002509"	"mesenteric lymph node"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000239"	"fifth decade stage"	""	"mesenteric lymph node"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"40 to 44"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255677"	"SAMEA5694116"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358399"	419013472	9606	"Homo sapiens"	"SINGLE"
"ERX3382907"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498078"	"UBERON:0002509"	"mesenteric lymph node"	"CL:0000738"	"leukocyte"	"HsapDv:0000239"	"fifth decade stage"	""	"mesenteric lymph node"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"40 to 44"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255678"	"SAMEA5694117"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358400"	376951439	9606	"Homo sapiens"	"SINGLE"
"ERX3382908"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498079"	"UBERON:0001159"	"sigmoid colon"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000239"	"fifth decade stage"	""	"sigmoid colon"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"40 to 44"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255679"	"SAMEA5694118"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358401"	198312302	9606	"Homo sapiens"	"SINGLE"
"ERX3382909"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498080"	"UBERON:0001159"	"sigmoid colon"	"CL:0000738"	"leukocyte"	"HsapDv:0000239"	"fifth decade stage"	""	"sigmoid colon"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"40 to 44"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255680"	"SAMEA5694119"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358402"	350795984	9606	"Homo sapiens"	"SINGLE"
"ERX3382910"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498081"	"UBERON:0001157"	"transverse colon"	"CL:0000624"	"CD4-positive, alpha-beta T cell"	"HsapDv:0000239"	"fifth decade stage"	""	"transverse colon"	"CD4-positive, alpha-beta T cell"	NA	NA	NA	"40 to 44"	""	"perfect match"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255681"	"SAMEA5694120"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358403"	311829252	9606	"Homo sapiens"	"SINGLE"
"ERX3382911"	"ERP115651"	"Illumina HiSeq 4000"	"ERS3498082"	"UBERON:0001157"	"transverse colon"	"CL:0000738"	"leukocyte"	"HsapDv:0000239"	"fifth decade stage"	""	"transverse colon"	"CD45-positive, CD4-negative immune cell"	NA	NA	NA	"40 to 44"	""	"missing child term"	"other"	"M"	""	"wild type"	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	"Human_colon_16S7255682"	"SAMEA5694121"	"PRJEB32912, E-MTAB-8007, PMID: 32066951"	""	"MAT"	"2022-12-27"	"ERR3358404"	322885605	9606	"Homo sapiens"	"SINGLE"
"ERX3581434"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861771"	"UBERON:0000081"	"metanephros"	"CL:0002371"	"somatic cell"	"HsapDv:0000046"	"9th week post-fertilization human stage"	""	"kidney"	"CD45+"	NA	NA	NA	"embryo at 8 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060644"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585492"	784726887	9606	"Homo sapiens"	"SINGLE"
"ERX3581436"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861773"	"UBERON:0002107"	"liver"	"CL:0002371"	"somatic cell"	"HsapDv:0000046"	"9th week post-fertilization human stage"	""	"liver"	"CD45+"	NA	NA	NA	"embryo at 8 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060646"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585494"	747143448	9606	"Homo sapiens"	"SINGLE"
"ERX3581437"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861774"	"UBERON:0002107"	"liver"	"CL:0002371"	"somatic cell"	"HsapDv:0000046"	"9th week post-fertilization human stage"	""	"liver"	"CD45-"	NA	NA	NA	"embryo at 8 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060647"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585495"	755704229	9606	"Homo sapiens"	"SINGLE"
"ERX3581438"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861775"	"UBERON:0000014"	"zone of skin"	"CL:0002371"	"somatic cell"	"HsapDv:0000046"	"9th week post-fertilization human stage"	""	"skin"	"CD45+"	NA	NA	NA	"embryo at 8 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060648"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585496"	633403448	9606	"Homo sapiens"	"SINGLE"
"ERX3581439"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861776"	"UBERON:0000014"	"zone of skin"	"CL:0002371"	"somatic cell"	"HsapDv:0000046"	"9th week post-fertilization human stage"	""	"skin"	"CD45-"	NA	NA	NA	"embryo at 8 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060649"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585497"	661674672	9606	"Homo sapiens"	"SINGLE"
"ERX3581440"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861777"	"UBERON:0000081"	"metanephros"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"kidney"	"Live/dead sorting"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"perfect match"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060650"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585498"	660675857	9606	"Homo sapiens"	"SINGLE"
"ERX3581441"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861778"	"UBERON:0002107"	"liver"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"liver"	"Live/dead sorting"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"perfect match"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060651"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585499"	605027402	9606	"Homo sapiens"	"SINGLE"
"ERX3581442"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861779"	"UBERON:0000014"	"zone of skin"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"skin"	"Live/dead sorting"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"perfect match"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060652"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585500"	647664150	9606	"Homo sapiens"	"SINGLE"
"ERX3581443"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861780"	"UBERON:0000081"	"metanephros"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"kidney"	"CD45+"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060653"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585501"	649688980	9606	"Homo sapiens"	"SINGLE"
"ERX3581444"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861781"	"UBERON:0000081"	"metanephros"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"kidney"	"CD45-"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060654"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585502"	642288359	9606	"Homo sapiens"	"SINGLE"
"ERX3581445"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861782"	"UBERON:0002107"	"liver"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"liver"	"CD45+"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060655"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585503"	671731995	9606	"Homo sapiens"	"SINGLE"
"ERX3581446"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861783"	"UBERON:0002107"	"liver"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"liver"	"CD45-"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060656"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585504"	649340879	9606	"Homo sapiens"	"SINGLE"
"ERX3581447"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861784"	"UBERON:0000014"	"zone of skin"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"skin"	"CD45+"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060657"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585505"	642628020	9606	"Homo sapiens"	"SINGLE"
"ERX3581448"	"ERP117745"	"Illumina HiSeq 4000"	"ERS3861785"	"UBERON:0000014"	"zone of skin"	"CL:0002371"	"somatic cell"	"HsapDv:0000047"	"10th week post-fertilization human stage"	""	"skin"	"CD45-"	NA	NA	NA	"embryo at 9 weeks gestation"	""	"other"	"perfect match"	"M"	""	""	9606	"scRNA-seq"	"10X Genomics V2"	"3'end"	""	"SAMEA6060658"	"PMID:31597962  info age from Supplementary Table1 (age are reported by 'post conception weeks' (PCW))"	""	"ANN"	"2020-04-14"	"ERR3585506"	650974952	9606	"Homo sapiens"	"SINGLE"
