Uberon ID	Uberon name	female	male	hermaphrodite
CEPH:0000170	neck	F	F	F
CEPH:0000171	Needham's sac	F	T	F
CEPH:0000172	nephridial coelom	F	F	F
CEPH:0000175	nidamental gland	F	F	F
CEPH:0000176	nuchal cartilage	F	F	F
CEPH:0000177	nuchal crest	F	F	F
CEPH:0000178	nuchal membrane	F	F	F
CEPH:0000179	nuchal organ	F	F	F
CEPH:0000180	nuchal region	F	F	F
CEPH:0000181	occipital crest	F	F	F
CEPH:0000182	occipital fold	F	F	F
CEPH:0000183	occipital membrane	F	F	F
CEPH:0000184	cephalopod olfactory organ	F	F	F
CEPH:0000187	optic lobe of brain	F	F	F
CEPH:0000191	outer statocyst capsule	F	F	F
CEPH:0000193	oviducal gland	F	F	F
CEPH:0000196	cephalopod penis	F	T	F
CEPH:0000197	photocyte	F	F	F
CEPH:0000198	photophore	F	F	F
CEPH:0000200	photosensitive vesicle	F	F	F
CEPH:0000204	posterior buccal lobe	F	F	F
CEPH:0000205	posterior lip gland	F	F	F
CEPH:0000206	posterior salivary gland	F	F	F
CEPH:0000207	primary conus	F	F	F
CEPH:0000208	protective membrane	F	F	F
CEPH:0000210	proximal and distal fields	F	F	F
CEPH:0000211	pseudomorph	F	F	F
CEPH:0000213	photophore reflector	F	F	F
CEPH:0000214	cephalopod radula	F	F	F
CEPH:0000215	renal appendage	F	F	F
CEPH:0000216	rachis	F	F	F
CEPH:0000217	rostrum	F	F	F
CEPH:0000218	saddle	F	F	F
CEPH:0000220	sagittate fin	F	F	F
CEPH:0000221	scales and tubercule	F	F	F
CEPH:0000222	secondary conus	F	F	F
CEPH:0000223	secondary eyelid	F	F	F
CEPH:0000224	secondary fin	F	F	F
CEPH:0000225	secondary web	F	F	F
CEPH:0000227	semicrescent plate	F	F	F
CEPH:0000228	sepioid gill	F	F	F
CEPH:0000229	shell sac	F	F	F
CEPH:0000230	side pocket	F	F	F
CEPH:0000232	siphuncle	F	F	F
CEPH:0000234	sperm mass	F	F	F
CEPH:0000235	spermatangia	F	F	F
CEPH:0000236	cephalopod spermathecum	T	F	T
CEPH:0000237	spermatophore	F	F	F
CEPH:0000240	stalk of tentacle	F	F	F
CEPH:0000241	stalked eye	F	F	F
CEPH:0000242	cephalopod statocyst	F	F	F
CEPH:0000243	stellate ganglion	F	F	F
CEPH:0000244	cephalopod stomach	F	F	F
CEPH:0000245	stylet	F	F	F
CEPH:0000248	sucker	F	F	F
CEPH:0000249	sucker series	F	F	F
CEPH:0000250	sucker stalk	F	F	F
CEPH:0000251	sucker teeth	F	F	F
CEPH:0000252	superior buccal lobes	F	F	F
CEPH:0000253	superocular cirri	F	F	F
CEPH:0000254	suprabrachial commissure	F	F	F
CEPH:0000255	cephalopod swimbladder	F	F	F
CEPH:0000256	tentacle	F	F	F
CEPH:0000257	tentacle absence	F	F	F
CEPH:0000258	tentacle pad	F	F	F
CEPH:0000259	tentacle pocket	F	F	F
CEPH:0000263	terminal fin	F	F	F
CEPH:0000264	terminal pad	F	F	F
CEPH:0000267	trabecula	F	F	F
CEPH:0000268	tragus	F	F	F
CEPH:0000269	truncate tooth	F	F	F
CEPH:0000270	cephalopod tubercule	F	F	F
CEPH:0000271	gladius vane	F	F	F
CEPH:0000273	ventral eyelid	F	F	F
CEPH:0000274	ventral shield	F	F	F
CEPH:0000275	vesicular tissue	F	F	F
CEPH:0000276	visceral nucleus	F	F	F
CEPH:0000277	visceral sac	F	F	F
CEPH:0000278	visceropericardial coelom	F	F	F
CEPH:0000279	water pore	F	F	F
CEPH:0000280	web	F	F	F
CEPH:0000281	web nodule	F	F	F
CEPH:0000282	white body	F	F	F
CEPH:0000283	wing	F	F	F
CEPH:0000284	leucophore	F	F	F
CEPH:0000285	ink	F	F	F
CEPH:0000286	primary oviduct	T	F	F
CEPH:0000287	cephalopod ovary	T	F	F
CEPH:0000288	photosensitive vesicle of cephalic cartilage	F	F	F
CEPH:0000289	photosensitive vesicle of stellate ganglion	F	F	F
CEPH:0000291	tentacular club	F	F	F
CEPH:0000292	optic nerve bundle	F	F	F
CEPH:0000293	lobe of brain	F	F	F
CEPH:0000294	lobe of nervous system	F	F	F
CEPH:0000295	buccal lobe	F	F	F
CEPH:0000296	subesophageal mass of brain	F	F	F
CEPH:0000297	middle subesophageal mass of brain	F	F	F
CEPH:0000298	posterior subesophageal mass of brain	F	F	F
CEPH:0000299	supraesophageal mass of brain	F	F	F
CEPH:0000301	basal lobe of brain	F	F	F
CEPH:0000302	superior frontal lobe system	F	F	F
CEPH:0000303	vertical frontal lobe system	F	F	F
CEPH:0000304	anal photophore	F	F	F
CEPH:0000305	collection of suckers	F	F	F
CEPH:0000306	transverse row of suckers	F	F	F
CEPH:0000307	circumoral appendage segment	F	F	F
CEPH:0000308	circumoral appendage	F	F	F
CEPH:0000310	buccal membrane support	F	F	F
CEPH:0001002	extrategumental chromatophore	F	F	F
CEPH:0001003	chromatophore field	F	F	F
CEPH:0001004	tegumental chromatophore	F	F	F
CEPH:0001005	cirrus	F	F	F
CEPH:0001006	body cirrus	F	F	F
CEPH:0001008	phragmacone	F	F	F
CEPH:0001009	corneal membrane	F	F	F
CEPH:0001011	Koelicker organ	F	F	F
CEPH:0001013	lanceola	F	F	F
CEPH:0001014	macula	F	F	F
CEPH:0001015	nuchal fold	F	F	F
CEPH:0001016	ocellus	F	F	F
CEPH:0001017	cephalopod sperm receptacle	T	F	T
CEPH:0001018	spermatophore pad	T	F	T
CEPH:0001020	inner sucker ring	F	F	F
CEPH:0001021	outer sucker ring	F	F	F
CEPH:0001022	tail	F	F	F
CEPH:0001023	branchial heart appendage	F	F	F
CEPH:0001024	spot	F	F	F
CEPH:0001025	dorsal beak	F	F	F
CEPH:0001026	ventral beak	F	F	F
CEPH:0001027	septum	F	F	F
CEPH:0001028	arm I	F	F	F
CEPH:0001029	arm II	F	F	F
CEPH:0001030	arm III	F	F	F
CEPH:0001031	external shell	F	F	F
CEPH:0001033	spermatophore groove	F	T	F
CEPH:0001034	shield	F	F	F
CEPH:0001035	dorsal shield	F	F	F
CEPH:0001036	epirenal body	F	F	F
CEPH:0001037	renal sac	F	F	F
CEPH:0001038	tooth of sucker ring	F	F	F
CEPH:0001039	umbilicus	F	F	F
CEPH:0001044	spadix organ	F	F	F
CEPH:0001045	shell chamber	F	F	F
CEPH:0001046	shell septum	F	F	F
CEPH:0001047	orthocone	F	F	F
CEPH:0001048	internal shell	F	F	F
CEPH:0001049	shell aperture	F	F	F
CEPH:0001050	shell apex	F	F	F
CEPH:0001051	funnel component of funnel-mantle locking apparatus	F	F	F
CEPH:0001052	mantle component of funnel-mantle locking apparatus	F	F	F
CEPH:0001053	spermatophore gland	F	T	F
CEPH:0001068	organ of Hoeven	F	F	F
CEPH:0001069	pyroform sac	F	F	F
CEPH:0001072	buccal ganglion	F	F	F
CEPH:0001073	epithelial layer of gladius	F	F	F
CEPH:0001074	marginal epithelial layer of the gladius	F	F	F
CEPH:0001075	ventral epithelial layer of gladius	F	F	F
CEPH:0001076	iridophore	F	F	F
CEPH:0001077	leucophore	F	F	F
CL:0000000	cell	F	F	F
CL:0000001	primary cultured cell	F	F	F
CL:0000003	cell	F	F	F
CL:0000005	fibroblast neural crest derived	F	F	F
CL:0000006	neuronal receptor cell	F	F	F
CL:0000007	early embryonic cell	F	F	F
CL:0000008	migratory cranial neural crest cell	F	F	F
CL:0000010	cultured cell	F	F	F
CL:0000011	migratory trunk neural crest cell	F	F	F
CL:0000014	germ line stem cell	F	F	F
CL:0000015	male germ cell	F	F	F
CL:0000016	male germ line stem cell	F	F	F
CL:0000017	spermatocyte	F	T	F
CL:0000018	spermatid	F	T	F
CL:0000019	sperm	F	T	F
CL:0000020	spermatogonium	F	T	F
CL:0000021	female germ cell	F	F	F
CL:0000022	female germ line stem cell	F	F	F
CL:0000023	oocyte	T	F	T
CL:0000024	oogonial cell	F	F	F
CL:0000025	egg cell	F	F	F
CL:0000026	invertebrate nurse cell	T	F	F
CL:0000027	smooth muscle cell neural crest derived	F	F	F
CL:0000028	CNS neuron (sensu Nematoda and Protostomia)	F	F	F
CL:0000029	neuron neural crest derived	F	F	F
CL:0000030	glioblast	F	F	F
CL:0000031	neuroblast	F	F	F
CL:0000032	neuroplacodal cell	F	F	F
CL:0000033	apocrine cell	F	F	F
CL:0000034	stem cell	F	F	F
CL:0000035	single fate stem cell	F	F	F
CL:0000036	epithelial fate stem cell	F	F	F
CL:0000037	hematopoietic stem cell	F	F	F
CL:0000038	erythroid progenitor cell	F	F	F
CL:0000039	germ line cell	F	F	F
CL:0000040	monoblast	F	F	F
CL:0000041	mature eosinophil	F	F	F
CL:0000042	neutrophilic myeloblast	F	F	F
CL:0000043	mature basophil	F	F	F
CL:0000047	neuronal stem cell	F	F	F
CL:0000048	multi fate stem cell	F	F	F
CL:0000049	common myeloid progenitor	F	F	F
CL:0000050	megakaryocyte-erythroid progenitor cell	F	F	F
CL:0000051	common lymphoid progenitor	F	F	F
CL:0000052	totipotent stem cell	F	F	F
CL:0000054	bone matrix secreting cell	F	F	F
CL:0000055	non-terminally differentiated cell	F	F	F
CL:0000056	myoblast	F	F	F
CL:0000057	fibroblast	F	F	F
CL:0000058	chondroblast	F	F	F
CL:0000059	ameloblast	F	F	F
CL:0000060	odontoblast	F	F	F
CL:0000061	cementoblast	F	F	F
CL:0000062	osteoblast	F	F	F
CL:0000064	ciliated cell	F	F	F
CL:0000065	ependymal cell	F	F	F
CL:0000066	epithelial cell	F	F	F
CL:0000067	ciliated epithelial cell	F	F	F
CL:0000068	duct epithelial cell	F	F	F
CL:0000069	branched duct epithelial cell	F	F	F
CL:0000071	blood vessel endothelial cell	F	F	F
CL:0000072	non-branched duct epithelial cell	F	F	F
CL:0000073	barrier epithelial cell	F	F	F
CL:0000075	columnar/cuboidal epithelial cell	F	F	F
CL:0000076	squamous epithelial cell	F	F	F
CL:0000077	mesothelial cell	F	F	F
CL:0000078	peridermal cell	F	F	F
CL:0000079	stratified epithelial cell	F	F	F
CL:0000080	circulating cell	F	F	F
CL:0000081	blood cell	F	F	F
CL:0000082	epithelial cell of lung	F	F	F
CL:0000083	epithelial cell of pancreas	F	F	F
CL:0000084	T cell	F	F	F
CL:0000085	germ line stem cell (sensu Vertebrata)	F	F	F
CL:0000086	germ line stem cell (sensu Nematoda and Protostomia)	F	F	F
CL:0000087	male germ line stem cell (sensu Nematoda and Protostomia)	F	T	F
CL:0000088	female germ line stem cell (sensu Nematoda and Protostomia)	T	F	F
CL:0000089	male germ line stem cell (sensu Vertebrata)	F	F	F
CL:0000090	female germ line stem cell (sensu Vertebrata)	F	F	F
CL:0000091	Kupffer cell	F	F	F
CL:0000092	osteoclast	F	F	F
CL:0000094	granulocyte	F	F	F
CL:0000095	neuron associated cell	F	F	F
CL:0000096	mature neutrophil	F	F	F
CL:0000097	mast cell	F	F	F
CL:0000098	sensory epithelial cell	F	F	F
CL:0000099	interneuron	F	F	F
CL:0000100	motor neuron	F	F	F
CL:0000101	sensory neuron	F	F	F
CL:0000102	polymodal neuron	F	F	F
CL:0000103	bipolar neuron	F	F	F
CL:0000104	multipolar neuron	F	F	F
CL:0000105	pseudounipolar neuron	F	F	F
CL:0000106	unipolar neuron	F	F	F
CL:0000107	autonomic neuron	F	F	F
CL:0000108	cholinergic neuron	F	F	F
CL:0000109	adrenergic neuron	F	F	F
CL:0000110	peptidergic neuron	F	F	F
CL:0000111	peripheral neuron	F	F	F
CL:0000112	columnar neuron	F	F	F
CL:0000113	mononuclear phagocyte	F	F	F
CL:0000114	surface ectodermal cell	F	F	F
CL:0000115	endothelial cell	F	F	F
CL:0000116	pioneer neuron	F	F	F
CL:0000117	CNS neuron (sensu Vertebrata)	F	F	F
CL:0000118	basket cell	F	F	F
CL:0000119	cerebellar Golgi cell	F	F	F
CL:0000120	granule cell	F	F	F
CL:0000121	Purkinje cell	F	F	F
CL:0000122	stellate neuron	F	F	F
CL:0000123	neuron associated cell (sensu Vertebrata)	F	F	F
CL:0000124	glial cell (sensu Nematoda and Protostomia)	F	F	F
CL:0000125	glial cell	F	F	F
CL:0000126	macroglial cell	F	F	F
CL:0000127	astrocyte	F	F	F
CL:0000128	oligodendrocyte	F	F	F
CL:0000129	microglial cell	F	F	F
CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	F	F	F
CL:0000131	gut endothelial cell	F	F	F
CL:0000132	corneal endothelial cell	F	F	F
CL:0000133	neurectodermal cell	F	F	F
CL:0000134	mesenchymal stem cell	F	F	F
CL:0000135	fibrocyte	F	F	F
CL:0000136	fat cell	F	F	F
CL:0000137	osteocyte	F	F	F
CL:0000138	chondrocyte	F	F	F
CL:0000140	odontocyte	F	F	F
CL:0000141	cementocyte	F	F	F
CL:0000142	hyalocyte	F	F	F
CL:0000143	guidepost cell	F	F	F
CL:0000145	professional antigen presenting cell	F	F	F
CL:0000146	simple columnar epithelial cell	F	F	F
CL:0000147	pigment cell	F	F	F
CL:0000148	melanocyte	F	F	F
CL:0000149	visual pigment cell	F	F	F
CL:0000150	glandular epithelial cell	F	F	F
CL:0000151	secretory cell	F	F	F
CL:0000152	exocrine cell	F	F	F
CL:0000153	glycosaminoglycan secreting cell	F	F	F
CL:0000154	protein secreting cell	F	F	F
CL:0000155	peptic cell	F	F	F
CL:0000157	surfactant secreting cell	F	F	F
CL:0000158	club cell	F	F	F
CL:0000159	seromucus secreting cell	F	F	F
CL:0000160	goblet cell	F	F	F
CL:0000161	acid secreting cell	F	F	F
CL:0000162	parietal cell	F	F	F
CL:0000163	endocrine cell	F	F	F
CL:0000164	enteroendocrine cell	F	F	F
CL:0000165	neuroendocrine cell	F	F	F
CL:0000166	chromaffin cell	F	F	F
CL:0000167	peptide hormone secreting cell	F	F	F
CL:0000168	insulin secreting cell	F	F	F
CL:0000169	type B pancreatic cell	F	F	F
CL:0000170	glucagon secreting cell	F	F	F
CL:0000171	pancreatic A cell	F	F	F
CL:0000172	somatostatin secreting cell	F	F	F
CL:0000173	pancreatic D cell	F	F	F
CL:0000174	steroid hormone secreting cell	F	F	F
CL:0000175	luteal cell	T	F	F
CL:0000176	ecdysteroid secreting cell	F	F	F
CL:0000177	testosterone secreting cell	F	F	F
CL:0000178	Leydig cell	F	T	F
CL:0000179	progesterone secreting cell	F	F	F
CL:0000180	estradiol secreting cell	F	F	F
CL:0000181	metabolising cell	F	F	F
CL:0000182	hepatocyte	F	F	F
CL:0000183	contractile cell	F	F	F
CL:0000185	myoepithelial cell	F	F	F
CL:0000186	myofibroblast cell	F	F	F
CL:0000187	muscle cell	F	F	F
CL:0000188	cell of skeletal muscle	F	F	F
CL:0000189	slow muscle cell	F	F	F
CL:0000190	fast muscle cell	F	F	F
CL:0000192	smooth muscle cell	F	F	F
CL:0000193	cardiac muscle cell (sensu Arthopoda)	F	F	F
CL:0000196	flight muscle cell	F	F	F
CL:0000197	receptor cell	F	F	F
CL:0000198	pain receptor cell	F	F	F
CL:0000199	mechanoreceptor cell	F	F	F
CL:0000200	touch receptor cell	F	F	F
CL:0000202	auditory hair cell	F	F	F
CL:0000203	gravity sensitive cell	F	F	F
CL:0000204	acceleration receptive cell	F	F	F
CL:0000205	thermoreceptor cell	F	F	F
CL:0000206	chemoreceptor cell	F	F	F
CL:0000207	olfactory receptor cell	F	F	F
CL:0000208	pH receptor cell	F	F	F
CL:0000209	taste receptor cell	F	F	F
CL:0000210	photoreceptor cell	F	F	F
CL:0000211	electrically active cell	F	F	F
CL:0000212	absorptive cell	F	F	F
CL:0000213	lining cell	F	F	F
CL:0000214	synovial cell	F	F	F
CL:0000215	barrier cell	F	F	F
CL:0000216	Sertoli cell	F	T	F
CL:0000217	insulating cell	F	F	F
CL:0000218	myelinating Schwann cell	F	F	F
CL:0000219	motile cell	F	F	F
CL:0000221	ectodermal cell	F	F	F
CL:0000222	mesodermal cell	F	F	F
CL:0000223	endodermal cell	F	F	F
CL:0000225	anucleate cell	F	F	F
CL:0000226	single nucleate cell	F	F	F
CL:0000227	binucleate cell	F	F	F
CL:0000228	multinucleate cell	F	F	F
CL:0000232	erythrocyte	F	F	F
CL:0000233	platelet	F	F	F
CL:0000234	phagocyte	F	F	F
CL:0000235	macrophage	F	F	F
CL:0000236	B cell	F	F	F
CL:0000237	keratinizing barrier epithelial cell	F	F	F
CL:0000238	non keratinizing barrier epithelial cell	F	F	F
CL:0000239	brush border epithelial cell	F	F	F
CL:0000240	stratified squamous epithelial cell	F	F	F
CL:0000241	stratified cuboidal epithelial cell	F	F	F
CL:0000242	Merkel cell	F	F	F
CL:0000243	glial cell (sensu Vertebrata)	F	F	F
CL:0000244	transitional epithelial cell	F	F	F
CL:0000246	Mauthner neuron	F	F	F
CL:0000247	Rohon-Beard neuron	F	F	F
CL:0000249	hatching gland cell	F	F	F
CL:0000251	extramedullary cell	F	F	F
CL:0000253	eurydendroid cell	F	F	F
CL:0000255	eukaryotic cell	F	F	F
CL:0000256	uric acid accumulating cell	F	F	F
CL:0000257	Mycetozoan cell	F	F	F
CL:0000286	hyphal cell	F	F	F
CL:0000287	eye photoreceptor cell	F	F	F
CL:0000293	structural cell	F	F	F
