Uberon ID	Uberon name	is_a/part_of relations	Reason for removal
CHEBI:26214	porphyrins	is_a CHEBI:36309 cyclic tetrapyrrole	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26469	quaternary nitrogen compound	is_a CHEBI:35352 organonitrogen compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26712	sodium molecular entity	is_a CHEBI:33296 alkali metal molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26714	sodium salt	is_a CHEBI:26712 sodium molecular entity - is_a CHEBI:35479 alkali metal salt	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26739	sphingolipid	is_a CHEBI:36963 organooxygen compound - is_a CHEBI:35352 organonitrogen compound - is_a CHEBI:18059 lipid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26819	sulfuric ester	is_a CHEBI:37826 sulfuric acid derivative - is_a CHEBI:35701 ester	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26820	sulfates	is_a CHEBI:37826 sulfuric acid derivative	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26835	sulfur molecular entity	is_a CHEBI:33304 chalcogen molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26873	terpenoid	is_a CHEBI:24913 isoprenoid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26932	tetrapyrrole	is_a CHEBI:33833 heteroarene - is_a CHEBI:38077 polypyrrole	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:26935	tetraterpenoid	is_a CHEBI:26873 terpenoid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:27325	xanthophyll	is_a CHEBI:23044 carotenoid	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:27369	zwitterion	is_a CHEBI:51151 dipolar compound	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:27547	zeaxanthin	is_a CHEBI:23045 carotenol	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:28793	beta-D-glucan	is_a CHEBI:37163 glucan	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:28838	lutein	is_a CHEBI:23045 carotenol	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:28963	amino sugar	is_a CHEBI:63299 carbohydrate derivative	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:32988	amide	is_a CHEBI:51143 nitrogen molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:33241	oxoacid derivative	is_a CHEBI:37577 heteroatomic molecular entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:33245	organic fundamental parent	is_a CHEBI:50860 organic molecular entity - is_a CHEBI:37175 organic hydride	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:33250	atom	is_a CHEBI:24431 chemical entity	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
CHEBI:33256	primary amide	is_a CHEBI:32988 amide	Removal of subgraph with root ID CHEBI:24431 - subgraphs excluded from removal: [UBERON:0000465, GO:0005575]
