Gene stable ID	Transcript stable ID	AFFY Mu11KsubB probe
ENSMUSG00000025743	ENSMUST00000070478	Msa.24778.0_s_at
ENSMUSG00000025743	ENSMUST00000152591	Msa.24778.0_s_at
ENSMUSG00000025743	ENSMUST00000141297	Msa.24778.0_s_at
ENSMUSG00000025743	ENSMUST00000140623	Msa.24778.0_s_at
ENSMUSG00000022156	ENSMUST00000089549	x12821_f_at
ENSMUSG00000016921	ENSMUST00000193611	Msa.9010.0_s_at
ENSMUSG00000016921	ENSMUST00000193611	Msa.18312.0_s_at
ENSMUSG00000016921	ENSMUST00000130411	Msa.9010.0_s_at
ENSMUSG00000016921	ENSMUST00000130411	Msa.18312.0_s_at
ENSMUSG00000016921	ENSMUST00000017065	Msa.9010.0_s_at
ENSMUSG00000016921	ENSMUST00000017065	Msa.18312.0_s_at
ENSMUSG00000016921	ENSMUST00000126163	Msa.9010.0_s_at
ENSMUSG00000026630	ENSMUST00000027943	Msa.21469.0_s_at
ENSMUSG00000026630	ENSMUST00000192268	Msa.21469.0_s_at
ENSMUSG00000026751	ENSMUST00000149690	Msa.155.0_at
ENSMUSG00000020846	ENSMUST00000021207	w81812_s_at
ENSMUSG00000041459	ENSMUST00000084125	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000188134	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000045180	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000190552	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000191450	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000105699	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000189048	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000105700	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000095719	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000185824	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000186947	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000185673	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000165113	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000172073	Msa.30828.0_s_at
ENSMUSG00000041459	ENSMUST00000105702	Msa.30828.0_s_at
ENSMUSG00000020211	ENSMUST00000148665	Msa.2021.0_at
ENSMUSG00000020211	ENSMUST00000139461	Msa.2021.0_at
ENSMUSG00000005687	ENSMUST00000005830	w54482_at
ENSMUSG00000005687	ENSMUST00000005830	w54482_g_at
ENSMUSG00000005687	ENSMUST00000136937	w54482_at
ENSMUSG00000005687	ENSMUST00000136937	w54482_g_at
ENSMUSG00000005687	ENSMUST00000139489	w54482_at
ENSMUSG00000005687	ENSMUST00000139489	w54482_g_at
ENSMUSG00000005687	ENSMUST00000155520	w54482_at
ENSMUSG00000005687	ENSMUST00000155520	w54482_g_at
ENSMUSG00000005687	ENSMUST00000135017	w54482_at
ENSMUSG00000005687	ENSMUST00000135017	w54482_g_at
ENSMUSG00000005687	ENSMUST00000147042	w54482_g_at
ENSMUSG00000027962	ENSMUST00000029574	x67783_s_at
ENSMUSG00000031948	ENSMUST00000093120	Msa.3748.0_s_at
ENSMUSG00000031948	ENSMUST00000164470	Msa.3748.0_s_at
ENSMUSG00000031948	ENSMUST00000034426	Msa.3748.0_s_at
ENSMUSG00000034837	ENSMUST00000010205	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000010205	Msa.1247.0_at
ENSMUSG00000034837	ENSMUST00000194802	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000194802	Msa.1247.0_at
ENSMUSG00000034837	ENSMUST00000195849	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000195849	Msa.1247.0_at
ENSMUSG00000034837	ENSMUST00000195129	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000195129	Msa.1247.0_at
ENSMUSG00000034837	ENSMUST00000193188	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000193188	Msa.1247.0_at
ENSMUSG00000034837	ENSMUST00000192271	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000194153	Msa.1247.0_g_at
ENSMUSG00000034837	ENSMUST00000194153	Msa.1247.0_at
ENSMUSG00000033191	ENSMUST00000184261	x73960_s_at
ENSMUSG00000033191	ENSMUST00000047421	x73960_s_at
ENSMUSG00000027524	ENSMUST00000162473	Msa.1783.0_g_at
ENSMUSG00000027524	ENSMUST00000029030	Msa.1783.0_at
ENSMUSG00000027524	ENSMUST00000029030	Msa.1783.0_g_at
ENSMUSG00000027524	ENSMUST00000140908	Msa.1783.0_at
ENSMUSG00000027524	ENSMUST00000140908	Msa.1783.0_g_at
ENSMUSG00000027524	ENSMUST00000137369	Msa.1783.0_at
ENSMUSG00000027524	ENSMUST00000137369	Msa.1783.0_g_at
ENSMUSG00000022858	ENSMUST00000161286	X80232_s_at
ENSMUSG00000022858	ENSMUST00000023564	X80232_s_at
ENSMUSG00000022858	ENSMUST00000162413	X80232_s_at
ENSMUSG00000022858	ENSMUST00000161774	X80232_s_at
ENSMUSG00000022858	ENSMUST00000232411	X80232_s_at
ENSMUSG00000025945	ENSMUST00000027082	Msa.110.0_f_at
ENSMUSG00000025945	ENSMUST00000114027	Msa.110.0_f_at
ENSMUSG00000034684	ENSMUST00000080560	Msa.21436.0_s_at
ENSMUSG00000034684	ENSMUST00000192727	Msa.21436.0_s_at
ENSMUSG00000034684	ENSMUST00000194039	Msa.21436.0_s_at
ENSMUSG00000034684	ENSMUST00000193665	Msa.21436.0_s_at
ENSMUSG00000034684	ENSMUST00000192783	Msa.21436.0_s_at
ENSMUSG00000034684	ENSMUST00000193108	Msa.21436.0_s_at
ENSMUSG00000034684	ENSMUST00000195023	Msa.21436.0_s_at
ENSMUSG00000020900	ENSMUST00000102611	Msa.38014.0_s_at
ENSMUSG00000020900	ENSMUST00000102611	Msa.19698.0_s_at
ENSMUSG00000020900	ENSMUST00000018887	Msa.19698.0_s_at
ENSMUSG00000020900	ENSMUST00000139059	Msa.19698.0_s_at
ENSMUSG00000020900	ENSMUST00000124006	Msa.19698.0_s_at
ENSMUSG00000020900	ENSMUST00000092984	Msa.19698.0_s_at
ENSMUSG00000016283	ENSMUST00000016427	Msa.967.0_at
ENSMUSG00000016283	ENSMUST00000171139	Msa.967.0_at
ENSMUSG00000040521	ENSMUST00000152054	Msa.15767.0_s_at
ENSMUSG00000040521	ENSMUST00000040560	Msa.13350.0_s_at
ENSMUSG00000040521	ENSMUST00000040560	Msa.15767.0_s_at
ENSMUSG00000040521	ENSMUST00000138556	Msa.13350.0_s_at
ENSMUSG00000040521	ENSMUST00000140564	Msa.13350.0_s_at
ENSMUSG00000040521	ENSMUST00000140564	Msa.15767.0_s_at
ENSMUSG00000040521	ENSMUST00000145476	Msa.13350.0_s_at
ENSMUSG00000040521	ENSMUST00000145476	Msa.15767.0_s_at
ENSMUSG00000040521	ENSMUST00000120547	Msa.15767.0_s_at
ENSMUSG00000040521	ENSMUST00000134917	Msa.15767.0_s_at
ENSMUSG00000025935	ENSMUST00000027068	Msa.27835.0_s_at
ENSMUSG00000089769	ENSMUST00000159301	Msa.7228.0_s_at
ENSMUSG00000068037	ENSMUST00000089015	Msa.2436.0_at
ENSMUSG00000068037	ENSMUST00000162333	Msa.2436.0_at
ENSMUSG00000068037	ENSMUST00000161747	Msa.2436.0_at
ENSMUSG00000068037	ENSMUST00000233607	Msa.2436.0_at
