Gene stable ID	Transcript stable ID	AFFY HG U133B probe
ENSG00000274843	ENST00000630912	231941_s_at
ENSG00000274843	ENST00000630912	243774_at
ENSG00000274843	ENST00000630890	231941_s_at
ENSG00000274843	ENST00000627941	231941_s_at
ENSG00000281197	ENST00000628828	233960_s_at
ENSG00000281197	ENST00000628828	232190_x_at
ENSG00000281197	ENST00000625309	232190_x_at
ENSG00000281197	ENST00000628371	233960_s_at
ENSG00000281197	ENST00000628371	232190_x_at
ENSG00000281197	ENST00000628438	233960_s_at
ENSG00000281197	ENST00000628438	232190_x_at
ENSG00000278114	ENST00000625420	231941_s_at
ENSG00000278114	ENST00000627975	231941_s_at
ENSG00000278114	ENST00000625274	231941_s_at
ENSG00000278114	ENST00000610415	231941_s_at
ENSG00000278114	ENST00000626323	231941_s_at
ENSG00000278114	ENST00000626323	243774_at
ENSG00000278114	ENST00000619358	231941_s_at
ENSG00000281603	ENST00000628487	243774_at
ENSG00000281603	ENST00000628786	231941_s_at
ENSG00000281603	ENST00000627117	231941_s_at
ENSG00000281603	ENST00000630441	231941_s_at
ENSG00000281603	ENST00000629358	231941_s_at
ENSG00000281603	ENST00000629593	231941_s_at
ENSG00000281603	ENST00000630870	231941_s_at
ENSG00000281603	ENST00000626252	231941_s_at
ENSG00000281603	ENST00000627966	231941_s_at
ENSG00000281603	ENST00000627710	231941_s_at
ENSG00000281603	ENST00000628070	231941_s_at
ENSG00000281603	ENST00000627826	229820_at
ENSG00000281603	ENST00000625502	229820_at
ENSG00000281603	ENST00000627373	229820_at
ENSG00000281603	ENST00000630333	229820_at
ENSG00000281603	ENST00000627410	229820_at
ENSG00000281603	ENST00000627492	229820_at
ENSG00000281603	ENST00000625397	229820_at
ENSG00000281603	ENST00000630805	229820_at
ENSG00000281603	ENST00000626033	229820_at
ENSG00000281603	ENST00000630802	229820_at
ENSG00000281603	ENST00000628262	229820_at
ENSG00000281603	ENST00000630960	229820_at
ENSG00000281603	ENST00000629748	229820_at
ENSG00000281603	ENST00000628344	230077_at
ENSG00000281650	ENST00000627823	238446_at
ENSG00000280840	ENST00000631096	224418_x_at
ENSG00000280840	ENST00000631096	224421_x_at
ENSG00000280840	ENST00000631096	224423_x_at
ENSG00000280840	ENST00000631096	224419_x_at
ENSG00000280840	ENST00000631096	224422_x_at
ENSG00000280840	ENST00000630569	224423_x_at
ENSG00000275330	ENST00000611293	235818_at
ENSG00000274803	ENST00000611966	231939_s_at
ENSG00000274803	ENST00000611966	224227_s_at
ENSG00000274803	ENST00000611966	226290_at
ENSG00000274803	ENST00000627808	231939_s_at
ENSG00000274803	ENST00000627808	224227_s_at
ENSG00000274803	ENST00000628596	224227_s_at
ENSG00000274803	ENST00000628099	231939_s_at
ENSG00000274803	ENST00000628099	226290_at
ENSG00000274803	ENST00000627715	231939_s_at
ENSG00000274803	ENST00000627715	226290_at
ENSG00000277457	ENST00000616816	232018_at
ENSG00000277996	ENST00000613354	226403_at
ENSG00000281740	ENST00000629855	244600_at
ENSG00000275125	ENST00000629512	231835_at
ENSG00000275125	ENST00000626354	231835_at
ENSG00000275125	ENST00000628389	231835_at
ENSG00000275125	ENST00000629558	231835_at
ENSG00000275125	ENST00000630249	231835_at
ENSG00000275125	ENST00000616280	231835_at
ENSG00000275125	ENST00000617400	231835_at
ENSG00000275577	ENST00000612105	235818_at
ENSG00000274887	ENST00000610804	235818_at
ENSG00000277753	ENST00000626015	231941_s_at
ENSG00000277753	ENST00000626170	231941_s_at
ENSG00000277753	ENST00000614780	231941_s_at
ENSG00000277753	ENST00000629220	231941_s_at
ENSG00000277753	ENST00000627110	231941_s_at
ENSG00000277753	ENST00000627110	243774_at
ENSG00000277753	ENST00000629283	231941_s_at
ENSG00000277753	ENST00000626728	231941_s_at
ENSG00000235589	ENST00000436574	236550_s_at
ENSG00000235589	ENST00000436574	236551_at
ENSG00000235589	ENST00000490260	236550_s_at
ENSG00000235589	ENST00000490260	236551_at
ENSG00000232781	ENST00000439459	234371_at
ENSG00000231319	ENST00000419873	234903_at
ENSG00000277114	ENST00000615034	229143_at
ENSG00000277114	ENST00000622080	229143_at
ENSG00000277114	ENST00000618130	229143_at
ENSG00000231919	ENST00000437319	234760_at
ENSG00000227178	ENST00000420349	234862_at
ENSG00000234100	ENST00000435798	234545_at
ENSG00000274392	ENST00000630394	242418_at
ENSG00000243441	ENST00000444009	234840_s_at
ENSG00000243441	ENST00000458372	234840_s_at
ENSG00000243441	ENST00000550240	234840_s_at
ENSG00000273739	ENST00000618675	225762_x_at
ENSG00000277808	ENST00000616103	232018_at
ENSG00000276312	ENST00000615130	225762_x_at
ENSG00000277789	ENST00000612564	226403_at
ENSG00000277789	ENST00000621539	226403_at
ENSG00000277789	ENST00000620038	226403_at
ENSG00000277789	ENST00000620380	226403_at
ENSG00000277789	ENST00000611201	226403_at
ENSG00000228377	ENST00000420035	234820_at
ENSG00000225426	ENST00000431265	231571_at
ENSG00000273641	ENST00000613448	224239_at
ENSG00000282461	ENST00000633514	233176_at
ENSG00000282461	ENST00000631915	233176_at
ENSG00000282461	ENST00000631574	233176_at
ENSG00000275962	ENST00000612864	235818_at
ENSG00000277776	ENST00000610981	237461_at
ENSG00000277776	ENST00000613233	237461_at
ENSG00000274616	ENST00000616264	229143_at
ENSG00000274616	ENST00000615629	229143_at
ENSG00000274616	ENST00000615038	229143_at
ENSG00000169260	ENST00000474196	236550_s_at
ENSG00000169260	ENST00000474196	236551_at
ENSG00000169260	ENST00000383655	236550_s_at
ENSG00000169260	ENST00000383655	236551_at
ENSG00000276774	ENST00000614037	232018_at
ENSG00000276260	ENST00000619470	226403_at
ENSG00000237043	ENST00000443734	234371_at
ENSG00000206524	ENST00000383653	234903_at
ENSG00000274540	ENST00000610320	240731_at
ENSG00000235401	ENST00000444940	234760_at
ENSG00000278516	ENST00000613622	232018_at
ENSG00000274384	ENST00000621593	226403_at
ENSG00000274384	ENST00000616797	226403_at
ENSG00000274384	ENST00000616977	226403_at
ENSG00000274384	ENST00000615807	226403_at
ENSG00000274384	ENST00000621826	226403_at
ENSG00000275474	ENST00000615688	225467_s_at
ENSG00000275474	ENST00000615688	225449_at
ENSG00000225567	ENST00000439100	234371_at
ENSG00000233687	ENST00000450817	234903_at
ENSG00000233831	ENST00000458265	236550_s_at
ENSG00000233831	ENST00000458265	236551_at
ENSG00000233831	ENST00000484052	236550_s_at
ENSG00000233831	ENST00000484052	236551_at
ENSG00000206515	ENST00000383643	234820_at
ENSG00000226687	ENST00000437693	231571_at
ENSG00000233650	ENST00000419907	234371_at
ENSG00000233182	ENST00000417544	234760_at
ENSG00000224633	ENST00000417163	234862_at
ENSG00000112459	ENST00000230221	234545_at
ENSG00000277607	ENST00000617281	235818_at
ENSG00000226832	ENST00000415976	234903_at
ENSG00000112461	ENST00000400698	234840_s_at
ENSG00000112461	ENST00000230223	234840_s_at
ENSG00000278550	ENST00000634102	226629_at
ENSG00000278550	ENST00000612931	226629_at
ENSG00000278550	ENST00000613070	226629_at
ENSG00000225592	ENST00000433320	234760_at
ENSG00000263324	ENST00000575670	228741_s_at
ENSG00000263324	ENST00000572822	228741_s_at
ENSG00000263324	ENST00000573962	228741_s_at
ENSG00000232146	ENST00000429342	234862_at
ENSG00000234195	ENST00000421489	234545_at
ENSG00000227137	ENST00000421859	234840_s_at
ENSG00000227137	ENST00000418692	234840_s_at
ENSG00000227137	ENST00000548546	234840_s_at
ENSG00000235178	ENST00000429714	236550_s_at
ENSG00000235178	ENST00000429714	236551_at
ENSG00000235178	ENST00000466714	236550_s_at
ENSG00000235178	ENST00000466714	236551_at
ENSG00000206470	ENST00000383549	234820_at
ENSG00000233857	ENST00000448853	231571_at
ENSG00000225048	ENST00000436125	234371_at
ENSG00000237284	ENST00000451019	234820_at
ENSG00000225736	ENST00000456140	234903_at
ENSG00000278461	ENST00000613100	224302_s_at
ENSG00000278461	ENST00000620855	224302_s_at
ENSG00000278461	ENST00000618428	224302_s_at
ENSG00000229383	ENST00000444360	231571_at
ENSG00000229441	ENST00000432719	234760_at
ENSG00000281950	ENST00000633523	232964_at
ENSG00000281950	ENST00000632012	232964_at
ENSG00000232469	ENST00000432726	234862_at
ENSG00000237777	ENST00000451272	234545_at
ENSG00000223687	ENST00000452316	236550_s_at
ENSG00000223687	ENST00000452316	236551_at
ENSG00000223687	ENST00000487312	236550_s_at
ENSG00000223687	ENST00000487312	236551_at
ENSG00000225351	ENST00000426120	236550_s_at
ENSG00000225351	ENST00000426120	236551_at
ENSG00000225351	ENST00000481554	236550_s_at
ENSG00000225351	ENST00000481554	236551_at
ENSG00000227626	ENST00000454657	234371_at
ENSG00000236070	ENST00000414737	234371_at
ENSG00000233054	ENST00000420178	234903_at
ENSG00000233180	ENST00000444830	234903_at
ENSG00000228515	ENST00000449044	234820_at
ENSG00000224446	ENST00000457219	231571_at
ENSG00000237690	ENST00000426168	234862_at
ENSG00000236927	ENST00000420495	234545_at
ENSG00000234092	ENST00000432013	234760_at
ENSG00000231279	ENST00000443815	234862_at
ENSG00000225291	ENST00000434778	234545_at
ENSG00000233046	ENST00000441440	234840_s_at
ENSG00000233046	ENST00000446761	234840_s_at
ENSG00000233046	ENST00000549299	234840_s_at
ENSG00000234954	ENST00000418003	234820_at
ENSG00000235788	ENST00000453238	231571_at
ENSG00000233141	ENST00000415802	234820_at
ENSG00000274857	ENST00000621446	227658_s_at
ENSG00000230674	ENST00000438483	231571_at
ENSG00000278257	ENST00000621285	232018_at
ENSG00000278363	ENST00000620520	226403_at
ENSG00000274145	ENST00000633176	227366_at
ENSG00000274145	ENST00000622136	227366_at
ENSG00000274145	ENST00000632939	227366_at
ENSG00000274145	ENST00000631766	227366_at
ENSG00000274442	ENST00000614672	200000_s_at
ENSG00000274442	ENST00000634039	200000_s_at
ENSG00000274442	ENST00000632797	200000_s_at
ENSG00000274442	ENST00000633820	200000_s_at
ENSG00000277600	ENST00000612029	229143_at
ENSG00000277600	ENST00000615532	229143_at
ENSG00000277600	ENST00000613470	229143_at
ENSG00000277600	ENST00000622342	229143_at
ENSG00000234669	ENST00000446005	231236_at
ENSG00000234669	ENST00000553137	231236_at
ENSG00000234669	ENST00000547911	231236_at
ENSG00000275246	ENST00000611774	241359_at
ENSG00000276959	ENST00000610998	232018_at
ENSG00000273722	ENST00000612109	226403_at
ENSG00000273722	ENST00000619510	226403_at
ENSG00000273722	ENST00000616162	226403_at
ENSG00000273722	ENST00000621671	226403_at
ENSG00000273722	ENST00000618950	226403_at
ENSG00000276021	ENST00000611758	226738_at
ENSG00000276021	ENST00000615141	226738_at
ENSG00000276021	ENST00000613381	226738_at
ENSG00000276021	ENST00000632244	226738_at
ENSG00000276021	ENST00000634145	226738_at
ENSG00000276021	ENST00000613616	226738_at
ENSG00000262671	ENST00000570339	223162_s_at
ENSG00000262671	ENST00000570339	227502_at
ENSG00000262599	ENST00000575464	223162_s_at
ENSG00000262599	ENST00000575464	223161_at
ENSG00000262599	ENST00000575464	227502_at
ENSG00000262599	ENST00000574704	223161_at
ENSG00000223858	ENST00000416974	231236_at
ENSG00000223858	ENST00000552898	231236_at
ENSG00000223858	ENST00000552809	231236_at
ENSG00000232099	ENST00000448114	231236_at
ENSG00000232099	ENST00000548337	231236_at
ENSG00000232099	ENST00000548001	231236_at
ENSG00000273607	ENST00000631145	224932_at
ENSG00000273607	ENST00000620558	224932_at
ENSG00000273607	ENST00000629095	224932_at
ENSG00000273607	ENST00000626885	224932_at
ENSG00000273607	ENST00000626041	224932_at
ENSG00000276066	ENST00000612436	235818_at
ENSG00000274174	ENST00000615467	237461_at
ENSG00000274174	ENST00000613325	237461_at
ENSG00000274174	ENST00000613487	237461_at
ENSG00000274174	ENST00000618343	237461_at
ENSG00000274174	ENST00000620183	237461_at
ENSG00000206510	ENST00000383628	231236_at
ENSG00000206510	ENST00000552987	231236_at
ENSG00000206510	ENST00000548769	231236_at
ENSG00000262139	ENST00000573650	229749_at
ENSG00000262139	ENST00000573650	236420_s_at
ENSG00000262139	ENST00000575847	229749_at
ENSG00000262139	ENST00000575847	236420_s_at
