Gene stable ID	Transcript stable ID	AFFY MOE430B probe
ENSMUSG00000092870	ENSMUST00000175129	1439912_at
ENSMUSG00000065521	ENSMUST00000083587	1456752_at
ENSMUSG00000096873	ENSMUST00000178081	1445238_at
ENSMUSG00000088658	ENSMUST00000158033	1442693_at
ENSMUSG00000106130	ENSMUST00000197960	1459235_at
ENSMUSG00000088373	ENSMUST00000157748	1444010_at
ENSMUSG00000074215	ENSMUST00000098592	1457115_at
ENSMUSG00000080540	ENSMUST00000116890	1440254_at
ENSMUSG00000099254	ENSMUST00000183566	1433922_at
ENSMUSG00000093529	ENSMUST00000176951	1434506_at
ENSMUSG00000065456	ENSMUST00000083522	1446494_at
ENSMUSG00000064563	ENSMUST00000082629	1435897_at
ENSMUSG00000088929	ENSMUST00000158304	1442289_at
ENSMUSG00000106587	ENSMUST00000198228	1438815_at
ENSMUSG00000089004	ENSMUST00000158379	1447648_at
ENSMUSG00000106014	ENSMUST00000195891	1447569_at
ENSMUSG00000065265	ENSMUST00000083331	1457292_at
ENSMUSG00000076010	ENSMUST00000102056	1439885_at
ENSMUSG00000065412	ENSMUST00000083478	1460033_at
ENSMUSG00000065061	ENSMUST00000083127	1442317_at
ENSMUSG00000094576	ENSMUST00000179935	1447937_a_at
ENSMUSG00000094576	ENSMUST00000179935	1447938_at
ENSMUSG00000094576	ENSMUST00000179935	1447939_a_at
ENSMUSG00000032193	ENSMUST00000215917	1459403_at
ENSMUSG00000032193	ENSMUST00000217111	1459403_at
ENSMUSG00000032193	ENSMUST00000217613	1459403_at
ENSMUSG00000114214	ENSMUST00000224339	1453046_at
ENSMUSG00000114214	ENSMUST00000224339	1431975_at
ENSMUSG00000039720	ENSMUST00000038174	1430238_at
ENSMUSG00000039720	ENSMUST00000038174	1439308_at
ENSMUSG00000039720	ENSMUST00000209281	1439308_at
ENSMUSG00000039720	ENSMUST00000209699	1430238_at
ENSMUSG00000039720	ENSMUST00000209699	1439308_at
ENSMUSG00000039720	ENSMUST00000211002	1430238_at
ENSMUSG00000112762	ENSMUST00000219638	1432208_at
ENSMUSG00000112762	ENSMUST00000218720	1432208_at
ENSMUSG00000057335	ENSMUST00000192664	1453581_at
ENSMUSG00000057335	ENSMUST00000192664	1437154_at
ENSMUSG00000057335	ENSMUST00000195717	1453581_at
ENSMUSG00000057335	ENSMUST00000195717	1437154_at
ENSMUSG00000057335	ENSMUST00000194727	1453581_at
ENSMUSG00000057335	ENSMUST00000194727	1437154_at
ENSMUSG00000057335	ENSMUST00000194489	1453581_at
ENSMUSG00000057335	ENSMUST00000194489	1437154_at
ENSMUSG00000057335	ENSMUST00000192927	1453581_at
ENSMUSG00000057335	ENSMUST00000192927	1437154_at
ENSMUSG00000057335	ENSMUST00000195433	1453581_at
ENSMUSG00000057335	ENSMUST00000195433	1437154_at
ENSMUSG00000057335	ENSMUST00000192991	1453581_at
ENSMUSG00000057335	ENSMUST00000194984	1453581_at
ENSMUSG00000057335	ENSMUST00000194984	1437154_at
ENSMUSG00000057335	ENSMUST00000057037	1453581_at
ENSMUSG00000057335	ENSMUST00000057037	1437154_at
ENSMUSG00000079480	ENSMUST00000113627	1428658_at
ENSMUSG00000079480	ENSMUST00000144367	1428658_at
ENSMUSG00000027505	ENSMUST00000029007	1429544_at
ENSMUSG00000038437	ENSMUST00000044730	1433811_at
ENSMUSG00000038437	ENSMUST00000044730	1435017_at
ENSMUSG00000038437	ENSMUST00000107586	1433811_at
ENSMUSG00000038437	ENSMUST00000107586	1435017_at
ENSMUSG00000021585	ENSMUST00000222588	1435972_at
ENSMUSG00000021585	ENSMUST00000223206	1435972_at
ENSMUSG00000081793	ENSMUST00000120648	1433342_at
ENSMUSG00000083307	ENSMUST00000121924	1460600_at
ENSMUSG00000029648	ENSMUST00000110529	1440926_at
ENSMUSG00000051220	ENSMUST00000056904	1444024_at
ENSMUSG00000046049	ENSMUST00000224314	1457622_at
ENSMUSG00000037544	ENSMUST00000180299	1438811_at
ENSMUSG00000037544	ENSMUST00000178661	1438811_at
ENSMUSG00000024222	ENSMUST00000233291	1458089_at
ENSMUSG00000085637	ENSMUST00000132861	1442131_at
ENSMUSG00000106120	ENSMUST00000198992	1443066_at
ENSMUSG00000106306	ENSMUST00000200529	1432210_at
ENSMUSG00000106306	ENSMUST00000199058	1432210_at
ENSMUSG00000054414	ENSMUST00000198571	1435717_at
ENSMUSG00000054414	ENSMUST00000067485	1435717_at
ENSMUSG00000113927	ENSMUST00000222069	1446643_at
ENSMUSG00000014601	ENSMUST00000200049	1454644_at
ENSMUSG00000014601	ENSMUST00000064759	1454644_at
ENSMUSG00000014601	ENSMUST00000196416	1454644_at
ENSMUSG00000033854	ENSMUST00000221240	1438088_at
ENSMUSG00000048621	ENSMUST00000060013	1441887_x_at
ENSMUSG00000054412	ENSMUST00000067468	1458529_at
ENSMUSG00000010406	ENSMUST00000010550	1415761_at
ENSMUSG00000010406	ENSMUST00000010550	1415762_x_at
ENSMUSG00000010406	ENSMUST00000228871	1415761_at
ENSMUSG00000010406	ENSMUST00000199153	1415761_at
ENSMUSG00000010406	ENSMUST00000200217	1415761_at
ENSMUSG00000010406	ENSMUST00000199195	1415761_at
ENSMUSG00000010406	ENSMUST00000199195	1415762_x_at
ENSMUSG00000010406	ENSMUST00000199689	1415761_at
ENSMUSG00000010406	ENSMUST00000199689	1415762_x_at
ENSMUSG00000102474	ENSMUST00000193434	1432606_at
ENSMUSG00000009418	ENSMUST00000067414	1455849_at
ENSMUSG00000009418	ENSMUST00000067414	1436907_at
ENSMUSG00000009418	ENSMUST00000067414	1438730_at
ENSMUSG00000009418	ENSMUST00000190298	1455849_at
ENSMUSG00000009418	ENSMUST00000190298	1436907_at
ENSMUSG00000009418	ENSMUST00000190298	1438730_at
ENSMUSG00000009418	ENSMUST00000190735	1443629_at
ENSMUSG00000009418	ENSMUST00000189362	1443629_at
ENSMUSG00000009418	ENSMUST00000190130	1443629_at
ENSMUSG00000009418	ENSMUST00000040599	1455849_at
ENSMUSG00000009418	ENSMUST00000040599	1436907_at
ENSMUSG00000009418	ENSMUST00000040599	1438730_at
ENSMUSG00000022099	ENSMUST00000022694	1445439_at
ENSMUSG00000022099	ENSMUST00000022694	1438189_s_at
ENSMUSG00000022099	ENSMUST00000110984	1445439_at
ENSMUSG00000022099	ENSMUST00000110984	1438189_s_at
ENSMUSG00000022099	ENSMUST00000228295	1445439_at
ENSMUSG00000022099	ENSMUST00000022695	1445439_at
ENSMUSG00000022099	ENSMUST00000022695	1438189_s_at
ENSMUSG00000020137	ENSMUST00000218842	1455336_at
ENSMUSG00000020137	ENSMUST00000020346	1455336_at
ENSMUSG00000026883	ENSMUST00000112992	1441170_a_at
ENSMUSG00000026883	ENSMUST00000156465	1441170_a_at
ENSMUSG00000026883	ENSMUST00000112983	1441170_a_at
ENSMUSG00000026883	ENSMUST00000112987	1441170_a_at
ENSMUSG00000026883	ENSMUST00000112986	1441170_a_at
ENSMUSG00000026883	ENSMUST00000065001	1441170_a_at
ENSMUSG00000026883	ENSMUST00000112981	1441170_a_at
ENSMUSG00000026883	ENSMUST00000091010	1441170_a_at
ENSMUSG00000026883	ENSMUST00000138957	1441170_a_at
ENSMUSG00000026883	ENSMUST00000145698	1441170_a_at
ENSMUSG00000026883	ENSMUST00000135741	1441170_a_at
ENSMUSG00000026883	ENSMUST00000124098	1441170_a_at
ENSMUSG00000099945	ENSMUST00000185283	1432907_at
ENSMUSG00000030505	ENSMUST00000207216	1442719_at
ENSMUSG00000097519	ENSMUST00000181949	1441527_at
ENSMUSG00000082226	ENSMUST00000117865	1445503_at
ENSMUSG00000103634	ENSMUST00000192113	1433092_at
ENSMUSG00000102729	ENSMUST00000195147	1442913_at
ENSMUSG00000062949	ENSMUST00000154051	1455083_at
ENSMUSG00000062949	ENSMUST00000154051	1442367_at
ENSMUSG00000062949	ENSMUST00000138569	1442367_at
ENSMUSG00000062949	ENSMUST00000033480	1455083_at
ENSMUSG00000062949	ENSMUST00000033480	1442367_at
ENSMUSG00000062949	ENSMUST00000101527	1455083_at
ENSMUSG00000062949	ENSMUST00000101527	1442367_at
ENSMUSG00000038323	ENSMUST00000042734	1434422_at
ENSMUSG00000038323	ENSMUST00000042734	1431183_at
ENSMUSG00000118423	ENSMUST00000057427	1429717_at
ENSMUSG00000118423	ENSMUST00000191256	1429717_at
ENSMUSG00000118423	ENSMUST00000238649	1429717_at
ENSMUSG00000034623	ENSMUST00000171503	1453316_at
ENSMUSG00000034623	ENSMUST00000089338	1453316_at
ENSMUSG00000062046	ENSMUST00000081193	1431910_at
ENSMUSG00000022556	ENSMUST00000228388	1443293_at
ENSMUSG00000052099	ENSMUST00000063785	1429872_at
ENSMUSG00000052099	ENSMUST00000224112	1429872_at
ENSMUSG00000052099	ENSMUST00000165710	1429872_at
ENSMUSG00000052099	ENSMUST00000170709	1429872_at
ENSMUSG00000061175	ENSMUST00000133154	1439189_at
ENSMUSG00000061175	ENSMUST00000149475	1439189_at
ENSMUSG00000027380	ENSMUST00000028859	1460470_at
ENSMUSG00000027380	ENSMUST00000110344	1460470_at
ENSMUSG00000036959	ENSMUST00000136348	1438469_at
ENSMUSG00000036959	ENSMUST00000156703	1454172_at
ENSMUSG00000036959	ENSMUST00000037596	1438469_at
ENSMUSG00000036959	ENSMUST00000114972	1438469_at
ENSMUSG00000000792	ENSMUST00000000809	1436239_at
ENSMUSG00000037922	ENSMUST00000196159	1456328_at
ENSMUSG00000037922	ENSMUST00000041577	1456328_at
ENSMUSG00000037922	ENSMUST00000198206	1456328_at
ENSMUSG00000037922	ENSMUST00000196131	1456328_at
ENSMUSG00000037922	ENSMUST00000199902	1456328_at
ENSMUSG00000031927	ENSMUST00000191167	1428984_a_at
ENSMUSG00000031927	ENSMUST00000188350	1428984_a_at
ENSMUSG00000031927	ENSMUST00000186706	1428984_a_at
ENSMUSG00000031927	ENSMUST00000191047	1428984_a_at
ENSMUSG00000031927	ENSMUST00000060330	1428984_a_at
ENSMUSG00000042182	ENSMUST00000115161	1434590_at
ENSMUSG00000042182	ENSMUST00000129464	1434590_at
ENSMUSG00000042182	ENSMUST00000062289	1434590_at
ENSMUSG00000042182	ENSMUST00000126724	1446206_at
ENSMUSG00000016552	ENSMUST00000016696	1434414_at
ENSMUSG00000016552	ENSMUST00000140096	1434414_at
ENSMUSG00000016552	ENSMUST00000117725	1434414_at
ENSMUSG00000048562	ENSMUST00000063918	1440519_at
ENSMUSG00000025538	ENSMUST00000171300	1429713_at
ENSMUSG00000025538	ENSMUST00000171300	1429714_at
ENSMUSG00000025538	ENSMUST00000137357	1429713_at
ENSMUSG00000025538	ENSMUST00000137357	1429714_at
ENSMUSG00000025538	ENSMUST00000153063	1429713_at
ENSMUSG00000025538	ENSMUST00000153063	1429714_at
ENSMUSG00000025538	ENSMUST00000122826	1429714_at
ENSMUSG00000020687	ENSMUST00000093923	1454739_at
ENSMUSG00000020687	ENSMUST00000093923	1433848_at
ENSMUSG00000020687	ENSMUST00000093923	1433849_at
ENSMUSG00000020687	ENSMUST00000106962	1433849_at
ENSMUSG00000091199	ENSMUST00000162276	1444962_at
ENSMUSG00000073758	ENSMUST00000094760	1428298_at
ENSMUSG00000073758	ENSMUST00000142891	1428298_at
ENSMUSG00000073758	ENSMUST00000097891	1428298_at
ENSMUSG00000073758	ENSMUST00000152402	1428298_at
ENSMUSG00000073758	ENSMUST00000141638	1428298_at
ENSMUSG00000060988	ENSMUST00000112636	1439899_at
ENSMUSG00000060988	ENSMUST00000112636	1457045_at
ENSMUSG00000060988	ENSMUST00000112635	1439899_at
ENSMUSG00000060988	ENSMUST00000112635	1457045_at
ENSMUSG00000060988	ENSMUST00000112634	1439899_at
ENSMUSG00000060988	ENSMUST00000112634	1457045_at
ENSMUSG00000060988	ENSMUST00000068595	1457045_at
ENSMUSG00000031700	ENSMUST00000034136	1439029_at
ENSMUSG00000031700	ENSMUST00000132932	1439029_at
ENSMUSG00000031700	ENSMUST00000143846	1439029_at
ENSMUSG00000060260	ENSMUST00000093993	1444379_at
ENSMUSG00000060260	ENSMUST00000093993	1438417_at
ENSMUSG00000060260	ENSMUST00000172136	1444379_at
ENSMUSG00000060260	ENSMUST00000172136	1438417_at
ENSMUSG00000060260	ENSMUST00000209721	1444379_at
ENSMUSG00000060260	ENSMUST00000209721	1438417_at
ENSMUSG00000026623	ENSMUST00000133076	1457961_at
ENSMUSG00000026623	ENSMUST00000138494	1457961_at
ENSMUSG00000045128	ENSMUST00000054220	1428152_a_at
ENSMUSG00000045128	ENSMUST00000212796	1428152_a_at
ENSMUSG00000045128	ENSMUST00000212019	1428152_a_at
ENSMUSG00000045128	ENSMUST00000212129	1428152_a_at
ENSMUSG00000045128	ENSMUST00000212709	1428152_a_at
ENSMUSG00000045128	ENSMUST00000212494	1428152_a_at
ENSMUSG00000045128	ENSMUST00000213053	1428152_a_at
ENSMUSG00000045128	ENSMUST00000212378	1428152_a_at
ENSMUSG00000026632	ENSMUST00000110893	1428769_at
ENSMUSG00000026632	ENSMUST00000085633	1428769_at
ENSMUSG00000026632	ENSMUST00000110891	1428769_at
ENSMUSG00000026632	ENSMUST00000027945	1428769_at
ENSMUSG00000026632	ENSMUST00000156341	1428769_at
ENSMUSG00000087075	ENSMUST00000150384	1442011_at
ENSMUSG00000022864	ENSMUST00000231973	1436125_at
ENSMUSG00000022864	ENSMUST00000232052	1436125_at
ENSMUSG00000001228	ENSMUST00000142387	1439227_at
ENSMUSG00000000957	ENSMUST00000226710	1440920_at
ENSMUSG00000022403	ENSMUST00000172107	1436113_a_at
ENSMUSG00000022403	ENSMUST00000023039	1436113_a_at
ENSMUSG00000022403	ENSMUST00000230906	1442775_at
ENSMUSG00000054457	ENSMUST00000145985	1430464_at
ENSMUSG00000113334	ENSMUST00000222964	1444476_at
ENSMUSG00000002007	ENSMUST00000002081	1447806_s_at
ENSMUSG00000002007	ENSMUST00000136664	1447806_s_at
ENSMUSG00000002007	ENSMUST00000136664	1431825_at
ENSMUSG00000002007	ENSMUST00000137045	1447806_s_at
ENSMUSG00000002007	ENSMUST00000137045	1431825_at
ENSMUSG00000002007	ENSMUST00000139630	1447806_s_at
ENSMUSG00000044034	ENSMUST00000106194	1440240_at
ENSMUSG00000044034	ENSMUST00000106195	1440240_at
ENSMUSG00000044034	ENSMUST00000061309	1440240_at
ENSMUSG00000083567	ENSMUST00000118946	1457434_s_at
ENSMUSG00000029403	ENSMUST00000069937	1457625_s_at
ENSMUSG00000029403	ENSMUST00000086978	1457625_s_at
ENSMUSG00000029403	ENSMUST00000113143	1457625_s_at
ENSMUSG00000029403	ENSMUST00000113140	1457625_s_at
ENSMUSG00000029403	ENSMUST00000201357	1457625_s_at
ENSMUSG00000029403	ENSMUST00000201357	1441820_at
ENSMUSG00000053868	ENSMUST00000224214	1445441_at
ENSMUSG00000053868	ENSMUST00000066558	1445441_at
ENSMUSG00000038765	ENSMUST00000041730	1441729_at
ENSMUSG00000026496	ENSMUST00000191639	1443573_at
ENSMUSG00000026496	ENSMUST00000192411	1443573_at
ENSMUSG00000053411	ENSMUST00000109616	1433557_at
ENSMUSG00000053411	ENSMUST00000089293	1433557_at
ENSMUSG00000053411	ENSMUST00000176639	1433557_at
ENSMUSG00000024645	ENSMUST00000025547	1452785_at
ENSMUSG00000024645	ENSMUST00000235548	1452785_at
ENSMUSG00000024645	ENSMUST00000235640	1452785_at
ENSMUSG00000024645	ENSMUST00000236812	1452785_at
ENSMUSG00000024645	ENSMUST00000235629	1452785_at
ENSMUSG00000024645	ENSMUST00000237949	1452785_at
ENSMUSG00000024645	ENSMUST00000235745	1452785_at
ENSMUSG00000024645	ENSMUST00000235591	1452785_at
ENSMUSG00000024217	ENSMUST00000137581	1444655_at
ENSMUSG00000024729	ENSMUST00000025635	1432214_at
ENSMUSG00000045103	ENSMUST00000127295	1443315_at
ENSMUSG00000027104	ENSMUST00000141050	1437777_at
ENSMUSG00000027104	ENSMUST00000154456	1437777_at
ENSMUSG00000027104	ENSMUST00000128531	1437777_at
