Gene stable ID	Transcript stable ID	AFFY RG U34A probe
ENSRNOG00000030371	ENSRNOT00000043693	J01435cds#4_s_at
ENSRNOG00000029070	ENSRNOT00000041978	rc_AA945152_s_at
ENSRNOG00000029070	ENSRNOT00000041978	J01435cds#4_s_at
ENSRNOG00000033299	ENSRNOT00000046201	rc_AA945152_s_at
ENSRNOG00000033299	ENSRNOT00000046201	J01435cds#4_s_at
ENSRNOG00000031979	ENSRNOT00000046108	rc_AA945152_s_at
ENSRNOG00000031979	ENSRNOT00000046108	J01435cds#4_s_at
ENSRNOG00000030700	ENSRNOT00000049683	J01435cds#8_s_at
ENSRNOG00000030700	ENSRNOT00000049683	rc_AA945152_s_at
ENSRNOG00000029389	ENSRNOT00000048050	J01435cds#8_s_at
ENSRNOG00000033615	ENSRNOT00000041241	J01435cds#8_s_at
ENSRNOG00000032320	ENSRNOT00000052103	J01435cds#8_s_at
ENSRNOG00000031053	ENSRNOT00000044582	J01435cds#8_s_at
ENSRNOG00000029707	ENSRNOT00000042928	J01435cds#8_s_at
ENSRNOG00000029707	ENSRNOT00000042928	S46798cds#1_s_at
ENSRNOG00000033957	ENSRNOT00000047162	S46798cds#1_s_at
ENSRNOG00000032578	ENSRNOT00000045499	S46798cds#1_s_at
ENSRNOG00000031667	ENSRNOT00000050396	S46798cds#1_s_at
ENSRNOG00000029971	ENSRNOT00000048767	rc_AI179150_s_at
ENSRNOG00000029971	ENSRNOT00000048767	rc_AA800849_f_at
ENSRNOG00000029971	ENSRNOT00000048767	S46798cds#1_s_at
ENSRNOG00000029971	ENSRNOT00000048767	J01436cds_s_at
ENSRNOG00000029971	ENSRNOT00000048767	rc_AI103396_g_at
ENSRNOG00000029971	ENSRNOT00000048767	rc_AI171355_s_at
ENSRNOG00000029042	ENSRNOT00000051268	X14848cds#12_at
ENSRNOG00000032997	ENSRNOT00000049806	X14848cds#12_at
ENSRNOG00000031766	ENSRNOT00000042098	rc_AI179150_s_at
ENSRNOG00000031766	ENSRNOT00000042098	J01436cds_s_at
ENSRNOG00000031766	ENSRNOT00000042098	rc_AI103396_g_at
ENSRNOG00000031766	ENSRNOT00000042098	rc_AI171355_s_at
ENSRNOG00000030339	ENSRNOT00000040611	rc_AI103396_g_at
ENSRNOG00000029145	ENSRNOT00000044639	X14848cds#12_at
ENSRNOG00000013102	ENSRNOT00000017829	rc_AI230130_g_at
ENSRNOG00000007027	ENSRNOT00000009763	D90102_s_at
ENSRNOG00000007027	ENSRNOT00000009763	E03190cds_s_at
ENSRNOG00000007027	ENSRNOT00000009763	X54400_r_at
ENSRNOG00000003508	ENSRNOT00000005273	rc_AA800719_at
ENSRNOG00000003508	ENSRNOT00000005273	rc_AI008863_at
ENSRNOG00000050854	ENSRNOT00000071707	AF005720mRNA#3_s_at
ENSRNOG00000050854	ENSRNOT00000073435	AF005720mRNA#3_s_at
ENSRNOG00000042286	ENSRNOT00000068623	rc_AA859898_at
ENSRNOG00000001959	ENSRNOT00000039876	X52711_at
ENSRNOG00000057153	ENSRNOT00000077727	D88666_at
ENSRNOG00000009675	ENSRNOT00000039059	AF021936_at
ENSRNOG00000009675	ENSRNOT00000080623	AF021936_at
ENSRNOG00000010008	ENSRNOT00000013501	rc_AI639393_at
ENSRNOG00000034107	ENSRNOT00000041750	rc_AA891551_at
ENSRNOG00000013963	ENSRNOT00000018877	M92340_at
ENSRNOG00000047768	ENSRNOT00000072098	rc_AA900848_at
ENSRNOG00000047768	ENSRNOT00000072098	rc_AI104225_at
ENSRNOG00000047768	ENSRNOT00000083578	rc_AA900848_at
ENSRNOG00000047768	ENSRNOT00000083578	rc_AI104225_at
ENSRNOG00000029613	ENSRNOT00000043588	rc_AI008815_s_at
ENSRNOG00000027232	ENSRNOT00000026969	AB006802_at
ENSRNOG00000020939	ENSRNOT00000063879	rc_AI639269_at
ENSRNOG00000000693	ENSRNOT00000000874	AF060173_at
ENSRNOG00000000693	ENSRNOT00000084511	AF060173_at
ENSRNOG00000020182	ENSRNOT00000027360	U09870_at
ENSRNOG00000045816	ENSRNOT00000081136	S56679_s_at
ENSRNOG00000045816	ENSRNOT00000081136	X17184_at
ENSRNOG00000045816	ENSRNOT00000081136	M36418_s_at
ENSRNOG00000045816	ENSRNOT00000073148	S56679_s_at
ENSRNOG00000045816	ENSRNOT00000073148	X17184_at
ENSRNOG00000045816	ENSRNOT00000073148	M36418_s_at
ENSRNOG00000045816	ENSRNOT00000071615	S56679_s_at
ENSRNOG00000045816	ENSRNOT00000071615	X17184_at
ENSRNOG00000045816	ENSRNOT00000071615	M36418_s_at
ENSRNOG00000011222	ENSRNOT00000014910	rc_AI009806_at
ENSRNOG00000050105	ENSRNOT00000027214	U23055cds_s_at
ENSRNOG00000050105	ENSRNOT00000027214	U23056_at
ENSRNOG00000006139	ENSRNOT00000008410	rc_AI638998_at
ENSRNOG00000004505	ENSRNOT00000006168	AB012233_at
ENSRNOG00000013579	ENSRNOT00000018164	D17711cds_s_at
ENSRNOG00000013579	ENSRNOT00000018164	rc_AA799582_at
ENSRNOG00000046227	ENSRNOT00000075423	rc_AA800576_at
ENSRNOG00000046227	ENSRNOT00000080686	rc_AA800576_at
ENSRNOG00000018047	ENSRNOT00000024408	rc_AI179027_at
ENSRNOG00000018047	ENSRNOT00000084950	rc_AI179027_at
ENSRNOG00000014230	ENSRNOT00000083005	X66840cds_s_at
ENSRNOG00000014230	ENSRNOT00000083005	M83196_at
ENSRNOG00000014230	ENSRNOT00000019320	X66840cds_s_at
ENSRNOG00000014230	ENSRNOT00000019320	M83196_at
ENSRNOG00000001928	ENSRNOT00000043498	U48592_g_at
ENSRNOG00000001928	ENSRNOT00000002645	U48592_at
ENSRNOG00000001928	ENSRNOT00000002645	U48592_g_at
ENSRNOG00000008680	ENSRNOT00000034300	rc_AA800844_s_at
ENSRNOG00000008680	ENSRNOT00000034300	rc_AA859805_at
ENSRNOG00000004649	ENSRNOT00000006308	M98820_at
ENSRNOG00000004649	ENSRNOT00000006308	M98820_g_at
ENSRNOG00000004649	ENSRNOT00000006308	E01884cds_s_at
ENSRNOG00000003357	ENSRNOT00000004956	X70369_s_at
ENSRNOG00000003357	ENSRNOT00000004956	M21354_s_at
ENSRNOG00000013225	ENSRNOT00000017996	AB009662_at
ENSRNOG00000033030	ENSRNOT00000042119	X15013cds_at
ENSRNOG00000011745	ENSRNOT00000015946	D90265_s_at
ENSRNOG00000001271	ENSRNOT00000079333	rc_AI639420_at
ENSRNOG00000014187	ENSRNOT00000019267	M27293_s_at
ENSRNOG00000014187	ENSRNOT00000019267	L29232_at
ENSRNOG00000004438	ENSRNOT00000006219	D38492_at
ENSRNOG00000004438	ENSRNOT00000080621	D38492_at
ENSRNOG00000014743	ENSRNOT00000020192	rc_AI012802_at
ENSRNOG00000001964	ENSRNOT00000078434	AF017437_at
ENSRNOG00000001964	ENSRNOT00000078434	AF017437_g_at
ENSRNOG00000001964	ENSRNOT00000078221	AF017437_at
ENSRNOG00000001964	ENSRNOT00000078221	AF017437_g_at
ENSRNOG00000001964	ENSRNOT00000050142	AF017437_at
ENSRNOG00000008394	ENSRNOT00000011168	D50568_at
ENSRNOG00000048210	ENSRNOT00000072317	X89700cds_at
ENSRNOG00000045989	ENSRNOT00000052292	rc_AI178971_at
ENSRNOG00000005730	ENSRNOT00000061903	S63519_s_at
ENSRNOG00000013103	ENSRNOT00000017851	U07177_at
ENSRNOG00000013103	ENSRNOT00000079440	U07177_at
ENSRNOG00000013103	ENSRNOT00000083079	U07177_at
ENSRNOG00000013103	ENSRNOT00000088892	U07177_at
ENSRNOG00000013103	ENSRNOT00000082718	U07177_at
ENSRNOG00000022619	ENSRNOT00000030919	rc_AI169802_at
ENSRNOG00000011471	ENSRNOT00000015367	D14839_at
ENSRNOG00000014288	ENSRNOT00000057585	X05834_at
ENSRNOG00000014288	ENSRNOT00000057585	U82612cds_g_at
ENSRNOG00000014288	ENSRNOT00000057585	M28259cds_at
ENSRNOG00000014288	ENSRNOT00000057585	L00191cds#1_s_at
ENSRNOG00000014288	ENSRNOT00000057585	X05831cds_at
ENSRNOG00000014288	ENSRNOT00000019772	U82612cds_at
ENSRNOG00000014288	ENSRNOT00000019772	X05834_at
ENSRNOG00000014288	ENSRNOT00000019772	U82612cds_g_at
ENSRNOG00000014288	ENSRNOT00000019772	M28259cds_at
ENSRNOG00000014288	ENSRNOT00000019772	L00191cds#1_s_at
ENSRNOG00000014288	ENSRNOT00000019772	X05831cds_at
ENSRNOG00000015716	ENSRNOT00000092022	M58716_at
ENSRNOG00000015716	ENSRNOT00000021249	M58716_at
ENSRNOG00000058943	ENSRNOT00000079450	M64381_at
ENSRNOG00000015235	ENSRNOT00000020620	rc_AA874896_at
ENSRNOG00000002657	ENSRNOT00000090693	U38376_s_at
ENSRNOG00000002657	ENSRNOT00000003630	U38376_s_at
ENSRNOG00000021085	ENSRNOT00000028628	AF079873_at
ENSRNOG00000021085	ENSRNOT00000044866	AF079873_at
ENSRNOG00000054322	ENSRNOT00000092000	rc_AA891578_at
ENSRNOG00000016638	ENSRNOT00000041789	AF022083_s_at
ENSRNOG00000011909	ENSRNOT00000016327	D30734_at
ENSRNOG00000011909	ENSRNOT00000016327	rc_H31078_at
ENSRNOG00000058402	ENSRNOT00000072578	X83399_at
ENSRNOG00000014282	ENSRNOT00000019155	AF034716mRNA_at
ENSRNOG00000007038	ENSRNOT00000009418	D87212_at
ENSRNOG00000003866	ENSRNOT00000005143	rc_AA945737_at
ENSRNOG00000003866	ENSRNOT00000005143	U90610_g_at
ENSRNOG00000003866	ENSRNOT00000005143	U90610_at
ENSRNOG00000003866	ENSRNOT00000091514	rc_AA945737_at
ENSRNOG00000003866	ENSRNOT00000091514	U90610_g_at
ENSRNOG00000031208	ENSRNOT00000052360	E07296cds_s_at
ENSRNOG00000031208	ENSRNOT00000052360	D16302_at
ENSRNOG00000031208	ENSRNOT00000052360	rc_AA957132_s_at
ENSRNOG00000031208	ENSRNOT00000085832	E07296cds_s_at
ENSRNOG00000031208	ENSRNOT00000085832	D16302_at
ENSRNOG00000031208	ENSRNOT00000085832	rc_AA957132_s_at
ENSRNOG00000011484	ENSRNOT00000015278	X93352_at
ENSRNOG00000047493	ENSRNOT00000046598	U88036_at
ENSRNOG00000017348	ENSRNOT00000023327	M22899_at
ENSRNOG00000031485	ENSRNOT00000026968	D89340_at
ENSRNOG00000007663	ENSRNOT00000010383	M29358_at
ENSRNOG00000007663	ENSRNOT00000010383	M29358_g_at
ENSRNOG00000015895	ENSRNOT00000021764	AF048687_s_at
ENSRNOG00000015895	ENSRNOT00000091696	AF048687_s_at
ENSRNOG00000017130	ENSRNOT00000023187	AB015191_g_at
ENSRNOG00000017130	ENSRNOT00000023187	AB015191_at
ENSRNOG00000037795	ENSRNOT00000057372	rc_AI639357_at
ENSRNOG00000018940	ENSRNOT00000025621	U10279_at
ENSRNOG00000018940	ENSRNOT00000077441	U10279_at
ENSRNOG00000013867	ENSRNOT00000087408	X14232_at
ENSRNOG00000013867	ENSRNOT00000018577	X14232_at
ENSRNOG00000015669	ENSRNOT00000020970	rc_AA893781_g_at
ENSRNOG00000017737	ENSRNOT00000024280	D78588_at
ENSRNOG00000017737	ENSRNOT00000091265	D78588_at
ENSRNOG00000014658	ENSRNOT00000020028	U92564_g_at
ENSRNOG00000014658	ENSRNOT00000020028	U92564_at
ENSRNOG00000001243	ENSRNOT00000001668	rc_AA894084_at
ENSRNOG00000010805	ENSRNOT00000014701	rc_AI169612_at
ENSRNOG00000010805	ENSRNOT00000077311	rc_AI169612_at
ENSRNOG00000004632	ENSRNOT00000006174	M62641_at
ENSRNOG00000048130	ENSRNOT00000066305	M64797_at
ENSRNOG00000048130	ENSRNOT00000037662	M64797_at
ENSRNOG00000015290	ENSRNOT00000020647	rc_AI104399_at
ENSRNOG00000005362	ENSRNOT00000007258	rc_AI070783_at
ENSRNOG00000018385	ENSRNOT00000024785	M16406cds_s_at
ENSRNOG00000051970	ENSRNOT00000084911	U16245_at
ENSRNOG00000051970	ENSRNOT00000084911	U16245_g_at
ENSRNOG00000048508	ENSRNOT00000072814	AF010293_at
ENSRNOG00000006126	ENSRNOT00000009015	U93692_at
ENSRNOG00000011747	ENSRNOT00000015684	rc_AA893237_at
ENSRNOG00000032542	ENSRNOT00000046690	rc_AA965264_at
ENSRNOG00000032542	ENSRNOT00000046690	X59051cds_s_at
ENSRNOG00000019719	ENSRNOT00000026691	M27158cds_at
ENSRNOG00000048418	ENSRNOT00000073141	D00920mRNA_at
ENSRNOG00000003905	ENSRNOT00000006361	AF091834_at
ENSRNOG00000003905	ENSRNOT00000006361	AF089839_at
ENSRNOG00000003905	ENSRNOT00000087824	AF091834_at
ENSRNOG00000003905	ENSRNOT00000087824	AF089839_at
ENSRNOG00000024470	ENSRNOT00000032047	U44129_at
ENSRNOG00000024470	ENSRNOT00000085784	U44129_at
ENSRNOG00000020907	ENSRNOT00000028396	AB000928_at
ENSRNOG00000004968	ENSRNOT00000035255	rc_AA866471_at
ENSRNOG00000013133	ENSRNOT00000017742	L09647_at
ENSRNOG00000052880	ENSRNOT00000089211	AF031878_at
ENSRNOG00000005811	ENSRNOT00000007637	M11942_s_at
ENSRNOG00000005811	ENSRNOT00000007637	rc_AI234604_s_at
ENSRNOG00000015670	ENSRNOT00000021318	AF031430_at
ENSRNOG00000015670	ENSRNOT00000081804	AF031430_at
ENSRNOG00000006761	ENSRNOT00000008999	AF009603_at
ENSRNOG00000018205	ENSRNOT00000024694	U53214_at
ENSRNOG00000051372	ENSRNOT00000084924	X63281_at
ENSRNOG00000020843	ENSRNOT00000028315	rc_AI231807_g_at
ENSRNOG00000020843	ENSRNOT00000028315	rc_AI231807_at
ENSRNOG00000033473	ENSRNOT00000043704	rc_AA892123_at
ENSRNOG00000002911	ENSRNOT00000003921	rc_AA866237_s_at
ENSRNOG00000002911	ENSRNOT00000003921	rc_AA860062_g_at
ENSRNOG00000002911	ENSRNOT00000003921	rc_AA945321_at
ENSRNOG00000005015	ENSRNOT00000041443	D85844_at
ENSRNOG00000017869	ENSRNOT00000024069	rc_AA892259_at
ENSRNOG00000009712	ENSRNOT00000013322	X53949cds_at
ENSRNOG00000009712	ENSRNOT00000084085	X53949cds_at
ENSRNOG00000042944	ENSRNOT00000065677	rc_AA859690_at
ENSRNOG00000046330	ENSRNOT00000071917	rc_AA891810_g_at
ENSRNOG00000013167	ENSRNOT00000017635	rc_AA996401_s_at
ENSRNOG00000013167	ENSRNOT00000017635	rc_AI008836_s_at
ENSRNOG00000013167	ENSRNOT00000017635	D84418_r_at
ENSRNOG00000013167	ENSRNOT00000017635	D84418_s_at
ENSRNOG00000014683	ENSRNOT00000019880	U49066_at
ENSRNOG00000011875	ENSRNOT00000015866	L28135_at
ENSRNOG00000011875	ENSRNOT00000091221	L28135_at
ENSRNOG00000004595	ENSRNOT00000006095	L23204_at
ENSRNOG00000053089	ENSRNOT00000088044	rc_AI177054_at
ENSRNOG00000001222	ENSRNOT00000001636	rc_AA859722_at
ENSRNOG00000000871	ENSRNOT00000001162	AF013985_at
ENSRNOG00000031993	ENSRNOT00000065593	AJ011608_at
ENSRNOG00000031993	ENSRNOT00000065593	U67994_at
ENSRNOG00000000585	ENSRNOT00000000715	rc_AI008131_s_at
ENSRNOG00000000585	ENSRNOT00000000715	Z15123exon#5_s_at
ENSRNOG00000028826	ENSRNOT00000047694	X15013cds_at
ENSRNOG00000004222	ENSRNOT00000005622	K00994mRNA_s_at
ENSRNOG00000004222	ENSRNOT00000005622	rc_AI013389_at
ENSRNOG00000019282	ENSRNOT00000061233	rc_AA875206_at
ENSRNOG00000011070	ENSRNOT00000014871	AF022085_at
ENSRNOG00000011070	ENSRNOT00000087803	AF022085_at
ENSRNOG00000018651	ENSRNOT00000025381	rc_AA891864_at
ENSRNOG00000018651	ENSRNOT00000091370	rc_AA891864_at
ENSRNOG00000010079	ENSRNOT00000014180	AF037072_at
ENSRNOG00000012163	ENSRNOT00000016333	rc_AA874927_at
ENSRNOG00000012168	ENSRNOT00000090699	rc_AA892512_at
ENSRNOG00000033024	ENSRNOT00000043610	rc_AA849038_at
ENSRNOG00000011624	ENSRNOT00000049961	AF087453_at
ENSRNOG00000028274	ENSRNOT00000039133	rc_AA858590_at
ENSRNOG00000038259	ENSRNOT00000058238	D21800_g_at
ENSRNOG00000018129	ENSRNOT00000024471	AA799336_at
ENSRNOG00000047958	ENSRNOT00000072702	AF091570_s_at
ENSRNOG00000006019	ENSRNOT00000007879	rc_AA893235_at
ENSRNOG00000003865	ENSRNOT00000005129	rc_AA893147_at
ENSRNOG00000018397	ENSRNOT00000024815	U82591_at
ENSRNOG00000057569	ENSRNOT00000079456	rc_AA894304_at
ENSRNOG00000057569	ENSRNOT00000088387	rc_AA894304_at
ENSRNOG00000003999	ENSRNOT00000005389	M55075_at
ENSRNOG00000014054	ENSRNOT00000019209	X66140_at
ENSRNOG00000053633	ENSRNOT00000086427	J00771_at
ENSRNOG00000056836	ENSRNOT00000078250	Z46614cds_at
ENSRNOG00000021102	ENSRNOT00000092133	M91808_at
ENSRNOG00000021102	ENSRNOT00000028653	M91808_at
ENSRNOG00000021102	ENSRNOT00000079091	M91808_at
ENSRNOG00000008484	ENSRNOT00000012160	L15354_s_at
ENSRNOG00000008484	ENSRNOT00000012160	AF080435mRNA_s_at
ENSRNOG00000010482	ENSRNOT00000014274	rc_AA801286_at
ENSRNOG00000016265	ENSRNOT00000022126	AB012933_g_at
ENSRNOG00000016265	ENSRNOT00000022126	AB012933_at
ENSRNOG00000042524	ENSRNOT00000078968	U39546_at
ENSRNOG00000042524	ENSRNOT00000047657	U39546_at
ENSRNOG00000015541	ENSRNOT00000090898	L29090cds_at
ENSRNOG00000015541	ENSRNOT00000021481	L29090cds_at
ENSRNOG00000054314	ENSRNOT00000081648	M81784_at
ENSRNOG00000008508	ENSRNOT00000011309	rc_AI639153_at
ENSRNOG00000042547	ENSRNOT00000068694	rc_AA799899_i_at
ENSRNOG00000001183	ENSRNOT00000001565	X54423cds_s_at
ENSRNOG00000001183	ENSRNOT00000001565	J03170_at
ENSRNOG00000050867	ENSRNOT00000075406	U15425_at
ENSRNOG00000007374	ENSRNOT00000009888	X56306_s_at
ENSRNOG00000007374	ENSRNOT00000009888	M15191_s_at
ENSRNOG00000007374	ENSRNOT00000034719	X56306_s_at
ENSRNOG00000007374	ENSRNOT00000034719	M15191_s_at
ENSRNOG00000007374	ENSRNOT00000052333	X56306_s_at
ENSRNOG00000007374	ENSRNOT00000052333	M15191_s_at
ENSRNOG00000047374	ENSRNOT00000090989	rc_AI237836_at
ENSRNOG00000047374	ENSRNOT00000090989	AF093569mRNA#1_s_at
ENSRNOG00000047374	ENSRNOT00000090989	rc_AI237836_g_at
ENSRNOG00000047374	ENSRNOT00000090989	X84047cds_at
ENSRNOG00000047374	ENSRNOT00000071215	rc_AI237836_at
ENSRNOG00000047374	ENSRNOT00000071215	rc_AI237836_g_at
ENSRNOG00000047374	ENSRNOT00000071215	X84047cds_at
ENSRNOG00000007229	ENSRNOT00000009683	D86745cds_s_at
ENSRNOG00000007229	ENSRNOT00000009683	D86580_at
ENSRNOG00000007229	ENSRNOT00000009683	D86745exon_s_at
ENSRNOG00000012579	ENSRNOT00000016840	rc_AI639187_at
ENSRNOG00000004131	ENSRNOT00000005770	D26180_at
ENSRNOG00000039214	ENSRNOT00000085853	rc_AA859545_at
ENSRNOG00000039214	ENSRNOT00000060020	rc_AA859545_at
ENSRNOG00000003524	ENSRNOT00000004941	D13623_at
ENSRNOG00000003524	ENSRNOT00000004941	D13623_g_at
ENSRNOG00000017556	ENSRNOT00000023583	M16409_at
ENSRNOG00000032885	ENSRNOT00000048429	rc_AI008815_s_at
ENSRNOG00000032885	ENSRNOT00000048429	K00750exon#2-3_at
ENSRNOG00000032885	ENSRNOT00000048429	K00750exon#2-3_g_at
ENSRNOG00000004726	ENSRNOT00000061070	rc_AA799814_at
ENSRNOG00000023546	ENSRNOT00000031555	rc_AA998683_g_at
ENSRNOG00000023546	ENSRNOT00000031555	rc_AI176658_s_at
ENSRNOG00000023546	ENSRNOT00000031555	M86389cds_s_at
ENSRNOG00000005907	ENSRNOT00000066468	rc_AA800878_at
ENSRNOG00000024119	ENSRNOT00000034960	AB001982_at
ENSRNOG00000024119	ENSRNOT00000034960	AB001982_g_at
ENSRNOG00000019975	ENSRNOT00000027264	AF000578_at
ENSRNOG00000009080	ENSRNOT00000012101	rc_AA893246_at
ENSRNOG00000059683	ENSRNOT00000090456	AF087696_at
ENSRNOG00000059683	ENSRNOT00000092150	AF087696_at
ENSRNOG00000046468	ENSRNOT00000071195	S74898_s_at
ENSRNOG00000046468	ENSRNOT00000071195	U26663_s_at
ENSRNOG00000046468	ENSRNOT00000071195	D28581_at
ENSRNOG00000036692	ENSRNOT00000054962	M96674_at
ENSRNOG00000036692	ENSRNOT00000088898	M96674_at
ENSRNOG00000036692	ENSRNOT00000083601	M96674_at
ENSRNOG00000006855	ENSRNOT00000009081	AB010999_s_at
ENSRNOG00000047089	ENSRNOT00000072118	rc_AA893194_s_at
ENSRNOG00000015439	ENSRNOT00000020767	M24353_at
ENSRNOG00000015439	ENSRNOT00000020767	M24353_g_at
ENSRNOG00000015439	ENSRNOT00000086682	M24353_at
ENSRNOG00000015439	ENSRNOT00000086682	M24353_g_at
ENSRNOG00000015567	ENSRNOT00000021270	L11236cds_s_at
ENSRNOG00000015567	ENSRNOT00000021270	L11236UTR#1_s_at
ENSRNOG00000029996	ENSRNOT00000036217	M81088_at
ENSRNOG00000001517	ENSRNOT00000002072	L22294_at
ENSRNOG00000016207	ENSRNOT00000022117	U35890_at
ENSRNOG00000020229	ENSRNOT00000027428	AB020879_at
ENSRNOG00000001893	ENSRNOT00000002599	X16043cds_at
ENSRNOG00000001893	ENSRNOT00000002599	rc_AI012595_at
ENSRNOG00000011019	ENSRNOT00000015961	U72497_at
ENSRNOG00000019205	ENSRNOT00000026617	rc_AA799779_at
ENSRNOG00000019205	ENSRNOT00000026617	rc_AA799779_g_at
ENSRNOG00000013380	ENSRNOT00000079339	AF097887_at
ENSRNOG00000013380	ENSRNOT00000018277	AF097887_at
ENSRNOG00000008548	ENSRNOT00000011308	rc_AA891933_at
ENSRNOG00000032442	ENSRNOT00000052258	rc_AI639518_at
ENSRNOG00000032442	ENSRNOT00000052258	rc_AI639518_g_at
ENSRNOG00000031665	ENSRNOT00000080730	rc_AI639147_at
ENSRNOG00000031665	ENSRNOT00000049947	rc_AI639147_at
ENSRNOG00000053410	ENSRNOT00000082677	AF081941_at
ENSRNOG00000017982	ENSRNOT00000068119	L09216_at
ENSRNOG00000001704	ENSRNOT00000002313	L35271_at
ENSRNOG00000001704	ENSRNOT00000084134	L35271_at
ENSRNOG00000004319	ENSRNOT00000005702	rc_AA799718_at
ENSRNOG00000015393	ENSRNOT00000020720	AF030253_at
ENSRNOG00000015393	ENSRNOT00000020720	rc_AA996551_s_at
ENSRNOG00000011969	ENSRNOT00000064705	X68101_at
ENSRNOG00000011969	ENSRNOT00000090572	X68101_at
ENSRNOG00000050607	ENSRNOT00000075056	rc_AI179075_s_at
ENSRNOG00000050607	ENSRNOT00000065685	rc_AI179075_s_at
ENSRNOG00000008474	ENSRNOT00000049798	X95188_at
ENSRNOG00000048523	ENSRNOT00000073724	X62145cds_at
ENSRNOG00000048523	ENSRNOT00000073724	X62145cds_g_at
ENSRNOG00000048523	ENSRNOT00000073724	rc_AA892582_s_at
ENSRNOG00000026866	ENSRNOT00000037918	AF056704_at
ENSRNOG00000004992	ENSRNOT00000084481	J02998_at
ENSRNOG00000004992	ENSRNOT00000078710	J02998_at
ENSRNOG00000004992	ENSRNOT00000021040	J02998_at
ENSRNOG00000020363	ENSRNOT00000027675	rc_AA892531_at
ENSRNOG00000011891	ENSRNOT00000015931	Y12635_at
ENSRNOG00000011706	ENSRNOT00000015723	AF080507_at
ENSRNOG00000011706	ENSRNOT00000015723	AF080507_g_at
ENSRNOG00000051619	ENSRNOT00000085517	rc_AA799438_at
ENSRNOG00000017645	ENSRNOT00000023944	X00975_at
ENSRNOG00000017645	ENSRNOT00000023944	X00975_g_at
ENSRNOG00000017381	ENSRNOT00000061294	Y11283_at
ENSRNOG00000017381	ENSRNOT00000048344	Y11283_at
ENSRNOG00000005652	ENSRNOT00000007788	U35371_at
ENSRNOG00000005652	ENSRNOT00000090847	U35371_at
ENSRNOG00000042526	ENSRNOT00000037518	rc_H33448_at
ENSRNOG00000017048	ENSRNOT00000022923	L06441_at
ENSRNOG00000010882	ENSRNOT00000014546	rc_AA892380_at
