Gene stable ID	Transcript stable ID	AFFY HG U95C probe
ENSG00000278728	ENST00000633607	60803_at
ENSG00000278728	ENST00000613345	60803_at
ENSG00000263314	ENST00000572040	56499_at
ENSG00000281945	ENST00000632002	66862_at
ENSG00000281945	ENST00000632471	66862_at
ENSG00000281945	ENST00000634215	66862_at
ENSG00000281945	ENST00000632677	66862_at
ENSG00000275031	ENST00000633913	65137_at
ENSG00000275031	ENST00000633913	59225_at
ENSG00000275031	ENST00000633735	65137_at
ENSG00000275031	ENST00000634158	65137_at
ENSG00000281060	ENST00000625563	61291_at
ENSG00000281060	ENST00000629857	61291_at
ENSG00000281060	ENST00000625828	61291_at
ENSG00000281060	ENST00000625573	61291_at
ENSG00000281060	ENST00000630003	61291_at
ENSG00000281060	ENST00000625739	61291_at
ENSG00000281060	ENST00000629147	61291_at
ENSG00000281060	ENST00000629493	61291_at
ENSG00000281060	ENST00000626861	61966_at
ENSG00000277400	ENST00000613230	48789_at
ENSG00000274847	ENST00000400754	48789_at
ENSG00000275428	ENST00000633499	63356_s_at
ENSG00000275428	ENST00000632741	63356_s_at
ENSG00000275428	ENST00000621609	63356_s_at
ENSG00000275428	ENST00000631741	63623_at
ENSG00000275428	ENST00000631741	63356_s_at
ENSG00000281915	ENST00000629170	61291_at
ENSG00000281915	ENST00000630727	61291_at
ENSG00000281915	ENST00000627485	61291_at
ENSG00000281915	ENST00000631060	61291_at
ENSG00000281915	ENST00000630621	61291_at
ENSG00000281915	ENST00000629345	61291_at
ENSG00000281915	ENST00000626115	61291_at
ENSG00000281915	ENST00000626549	61291_at
ENSG00000281915	ENST00000630071	61966_at
ENSG00000276371	ENST00000633573	65738_at
ENSG00000276371	ENST00000631598	65738_at
ENSG00000276371	ENST00000617411	65738_at
ENSG00000282005	ENST00000632644	66785_i_at
ENSG00000282005	ENST00000632941	66785_i_at
ENSG00000282005	ENST00000633974	66785_i_at
ENSG00000278501	ENST00000613269	49386_at
ENSG00000278501	ENST00000613269	50224_s_at
ENSG00000280592	ENST00000629182	50360_at
ENSG00000276910	ENST00000628423	59407_at
ENSG00000276910	ENST00000627645	59407_at
ENSG00000281794	ENST00000629391	61291_at
ENSG00000281794	ENST00000630555	61291_at
ENSG00000281794	ENST00000630807	61291_at
ENSG00000281794	ENST00000625210	61291_at
ENSG00000281794	ENST00000627931	61291_at
ENSG00000281794	ENST00000628918	61291_at
ENSG00000281794	ENST00000627597	61291_at
ENSG00000281794	ENST00000629779	61291_at
ENSG00000281794	ENST00000626908	61966_at
ENSG00000280993	ENST00000628072	61291_at
ENSG00000280993	ENST00000627927	61291_at
ENSG00000280993	ENST00000626039	61291_at
ENSG00000280993	ENST00000628564	61291_at
ENSG00000280993	ENST00000625343	61291_at
ENSG00000280993	ENST00000629406	61291_at
ENSG00000280993	ENST00000628851	61291_at
ENSG00000280993	ENST00000629103	61291_at
ENSG00000280993	ENST00000628379	61966_at
ENSG00000275333	ENST00000619268	60526_at
ENSG00000275333	ENST00000622189	60526_at
ENSG00000275333	ENST00000617082	60526_at
ENSG00000275333	ENST00000616072	60526_at
ENSG00000275333	ENST00000630087	60526_at
ENSG00000281687	ENST00000629440	61291_at
ENSG00000281418	ENST00000628964	61291_at
ENSG00000277132	ENST00000611777	63915_f_at
ENSG00000277132	ENST00000611777	63916_r_at
ENSG00000280909	ENST00000625707	61291_at
ENSG00000281197	ENST00000628828	61022_at
ENSG00000281197	ENST00000628371	61022_at
ENSG00000281197	ENST00000628438	61022_at
ENSG00000281237	ENST00000629942	61291_at
ENSG00000281603	ENST00000631304	61291_at
ENSG00000281603	ENST00000627701	61291_at
ENSG00000281603	ENST00000627001	61291_at
ENSG00000281603	ENST00000630810	61291_at
ENSG00000281603	ENST00000626084	61291_at
ENSG00000281603	ENST00000626360	61291_at
ENSG00000281603	ENST00000631281	61291_at
ENSG00000281603	ENST00000630637	61291_at
ENSG00000281603	ENST00000628344	61966_at
ENSG00000278365	ENST00000617282	63791_at
ENSG00000276296	ENST00000616277	57013_s_at
ENSG00000276296	ENST00000616277	62210_at
ENSG00000280840	ENST00000631096	62823_at
ENSG00000274803	ENST00000611966	64887_at
ENSG00000274803	ENST00000628099	64887_at
ENSG00000274803	ENST00000627715	64887_at
ENSG00000281740	ENST00000629855	66630_at
ENSG00000275165	ENST00000617902	66107_r_at
ENSG00000275165	ENST00000619273	66107_r_at
ENSG00000275165	ENST00000619994	66107_r_at
ENSG00000280521	ENST00000630694	61291_at
ENSG00000274359	ENST00000618338	63791_at
ENSG00000274073	ENST00000615534	57013_s_at
ENSG00000274073	ENST00000615534	62210_at
ENSG00000263238	ENST00000573499	62995_r_at
ENSG00000277114	ENST00000615034	61905_at
ENSG00000277114	ENST00000622080	61905_at
ENSG00000277114	ENST00000618130	61905_at
ENSG00000276220	ENST00000612327	63791_at
ENSG00000276323	ENST00000619581	57013_s_at
ENSG00000276323	ENST00000619581	62210_at
ENSG00000275605	ENST00000619253	63791_at
ENSG00000223441	ENST00000450433	60872_at
ENSG00000282662	ENST00000631588	66216_at
ENSG00000278161	ENST00000611514	57013_s_at
ENSG00000278161	ENST00000611514	62210_at
ENSG00000274616	ENST00000616264	61905_at
ENSG00000274616	ENST00000615629	61905_at
ENSG00000274616	ENST00000615038	61905_at
ENSG00000275399	ENST00000615521	64898_at
ENSG00000275399	ENST00000615391	64898_at
ENSG00000275399	ENST00000611676	64898_at
ENSG00000275399	ENST00000616903	64898_at
ENSG00000274796	ENST00000611560	66107_r_at
ENSG00000274796	ENST00000613653	66107_r_at
ENSG00000274796	ENST00000622538	66107_r_at
ENSG00000231973	ENST00000444590	60872_at
ENSG00000278622	ENST00000613589	66107_r_at
ENSG00000278622	ENST00000617543	66107_r_at
ENSG00000263324	ENST00000575670	49698_at
ENSG00000263324	ENST00000572822	49698_at
ENSG00000263324	ENST00000573962	49698_at
ENSG00000232049	ENST00000447604	60872_at
ENSG00000276061	ENST00000610357	63791_at
ENSG00000276061	ENST00000620289	63791_at
ENSG00000276061	ENST00000622523	63791_at
ENSG00000276061	ENST00000610975	63791_at
ENSG00000276061	ENST00000622065	63791_at
ENSG00000276061	ENST00000615590	63791_at
ENSG00000276061	ENST00000618420	63791_at
ENSG00000276061	ENST00000619763	63791_at
ENSG00000276061	ENST00000618189	63791_at
ENSG00000276061	ENST00000611200	63791_at
ENSG00000276061	ENST00000615238	63791_at
ENSG00000276061	ENST00000620109	63791_at
ENSG00000277722	ENST00000621307	63791_at
ENSG00000237725	ENST00000452965	60872_at
ENSG00000276022	ENST00000611935	57013_s_at
ENSG00000276022	ENST00000611935	62210_at
ENSG00000274129	ENST00000614265	66107_r_at
ENSG00000274129	ENST00000618447	66107_r_at
ENSG00000226896	ENST00000428598	60872_at
ENSG00000276504	ENST00000616798	57013_s_at
ENSG00000276504	ENST00000616798	62210_at
ENSG00000276504	ENST00000611344	57013_s_at
ENSG00000276504	ENST00000611344	62210_at
ENSG00000276504	ENST00000610802	57013_s_at
ENSG00000276504	ENST00000610802	62210_at
ENSG00000276504	ENST00000621091	57013_s_at
ENSG00000276504	ENST00000621091	62210_at
ENSG00000276504	ENST00000615094	62210_at
ENSG00000229467	ENST00000455758	60872_at
ENSG00000274145	ENST00000633176	60466_at
ENSG00000274145	ENST00000622136	60466_at
ENSG00000274145	ENST00000632939	60466_at
ENSG00000274145	ENST00000631766	60466_at
ENSG00000278712	ENST00000613888	66107_r_at
ENSG00000278712	ENST00000615811	66107_r_at
ENSG00000278712	ENST00000614984	66107_r_at
ENSG00000277600	ENST00000612029	61905_at
ENSG00000277600	ENST00000615532	61905_at
ENSG00000277600	ENST00000613470	61905_at
ENSG00000277600	ENST00000622342	61905_at
ENSG00000229698	ENST00000461939	60865_at
ENSG00000229698	ENST00000476710	60865_at
ENSG00000276219	ENST00000395385	60623_f_at
ENSG00000276219	ENST00000621741	60623_f_at
ENSG00000230545	ENST00000440776	62636_at
ENSG00000229529	ENST00000429556	61608_at
ENSG00000229529	ENST00000429556	61609_at
ENSG00000229529	ENST00000490292	61608_at
ENSG00000229529	ENST00000490292	61609_at
ENSG00000229529	ENST00000435899	61608_at
ENSG00000229529	ENST00000435899	61609_at
ENSG00000262671	ENST00000570339	61260_at
ENSG00000262599	ENST00000575464	61260_at
ENSG00000261994	ENST00000573259	62610_at
ENSG00000261994	ENST00000575226	62610_at
ENSG00000261994	ENST00000572711	62610_at
ENSG00000261994	ENST00000576410	62610_at
ENSG00000261994	ENST00000577122	62610_at
ENSG00000261994	ENST00000574846	62610_at
ENSG00000261994	ENST00000576096	62610_at
ENSG00000278415	ENST00000612836	54741_at
ENSG00000263042	ENST00000574659	60111_at
ENSG00000237508	ENST00000490304	60865_at
ENSG00000237508	ENST00000480742	60865_at
ENSG00000229194	ENST00000432225	61608_at
ENSG00000229194	ENST00000432225	61609_at
ENSG00000229194	ENST00000480593	61608_at
ENSG00000229194	ENST00000480593	61609_at
ENSG00000229194	ENST00000429733	61608_at
ENSG00000229194	ENST00000429733	61609_at
ENSG00000226378	ENST00000432068	62636_at
ENSG00000224736	ENST00000443186	61608_at
ENSG00000224736	ENST00000443186	61609_at
ENSG00000224736	ENST00000467094	61608_at
ENSG00000224736	ENST00000467094	61609_at
ENSG00000224736	ENST00000420384	61608_at
ENSG00000224736	ENST00000420384	61609_at
ENSG00000276537	ENST00000618512	59565_at
ENSG00000262139	ENST00000573650	61817_at
ENSG00000262139	ENST00000575847	61817_at
ENSG00000262139	ENST00000570509	61817_at
ENSG00000206509	ENST00000469777	60865_at
ENSG00000206509	ENST00000483860	60865_at
ENSG00000206507	ENST00000444492	61608_at
ENSG00000206507	ENST00000444492	61609_at
ENSG00000206507	ENST00000447679	61608_at
ENSG00000206507	ENST00000447679	61609_at
ENSG00000274437	ENST00000627316	56602_f_at
ENSG00000274437	ENST00000627316	56599_i_at
ENSG00000274437	ENST00000620697	56602_f_at
ENSG00000274437	ENST00000620697	56599_i_at
ENSG00000274437	ENST00000614504	56602_f_at
ENSG00000274437	ENST00000614504	56599_i_at
ENSG00000274437	ENST00000625630	56602_f_at
ENSG00000274437	ENST00000625630	56599_i_at
ENSG00000275796	ENST00000622042	64898_at
ENSG00000275796	ENST00000619664	64898_at
ENSG00000275796	ENST00000622864	64898_at
ENSG00000275796	ENST00000618789	64898_at
ENSG00000262435	ENST00000574122	65767_at
ENSG00000262435	ENST00000574122	65766_at
ENSG00000235220	ENST00000494940	60865_at
ENSG00000235220	ENST00000489795	60865_at
ENSG00000262927	ENST00000570604	61722_at
ENSG00000276766	ENST00000619966	63791_at
ENSG00000276263	ENST00000615620	57013_s_at
ENSG00000276263	ENST00000615620	62210_at
ENSG00000206508	ENST00000383625	62636_at
ENSG00000275744	ENST00000618502	54433_at
ENSG00000275744	ENST00000630489	54433_at
ENSG00000275744	ENST00000628101	61013_at
ENSG00000206444	ENST00000424483	61608_at
ENSG00000206444	ENST00000424483	61609_at
ENSG00000206444	ENST00000413589	61608_at
ENSG00000206444	ENST00000413589	61609_at
ENSG00000206444	ENST00000426707	61608_at
ENSG00000206444	ENST00000426707	61609_at
ENSG00000262016	ENST00000573709	60351_at
ENSG00000230017	ENST00000422960	62636_at
ENSG00000276458	ENST00000621306	48705_at
ENSG00000276458	ENST00000617297	48705_at
ENSG00000276458	ENST00000617420	48705_at
ENSG00000137403	ENST00000494169	60865_at
ENSG00000137403	ENST00000488237	60865_at
ENSG00000223606	ENST00000413957	61608_at
ENSG00000223606	ENST00000413957	61609_at
ENSG00000223606	ENST00000482137	61608_at
ENSG00000223606	ENST00000482137	61609_at
ENSG00000223606	ENST00000455917	61608_at
ENSG00000223606	ENST00000455917	61609_at
ENSG00000233795	ENST00000481680	64458_at
ENSG00000233795	ENST00000417275	64458_at
ENSG00000233795	ENST00000444794	64458_at
ENSG00000233795	ENST00000442585	64458_at
ENSG00000233795	ENST00000412396	64458_at
ENSG00000233795	ENST00000484119	64458_at
ENSG00000274078	ENST00000613310	66107_r_at
ENSG00000274078	ENST00000613337	66107_r_at
ENSG00000274078	ENST00000615900	66107_r_at
ENSG00000276887	ENST00000620133	59565_at
ENSG00000236808	ENST00000466296	64458_at
ENSG00000236808	ENST00000432904	64458_at
ENSG00000236808	ENST00000420100	64458_at
ENSG00000236808	ENST00000432227	64458_at
ENSG00000236808	ENST00000444027	64458_at
ENSG00000236808	ENST00000476397	64458_at
ENSG00000273686	ENST00000631454	65351_r_at
ENSG00000273686	ENST00000632449	65351_r_at
ENSG00000206446	ENST00000383511	62636_at
ENSG00000230238	ENST00000411514	61608_at
ENSG00000230238	ENST00000411514	61609_at
ENSG00000230238	ENST00000414859	61608_at
ENSG00000230238	ENST00000414859	61609_at
ENSG00000230238	ENST00000414433	61608_at
ENSG00000230238	ENST00000414433	61609_at
ENSG00000276383	ENST00000611811	64458_at
ENSG00000276896	ENST00000613977	62315_f_at
ENSG00000276896	ENST00000618263	62315_f_at
ENSG00000278211	ENST00000634142	66000_at
ENSG00000278211	ENST00000634142	60016_at
ENSG00000278211	ENST00000632277	66000_at
ENSG00000278211	ENST00000632277	60016_at
ENSG00000276594	ENST00000617350	64458_at
ENSG00000275544	ENST00000612690	53976_at
ENSG00000273651	ENST00000633770	62315_f_at
ENSG00000273651	ENST00000620624	62315_f_at
ENSG00000273651	ENST00000614276	62315_f_at
ENSG00000273651	ENST00000618768	62315_f_at
ENSG00000274305	ENST00000622672	48705_at
ENSG00000274305	ENST00000611878	48705_at
ENSG00000274305	ENST00000610314	48705_at
ENSG00000235176	ENST00000466305	64458_at
ENSG00000235176	ENST00000417738	64458_at
ENSG00000235176	ENST00000429558	64458_at
ENSG00000235176	ENST00000441251	64458_at
ENSG00000235176	ENST00000431416	64458_at
ENSG00000235176	ENST00000477956	64458_at
ENSG00000229346	ENST00000428611	65093_at
ENSG00000229346	ENST00000428611	56748_at
ENSG00000229346	ENST00000448645	65093_at
ENSG00000229346	ENST00000448645	56748_at
ENSG00000278384	ENST00000612565	53476_r_at
ENSG00000229381	ENST00000456988	65093_at
ENSG00000229381	ENST00000456988	56748_at
ENSG00000229381	ENST00000416714	65093_at
ENSG00000229381	ENST00000416714	56748_at
ENSG00000274434	ENST00000610428	59407_at
ENSG00000277085	ENST00000613108	64458_at
ENSG00000274638	ENST00000619454	64898_at
ENSG00000274638	ENST00000613825	64898_at
ENSG00000274638	ENST00000622600	64898_at
ENSG00000274638	ENST00000618943	64898_at
ENSG00000235443	ENST00000465992	64458_at
ENSG00000235443	ENST00000443494	64458_at
ENSG00000235443	ENST00000437507	64458_at
ENSG00000235443	ENST00000443142	64458_at
ENSG00000235443	ENST00000453694	64458_at
ENSG00000235443	ENST00000471263	64458_at
ENSG00000235025	ENST00000431258	65093_at
ENSG00000235025	ENST00000431258	56748_at
ENSG00000235025	ENST00000447465	65093_at
ENSG00000235025	ENST00000447465	56748_at
ENSG00000229929	ENST00000443109	55951_at
ENSG00000229929	ENST00000419790	55951_at
ENSG00000229929	ENST00000452705	55951_at
ENSG00000229929	ENST00000453856	55951_at
ENSG00000229929	ENST00000450818	55951_at
ENSG00000229929	ENST00000552520	55951_at
ENSG00000275424	ENST00000615205	64458_at
ENSG00000277656	ENST00000631014	54188_i_at
ENSG00000277656	ENST00000630911	54188_i_at
ENSG00000236949	ENST00000485907	64458_at
ENSG00000236949	ENST00000437373	64458_at
ENSG00000236949	ENST00000431032	64458_at
ENSG00000236949	ENST00000433264	64458_at
ENSG00000236949	ENST00000432545	64458_at
ENSG00000236949	ENST00000459984	64458_at
ENSG00000282573	ENST00000634197	54730_at
ENSG00000233564	ENST00000481594	49983_r_at
ENSG00000275082	ENST00000621200	64898_at
ENSG00000275082	ENST00000621239	64898_at
ENSG00000275082	ENST00000622216	64898_at
ENSG00000275082	ENST00000611642	64898_at
ENSG00000237703	ENST00000449208	65093_at
ENSG00000237703	ENST00000449208	56748_at
ENSG00000237703	ENST00000446013	65093_at
ENSG00000237703	ENST00000446013	56748_at
ENSG00000275311	ENST00000618270	66296_at
ENSG00000273847	ENST00000613366	64394_at
ENSG00000273909	ENST00000622061	59407_at
ENSG00000206502	ENST00000484199	64458_at
ENSG00000206502	ENST00000400662	64458_at
ENSG00000206502	ENST00000383613	64458_at
ENSG00000206502	ENST00000400660	64458_at
ENSG00000206502	ENST00000400659	64458_at
ENSG00000206502	ENST00000476699	64458_at
ENSG00000274401	ENST00000610505	64458_at
ENSG00000224859	ENST00000446493	64458_at
ENSG00000224859	ENST00000455948	64458_at
ENSG00000224859	ENST00000481657	64458_at
ENSG00000224859	ENST00000472459	64458_at
ENSG00000224859	ENST00000428913	64458_at
ENSG00000224859	ENST00000451875	64458_at
ENSG00000278682	ENST00000611679	64898_at
ENSG00000278682	ENST00000611772	64898_at
ENSG00000278682	ENST00000619885	64898_at
ENSG00000278682	ENST00000622444	64898_at
ENSG00000262349	ENST00000576521	48682_at
ENSG00000262349	ENST00000574619	48682_at
ENSG00000262349	ENST00000570447	48682_at
ENSG00000262349	ENST00000575935	48682_at
ENSG00000282226	ENST00000631873	66216_at
ENSG00000226437	ENST00000411711	55951_at
ENSG00000226437	ENST00000418057	55951_at
ENSG00000226437	ENST00000438859	55951_at
ENSG00000226437	ENST00000451132	55951_at
ENSG00000226437	ENST00000450778	55951_at
ENSG00000226437	ENST00000552337	55951_at
ENSG00000275133	ENST00000611730	64458_at
ENSG00000276034	ENST00000615058	64458_at
ENSG00000229202	ENST00000477408	49983_r_at
ENSG00000227472	ENST00000426996	65093_at
ENSG00000227472	ENST00000426996	56748_at
ENSG00000227472	ENST00000413055	65093_at
ENSG00000227472	ENST00000413055	56748_at
ENSG00000274332	ENST00000614665	64725_at
ENSG00000274332	ENST00000629060	64725_at
ENSG00000274332	ENST00000629709	64725_at
ENSG00000230308	ENST00000416213	55951_at
ENSG00000230308	ENST00000412150	55951_at
ENSG00000230308	ENST00000458607	55951_at
ENSG00000230308	ENST00000446397	55951_at
ENSG00000230308	ENST00000431272	55951_at
ENSG00000230308	ENST00000549841	55951_at
ENSG00000275396	ENST00000619209	62823_at
ENSG00000137394	ENST00000354038	65093_at
ENSG00000137394	ENST00000354038	56748_at
ENSG00000137394	ENST00000259941	65093_at
ENSG00000137394	ENST00000259941	56748_at
ENSG00000273873	ENST00000617085	64887_at
ENSG00000273873	ENST00000612125	64887_at
ENSG00000273873	ENST00000614425	64887_at
ENSG00000276276	ENST00000632007	62471_at
ENSG00000276276	ENST00000612181	62471_at
ENSG00000275650	ENST00000619428	59565_at
ENSG00000275748	ENST00000628199	62471_at
ENSG00000237192	ENST00000417411	65093_at
ENSG00000237192	ENST00000417411	56748_at
ENSG00000237192	ENST00000451727	65093_at
ENSG00000237192	ENST00000451727	56748_at
ENSG00000231257	ENST00000417183	65029_at
ENSG00000231257	ENST00000466585	65029_at
ENSG00000231257	ENST00000466585	54536_at
ENSG00000231257	ENST00000466585	63597_at
ENSG00000231257	ENST00000418248	65029_at
ENSG00000231257	ENST00000420586	54536_at
ENSG00000231257	ENST00000420586	63597_at
ENSG00000231257	ENST00000432643	54536_at
ENSG00000231257	ENST00000432643	63597_at
ENSG00000231257	ENST00000475404	54536_at
ENSG00000231257	ENST00000475404	63597_at
ENSG00000231257	ENST00000463945	65029_at
ENSG00000231257	ENST00000463945	54536_at
ENSG00000231257	ENST00000463945	63597_at
ENSG00000231257	ENST00000473441	65029_at
ENSG00000231257	ENST00000473441	54536_at
ENSG00000231257	ENST00000473441	63597_at
ENSG00000231257	ENST00000490845	54536_at
ENSG00000231257	ENST00000490845	63597_at
ENSG00000277221	ENST00000631492	64725_at
ENSG00000277221	ENST00000632864	64725_at
ENSG00000277221	ENST00000633100	64725_at
ENSG00000277221	ENST00000611862	64725_at
ENSG00000278742	ENST00000611823	64725_at
ENSG00000278742	ENST00000629032	64725_at
ENSG00000278742	ENST00000625784	64725_at
ENSG00000223766	ENST00000477509	49983_r_at
ENSG00000276681	ENST00000617180	48705_at
ENSG00000276681	ENST00000619260	48705_at
ENSG00000276681	ENST00000611220	48705_at
ENSG00000276681	ENST00000611866	48705_at
ENSG00000280491	ENST00000631235	53746_at
ENSG00000232839	ENST00000430414	55951_at
ENSG00000232839	ENST00000426676	55951_at
ENSG00000232839	ENST00000438076	55951_at
ENSG00000232839	ENST00000430502	55951_at
ENSG00000232839	ENST00000433900	55951_at
ENSG00000232839	ENST00000548002	55951_at
ENSG00000230341	ENST00000438815	64453_at
ENSG00000206495	ENST00000383601	55951_at
ENSG00000206495	ENST00000400644	55951_at
ENSG00000206495	ENST00000424571	55951_at
ENSG00000206495	ENST00000383603	55951_at
ENSG00000206495	ENST00000447542	55951_at
ENSG00000206495	ENST00000550282	55951_at
ENSG00000228854	ENST00000467546	64453_at
ENSG00000228854	ENST00000446443	64453_at
ENSG00000228854	ENST00000485103	64453_at
ENSG00000228854	ENST00000464436	64453_at
ENSG00000228854	ENST00000422664	64453_at
ENSG00000228854	ENST00000477315	64453_at
ENSG00000228854	ENST00000461144	64453_at
ENSG00000228854	ENST00000427944	64453_at
ENSG00000228854	ENST00000613827	64453_at
ENSG00000224994	ENST00000456425	55951_at
ENSG00000224994	ENST00000438089	55951_at
ENSG00000224994	ENST00000440117	55951_at
ENSG00000224994	ENST00000449318	55951_at
ENSG00000224994	ENST00000414015	55951_at
ENSG00000224994	ENST00000547030	55951_at
ENSG00000234549	ENST00000416917	65029_at
ENSG00000234549	ENST00000432356	54536_at
ENSG00000234549	ENST00000432356	63597_at
ENSG00000234549	ENST00000411724	65029_at
ENSG00000234549	ENST00000457334	54536_at
ENSG00000234549	ENST00000457334	63597_at
ENSG00000234549	ENST00000477838	54536_at
ENSG00000234549	ENST00000477838	63597_at
ENSG00000234549	ENST00000475631	65029_at
ENSG00000234549	ENST00000475631	54536_at
ENSG00000234549	ENST00000475631	63597_at
ENSG00000234549	ENST00000491620	65029_at
ENSG00000234549	ENST00000491620	54536_at
ENSG00000234549	ENST00000491620	63597_at
ENSG00000234549	ENST00000471345	54536_at
ENSG00000234549	ENST00000471345	63597_at
ENSG00000234549	ENST00000460478	65029_at
ENSG00000234549	ENST00000460478	54536_at
ENSG00000234549	ENST00000460478	63597_at
ENSG00000235658	ENST00000449905	65029_at
ENSG00000235658	ENST00000442844	54536_at
ENSG00000235658	ENST00000442844	63597_at
ENSG00000235658	ENST00000423654	65029_at
ENSG00000235658	ENST00000416435	54536_at
ENSG00000235658	ENST00000416435	63597_at
ENSG00000235658	ENST00000472552	54536_at
ENSG00000235658	ENST00000472552	63597_at
ENSG00000235658	ENST00000464565	65029_at
ENSG00000235658	ENST00000464565	54536_at
ENSG00000235658	ENST00000464565	63597_at
ENSG00000235658	ENST00000491201	65029_at
ENSG00000235658	ENST00000491201	54536_at
ENSG00000235658	ENST00000491201	63597_at
ENSG00000235658	ENST00000474976	54536_at
ENSG00000235658	ENST00000474976	63597_at
ENSG00000235658	ENST00000497740	65029_at
ENSG00000235658	ENST00000497740	54536_at
ENSG00000235658	ENST00000497740	63597_at
ENSG00000223887	ENST00000475643	49983_r_at
ENSG00000225060	ENST00000437121	64453_at
ENSG00000275564	ENST00000622157	54741_at
ENSG00000234809	ENST00000482500	64453_at
ENSG00000234809	ENST00000411883	64453_at
ENSG00000234809	ENST00000459649	64453_at
ENSG00000234809	ENST00000460999	64453_at
ENSG00000234809	ENST00000450138	64453_at
ENSG00000234809	ENST00000464509	64453_at
ENSG00000234809	ENST00000488021	64453_at
ENSG00000234809	ENST00000422181	64453_at
ENSG00000234809	ENST00000612190	64453_at
ENSG00000206491	ENST00000493718	49983_r_at
ENSG00000228186	ENST00000469612	49983_r_at
ENSG00000237889	ENST00000487410	59959_at
ENSG00000237889	ENST00000471062	59959_at
ENSG00000275724	ENST00000610406	63791_at
ENSG00000273833	ENST00000614788	57013_s_at
ENSG00000273833	ENST00000614788	62210_at
ENSG00000282765	ENST00000632155	56708_at
ENSG00000282765	ENST00000633256	56708_at
ENSG00000282765	ENST00000631836	56708_at
ENSG00000275621	ENST00000626350	64725_at
ENSG00000275621	ENST00000628214	64725_at
ENSG00000275621	ENST00000611424	64725_at
ENSG00000277421	ENST00000627112	61035_at
ENSG00000277421	ENST00000630760	61035_at
ENSG00000277421	ENST00000616997	61035_at
ENSG00000275949	ENST00000253803	61055_i_at
ENSG00000275949	ENST00000253803	61056_r_at
ENSG00000273896	ENST00000613712	66107_r_at
ENSG00000273896	ENST00000619263	66107_r_at
ENSG00000273896	ENST00000617149	66107_r_at
ENSG00000280944	ENST00000630162	53746_at
