Gene stable ID	Transcript stable ID	AFFY MG U74Bv2 probe
ENSMUSG00000087872	ENSMUST00000157247	116083_at
ENSMUSG00000098752	ENSMUST00000184790	113921_at
ENSMUSG00000099101	ENSMUST00000184358	162704_i_at
ENSMUSG00000095472	ENSMUST00000116723	117145_at
ENSMUSG00000065715	ENSMUST00000083781	104960_at
ENSMUSG00000093323	ENSMUST00000175582	110150_at
ENSMUSG00000116275	ENSMUST00000027736	114329_at
ENSMUSG00000087808	ENSMUST00000157183	163353_at
ENSMUSG00000080665	ENSMUST00000117015	112823_at
ENSMUSG00000080665	ENSMUST00000117015	104825_g_at
ENSMUSG00000106366	ENSMUST00000198802	110201_at
ENSMUSG00000093571	ENSMUST00000176987	112813_at
ENSMUSG00000065353	ENSMUST00000083419	162914_i_at
ENSMUSG00000065939	ENSMUST00000084005	110577_at
ENSMUSG00000093006	ENSMUST00000175265	106866_at
ENSMUSG00000065599	ENSMUST00000083665	110027_at
ENSMUSG00000092730	ENSMUST00000174989	114299_at
ENSMUSG00000093120	ENSMUST00000175379	163311_at
ENSMUSG00000093476	ENSMUST00000175531	112373_at
ENSMUSG00000048406	ENSMUST00000049927	104888_at
ENSMUSG00000099324	ENSMUST00000184992	116210_at
ENSMUSG00000099324	ENSMUST00000184992	112403_at
ENSMUSG00000099145	ENSMUST00000184134	163168_r_at
ENSMUSG00000099075	ENSMUST00000184964	111967_at
ENSMUSG00000093124	ENSMUST00000175383	105607_at
ENSMUSG00000065126	ENSMUST00000083192	162900_at
ENSMUSG00000084516	ENSMUST00000122567	112462_at
ENSMUSG00000092928	ENSMUST00000175187	106841_at
ENSMUSG00000095755	ENSMUST00000178837	163600_at
ENSMUSG00000099284	ENSMUST00000184384	111447_at
ENSMUSG00000073179	ENSMUST00000084451	113827_f_at
ENSMUSG00000104863	ENSMUST00000199921	111896_at
ENSMUSG00000095505	ENSMUST00000178335	114366_r_at
ENSMUSG00000038555	ENSMUST00000043484	109998_at
ENSMUSG00000098817	ENSMUST00000184957	116005_at
ENSMUSG00000104896	ENSMUST00000199460	116081_at
ENSMUSG00000091604	ENSMUST00000163472	105735_at
ENSMUSG00000098663	ENSMUST00000184207	111366_at
ENSMUSG00000093107	ENSMUST00000175366	163462_at
ENSMUSG00000098329	ENSMUST00000183975	106555_at
ENSMUSG00000089596	ENSMUST00000158971	105196_at
ENSMUSG00000105098	ENSMUST00000196300	105956_at
ENSMUSG00000099312	ENSMUST00000184803	105303_at
ENSMUSG00000065453	ENSMUST00000083519	111010_r_at
ENSMUSG00000065453	ENSMUST00000083519	111009_f_at
ENSMUSG00000098686	ENSMUST00000184185	105190_at
ENSMUSG00000064858	ENSMUST00000082924	111070_at
ENSMUSG00000088789	ENSMUST00000158164	110201_at
ENSMUSG00000098399	ENSMUST00000184402	115520_at
ENSMUSG00000065607	ENSMUST00000083673	106501_at
ENSMUSG00000076066	ENSMUST00000102112	113322_at
ENSMUSG00000077192	ENSMUST00000104004	111070_at
ENSMUSG00000093355	ENSMUST00000175614	108957_at
ENSMUSG00000098265	ENSMUST00000184347	110435_at
ENSMUSG00000092981	ENSMUST00000175240	162708_at
ENSMUSG00000105200	ENSMUST00000198300	116510_at
ENSMUSG00000079764	ENSMUST00000115902	163600_at
ENSMUSG00000098431	ENSMUST00000183849	163830_at
ENSMUSG00000089317	ENSMUST00000158692	108956_at
ENSMUSG00000105884	ENSMUST00000197029	162900_at
ENSMUSG00000098792	ENSMUST00000184052	105643_at
ENSMUSG00000065669	ENSMUST00000083735	117164_g_at
ENSMUSG00000051412	ENSMUST00000051100	163280_i_at
ENSMUSG00000065592	ENSMUST00000083658	115305_at
ENSMUSG00000088658	ENSMUST00000158033	115520_at
ENSMUSG00000080540	ENSMUST00000116890	162900_at
ENSMUSG00000099254	ENSMUST00000183566	107608_at
ENSMUSG00000099254	ENSMUST00000183566	164680_s_at
ENSMUSG00000093529	ENSMUST00000176951	112944_at
ENSMUSG00000064841	ENSMUST00000082907	111772_at
ENSMUSG00000065475	ENSMUST00000083541	110027_at
ENSMUSG00000088008	ENSMUST00000157383	109160_at
ENSMUSG00000099136	ENSMUST00000184822	163120_at
ENSMUSG00000089253	ENSMUST00000158628	106074_at
ENSMUSG00000065061	ENSMUST00000083127	105520_at
ENSMUSG00000099081	ENSMUST00000185047	110435_at
ENSMUSG00000094576	ENSMUST00000179935	163600_at
ENSMUSG00000042622	ENSMUST00000229130	163984_at
ENSMUSG00000042622	ENSMUST00000096350	163984_at
ENSMUSG00000042622	ENSMUST00000163691	163984_at
ENSMUSG00000042622	ENSMUST00000229285	163984_at
ENSMUSG00000057335	ENSMUST00000192664	113443_r_at
ENSMUSG00000057335	ENSMUST00000195717	104876_at
ENSMUSG00000057335	ENSMUST00000195717	113443_r_at
ENSMUSG00000057335	ENSMUST00000194727	104876_at
ENSMUSG00000057335	ENSMUST00000194727	113443_r_at
ENSMUSG00000057335	ENSMUST00000194489	113443_r_at
ENSMUSG00000057335	ENSMUST00000192927	113443_r_at
ENSMUSG00000057335	ENSMUST00000195433	104876_at
ENSMUSG00000057335	ENSMUST00000195433	113443_r_at
ENSMUSG00000057335	ENSMUST00000194984	113443_r_at
ENSMUSG00000057335	ENSMUST00000192961	104876_at
ENSMUSG00000057335	ENSMUST00000057037	104876_at
ENSMUSG00000057335	ENSMUST00000057037	113443_r_at
ENSMUSG00000024754	ENSMUST00000025663	108780_at
ENSMUSG00000024754	ENSMUST00000025663	111029_at
ENSMUSG00000024754	ENSMUST00000096194	108780_at
ENSMUSG00000024754	ENSMUST00000096194	111029_at
ENSMUSG00000038437	ENSMUST00000044730	109755_at
ENSMUSG00000038437	ENSMUST00000044730	106245_at
ENSMUSG00000038437	ENSMUST00000107586	109755_at
ENSMUSG00000038437	ENSMUST00000107586	106245_at
ENSMUSG00000021585	ENSMUST00000222588	109301_i_at
ENSMUSG00000021585	ENSMUST00000223206	109301_i_at
ENSMUSG00000083307	ENSMUST00000121924	105529_at
ENSMUSG00000029648	ENSMUST00000110529	106503_at
ENSMUSG00000054675	ENSMUST00000067853	113196_at
ENSMUSG00000054675	ENSMUST00000160374	113196_at
ENSMUSG00000054414	ENSMUST00000198571	106033_at
ENSMUSG00000054414	ENSMUST00000067485	105008_at
ENSMUSG00000054414	ENSMUST00000067485	106033_at
ENSMUSG00000054414	ENSMUST00000067485	108532_at
ENSMUSG00000053897	ENSMUST00000081978	112237_at
ENSMUSG00000053897	ENSMUST00000029810	112237_at
ENSMUSG00000053897	ENSMUST00000133810	112237_at
ENSMUSG00000053897	ENSMUST00000167390	112237_at
ENSMUSG00000053897	ENSMUST00000180196	112237_at
ENSMUSG00000014601	ENSMUST00000200049	113207_at
ENSMUSG00000014601	ENSMUST00000064759	113207_at
ENSMUSG00000014601	ENSMUST00000196416	113207_at
ENSMUSG00000009418	ENSMUST00000067414	109640_at
ENSMUSG00000009418	ENSMUST00000067414	115820_at
ENSMUSG00000009418	ENSMUST00000067414	110186_at
ENSMUSG00000009418	ENSMUST00000190298	109640_at
ENSMUSG00000009418	ENSMUST00000190298	115820_at
ENSMUSG00000009418	ENSMUST00000190298	110186_at
ENSMUSG00000009418	ENSMUST00000040599	109640_at
ENSMUSG00000009418	ENSMUST00000040599	115820_at
ENSMUSG00000009418	ENSMUST00000040599	110186_at
ENSMUSG00000057346	ENSMUST00000089452	108484_at
ENSMUSG00000057346	ENSMUST00000081776	108484_at
ENSMUSG00000057346	ENSMUST00000231161	108484_at
ENSMUSG00000009585	ENSMUST00000175714	115111_at
ENSMUSG00000009585	ENSMUST00000175714	112704_at
ENSMUSG00000009585	ENSMUST00000177006	115111_at
ENSMUSG00000009585	ENSMUST00000177006	112704_at
ENSMUSG00000009585	ENSMUST00000175752	115111_at
ENSMUSG00000009585	ENSMUST00000175752	112704_at
ENSMUSG00000009585	ENSMUST00000176325	115111_at
ENSMUSG00000009585	ENSMUST00000176325	112704_at
ENSMUSG00000009585	ENSMUST00000023054	115111_at
ENSMUSG00000009585	ENSMUST00000023054	112704_at
ENSMUSG00000009585	ENSMUST00000175801	115111_at
ENSMUSG00000009585	ENSMUST00000230135	115111_at
ENSMUSG00000009585	ENSMUST00000230135	112704_at
ENSMUSG00000009585	ENSMUST00000176644	115111_at
ENSMUSG00000009585	ENSMUST00000176644	112704_at
ENSMUSG00000009585	ENSMUST00000230741	115111_at
ENSMUSG00000009585	ENSMUST00000175827	115111_at
ENSMUSG00000009585	ENSMUST00000175827	112704_at
ENSMUSG00000009585	ENSMUST00000109620	115111_at
ENSMUSG00000009585	ENSMUST00000109620	112704_at
ENSMUSG00000009585	ENSMUST00000165537	115111_at
ENSMUSG00000009585	ENSMUST00000165537	112704_at
ENSMUSG00000020137	ENSMUST00000218842	116958_at
ENSMUSG00000020137	ENSMUST00000020346	116958_at
ENSMUSG00000020137	ENSMUST00000218989	106454_at
ENSMUSG00000036934	ENSMUST00000047749	163017_i_at
ENSMUSG00000010830	ENSMUST00000010974	112922_i_at
ENSMUSG00000028546	ENSMUST00000106603	163986_at
ENSMUSG00000028546	ENSMUST00000102723	163986_at
ENSMUSG00000028546	ENSMUST00000106598	163986_at
ENSMUSG00000028546	ENSMUST00000106597	163986_at
ENSMUSG00000028546	ENSMUST00000102722	163986_at
ENSMUSG00000028546	ENSMUST00000106600	163986_at
ENSMUSG00000028546	ENSMUST00000106601	163986_at
ENSMUSG00000062949	ENSMUST00000154051	111439_at
ENSMUSG00000062949	ENSMUST00000154051	111143_at
ENSMUSG00000062949	ENSMUST00000133295	111143_at
ENSMUSG00000062949	ENSMUST00000033480	111439_at
ENSMUSG00000062949	ENSMUST00000033480	111143_at
ENSMUSG00000062949	ENSMUST00000101527	111439_at
ENSMUSG00000062949	ENSMUST00000101527	111143_at
ENSMUSG00000038323	ENSMUST00000042734	164209_at
ENSMUSG00000033308	ENSMUST00000039177	111949_at
ENSMUSG00000034623	ENSMUST00000171503	115716_at
ENSMUSG00000034623	ENSMUST00000089338	115716_at
ENSMUSG00000090272	ENSMUST00000187636	104915_at
ENSMUSG00000025323	ENSMUST00000026367	115515_at
ENSMUSG00000025323	ENSMUST00000026367	105441_at
ENSMUSG00000028159	ENSMUST00000029806	114827_at
ENSMUSG00000028159	ENSMUST00000029806	164062_at
ENSMUSG00000028159	ENSMUST00000136613	114827_at
ENSMUSG00000028159	ENSMUST00000136613	164062_at
ENSMUSG00000028159	ENSMUST00000184222	114827_at
ENSMUSG00000028159	ENSMUST00000184222	164062_at
ENSMUSG00000028159	ENSMUST00000124827	114827_at
ENSMUSG00000028159	ENSMUST00000124827	164062_at
ENSMUSG00000028159	ENSMUST00000154716	114827_at
ENSMUSG00000028159	ENSMUST00000154716	164062_at
ENSMUSG00000086438	ENSMUST00000156292	110673_at
ENSMUSG00000027380	ENSMUST00000028859	116535_at
ENSMUSG00000027380	ENSMUST00000110344	116535_at
ENSMUSG00000000792	ENSMUST00000000809	108876_at
ENSMUSG00000037922	ENSMUST00000196159	113327_at
ENSMUSG00000037922	ENSMUST00000041577	113327_at
ENSMUSG00000037922	ENSMUST00000198206	113327_at
ENSMUSG00000037922	ENSMUST00000196131	113327_at
ENSMUSG00000037922	ENSMUST00000199902	113327_at
ENSMUSG00000031927	ENSMUST00000188350	163726_at
ENSMUSG00000031927	ENSMUST00000191047	163726_at
ENSMUSG00000031927	ENSMUST00000060330	163726_at
ENSMUSG00000016552	ENSMUST00000016696	114724_at
ENSMUSG00000016552	ENSMUST00000140096	114724_at
ENSMUSG00000016552	ENSMUST00000117725	114724_at
ENSMUSG00000006378	ENSMUST00000006544	164099_at
ENSMUSG00000024646	ENSMUST00000159846	115979_at
ENSMUSG00000025538	ENSMUST00000171300	106993_at
ENSMUSG00000025538	ENSMUST00000137357	106993_at
ENSMUSG00000025538	ENSMUST00000153063	106993_at
ENSMUSG00000025538	ENSMUST00000122826	106993_at
ENSMUSG00000078439	ENSMUST00000105322	113984_f_at
ENSMUSG00000078439	ENSMUST00000118206	113984_f_at
ENSMUSG00000078439	ENSMUST00000129083	113984_f_at
ENSMUSG00000020687	ENSMUST00000093923	112728_at
ENSMUSG00000020687	ENSMUST00000093923	115813_at
ENSMUSG00000073758	ENSMUST00000094760	162779_i_at
ENSMUSG00000073758	ENSMUST00000142891	162779_i_at
ENSMUSG00000073758	ENSMUST00000097891	162779_i_at
ENSMUSG00000073758	ENSMUST00000152402	162779_i_at
ENSMUSG00000073758	ENSMUST00000141638	162779_i_at
ENSMUSG00000031700	ENSMUST00000034136	113915_at
ENSMUSG00000031700	ENSMUST00000132932	113915_at
ENSMUSG00000031700	ENSMUST00000143846	113915_at
ENSMUSG00000060260	ENSMUST00000093993	163795_at
ENSMUSG00000060260	ENSMUST00000172136	163795_at
ENSMUSG00000060260	ENSMUST00000209721	163795_at
ENSMUSG00000032741	ENSMUST00000046426	108515_at
ENSMUSG00000026623	ENSMUST00000110855	163640_at
ENSMUSG00000026623	ENSMUST00000110855	110482_at
ENSMUSG00000026623	ENSMUST00000110856	163640_at
ENSMUSG00000026623	ENSMUST00000110856	110482_at
ENSMUSG00000026632	ENSMUST00000110893	115483_at
ENSMUSG00000026632	ENSMUST00000085633	115483_at
ENSMUSG00000026632	ENSMUST00000110891	115483_at
ENSMUSG00000026632	ENSMUST00000027945	115483_at
ENSMUSG00000026632	ENSMUST00000156341	115483_at
ENSMUSG00000087075	ENSMUST00000150384	105316_at
ENSMUSG00000022864	ENSMUST00000231973	105192_at
ENSMUSG00000022864	ENSMUST00000231973	105326_at
ENSMUSG00000022864	ENSMUST00000231973	113024_at
ENSMUSG00000022864	ENSMUST00000231973	110128_at
ENSMUSG00000022864	ENSMUST00000232052	105192_at
ENSMUSG00000022864	ENSMUST00000232052	105326_at
ENSMUSG00000022864	ENSMUST00000232052	113024_at
ENSMUSG00000022864	ENSMUST00000232052	110128_at
ENSMUSG00000022864	ENSMUST00000114220	105192_at
ENSMUSG00000022864	ENSMUST00000114220	113024_at
ENSMUSG00000022864	ENSMUST00000114220	110128_at
ENSMUSG00000022864	ENSMUST00000114219	113024_at
ENSMUSG00000022864	ENSMUST00000114219	110128_at
ENSMUSG00000022864	ENSMUST00000232528	113024_at
ENSMUSG00000022864	ENSMUST00000114218	113024_at
ENSMUSG00000059475	ENSMUST00000168095	162566_at
ENSMUSG00000059475	ENSMUST00000115562	162566_at
ENSMUSG00000059475	ENSMUST00000167457	162566_at
ENSMUSG00000059475	ENSMUST00000169558	162566_at
ENSMUSG00000059475	ENSMUST00000080386	162566_at
ENSMUSG00000059475	ENSMUST00000166005	162566_at
ENSMUSG00000022403	ENSMUST00000172107	112365_at
ENSMUSG00000022403	ENSMUST00000023039	112365_at
ENSMUSG00000022403	ENSMUST00000230906	111195_at
ENSMUSG00000044034	ENSMUST00000106194	115302_at
ENSMUSG00000044034	ENSMUST00000106195	115302_at
ENSMUSG00000044034	ENSMUST00000061309	115302_at
ENSMUSG00000083567	ENSMUST00000118946	162733_at
ENSMUSG00000029403	ENSMUST00000069937	111146_at
ENSMUSG00000029403	ENSMUST00000086978	111146_at
ENSMUSG00000029403	ENSMUST00000113143	111146_at
ENSMUSG00000029403	ENSMUST00000113140	111146_at
ENSMUSG00000029403	ENSMUST00000136037	111146_at
ENSMUSG00000024645	ENSMUST00000025547	108079_at
ENSMUSG00000024645	ENSMUST00000235640	108079_at
ENSMUSG00000024645	ENSMUST00000236812	108079_at
ENSMUSG00000024645	ENSMUST00000235629	108079_at
ENSMUSG00000024645	ENSMUST00000237949	108079_at
ENSMUSG00000024645	ENSMUST00000235745	108079_at
ENSMUSG00000024645	ENSMUST00000235591	108079_at
ENSMUSG00000035522	ENSMUST00000049420	112945_at
ENSMUSG00000045039	ENSMUST00000128119	116688_at
ENSMUSG00000045039	ENSMUST00000153077	116688_at
ENSMUSG00000031813	ENSMUST00000034272	113656_at
ENSMUSG00000031813	ENSMUST00000212336	113656_at
ENSMUSG00000068252	ENSMUST00000089469	116544_at
ENSMUSG00000068252	ENSMUST00000229434	116544_at
ENSMUSG00000070354	ENSMUST00000093983	110451_at
ENSMUSG00000070354	ENSMUST00000170422	110451_at
ENSMUSG00000039208	ENSMUST00000106089	109917_at
ENSMUSG00000039208	ENSMUST00000036742	109917_at
ENSMUSG00000039208	ENSMUST00000125580	109917_at
ENSMUSG00000027963	ENSMUST00000029575	162970_at
ENSMUSG00000027963	ENSMUST00000106501	162970_at
ENSMUSG00000027963	ENSMUST00000106502	162970_at
ENSMUSG00000021779	ENSMUST00000022303	117127_at
ENSMUSG00000021779	ENSMUST00000022304	117127_at
ENSMUSG00000043639	ENSMUST00000161856	163941_at
ENSMUSG00000010064	ENSMUST00000167868	110292_at
ENSMUSG00000010064	ENSMUST00000010208	110292_at
ENSMUSG00000010064	ENSMUST00000194895	110292_at
ENSMUSG00000010064	ENSMUST00000193932	110292_at
ENSMUSG00000010064	ENSMUST00000177567	110292_at
ENSMUSG00000085006	ENSMUST00000136988	114658_at
ENSMUSG00000085006	ENSMUST00000126387	114658_at
ENSMUSG00000031949	ENSMUST00000034427	114935_at
ENSMUSG00000027300	ENSMUST00000028761	109642_at
ENSMUSG00000027474	ENSMUST00000127898	164196_at
ENSMUSG00000027474	ENSMUST00000238488	164196_at
ENSMUSG00000027474	ENSMUST00000109800	164196_at
ENSMUSG00000029229	ENSMUST00000075452	115862_at
ENSMUSG00000033790	ENSMUST00000032627	110343_f_at
ENSMUSG00000033790	ENSMUST00000206191	110343_f_at
ENSMUSG00000033790	ENSMUST00000205796	110343_f_at
ENSMUSG00000033790	ENSMUST00000205779	104933_at
ENSMUSG00000033790	ENSMUST00000205718	104933_at
ENSMUSG00000033790	ENSMUST00000205311	110343_f_at
ENSMUSG00000033790	ENSMUST00000206133	110343_f_at
ENSMUSG00000032293	ENSMUST00000034843	113696_at
ENSMUSG00000023033	ENSMUST00000108909	105825_at
ENSMUSG00000023033	ENSMUST00000108910	105825_at
ENSMUSG00000023033	ENSMUST00000082209	105825_at
ENSMUSG00000039512	ENSMUST00000114849	111568_at
ENSMUSG00000039512	ENSMUST00000114849	110118_at
ENSMUSG00000027219	ENSMUST00000110525	112903_at
ENSMUSG00000027219	ENSMUST00000110524	112903_at
ENSMUSG00000027219	ENSMUST00000153848	112903_at
ENSMUSG00000027219	ENSMUST00000028652	112903_at
ENSMUSG00000027478	ENSMUST00000072997	115066_at
ENSMUSG00000027478	ENSMUST00000072997	164028_at
ENSMUSG00000027478	ENSMUST00000109773	115066_at
ENSMUSG00000027478	ENSMUST00000109773	164028_at
ENSMUSG00000027478	ENSMUST00000109774	115066_at
ENSMUSG00000027478	ENSMUST00000109774	164028_at
ENSMUSG00000027478	ENSMUST00000081628	115066_at
ENSMUSG00000027478	ENSMUST00000081628	164028_at
ENSMUSG00000027478	ENSMUST00000103151	115066_at
ENSMUSG00000027478	ENSMUST00000103151	164028_at
ENSMUSG00000027478	ENSMUST00000088976	115066_at
ENSMUSG00000027478	ENSMUST00000088976	164028_at
ENSMUSG00000027478	ENSMUST00000109772	115066_at
ENSMUSG00000027478	ENSMUST00000109772	164028_at
ENSMUSG00000027478	ENSMUST00000103150	115066_at
ENSMUSG00000027478	ENSMUST00000103150	164028_at
ENSMUSG00000027478	ENSMUST00000109771	115066_at
ENSMUSG00000027478	ENSMUST00000109771	164028_at
ENSMUSG00000027478	ENSMUST00000056495	115066_at
ENSMUSG00000027478	ENSMUST00000056495	164028_at
ENSMUSG00000032013	ENSMUST00000034511	108513_at
ENSMUSG00000032013	ENSMUST00000217067	108513_at
ENSMUSG00000037703	ENSMUST00000089561	105905_at
ENSMUSG00000037703	ENSMUST00000110260	105905_at
ENSMUSG00000037703	ENSMUST00000045761	105905_at
ENSMUSG00000106052	ENSMUST00000197030	115598_at
ENSMUSG00000043664	ENSMUST00000052072	104857_at
ENSMUSG00000020847	ENSMUST00000121287	115572_at
ENSMUSG00000027520	ENSMUST00000239483	105960_at
ENSMUSG00000027520	ENSMUST00000239483	163973_at
ENSMUSG00000027520	ENSMUST00000114132	105960_at
ENSMUSG00000027520	ENSMUST00000114132	163973_at
ENSMUSG00000027520	ENSMUST00000029025	105960_at
ENSMUSG00000027520	ENSMUST00000029025	163973_at
ENSMUSG00000033722	ENSMUST00000185937	112500_at
ENSMUSG00000033722	ENSMUST00000186156	112500_at
ENSMUSG00000033722	ENSMUST00000035914	112500_at
ENSMUSG00000036478	ENSMUST00000038377	114238_at
ENSMUSG00000038187	ENSMUST00000117577	113200_at
ENSMUSG00000038187	ENSMUST00000047091	113200_at
ENSMUSG00000038187	ENSMUST00000119278	113200_at
ENSMUSG00000038187	ENSMUST00000135510	113200_at
ENSMUSG00000032306	ENSMUST00000034856	162874_at
ENSMUSG00000035506	ENSMUST00000122314	105067_at
ENSMUSG00000035506	ENSMUST00000059056	105067_at
ENSMUSG00000053783	ENSMUST00000066408	105129_at
ENSMUSG00000028057	ENSMUST00000170377	107431_at
ENSMUSG00000028057	ENSMUST00000166234	107431_at
ENSMUSG00000031103	ENSMUST00000114958	116149_at
ENSMUSG00000031103	ENSMUST00000033429	116149_at
ENSMUSG00000043962	ENSMUST00000080919	107274_at
ENSMUSG00000043962	ENSMUST00000106142	107274_at
ENSMUSG00000043962	ENSMUST00000163306	107274_at
ENSMUSG00000062510	ENSMUST00000076952	113481_at
ENSMUSG00000074476	ENSMUST00000098942	110297_at
ENSMUSG00000074476	ENSMUST00000217382	110297_at
ENSMUSG00000074476	ENSMUST00000213665	110297_at
ENSMUSG00000074476	ENSMUST00000216057	110297_at
ENSMUSG00000074476	ENSMUST00000214149	110297_at
ENSMUSG00000043460	ENSMUST00000229441	105680_at
ENSMUSG00000027351	ENSMUST00000028829	111125_at
ENSMUSG00000027351	ENSMUST00000028829	163565_at
ENSMUSG00000027351	ENSMUST00000028829	116259_at
ENSMUSG00000027351	ENSMUST00000028829	107830_at
ENSMUSG00000027351	ENSMUST00000028829	116526_at
ENSMUSG00000025743	ENSMUST00000070478	109737_at
ENSMUSG00000028034	ENSMUST00000166984	164158_at
ENSMUSG00000028034	ENSMUST00000199202	164158_at
ENSMUSG00000028034	ENSMUST00000200524	164158_at
ENSMUSG00000028034	ENSMUST00000198227	114718_at
ENSMUSG00000028034	ENSMUST00000198227	105641_at
ENSMUSG00000028034	ENSMUST00000198227	164158_at
ENSMUSG00000028034	ENSMUST00000196739	164158_at
ENSMUSG00000028034	ENSMUST00000196062	164158_at
ENSMUSG00000028034	ENSMUST00000196695	164158_at
ENSMUSG00000028034	ENSMUST00000199876	164158_at
ENSMUSG00000028034	ENSMUST00000200452	164158_at
ENSMUSG00000028034	ENSMUST00000199127	114718_at
ENSMUSG00000028034	ENSMUST00000199127	105641_at
ENSMUSG00000028034	ENSMUST00000198539	105641_at
ENSMUSG00000028034	ENSMUST00000106121	164158_at
ENSMUSG00000030031	ENSMUST00000032107	109351_r_at
ENSMUSG00000030031	ENSMUST00000032107	109350_f_at
ENSMUSG00000030031	ENSMUST00000032107	105079_at
ENSMUSG00000030031	ENSMUST00000119582	109351_r_at
ENSMUSG00000030031	ENSMUST00000119582	109350_f_at
ENSMUSG00000030031	ENSMUST00000119582	105079_at
ENSMUSG00000052951	ENSMUST00000147294	109447_at
ENSMUSG00000081583	ENSMUST00000118590	108399_at
ENSMUSG00000023952	ENSMUST00000165686	114507_at
ENSMUSG00000016921	ENSMUST00000193611	106280_at
ENSMUSG00000016921	ENSMUST00000130411	106280_at
ENSMUSG00000099708	ENSMUST00000183323	108852_at
ENSMUSG00000010608	ENSMUST00000181983	113937_at
ENSMUSG00000010608	ENSMUST00000048155	113937_at
ENSMUSG00000010608	ENSMUST00000182618	113937_at
ENSMUSG00000010608	ENSMUST00000182036	113937_at
ENSMUSG00000010608	ENSMUST00000182633	113937_at
ENSMUSG00000010608	ENSMUST00000182881	115593_at
ENSMUSG00000010608	ENSMUST00000183128	113937_at
ENSMUSG00000010608	ENSMUST00000182450	113937_at
ENSMUSG00000010608	ENSMUST00000182255	113937_at
ENSMUSG00000010608	ENSMUST00000182255	163456_at
ENSMUSG00000010608	ENSMUST00000183039	113937_at
ENSMUSG00000024039	ENSMUST00000236853	162610_at
