Gene stable ID	Transcript stable ID	AFFY MOE430A probe
ENSMUSG00000098550	ENSMUST00000184697	1460581_a_at
ENSMUSG00000099110	ENSMUST00000183910	1422702_at
ENSMUSG00000077185	ENSMUST00000103997	1429077_x_at
ENSMUSG00000077185	ENSMUST00000103997	1455767_x_at
ENSMUSG00000095530	ENSMUST00000082962	1416661_at
ENSMUSG00000095763	ENSMUST00000178318	1456598_at
ENSMUSG00000092680	ENSMUST00000174939	1436760_a_at
ENSMUSG00000077167	ENSMUST00000103979	1416300_a_at
ENSMUSG00000088351	ENSMUST00000157726	1456373_x_at
ENSMUSG00000088351	ENSMUST00000157726	1456436_x_at
ENSMUSG00000065124	ENSMUST00000083190	1435655_at
ENSMUSG00000091105	ENSMUST00000164169	1423823_at
ENSMUSG00000098531	ENSMUST00000183891	1449893_a_at
ENSMUSG00000098531	ENSMUST00000183891	1434210_s_at
ENSMUSG00000074412	ENSMUST00000098864	1460175_at
ENSMUSG00000062783	ENSMUST00000078827	1422141_s_at
ENSMUSG00000062783	ENSMUST00000078827	1460416_s_at
ENSMUSG00000062783	ENSMUST00000078827	1435792_at
ENSMUSG00000062783	ENSMUST00000078827	1422140_at
ENSMUSG00000096842	ENSMUST00000179668	1455578_x_at
ENSMUSG00000096842	ENSMUST00000179668	1422623_x_at
ENSMUSG00000092650	ENSMUST00000174909	1415779_s_at
ENSMUSG00000062461	ENSMUST00000080866	1426661_at
ENSMUSG00000051548	ENSMUST00000054711	1423409_a_at
ENSMUSG00000064741	ENSMUST00000082807	1438794_x_at
ENSMUSG00000064741	ENSMUST00000082807	1448142_x_at
ENSMUSG00000064741	ENSMUST00000082807	1415913_at
ENSMUSG00000095585	ENSMUST00000179075	1449277_at
ENSMUSG00000065430	ENSMUST00000083496	1423661_s_at
ENSMUSG00000065430	ENSMUST00000083496	1423660_at
ENSMUSG00000098596	ENSMUST00000184953	1420843_at
ENSMUSG00000098596	ENSMUST00000184953	1420841_at
ENSMUSG00000065782	ENSMUST00000083848	1439399_a_at
ENSMUSG00000065782	ENSMUST00000083848	1454703_x_at
ENSMUSG00000065782	ENSMUST00000083848	1437658_a_at
ENSMUSG00000065516	ENSMUST00000083582	1427298_at
ENSMUSG00000093314	ENSMUST00000175573	1429207_at
ENSMUSG00000094474	ENSMUST00000177582	1456598_at
ENSMUSG00000099035	ENSMUST00000184661	1418269_at
ENSMUSG00000096776	ENSMUST00000177783	1460301_at
ENSMUSG00000098996	ENSMUST00000183491	1450200_s_at
ENSMUSG00000077886	ENSMUST00000104694	1444292_at
ENSMUSG00000015126	ENSMUST00000063574	1437969_s_at
ENSMUSG00000076275	ENSMUST00000102320	1448194_a_at
ENSMUSG00000094054	ENSMUST00000179487	1422141_s_at
ENSMUSG00000094054	ENSMUST00000179487	1460416_s_at
ENSMUSG00000094054	ENSMUST00000179487	1422140_at
ENSMUSG00000096968	ENSMUST00000180542	1430891_at
ENSMUSG00000065281	ENSMUST00000083347	1433675_at
ENSMUSG00000065281	ENSMUST00000083347	1454703_x_at
ENSMUSG00000065281	ENSMUST00000083347	1437658_a_at
ENSMUSG00000096506	ENSMUST00000115904	1449277_at
ENSMUSG00000076036	ENSMUST00000102082	1418364_a_at
ENSMUSG00000099062	ENSMUST00000183991	1427980_at
ENSMUSG00000065642	ENSMUST00000083708	1450840_a_at
ENSMUSG00000065087	ENSMUST00000083153	1439399_a_at
ENSMUSG00000065087	ENSMUST00000083153	1454703_x_at
ENSMUSG00000065087	ENSMUST00000083153	1437658_a_at
ENSMUSG00000098992	ENSMUST00000184365	1416219_at
ENSMUSG00000064901	ENSMUST00000082967	1460680_a_at
ENSMUSG00000098346	ENSMUST00000184483	1418779_at
ENSMUSG00000064968	ENSMUST00000083034	1455904_at
ENSMUSG00000098617	ENSMUST00000184085	1436713_s_at
ENSMUSG00000088769	ENSMUST00000158144	1434181_at
ENSMUSG00000094403	ENSMUST00000102081	1422302_s_at
ENSMUSG00000094403	ENSMUST00000102081	1418364_a_at
ENSMUSG00000064981	ENSMUST00000083047	1448157_s_at
ENSMUSG00000098666	ENSMUST00000184438	1452436_at
ENSMUSG00000091989	ENSMUST00000166096	1428159_s_at
ENSMUSG00000065007	ENSMUST00000083073	1422209_s_at
ENSMUSG00000092656	ENSMUST00000174915	1422205_at
ENSMUSG00000098661	ENSMUST00000184821	1449046_a_at
ENSMUSG00000105780	ENSMUST00000199023	1455904_at
ENSMUSG00000072693	ENSMUST00000100848	1422307_at
ENSMUSG00000098856	ENSMUST00000184956	1452389_at
ENSMUSG00000077440	ENSMUST00000104252	1433432_x_at
ENSMUSG00000077440	ENSMUST00000104252	1416453_x_at
ENSMUSG00000098291	ENSMUST00000183646	1419135_at
ENSMUSG00000096006	ENSMUST00000178049	1425048_a_at
ENSMUSG00000096006	ENSMUST00000178049	1448235_s_at
ENSMUSG00000096006	ENSMUST00000178049	1439463_x_at
ENSMUSG00000096006	ENSMUST00000178049	1435324_x_at
ENSMUSG00000105238	ENSMUST00000195897	1452540_a_at
ENSMUSG00000093185	ENSMUST00000175444	1433816_at
ENSMUSG00000099096	ENSMUST00000184300	1417959_at
ENSMUSG00000099043	ENSMUST00000183749	1417501_at
ENSMUSG00000080463	ENSMUST00000116813	1424843_a_at
ENSMUSG00000080463	ENSMUST00000116813	1436222_at
ENSMUSG00000077431	ENSMUST00000104243	1454061_at
ENSMUSG00000106252	ENSMUST00000196622	1415782_at
ENSMUSG00000106252	ENSMUST00000196622	1415781_a_at
ENSMUSG00000065818	ENSMUST00000083884	1433928_a_at
ENSMUSG00000065818	ENSMUST00000083884	1435873_a_at
ENSMUSG00000065818	ENSMUST00000083884	1455485_x_at
ENSMUSG00000065818	ENSMUST00000083884	1455001_x_at
ENSMUSG00000098445	ENSMUST00000184774	1417314_at
ENSMUSG00000106264	ENSMUST00000196502	1424481_s_at
ENSMUSG00000077734	ENSMUST00000104546	1449323_a_at
ENSMUSG00000094210	ENSMUST00000178285	1451864_at
ENSMUSG00000084535	ENSMUST00000122586	1436713_s_at
ENSMUSG00000064634	ENSMUST00000082700	1436558_at
ENSMUSG00000093208	ENSMUST00000175467	1452052_s_at
ENSMUSG00000093208	ENSMUST00000175467	1426394_at
ENSMUSG00000076999	ENSMUST00000103811	1460543_x_at
ENSMUSG00000092784	ENSMUST00000175043	1419444_at
ENSMUSG00000092784	ENSMUST00000175043	1419445_s_at
ENSMUSG00000076068	ENSMUST00000102114	1416844_at
ENSMUSG00000076068	ENSMUST00000102114	1437234_x_at
ENSMUSG00000096634	ENSMUST00000101891	1427598_at
ENSMUSG00000064823	ENSMUST00000082889	1415773_at
ENSMUSG00000064994	ENSMUST00000083060	1424333_at
ENSMUSG00000064455	ENSMUST00000082521	1455767_x_at
ENSMUSG00000105497	ENSMUST00000196210	1459927_at
ENSMUSG00000064791	ENSMUST00000082857	1420623_x_at
ENSMUSG00000064791	ENSMUST00000082857	1431182_at
ENSMUSG00000064791	ENSMUST00000082857	1420622_a_at
ENSMUSG00000064791	ENSMUST00000082857	1455789_x_at
ENSMUSG00000095456	ENSMUST00000179253	1417505_s_at
ENSMUSG00000092953	ENSMUST00000175212	1415779_s_at
ENSMUSG00000117327	ENSMUST00000232683	1460198_a_at
ENSMUSG00000117327	ENSMUST00000232683	1417052_at
ENSMUSG00000078032	ENSMUST00000104838	1444292_at
ENSMUSG00000098279	ENSMUST00000184056	1427930_at
ENSMUSG00000096244	ENSMUST00000177979	1450343_at
ENSMUSG00000084478	ENSMUST00000122529	1451349_at
ENSMUSG00000105060	ENSMUST00000199062	1448252_a_at
ENSMUSG00000025218	ENSMUST00000026239	1449352_at
ENSMUSG00000089512	ENSMUST00000158887	1450986_at
ENSMUSG00000065579	ENSMUST00000083645	1459927_at
ENSMUSG00000099024	ENSMUST00000184771	1434434_s_at
ENSMUSG00000099024	ENSMUST00000184771	1421033_a_at
ENSMUSG00000064871	ENSMUST00000082937	1423855_x_at
ENSMUSG00000064871	ENSMUST00000082937	1435791_x_at
ENSMUSG00000098608	ENSMUST00000184293	1419833_s_at
ENSMUSG00000098608	ENSMUST00000184293	1451282_at
ENSMUSG00000094599	ENSMUST00000178370	1427598_at
ENSMUSG00000070063	ENSMUST00000093556	1433432_x_at
ENSMUSG00000065226	ENSMUST00000083292	1436558_at
ENSMUSG00000098646	ENSMUST00000183876	1423820_at
ENSMUSG00000098624	ENSMUST00000184197	1417655_a_at
ENSMUSG00000093645	ENSMUST00000175746	1426533_at
ENSMUSG00000106440	ENSMUST00000200264	1452540_a_at
ENSMUSG00000093264	ENSMUST00000175523	1415779_s_at
ENSMUSG00000096190	ENSMUST00000179955	1427598_at
ENSMUSG00000092781	ENSMUST00000175040	1416182_at
ENSMUSG00000076445	ENSMUST00000103246	1460543_x_at
ENSMUSG00000076445	ENSMUST00000103246	1416217_a_at
ENSMUSG00000089002	ENSMUST00000158377	1448157_s_at
ENSMUSG00000098953	ENSMUST00000184511	1450211_at
ENSMUSG00000064424	ENSMUST00000082490	1452651_a_at
ENSMUSG00000104552	ENSMUST00000197446	1450934_at
ENSMUSG00000074922	ENSMUST00000099556	1450411_at
ENSMUSG00000074922	ENSMUST00000099556	1430769_s_at
ENSMUSG00000076230	ENSMUST00000102275	1460543_x_at
ENSMUSG00000092827	ENSMUST00000175086	1434358_x_at
ENSMUSG00000092827	ENSMUST00000175086	1433549_x_at
ENSMUSG00000092827	ENSMUST00000175086	1433721_x_at
ENSMUSG00000095299	ENSMUST00000175463	1417615_a_at
ENSMUSG00000074108	ENSMUST00000098432	1415942_at
ENSMUSG00000077709	ENSMUST00000104521	1422156_a_at
ENSMUSG00000064514	ENSMUST00000082580	1425183_a_at
ENSMUSG00000105913	ENSMUST00000198528	1433928_a_at
ENSMUSG00000105913	ENSMUST00000198528	1435873_a_at
ENSMUSG00000105913	ENSMUST00000198528	1455485_x_at
ENSMUSG00000105913	ENSMUST00000198528	1455001_x_at
ENSMUSG00000105913	ENSMUST00000198528	1417608_a_at
ENSMUSG00000002658	ENSMUST00000002733	1417698_at
ENSMUSG00000002658	ENSMUST00000002733	1417699_at
ENSMUSG00000078008	ENSMUST00000104815	1444292_at
ENSMUSG00000093003	ENSMUST00000175262	1448861_at
ENSMUSG00000105904	ENSMUST00000198479	1460695_a_at
ENSMUSG00000094372	ENSMUST00000179536	1422238_at
ENSMUSG00000095623	ENSMUST00000179240	1417505_s_at
ENSMUSG00000077564	ENSMUST00000104376	1429077_x_at
ENSMUSG00000077564	ENSMUST00000104376	1455767_x_at
ENSMUSG00000077564	ENSMUST00000104376	1423070_at
ENSMUSG00000106344	ENSMUST00000197752	1448388_a_at
ENSMUSG00000089571	ENSMUST00000158946	1423703_at
ENSMUSG00000098547	ENSMUST00000183719	1426690_a_at
ENSMUSG00000104884	ENSMUST00000199140	1448498_at
ENSMUSG00000099292	ENSMUST00000184514	1451099_at
ENSMUSG00000077426	ENSMUST00000104238	1451077_at
ENSMUSG00000077426	ENSMUST00000104238	1423666_s_at
ENSMUSG00000065887	ENSMUST00000083953	1449677_s_at
ENSMUSG00000098811	ENSMUST00000184244	1417322_at
ENSMUSG00000065905	ENSMUST00000083971	1425225_at
ENSMUSG00000106081	ENSMUST00000200651	1421635_at
ENSMUSG00000084565	ENSMUST00000122616	1455844_at
ENSMUSG00000065305	ENSMUST00000083371	1439399_a_at
ENSMUSG00000065305	ENSMUST00000083371	1454703_x_at
ENSMUSG00000065305	ENSMUST00000083371	1437658_a_at
ENSMUSG00000093327	ENSMUST00000175586	1425519_a_at
ENSMUSG00000094661	ENSMUST00000118540	1449277_at
ENSMUSG00000094167	ENSMUST00000097985	1427216_at
ENSMUSG00000065680	ENSMUST00000083746	1455319_x_at
ENSMUSG00000065680	ENSMUST00000083746	1437610_x_at
ENSMUSG00000078240	ENSMUST00000105038	1436046_x_at
ENSMUSG00000078240	ENSMUST00000105038	1455348_x_at
ENSMUSG00000099101	ENSMUST00000184358	1452132_at
ENSMUSG00000065280	ENSMUST00000083346	1439399_a_at
ENSMUSG00000065280	ENSMUST00000083346	1454703_x_at
ENSMUSG00000065280	ENSMUST00000083346	1437658_a_at
ENSMUSG00000105196	ENSMUST00000198092	1448010_at
ENSMUSG00000065859	ENSMUST00000083925	1455357_x_at
ENSMUSG00000065859	ENSMUST00000083925	1423079_a_at
ENSMUSG00000098597	ENSMUST00000185075	1450623_at
ENSMUSG00000098269	ENSMUST00000183361	1448221_at
ENSMUSG00000095472	ENSMUST00000116723	1460672_at
ENSMUSG00000064768	ENSMUST00000082834	1419798_at
ENSMUSG00000088625	ENSMUST00000158000	1417592_at
ENSMUSG00000065378	ENSMUST00000083444	1439399_a_at
ENSMUSG00000065378	ENSMUST00000083444	1454703_x_at
ENSMUSG00000065378	ENSMUST00000083444	1437658_a_at
ENSMUSG00000104854	ENSMUST00000195956	1451666_at
ENSMUSG00000080342	ENSMUST00000116692	1460210_at
ENSMUSG00000116275	ENSMUST00000027736	1426360_at
ENSMUSG00000116275	ENSMUST00000027736	1415764_at
ENSMUSG00000116275	ENSMUST00000027736	1426361_at
ENSMUSG00000116275	ENSMUST00000027736	1426359_at
ENSMUSG00000087993	ENSMUST00000157368	1436292_a_at
ENSMUSG00000087993	ENSMUST00000157368	1428868_a_at
ENSMUSG00000096502	ENSMUST00000178947	1427598_at
ENSMUSG00000098955	ENSMUST00000183615	1415779_s_at
ENSMUSG00000098798	ENSMUST00000184215	1416219_at
ENSMUSG00000094389	ENSMUST00000179875	1427598_at
ENSMUSG00000064602	ENSMUST00000082668	1448252_a_at
ENSMUSG00000088219	ENSMUST00000157594	1438527_at
ENSMUSG00000065434	ENSMUST00000083500	1448176_a_at
ENSMUSG00000065434	ENSMUST00000083500	1460547_a_at
ENSMUSG00000065434	ENSMUST00000083500	1423684_at
ENSMUSG00000093006	ENSMUST00000175265	1439199_at
ENSMUSG00000098737	ENSMUST00000183853	1448613_at
ENSMUSG00000105256	ENSMUST00000196231	1452540_a_at
ENSMUSG00000070167	ENSMUST00000093658	1429207_at
ENSMUSG00000095118	ENSMUST00000083424	1420623_x_at
ENSMUSG00000095118	ENSMUST00000083424	1431182_at
ENSMUSG00000095118	ENSMUST00000083424	1420622_a_at
ENSMUSG00000095118	ENSMUST00000083424	1455789_x_at
ENSMUSG00000095458	ENSMUST00000179889	1427598_at
ENSMUSG00000098830	ENSMUST00000183676	1427248_at
ENSMUSG00000065599	ENSMUST00000083665	1460695_a_at
ENSMUSG00000098465	ENSMUST00000184114	1418394_a_at
ENSMUSG00000076316	ENSMUST00000102361	1452183_a_at
ENSMUSG00000076316	ENSMUST00000102361	1439380_x_at
ENSMUSG00000092730	ENSMUST00000174989	1435524_at
ENSMUSG00000118642	ENSMUST00000205406	1421754_at
ENSMUSG00000064496	ENSMUST00000082562	1427580_a_at
ENSMUSG00000098381	ENSMUST00000184178	1417626_at
ENSMUSG00000067017	ENSMUST00000086725	1452038_at
ENSMUSG00000067017	ENSMUST00000086725	1439455_x_at
ENSMUSG00000093358	ENSMUST00000175617	1449210_at
ENSMUSG00000093358	ENSMUST00000175617	1418761_at
ENSMUSG00000093076	ENSMUST00000175335	1434412_x_at
ENSMUSG00000093076	ENSMUST00000175335	1416580_a_at
ENSMUSG00000096271	ENSMUST00000178765	1419426_s_at
ENSMUSG00000098683	ENSMUST00000184302	1452400_a_at
ENSMUSG00000093476	ENSMUST00000175531	1424411_at
ENSMUSG00000093476	ENSMUST00000175531	1451341_s_at
ENSMUSG00000088835	ENSMUST00000158210	1455713_x_at
ENSMUSG00000088835	ENSMUST00000158210	1438938_x_at
ENSMUSG00000088835	ENSMUST00000158210	1416202_at
ENSMUSG00000098457	ENSMUST00000185150	1417508_at
ENSMUSG00000065301	ENSMUST00000083367	1419153_at
ENSMUSG00000096660	ENSMUST00000180265	1427598_at
ENSMUSG00000104813	ENSMUST00000196157	1460548_a_at
ENSMUSG00000104813	ENSMUST00000196157	1433753_x_at
ENSMUSG00000104813	ENSMUST00000196157	1420520_x_at
ENSMUSG00000057605	ENSMUST00000077435	1416546_a_at
ENSMUSG00000099145	ENSMUST00000184134	1417807_at
ENSMUSG00000099145	ENSMUST00000184134	1422635_at
ENSMUSG00000084459	ENSMUST00000122510	1427580_a_at
ENSMUSG00000088909	ENSMUST00000158284	1455035_s_at
ENSMUSG00000088909	ENSMUST00000158284	1426533_at
ENSMUSG00000065336	ENSMUST00000083402	1416171_at
ENSMUSG00000093365	ENSMUST00000175624	1415779_s_at
ENSMUSG00000080486	ENSMUST00000116836	1433432_x_at
ENSMUSG00000098625	ENSMUST00000184745	1436297_a_at
ENSMUSG00000098625	ENSMUST00000184745	1417423_at
ENSMUSG00000093226	ENSMUST00000175485	1453098_at
ENSMUSG00000099284	ENSMUST00000184384	1426860_at
ENSMUSG00000073179	ENSMUST00000084451	1427536_at
ENSMUSG00000099270	ENSMUST00000185090	1452400_a_at
ENSMUSG00000104997	ENSMUST00000197197	1452540_a_at
ENSMUSG00000093273	ENSMUST00000175532	1454793_x_at
ENSMUSG00000093273	ENSMUST00000175532	1419653_a_at
ENSMUSG00000093273	ENSMUST00000175532	1438371_x_at
ENSMUSG00000095523	ENSMUST00000180303	1456598_at
ENSMUSG00000065219	ENSMUST00000083285	1433928_a_at
ENSMUSG00000065219	ENSMUST00000083285	1435873_a_at
ENSMUSG00000065219	ENSMUST00000083285	1455485_x_at
ENSMUSG00000065219	ENSMUST00000083285	1455001_x_at
ENSMUSG00000065219	ENSMUST00000083285	1417608_a_at
ENSMUSG00000066809	ENSMUST00000086236	1455578_x_at
ENSMUSG00000066809	ENSMUST00000086236	1422623_x_at
ENSMUSG00000104627	ENSMUST00000197651	1415771_at
ENSMUSG00000104627	ENSMUST00000197651	1456528_x_at
ENSMUSG00000095742	ENSMUST00000179436	1430514_a_at
ENSMUSG00000088712	ENSMUST00000158087	1421323_a_at
ENSMUSG00000038555	ENSMUST00000043484	1424386_at
ENSMUSG00000065397	ENSMUST00000083463	1428027_at
ENSMUSG00000104953	ENSMUST00000197528	1449256_a_at
ENSMUSG00000065593	ENSMUST00000083659	1425311_at
ENSMUSG00000025226	ENSMUST00000026256	1417855_at
ENSMUSG00000025226	ENSMUST00000177667	1417855_at
ENSMUSG00000105924	ENSMUST00000200671	1452540_a_at
ENSMUSG00000098331	ENSMUST00000184765	1424907_a_at
ENSMUSG00000091604	ENSMUST00000163472	1427659_at
ENSMUSG00000098267	ENSMUST00000183486	1425276_at
ENSMUSG00000096313	ENSMUST00000179895	1427598_at
ENSMUSG00000084575	ENSMUST00000122626	1419885_at
ENSMUSG00000065540	ENSMUST00000083606	1451427_a_at
ENSMUSG00000065540	ENSMUST00000083606	1421335_a_at
ENSMUSG00000065540	ENSMUST00000083606	1451428_x_at
ENSMUSG00000065540	ENSMUST00000083606	1435823_x_at
ENSMUSG00000098960	ENSMUST00000183776	1425130_a_at
ENSMUSG00000098960	ENSMUST00000183776	1425131_at
ENSMUSG00000077212	ENSMUST00000104024	1433656_a_at
ENSMUSG00000064837	ENSMUST00000082903	1415771_at
ENSMUSG00000064837	ENSMUST00000082903	1456528_x_at
ENSMUSG00000064837	ENSMUST00000082903	1415772_at
ENSMUSG00000065676	ENSMUST00000083742	1426660_x_at
ENSMUSG00000065676	ENSMUST00000083742	1426659_a_at
ENSMUSG00000065676	ENSMUST00000083742	1437975_a_at
ENSMUSG00000089542	ENSMUST00000158917	1430980_a_at
ENSMUSG00000089542	ENSMUST00000158917	1427058_at
ENSMUSG00000089542	ENSMUST00000158917	1434985_a_at
ENSMUSG00000094263	ENSMUST00000178154	1428529_at
ENSMUSG00000098329	ENSMUST00000183975	1450452_a_at
ENSMUSG00000084686	ENSMUST00000122737	1424619_at
ENSMUSG00000064780	ENSMUST00000082846	1455168_a_at
ENSMUSG00000092842	ENSMUST00000175101	1450925_a_at
ENSMUSG00000093156	ENSMUST00000175415	1439443_x_at
ENSMUSG00000099312	ENSMUST00000184803	1427263_at
ENSMUSG00000065094	ENSMUST00000083160	1436677_at
ENSMUSG00000093178	ENSMUST00000175437	1436506_a_at
ENSMUSG00000098686	ENSMUST00000184185	1450835_a_at
ENSMUSG00000095100	ENSMUST00000180346	1427598_at
ENSMUSG00000098850	ENSMUST00000184516	1448252_a_at
ENSMUSG00000065862	ENSMUST00000083928	1427058_at
ENSMUSG00000065862	ENSMUST00000083928	1434985_a_at
ENSMUSG00000077711	ENSMUST00000104523	1416404_s_at
ENSMUSG00000065628	ENSMUST00000083694	1433928_a_at
ENSMUSG00000065628	ENSMUST00000083694	1435873_a_at
ENSMUSG00000065628	ENSMUST00000083694	1455485_x_at
ENSMUSG00000065628	ENSMUST00000083694	1455001_x_at
ENSMUSG00000065628	ENSMUST00000083694	1417608_a_at
ENSMUSG00000106463	ENSMUST00000199842	1416171_at
ENSMUSG00000078035	ENSMUST00000104841	1444292_at
ENSMUSG00000065394	ENSMUST00000083460	1416031_s_at
ENSMUSG00000065394	ENSMUST00000083460	1439269_x_at
ENSMUSG00000065394	ENSMUST00000083460	1438320_s_at
ENSMUSG00000098265	ENSMUST00000184347	1426771_at
ENSMUSG00000092981	ENSMUST00000175240	1427902_at
ENSMUSG00000080582	ENSMUST00000116932	1426306_a_at
ENSMUSG00000093092	ENSMUST00000175351	1427926_at
ENSMUSG00000065282	ENSMUST00000083348	1436558_at
ENSMUSG00000099226	ENSMUST00000184075	1429173_at
ENSMUSG00000065392	ENSMUST00000083458	1433675_at
ENSMUSG00000065392	ENSMUST00000083458	1454703_x_at
ENSMUSG00000065392	ENSMUST00000083458	1437658_a_at
ENSMUSG00000096677	ENSMUST00000180275	1427598_at
ENSMUSG00000078041	ENSMUST00000104847	1444292_at
ENSMUSG00000095868	ENSMUST00000083425	1425183_a_at
ENSMUSG00000065669	ENSMUST00000083735	1451658_a_at
ENSMUSG00000064696	ENSMUST00000082762	1415771_at
ENSMUSG00000064696	ENSMUST00000082762	1456528_x_at
ENSMUSG00000106281	ENSMUST00000198851	1452540_a_at
ENSMUSG00000106281	ENSMUST00000198851	1427762_x_at
ENSMUSG00000096550	ENSMUST00000178337	1456598_at
ENSMUSG00000105014	ENSMUST00000196836	1452540_a_at
ENSMUSG00000106591	ENSMUST00000199539	1436517_at
ENSMUSG00000051412	ENSMUST00000051100	1452007_at
ENSMUSG00000051412	ENSMUST00000051100	1426269_at
ENSMUSG00000096873	ENSMUST00000178081	1419426_s_at
ENSMUSG00000092763	ENSMUST00000175022	1422210_at
ENSMUSG00000105333	ENSMUST00000197598	1415781_a_at
ENSMUSG00000095389	ENSMUST00000178214	1427598_at
ENSMUSG00000064816	ENSMUST00000082882	1424843_a_at
ENSMUSG00000064816	ENSMUST00000082882	1436222_at
ENSMUSG00000094274	ENSMUST00000179816	1427598_at
ENSMUSG00000077625	ENSMUST00000104437	1426660_x_at
ENSMUSG00000077625	ENSMUST00000104437	1426659_a_at
ENSMUSG00000098842	ENSMUST00000185101	1416219_at
ENSMUSG00000096263	ENSMUST00000101927	1420623_x_at
ENSMUSG00000096263	ENSMUST00000101927	1431182_at
ENSMUSG00000096263	ENSMUST00000101927	1420622_a_at
ENSMUSG00000096263	ENSMUST00000101927	1455789_x_at
ENSMUSG00000064767	ENSMUST00000082833	1424000_a_at
ENSMUSG00000065475	ENSMUST00000083541	1460695_a_at
ENSMUSG00000105433	ENSMUST00000198508	1452540_a_at
ENSMUSG00000089093	ENSMUST00000158468	1450986_at
ENSMUSG00000064540	ENSMUST00000082606	1426660_x_at
ENSMUSG00000064540	ENSMUST00000082606	1426659_a_at
