Gene stable ID	Transcript stable ID	AFFY Zebrafish probe
ENSDARG00000090854	ENSDART00000129676	Dr.15509.1.S1_at
ENSDARG00000056683	ENSDART00000079210	Dr.10688.1.S1_at
ENSDARG00000078567	ENSDART00000172119	Dr.25639.1.A1_at
ENSDARG00000029263	ENSDART00000078466	Dr.5779.1.S1_at
ENSDARG00000029263	ENSDART00000078466	Dr.2693.1.A1_at
ENSDARG00000029263	ENSDART00000174580	Dr.5779.1.S1_at
ENSDARG00000029263	ENSDART00000174580	Dr.2693.1.A1_at
ENSDARG00000029263	ENSDART00000187409	Dr.5779.1.S1_at
ENSDARG00000029263	ENSDART00000187409	Dr.15717.1.S1_at
ENSDARG00000029263	ENSDART00000182247	Dr.5779.1.S1_at
ENSDARG00000029263	ENSDART00000182247	Dr.2693.1.A1_at
ENSDARG00000029263	ENSDART00000153512	Dr.5779.1.S1_at
ENSDARG00000029263	ENSDART00000153512	Dr.2693.1.A1_at
ENSDARG00000029263	ENSDART00000184299	Dr.5779.1.S1_at
ENSDARG00000029263	ENSDART00000184299	Dr.2693.1.A1_at
ENSDARG00000089954	ENSDART00000154540	Dr.14838.1.A1_at
ENSDARG00000089954	ENSDART00000180384	Dr.14838.1.A1_at
ENSDARG00000089954	ENSDART00000184486	Dr.14838.1.A1_at
ENSDARG00000058958	ENSDART00000188808	Dr.14928.1.A1_at
ENSDARG00000058958	ENSDART00000081894	Dr.14928.1.A1_at
ENSDARG00000019293	ENSDART00000077800	Dr.927.1.S1_at
ENSDARG00000007250	ENSDART00000006927	Dr.5969.1.S1_at
ENSDARG00000011449	ENSDART00000149067	Dr.13023.1.A1_at
ENSDARG00000011449	ENSDART00000180985	Dr.13023.1.A1_at
ENSDARG00000011449	ENSDART00000149938	Dr.13023.1.A1_at
ENSDARG00000099200	ENSDART00000162837	Dr.4797.1.S1_at
ENSDARG00000099200	ENSDART00000170821	Dr.4797.1.S1_at
ENSDARG00000044753	ENSDART00000149371	Dr.12046.1.S1_at
ENSDARG00000061371	ENSDART00000025562	Dr.11209.1.A1_at
ENSDARG00000061371	ENSDART00000168957	Dr.11209.1.A1_at
ENSDARG00000063574	ENSDART00000128788	Dr.4029.1.A1_at
ENSDARG00000086471	ENSDART00000144769	Dr.17267.1.A1_at
ENSDARG00000086471	ENSDART00000124963	Dr.17267.1.A1_at
ENSDARG00000002377	ENSDART00000103626	Dr.22160.1.A1_at
ENSDARG00000056740	ENSDART00000079283	Dr.4444.1.S1_at
ENSDARG00000077253	ENSDART00000147667	Dr.19785.1.A1_at
ENSDARG00000077253	ENSDART00000111414	Dr.19785.1.A1_at
ENSDARG00000052851	ENSDART00000051070	Dr.6068.1.A1_at
ENSDARG00000052851	ENSDART00000051070	Dr.5072.1.A1_at
ENSDARG00000052851	ENSDART00000074781	Dr.6068.1.A1_at
ENSDARG00000052851	ENSDART00000074781	Dr.5072.1.A1_at
ENSDARG00000003818	ENSDART00000022179	Dr.1301.1.A1_at
ENSDARG00000019156	ENSDART00000025356	Dr.18784.1.A1_at
ENSDARG00000038615	ENSDART00000146192	Dr.22194.1.A1_at
ENSDARG00000038615	ENSDART00000146192	Dr.19117.1.S1_at
ENSDARG00000034734	ENSDART00000044115	Dr.766.1.A1_at
ENSDARG00000034734	ENSDART00000133072	Dr.766.1.A1_at
ENSDARG00000027141	ENSDART00000099602	Dr.17481.1.S1_at
ENSDARG00000099967	ENSDART00000159446	Dr.17519.2.A1_at
ENSDARG00000099967	ENSDART00000180637	Dr.17519.2.A1_at
ENSDARG00000099967	ENSDART00000172719	Dr.17519.2.A1_at
ENSDARG00000099967	ENSDART00000167055	Dr.17519.2.A1_at
ENSDARG00000099967	ENSDART00000169902	Dr.17519.2.A1_at
ENSDARG00000069758	ENSDART00000101765	Dr.6638.1.A1_at
ENSDARG00000010717	ENSDART00000024858	Dr.11057.1.S1_at
ENSDARG00000020449	ENSDART00000012759	Dr.21049.1.S1_at
ENSDARG00000038792	ENSDART00000056655	Dr.5053.1.S1_at
ENSDARG00000017163	ENSDART00000003621	Dr.13625.1.A1_at
ENSDARG00000017163	ENSDART00000132356	Dr.13625.1.A1_at
ENSDARG00000003206	ENSDART00000138142	Dr.10504.1.A1_at
ENSDARG00000003206	ENSDART00000176139	Dr.10504.1.A1_at
ENSDARG00000003206	ENSDART00000143933	Dr.10504.1.A1_at
ENSDARG00000003206	ENSDART00000143339	Dr.10504.1.A1_at
ENSDARG00000078686	ENSDART00000149320	Dr.7450.1.A1_at
ENSDARG00000076025	ENSDART00000155016	Dr.23508.1.A1_at
ENSDARG00000076025	ENSDART00000155016	Dr.11340.1.A1_at
ENSDARG00000009253	ENSDART00000005355	Dr.15737.1.S1_at
ENSDARG00000009253	ENSDART00000156520	Dr.15737.1.S1_at
ENSDARG00000037555	ENSDART00000054689	Dr.22150.1.S1_at
ENSDARG00000037555	ENSDART00000054689	Dr.22150.2.A1_at
ENSDARG00000038976	ENSDART00000056893	Dr.16134.1.A1_at
ENSDARG00000036588	ENSDART00000053153	Dr.6705.1.S1_at
ENSDARG00000024219	ENSDART00000031425	Dr.23475.1.S1_at
ENSDARG00000102612	ENSDART00000160503	Dr.13966.1.S1_at
ENSDARG00000075818	ENSDART00000147395	Dr.25916.1.A1_at
ENSDARG00000075818	ENSDART00000135238	Dr.25916.1.A1_at
ENSDARG00000075818	ENSDART00000189792	Dr.25916.1.A1_at
ENSDARG00000075818	ENSDART00000192764	Dr.25916.1.A1_at
ENSDARG00000052846	ENSDART00000146237	Dr.198.1.S1_at
ENSDARG00000052846	ENSDART00000146237	Dr.198.1.S2_at
ENSDARG00000052846	ENSDART00000051065	Dr.198.1.S1_at
ENSDARG00000052846	ENSDART00000051065	Dr.198.1.S2_at
ENSDARG00000100531	ENSDART00000165067	Dr.23327.1.S1_at
ENSDARG00000101319	ENSDART00000168712	Dr.12907.2.S1_a_at
ENSDARG00000101319	ENSDART00000168712	Dr.12907.1.S1_at
ENSDARG00000089750	ENSDART00000106072	Dr.25683.1.S1_at
ENSDARG00000078529	ENSDART00000143118	Dr.6774.1.A1_at
ENSDARG00000052010	ENSDART00000073734	Dr.12443.2.S1_at
ENSDARG00000052010	ENSDART00000073734	Dr.12443.1.A1_at
ENSDARG00000052010	ENSDART00000144591	Dr.12443.2.S1_at
ENSDARG00000052010	ENSDART00000124342	Dr.12443.2.S1_at
ENSDARG00000052010	ENSDART00000124342	Dr.12443.1.A1_at
ENSDARG00000052010	ENSDART00000191291	Dr.12443.2.S1_at
ENSDARG00000052010	ENSDART00000191291	Dr.12443.1.A1_at
ENSDARG00000098075	ENSDART00000168665	Dr.6288.1.S1_at
ENSDARG00000093780	ENSDART00000137386	Dr.3025.3.S1_at
ENSDARG00000093780	ENSDART00000137386	Dr.25379.1.S1_at
ENSDARG00000055901	ENSDART00000145198	Dr.25891.1.A1_at
ENSDARG00000055901	ENSDART00000145198	Dr.12725.1.A1_at
ENSDARG00000093608	ENSDART00000137420	Dr.24055.1.S1_at
ENSDARG00000093608	ENSDART00000165760	Dr.24055.1.S1_at
ENSDARG00000093608	ENSDART00000145829	Dr.24055.1.S1_at
ENSDARG00000023111	ENSDART00000045816	Dr.20821.1.A1_at
ENSDARG00000023111	ENSDART00000045816	Dr.3645.1.S1_at
ENSDARG00000020197	ENSDART00000005944	Dr.876.1.S1_at
ENSDARG00000040930	ENSDART00000059984	Dr.6362.1.A1_at
ENSDARG00000040930	ENSDART00000167411	Dr.6362.1.A1_at
ENSDARG00000057227	ENSDART00000132384	Dr.18774.1.A1_at
ENSDARG00000057227	ENSDART00000174834	Dr.18774.1.A1_at
ENSDARG00000029905	ENSDART00000140432	Dr.19735.1.S1_at
ENSDARG00000029905	ENSDART00000147187	Dr.19735.1.S1_at
ENSDARG00000029905	ENSDART00000025612	Dr.19735.1.S1_at
ENSDARG00000077581	ENSDART00000114471	Dr.16686.1.A1_at
ENSDARG00000077581	ENSDART00000137768	Dr.16686.1.A1_at
ENSDARG00000018593	ENSDART00000022325	Dr.12643.1.A1_at
ENSDARG00000079455	ENSDART00000152580	Dr.12913.1.A1_at
ENSDARG00000079455	ENSDART00000152580	Dr.12827.1.A1_at
ENSDARG00000079455	ENSDART00000113818	Dr.12913.1.A1_at
ENSDARG00000079455	ENSDART00000113818	Dr.12827.1.A1_at
ENSDARG00000079455	ENSDART00000128317	Dr.12913.1.A1_at
ENSDARG00000094616	ENSDART00000145657	Dr.14853.1.S1_at
ENSDARG00000094616	ENSDART00000142233	Dr.14853.1.S1_at
ENSDARG00000094616	ENSDART00000190891	Dr.14853.1.S1_at
ENSDARG00000094616	ENSDART00000144851	Dr.14853.1.S1_at
ENSDARG00000094616	ENSDART00000133880	Dr.14853.1.S1_at
ENSDARG00000094616	ENSDART00000176877	Dr.14853.1.S1_at
ENSDARG00000054031	ENSDART00000059264	Dr.16377.1.A1_at
ENSDARG00000054031	ENSDART00000059264	Dr.14154.1.S1_at
ENSDARG00000062987	ENSDART00000142870	Dr.4252.1.A1_at
ENSDARG00000004296	ENSDART00000135645	Dr.2426.1.S1_at
ENSDARG00000004296	ENSDART00000193648	Dr.2426.1.S1_at
ENSDARG00000004296	ENSDART00000027026	Dr.2426.1.S1_at
ENSDARG00000004296	ENSDART00000142677	Dr.2426.1.S1_at
ENSDARG00000039880	ENSDART00000058336	Dr.24199.1.A1_s_at
ENSDARG00000039880	ENSDART00000058336	Dr.14705.1.S1_at
ENSDARG00000041078	ENSDART00000060015	Dr.13284.1.A1_at
ENSDARG00000041078	ENSDART00000060015	Dr.13284.2.S1_at
ENSDARG00000023298	ENSDART00000031173	Dr.24633.1.S1_a_at
ENSDARG00000023298	ENSDART00000031173	Dr.24633.2.S1_a_at
ENSDARG00000023298	ENSDART00000031173	Dr.24633.1.S1_at
ENSDARG00000079391	ENSDART00000111858	Dr.15742.1.A1_at
ENSDARG00000074306	ENSDART00000047916	Dr.25683.1.S1_at
ENSDARG00000040021	ENSDART00000058546	Dr.24323.1.S1_at
ENSDARG00000036893	ENSDART00000184049	Dr.16206.1.A1_at
ENSDARG00000036893	ENSDART00000184049	Dr.16206.1.A1_s_at
ENSDARG00000036893	ENSDART00000149510	Dr.16206.1.A1_at
ENSDARG00000036893	ENSDART00000149510	Dr.16206.1.A1_s_at
ENSDARG00000036893	ENSDART00000182530	Dr.16206.1.A1_at
ENSDARG00000036893	ENSDART00000182530	Dr.16206.1.A1_s_at
ENSDARG00000036893	ENSDART00000102535	Dr.16206.1.A1_at
ENSDARG00000036893	ENSDART00000102535	Dr.16206.1.A1_s_at
ENSDARG00000094473	ENSDART00000135766	Dr.15640.1.A1_at
ENSDARG00000071377	ENSDART00000105315	Dr.16029.1.S1_at
ENSDARG00000071377	ENSDART00000061739	Dr.16029.1.S1_at
ENSDARG00000035018	ENSDART00000045410	Dr.20019.1.S1_at
ENSDARG00000039173	ENSDART00000145570	Dr.25683.1.S1_at
ENSDARG00000039173	ENSDART00000182074	Dr.25683.1.S1_at
ENSDARG00000032264	ENSDART00000185383	Dr.17421.1.A1_at
ENSDARG00000032264	ENSDART00000040577	Dr.17421.1.A1_at
ENSDARG00000032264	ENSDART00000121489	Dr.17421.1.A1_at
ENSDARG00000056331	ENSDART00000078795	Dr.5873.1.A1_at
ENSDARG00000102080	ENSDART00000181407	Dr.26475.1.S1_at
ENSDARG00000102080	ENSDART00000167674	Dr.26475.1.S1_at
ENSDARG00000069888	ENSDART00000102086	Dr.5038.1.S1_at
ENSDARG00000010472	ENSDART00000011188	Dr.10438.1.S1_at
ENSDARG00000010472	ENSDART00000093298	Dr.10438.1.S1_at
ENSDARG00000075673	ENSDART00000091298	Dr.12069.1.S1_at
ENSDARG00000075673	ENSDART00000182569	Dr.12069.1.S1_at
ENSDARG00000075673	ENSDART00000134083	Dr.26423.1.A1_at
ENSDARG00000075673	ENSDART00000134083	Dr.12069.1.S1_at
ENSDARG00000017422	ENSDART00000025910	Dr.99.1.S1_at
ENSDARG00000096638	ENSDART00000152685	Dr.9888.1.A1_at
ENSDARG00000103155	ENSDART00000159902	Dr.12138.1.S1_at
ENSDARG00000103155	ENSDART00000159902	Dr.12138.2.A1_at
ENSDARG00000019235	ENSDART00000051792	Dr.5060.1.A1_at
ENSDARG00000019235	ENSDART00000051792	Dr.8111.1.S1_at
ENSDARG00000075952	ENSDART00000159346	Dr.23525.1.A1_at
ENSDARG00000088764	ENSDART00000128169	Dr.9819.1.A1_at
ENSDARG00000088764	ENSDART00000155432	Dr.9819.1.A1_at
ENSDARG00000088764	ENSDART00000103722	Dr.9819.1.A1_at
ENSDARG00000088764	ENSDART00000157109	Dr.9819.1.A1_at
ENSDARG00000002184	ENSDART00000006899	Dr.17830.1.S1_at
ENSDARG00000015681	ENSDART00000024935	Dr.259.1.S1_at
ENSDARG00000021702	ENSDART00000168640	Dr.18414.2.A1_at
ENSDARG00000021702	ENSDART00000168640	Dr.18414.1.S1_at
ENSDARG00000021702	ENSDART00000168640	Dr.26363.1.A1_at
ENSDARG00000021702	ENSDART00000185348	Dr.18414.2.A1_at
ENSDARG00000021702	ENSDART00000185348	Dr.18414.1.S1_at
ENSDARG00000021702	ENSDART00000185348	Dr.26363.1.A1_at
ENSDARG00000021702	ENSDART00000185187	Dr.18414.2.A1_at
ENSDARG00000021702	ENSDART00000185187	Dr.18414.1.S1_at
ENSDARG00000021702	ENSDART00000185187	Dr.26363.1.A1_at
ENSDARG00000009754	ENSDART00000128309	Dr.1749.1.A1_at
ENSDARG00000042825	ENSDART00000062856	Dr.21979.1.A1_at
ENSDARG00000060036	ENSDART00000084184	Dr.17597.1.A1_at
ENSDARG00000020926	ENSDART00000024872	Dr.6769.1.A1_at
ENSDARG00000019098	ENSDART00000149426	Dr.18088.1.S1_at
ENSDARG00000019098	ENSDART00000189750	Dr.18088.1.S1_at
ENSDARG00000019098	ENSDART00000010323	Dr.18088.1.S1_at
ENSDARG00000016897	ENSDART00000143160	Dr.13973.1.A1_at
ENSDARG00000016897	ENSDART00000042943	Dr.13973.1.A1_at
ENSDARG00000016897	ENSDART00000181296	Dr.13973.1.A1_at
ENSDARG00000037962	ENSDART00000132467	Dr.19896.1.S1_at
ENSDARG00000037962	ENSDART00000141841	Dr.19896.1.S1_at
ENSDARG00000037962	ENSDART00000129749	Dr.19896.1.S1_at
ENSDARG00000037962	ENSDART00000055325	Dr.19896.1.S1_at
ENSDARG00000037962	ENSDART00000133804	Dr.19896.1.S1_at
ENSDARG00000015566	ENSDART00000151921	Dr.13933.1.A1_at
ENSDARG00000015566	ENSDART00000186408	Dr.13933.1.A1_at
ENSDARG00000009350	ENSDART00000041304	Dr.1496.1.A1_at
ENSDARG00000010956	ENSDART00000177639	Dr.2854.1.S1_at
ENSDARG00000010956	ENSDART00000157601	Dr.2854.1.S1_at
ENSDARG00000010956	ENSDART00000045933	Dr.2854.1.S1_at
ENSDARG00000010956	ENSDART00000190186	Dr.2854.1.S1_at
ENSDARG00000042252	ENSDART00000160191	Dr.7659.1.A1_at
ENSDARG00000042252	ENSDART00000132227	Dr.7659.1.A1_at
ENSDARG00000042252	ENSDART00000161721	Dr.7659.1.A1_at
ENSDARG00000042252	ENSDART00000144949	Dr.7659.1.A1_at
ENSDARG00000042151	ENSDART00000100667	Dr.8082.1.S1_at
ENSDARG00000018898	ENSDART00000134773	Dr.3123.1.A1_at
ENSDARG00000018898	ENSDART00000139701	Dr.3123.1.A1_at
ENSDARG00000018898	ENSDART00000009952	Dr.3123.1.A1_at
ENSDARG00000052164	ENSDART00000098942	Dr.17418.1.A1_at
ENSDARG00000036080	ENSDART00000052383	Dr.10664.1.S1_at
ENSDARG00000036080	ENSDART00000052383	Dr.25140.4.S1_at
ENSDARG00000036080	ENSDART00000148621	Dr.10664.1.S1_at
ENSDARG00000071679	ENSDART00000106156	Dr.18200.1.A1_at
ENSDARG00000079438	ENSDART00000113744	Dr.19082.1.A1_at
ENSDARG00000079438	ENSDART00000173862	Dr.19082.1.A1_at
ENSDARG00000079438	ENSDART00000175614	Dr.19082.1.A1_at
ENSDARG00000086457	ENSDART00000140313	Dr.7982.1.S1_at
ENSDARG00000086457	ENSDART00000124889	Dr.7982.1.S1_at
ENSDARG00000097736	ENSDART00000154828	Dr.16517.1.A1_at
ENSDARG00000101910	ENSDART00000164749	Dr.21298.1.A1_at
ENSDARG00000058815	ENSDART00000122719	Dr.114.1.S1_at
ENSDARG00000058815	ENSDART00000081760	Dr.114.1.S1_at
ENSDARG00000013076	ENSDART00000185792	Dr.26463.1.S1_at
ENSDARG00000013076	ENSDART00000141415	Dr.26463.1.S1_at
ENSDARG00000013076	ENSDART00000135417	Dr.26463.1.S1_at
ENSDARG00000015862	ENSDART00000127695	Dr.8.2.S1_at
ENSDARG00000096017	ENSDART00000148168	Dr.12439.4.A1_x_at
ENSDARG00000096017	ENSDART00000148168	Dr.12439.2.S1_a_at
ENSDARG00000014790	ENSDART00000180810	Dr.6807.1.S1_at
ENSDARG00000014790	ENSDART00000180810	Dr.8023.1.S1_at
ENSDARG00000014790	ENSDART00000046376	Dr.6807.1.S1_at
ENSDARG00000014790	ENSDART00000046376	Dr.8023.1.S1_at
ENSDARG00000071396	ENSDART00000149946	Dr.7713.1.S1_at
ENSDARG00000071396	ENSDART00000105523	Dr.7713.1.S1_at
ENSDARG00000061791	ENSDART00000088569	Dr.12798.1.A1_at
ENSDARG00000068993	ENSDART00000146457	Dr.20163.1.S1_at
ENSDARG00000075072	ENSDART00000110167	Dr.9689.1.A1_at
ENSDARG00000075072	ENSDART00000191092	Dr.9689.1.A1_at
ENSDARG00000056531	ENSDART00000132034	Dr.2642.2.A1_at
ENSDARG00000056531	ENSDART00000132034	Dr.2642.1.S1_at
ENSDARG00000056531	ENSDART00000079050	Dr.2642.2.A1_at
ENSDARG00000056531	ENSDART00000079050	Dr.2642.1.S1_at
ENSDARG00000011240	ENSDART00000149772	Dr.14552.1.S1_at
ENSDARG00000011240	ENSDART00000088605	Dr.14552.1.S1_at
ENSDARG00000061185	ENSDART00000086994	Dr.241.1.A1_at
ENSDARG00000045857	ENSDART00000099315	Dr.18034.1.A1_at
ENSDARG00000077299	ENSDART00000076439	Dr.6127.1.A1_at
ENSDARG00000004433	ENSDART00000148737	Dr.12317.1.A1_at
ENSDARG00000002994	ENSDART00000148346	Dr.13631.1.A1_at
ENSDARG00000075666	ENSDART00000054115	Dr.12437.1.A1_at
ENSDARG00000017675	ENSDART00000010821	Dr.7926.1.A1_at
ENSDARG00000089513	ENSDART00000155236	Dr.14535.1.S1_at
ENSDARG00000096118	ENSDART00000150698	Dr.3785.1.S1_at
ENSDARG00000022918	ENSDART00000015643	Dr.16676.1.S1_at
ENSDARG00000094135	ENSDART00000144527	Dr.22479.1.A1_at
ENSDARG00000068602	ENSDART00000099283	Dr.11452.1.A1_at
ENSDARG00000002912	ENSDART00000082761	Dr.11449.1.A1_at
ENSDARG00000002912	ENSDART00000131976	Dr.11449.1.A1_at
ENSDARG00000002912	ENSDART00000186283	Dr.11449.1.A1_at
ENSDARG00000103395	ENSDART00000161799	Dr.6204.1.A1_at
ENSDARG00000103395	ENSDART00000163498	Dr.6204.1.A1_at
ENSDARG00000016345	ENSDART00000018270	Dr.8020.1.A1_at
ENSDARG00000016345	ENSDART00000141700	Dr.8020.1.A1_at
ENSDARG00000096678	ENSDART00000167646	Dr.23961.1.S1_at
ENSDARG00000096678	ENSDART00000153374	Dr.23961.1.S1_at
ENSDARG00000004034	ENSDART00000019004	Dr.5711.1.S1_at
ENSDARG00000004034	ENSDART00000019004	Dr.19974.1.S1_at
ENSDARG00000012467	ENSDART00000008077	Dr.18387.1.A1_s_at
ENSDARG00000012467	ENSDART00000008077	Dr.18387.1.A1_x_at
ENSDARG00000012467	ENSDART00000008077	Dr.10037.2.S1_at
ENSDARG00000007383	ENSDART00000021192	Dr.407.1.A1_at
ENSDARG00000093079	ENSDART00000172143	Dr.25776.1.S1_at
ENSDARG00000019004	ENSDART00000142863	Dr.3403.1.S1_at
ENSDARG00000019004	ENSDART00000003422	Dr.3403.1.S1_at
ENSDARG00000043757	ENSDART00000146727	Dr.15649.1.A1_at
ENSDARG00000043757	ENSDART00000189946	Dr.15649.1.A1_at
ENSDARG00000043757	ENSDART00000189946	Dr.14229.1.S1_at
ENSDARG00000043757	ENSDART00000040308	Dr.15649.1.A1_at
ENSDARG00000043757	ENSDART00000040308	Dr.14229.1.S1_at
ENSDARG00000017537	ENSDART00000126468	Dr.15632.1.A1_at
ENSDARG00000017537	ENSDART00000145809	Dr.15632.1.A1_at
ENSDARG00000012942	ENSDART00000138148	Dr.17526.1.A1_at
ENSDARG00000012942	ENSDART00000080005	Dr.17526.1.A1_at
ENSDARG00000012942	ENSDART00000101756	Dr.17526.1.A1_at
ENSDARG00000068934	ENSDART00000126013	DrAffx.2.86.S1_at
ENSDARG00000068934	ENSDART00000126013	DrAffx.2.29.S1_at
ENSDARG00000068934	ENSDART00000131147	DrAffx.2.86.S1_at
ENSDARG00000068934	ENSDART00000131147	DrAffx.2.29.S1_at
ENSDARG00000058587	ENSDART00000142270	Dr.15065.1.A1_at
ENSDARG00000058587	ENSDART00000081468	Dr.15065.1.A1_at
ENSDARG00000075996	ENSDART00000141063	DrAffx.1.45.S1_at
ENSDARG00000070644	ENSDART00000103934	Dr.26217.1.A1_at
ENSDARG00000070644	ENSDART00000103934	Dr.21086.1.A1_at
ENSDARG00000037935	ENSDART00000124943	Dr.14515.1.A1_at
ENSDARG00000101047	ENSDART00000168167	Dr.14042.1.S1_at
ENSDARG00000005754	ENSDART00000083314	Dr.12854.1.A1_at
ENSDARG00000005754	ENSDART00000190089	Dr.12854.1.A1_at
ENSDARG00000005754	ENSDART00000191872	Dr.12854.1.A1_at
ENSDARG00000005754	ENSDART00000184039	Dr.12854.1.A1_at
ENSDARG00000005754	ENSDART00000179791	Dr.12854.1.A1_at
ENSDARG00000005754	ENSDART00000166518	Dr.12854.1.A1_at
ENSDARG00000062142	ENSDART00000089516	Dr.17416.1.A1_at
ENSDARG00000004580	ENSDART00000003550	Dr.7457.1.A1_at
ENSDARG00000038066	ENSDART00000055490	Dr.1691.4.A1_at
ENSDARG00000040705	ENSDART00000024331	Dr.1233.1.A1_at
ENSDARG00000040705	ENSDART00000145258	Dr.1233.1.A1_at
ENSDARG00000095863	ENSDART00000060822	Dr.696.1.S1_at
ENSDARG00000095863	ENSDART00000184289	Dr.696.1.S1_at
ENSDARG00000020610	ENSDART00000148680	Dr.14260.1.S1_a_at
ENSDARG00000020610	ENSDART00000102766	Dr.14260.1.S1_a_at
