Gene stable ID	Transcript stable ID	AFFY HuGeneFL probe
ENSG00000235132	ENST00000473147	L35475_at
ENSG00000235132	ENST00000444920	L35475_at
ENSG00000274950	ENST00000621749	U14971_at
ENSG00000274950	ENST00000618690	U14971_at
ENSG00000274950	ENST00000616536	U14971_at
ENSG00000274950	ENST00000616290	U14971_at
ENSG00000274950	ENST00000611921	U14971_at
ENSG00000274950	ENST00000620540	U14971_at
ENSG00000274950	ENST00000614070	U14971_at
ENSG00000274950	ENST00000617485	U14971_at
ENSG00000274950	ENST00000619600	U14971_at
ENSG00000274950	ENST00000610850	U14971_at
ENSG00000274950	ENST00000628741	U14971_at
ENSG00000274950	ENST00000616877	U14971_at
ENSG00000274194	ENST00000613506	S82470_at
ENSG00000274194	ENST00000617656	S82470_at
ENSG00000274194	ENST00000617772	S82470_at
ENSG00000281224	ENST00000629429	D55638_at
ENSG00000274131	ENST00000616476	D90276_at
ENSG00000277079	ENST00000620720	U14971_at
ENSG00000277079	ENST00000625297	U14971_at
ENSG00000280501	ENST00000625696	X98311_at
ENSG00000276463	ENST00000616867	U21858_at
ENSG00000276463	ENST00000617893	U21858_at
ENSG00000276463	ENST00000622236	U21858_at
ENSG00000276463	ENST00000617775	U21858_at
ENSG00000276463	ENST00000616112	U21858_at
ENSG00000276463	ENST00000620800	U21858_at
ENSG00000276463	ENST00000622801	U21858_at
ENSG00000276463	ENST00000615404	U21858_at
ENSG00000230885	ENST00000427289	Z48051_rna1_at
ENSG00000230885	ENST00000423895	Z48051_rna1_at
ENSG00000230885	ENST00000426782	Z48051_rna1_at
ENSG00000230885	ENST00000421125	Z48051_rna1_at
ENSG00000230885	ENST00000440561	Z48051_rna1_at
ENSG00000230885	ENST00000457626	Z48051_rna1_at
ENSG00000230885	ENST00000444674	Z48051_rna1_at
ENSG00000230885	ENST00000458179	Z48051_rna1_at
ENSG00000230885	ENST00000440073	Z48051_rna1_at
ENSG00000230885	ENST00000493966	Z48051_rna1_at
ENSG00000230885	ENST00000478704	Z48051_rna1_at
ENSG00000230885	ENST00000551993	Z48051_rna1_at
ENSG00000229698	ENST00000444891	X17093_at
ENSG00000229698	ENST00000471304	X17093_at
ENSG00000229698	ENST00000376848	X17093_at
ENSG00000229698	ENST00000454779	X17093_at
ENSG00000229698	ENST00000476710	X17093_at
ENSG00000229698	ENST00000549422	X17093_at
ENSG00000137345	ENST00000400691	Z48051_rna1_at
ENSG00000137345	ENST00000383631	Z48051_rna1_at
ENSG00000137345	ENST00000359539	Z48051_rna1_at
ENSG00000137345	ENST00000400687	Z48051_rna1_at
ENSG00000137345	ENST00000400688	Z48051_rna1_at
ENSG00000137345	ENST00000383630	Z48051_rna1_at
ENSG00000137345	ENST00000259891	Z48051_rna1_at
ENSG00000137345	ENST00000415631	Z48051_rna1_at
ENSG00000137345	ENST00000442444	Z48051_rna1_at
ENSG00000137345	ENST00000461235	Z48051_rna1_at
ENSG00000137345	ENST00000484234	Z48051_rna1_at
ENSG00000137345	ENST00000547083	Z48051_rna1_at
ENSG00000232641	ENST00000411455	Z48051_rna1_at
ENSG00000232641	ENST00000434870	Z48051_rna1_at
ENSG00000232641	ENST00000450634	Z48051_rna1_at
ENSG00000232641	ENST00000431084	Z48051_rna1_at
ENSG00000232641	ENST00000453271	Z48051_rna1_at
ENSG00000232641	ENST00000459677	Z48051_rna1_at
ENSG00000232641	ENST00000452744	Z48051_rna1_at
ENSG00000232641	ENST00000400668	Z48051_rna1_at
ENSG00000232641	ENST00000429153	Z48051_rna1_at
ENSG00000232641	ENST00000495495	Z48051_rna1_at
ENSG00000232641	ENST00000497130	Z48051_rna1_at
ENSG00000275118	ENST00000615872	S82470_at
ENSG00000275118	ENST00000615282	S82470_at
ENSG00000275118	ENST00000613746	S82470_at
ENSG00000275118	ENST00000610768	S82470_at
ENSG00000234096	ENST00000430351	Z48051_rna1_at
ENSG00000234096	ENST00000428719	Z48051_rna1_at
ENSG00000234096	ENST00000418693	Z48051_rna1_at
ENSG00000234096	ENST00000450851	Z48051_rna1_at
ENSG00000234096	ENST00000420045	Z48051_rna1_at
ENSG00000234096	ENST00000439634	Z48051_rna1_at
ENSG00000234096	ENST00000417019	Z48051_rna1_at
ENSG00000234096	ENST00000415546	Z48051_rna1_at
ENSG00000234096	ENST00000449096	Z48051_rna1_at
ENSG00000234096	ENST00000494200	Z48051_rna1_at
ENSG00000234096	ENST00000477504	Z48051_rna1_at
ENSG00000234096	ENST00000548017	Z48051_rna1_at
ENSG00000234623	ENST00000432271	Z48051_rna1_at
ENSG00000234623	ENST00000425145	Z48051_rna1_at
ENSG00000234623	ENST00000452233	Z48051_rna1_at
ENSG00000234623	ENST00000427061	Z48051_rna1_at
ENSG00000234623	ENST00000434177	Z48051_rna1_at
ENSG00000234623	ENST00000430264	Z48051_rna1_at
ENSG00000234623	ENST00000414889	Z48051_rna1_at
ENSG00000234623	ENST00000442629	Z48051_rna1_at
ENSG00000234623	ENST00000417635	Z48051_rna1_at
ENSG00000234623	ENST00000470893	Z48051_rna1_at
ENSG00000234623	ENST00000497074	Z48051_rna1_at
ENSG00000234623	ENST00000551175	Z48051_rna1_at
ENSG00000278415	ENST00000612836	X54150_at
ENSG00000278415	ENST00000615192	X54150_at
ENSG00000278415	ENST00000621443	X54150_at
ENSG00000262771	ENST00000570667	M94556_at
ENSG00000262771	ENST00000571430	M94556_at
ENSG00000262771	ENST00000575352	M94556_at
ENSG00000262771	ENST00000574068	M94556_at
ENSG00000262771	ENST00000576311	M94556_at
ENSG00000262771	ENST00000575059	M94556_at
ENSG00000262771	ENST00000571709	M94556_at
ENSG00000262771	ENST00000572755	M94556_at
ENSG00000262771	ENST00000574199	M94556_at
ENSG00000262771	ENST00000576834	M94556_at
ENSG00000276838	ENST00000631718	M20786_at
ENSG00000276838	ENST00000622842	M20786_at
ENSG00000276838	ENST00000618883	M20786_at
ENSG00000237508	ENST00000435058	X17093_at
ENSG00000237508	ENST00000474636	X17093_at
ENSG00000237508	ENST00000440590	X17093_at
ENSG00000237508	ENST00000426675	X17093_at
ENSG00000237508	ENST00000480742	X17093_at
ENSG00000237508	ENST00000551780	X17093_at
ENSG00000223980	ENST00000454091	D32129_f_at
ENSG00000223980	ENST00000488889	D32129_f_at
ENSG00000223980	ENST00000463148	D32129_f_at
ENSG00000223980	ENST00000414592	D32129_f_at
ENSG00000223980	ENST00000464713	D32129_f_at
ENSG00000223980	ENST00000478258	D32129_f_at
ENSG00000223980	ENST00000462986	D32129_f_at
ENSG00000223980	ENST00000612644	D32129_f_at
ENSG00000223980	ENST00000552493	D32129_f_at
ENSG00000275365	ENST00000628530	X57766_at
ENSG00000275365	ENST00000612388	X57766_at
ENSG00000275365	ENST00000629514	X57766_at
ENSG00000275365	ENST00000627283	X57766_at
ENSG00000237834	ENST00000383525	Z48051_rna1_at
ENSG00000237834	ENST00000439884	Z48051_rna1_at
ENSG00000237834	ENST00000383521	Z48051_rna1_at
ENSG00000237834	ENST00000400671	Z48051_rna1_at
ENSG00000237834	ENST00000444952	Z48051_rna1_at
ENSG00000237834	ENST00000400669	Z48051_rna1_at
ENSG00000237834	ENST00000412760	Z48051_rna1_at
ENSG00000237834	ENST00000448816	Z48051_rna1_at
ENSG00000237834	ENST00000421858	Z48051_rna1_at
ENSG00000237834	ENST00000479627	Z48051_rna1_at
ENSG00000237834	ENST00000494392	Z48051_rna1_at
ENSG00000237834	ENST00000550849	Z48051_rna1_at
ENSG00000278270	ENST00000614737	U14971_at
ENSG00000278270	ENST00000621233	U14971_at
ENSG00000278270	ENST00000620740	U14971_at
ENSG00000278270	ENST00000610644	U14971_at
ENSG00000278270	ENST00000614095	U14971_at
ENSG00000278270	ENST00000610826	U14971_at
ENSG00000278270	ENST00000610799	U14971_at
ENSG00000278270	ENST00000619229	U14971_at
ENSG00000278270	ENST00000611572	U14971_at
ENSG00000278270	ENST00000629619	U14971_at
ENSG00000206509	ENST00000383626	X17093_at
ENSG00000206509	ENST00000485463	X17093_at
ENSG00000206509	ENST00000359076	X17093_at
ENSG00000206509	ENST00000433515	X17093_at
ENSG00000206509	ENST00000483860	X17093_at
ENSG00000206509	ENST00000550932	X17093_at
ENSG00000235220	ENST00000422711	X17093_at
ENSG00000235220	ENST00000490333	X17093_at
ENSG00000235220	ENST00000420067	X17093_at
ENSG00000235220	ENST00000420923	X17093_at
ENSG00000235220	ENST00000489795	X17093_at
ENSG00000235220	ENST00000551832	X17093_at
ENSG00000231834	ENST00000456012	D32129_f_at
ENSG00000231834	ENST00000470780	D32129_f_at
ENSG00000231834	ENST00000492759	D32129_f_at
ENSG00000231834	ENST00000450342	D32129_f_at
ENSG00000231834	ENST00000473059	D32129_f_at
ENSG00000231834	ENST00000481018	D32129_f_at
ENSG00000231834	ENST00000462184	D32129_f_at
ENSG00000231834	ENST00000638576	D32129_f_at
ENSG00000231834	ENST00000550728	D32129_f_at
ENSG00000227715	ENST00000479494	D32129_f_at
ENSG00000227715	ENST00000453057	D32129_f_at
ENSG00000273814	ENST00000615870	U19251_s_at
ENSG00000273814	ENST00000617110	U19251_s_at
ENSG00000273814	ENST00000613193	U19251_s_at
ENSG00000273814	ENST00000622858	U19251_s_at
ENSG00000273814	ENST00000623499	U19251_s_at
ENSG00000237812	ENST00000412026	X95289_at
ENSG00000234599	ENST00000416207	X95289_at
ENSG00000196299	ENST00000424376	X92110_at
ENSG00000232691	ENST00000455169	X92110_at
ENSG00000232691	ENST00000616736	X92110_at
ENSG00000275045	ENST00000617228	U80017_rna1_at
ENSG00000275045	ENST00000619997	U80017_rna1_at
ENSG00000275045	ENST00000616846	U80017_rna1_at
ENSG00000137403	ENST00000342322	X17093_at
ENSG00000137403	ENST00000470816	X17093_at
ENSG00000137403	ENST00000383515	X17093_at
ENSG00000137403	ENST00000454646	X17093_at
ENSG00000137403	ENST00000488237	X17093_at
ENSG00000137403	ENST00000552082	X17093_at
ENSG00000278519	ENST00000615453	S82470_at
ENSG00000278519	ENST00000621455	S82470_at
ENSG00000278519	ENST00000612053	S82470_at
ENSG00000282077	ENST00000633013	S82297_at
ENSG00000277359	ENST00000616839	U14971_at
ENSG00000277359	ENST00000627525	U14971_at
ENSG00000273686	ENST00000617605	S82297_at
ENSG00000273686	ENST00000617605	J00105_s_at
ENSG00000273686	ENST00000633581	S82297_at
ENSG00000273686	ENST00000633581	J00105_s_at
ENSG00000273686	ENST00000631728	S82297_at
ENSG00000273686	ENST00000631573	S82297_at
ENSG00000273686	ENST00000632867	S82297_at
ENSG00000273686	ENST00000632867	J00105_s_at
ENSG00000273686	ENST00000633158	S82297_at
ENSG00000273686	ENST00000633158	J00105_s_at
ENSG00000273686	ENST00000631391	S82297_at
ENSG00000273686	ENST00000631391	J00105_s_at
