Gene stable ID	Transcript stable ID	AFFY MG U74Av2 probe
ENSMUSG00000096506	ENSMUST00000115904	96950_at
ENSMUSG00000094728	ENSMUST00000180119	103517_at
ENSMUSG00000093148	ENSMUST00000175407	96573_at
ENSMUSG00000065087	ENSMUST00000083153	97838_at
ENSMUSG00000098992	ENSMUST00000184365	97483_at
ENSMUSG00000098346	ENSMUST00000184483	96838_at
ENSMUSG00000098617	ENSMUST00000184085	160173_at
ENSMUSG00000094403	ENSMUST00000102081	99872_s_at
ENSMUSG00000092897	ENSMUST00000175156	96573_at
ENSMUSG00000064981	ENSMUST00000083047	98342_at
ENSMUSG00000091989	ENSMUST00000166096	96909_at
ENSMUSG00000092656	ENSMUST00000174915	92342_at
ENSMUSG00000098661	ENSMUST00000184821	95041_at
ENSMUSG00000105780	ENSMUST00000199023	98530_at
ENSMUSG00000105780	ENSMUST00000199023	98531_g_at
ENSMUSG00000098856	ENSMUST00000184956	102281_at
ENSMUSG00000077440	ENSMUST00000104252	102126_at
ENSMUSG00000098291	ENSMUST00000183646	102940_at
ENSMUSG00000099096	ENSMUST00000184300	160837_at
ENSMUSG00000099043	ENSMUST00000183749	95014_at
ENSMUSG00000080463	ENSMUST00000116813	98530_at
ENSMUSG00000065818	ENSMUST00000083884	92834_at
ENSMUSG00000077734	ENSMUST00000104546	100734_at
ENSMUSG00000084535	ENSMUST00000122586	160173_at
ENSMUSG00000105497	ENSMUST00000196210	95906_at
ENSMUSG00000064791	ENSMUST00000082857	96564_at
ENSMUSG00000095456	ENSMUST00000179253	93874_s_at
ENSMUSG00000117327	ENSMUST00000232683	94025_at
ENSMUSG00000080364	ENSMUST00000116714	98573_r_at
ENSMUSG00000078032	ENSMUST00000104838	95954_at
ENSMUSG00000063897	ENSMUST00000077235	93238_at
ENSMUSG00000065579	ENSMUST00000083645	95906_at
ENSMUSG00000074026	ENSMUST00000098307	96081_at
ENSMUSG00000099024	ENSMUST00000184771	101008_at
ENSMUSG00000093342	ENSMUST00000175601	98621_at
ENSMUSG00000098608	ENSMUST00000184293	160947_at
ENSMUSG00000098646	ENSMUST00000183876	95760_at
ENSMUSG00000098624	ENSMUST00000184197	97273_at
ENSMUSG00000093264	ENSMUST00000175523	96573_at
ENSMUSG00000092781	ENSMUST00000175040	102750_at
ENSMUSG00000064424	ENSMUST00000082490	92541_at
ENSMUSG00000096730	ENSMUST00000178970	95798_f_at
ENSMUSG00000096730	ENSMUST00000178970	95797_f_at
ENSMUSG00000096730	ENSMUST00000178970	101630_f_at
ENSMUSG00000096730	ENSMUST00000178970	100677_f_at
ENSMUSG00000096730	ENSMUST00000178970	101644_f_at
ENSMUSG00000096730	ENSMUST00000099422	95798_f_at
ENSMUSG00000096730	ENSMUST00000099422	95797_f_at
ENSMUSG00000096730	ENSMUST00000099422	101630_f_at
ENSMUSG00000096730	ENSMUST00000099422	100677_f_at
ENSMUSG00000096730	ENSMUST00000099422	101644_f_at
ENSMUSG00000096730	ENSMUST00000096791	95798_f_at
ENSMUSG00000096730	ENSMUST00000096791	95797_f_at
ENSMUSG00000096730	ENSMUST00000096791	101630_f_at
ENSMUSG00000096730	ENSMUST00000096791	100677_f_at
ENSMUSG00000096730	ENSMUST00000096791	101644_f_at
ENSMUSG00000096730	ENSMUST00000071277	95798_f_at
ENSMUSG00000096730	ENSMUST00000071277	95797_f_at
ENSMUSG00000096730	ENSMUST00000071277	101630_f_at
ENSMUSG00000096730	ENSMUST00000071277	100677_f_at
ENSMUSG00000096730	ENSMUST00000071277	101644_f_at
ENSMUSG00000096730	ENSMUST00000179115	95798_f_at
ENSMUSG00000096730	ENSMUST00000179115	95797_f_at
ENSMUSG00000096730	ENSMUST00000179115	101630_f_at
ENSMUSG00000096730	ENSMUST00000179115	100677_f_at
ENSMUSG00000096730	ENSMUST00000179115	101644_f_at
ENSMUSG00000104552	ENSMUST00000197446	93089_at
ENSMUSG00000094337	ENSMUST00000179140	103865_at
ENSMUSG00000094337	ENSMUST00000164489	103865_at
ENSMUSG00000074108	ENSMUST00000098432	98342_at
ENSMUSG00000077709	ENSMUST00000104521	100686_at
ENSMUSG00000105913	ENSMUST00000198528	92834_at
ENSMUSG00000002658	ENSMUST00000002733	103762_at
ENSMUSG00000093003	ENSMUST00000175262	103255_at
ENSMUSG00000105904	ENSMUST00000198479	97933_at
ENSMUSG00000095623	ENSMUST00000179240	93874_s_at
ENSMUSG00000106344	ENSMUST00000197752	96862_at
ENSMUSG00000098281	ENSMUST00000184975	97483_at
ENSMUSG00000089571	ENSMUST00000158946	160802_at
ENSMUSG00000098547	ENSMUST00000183719	93264_at
ENSMUSG00000104884	ENSMUST00000199140	93602_at
ENSMUSG00000096558	ENSMUST00000177960	102814_f_at
ENSMUSG00000099292	ENSMUST00000184514	96767_at
ENSMUSG00000077426	ENSMUST00000104238	101129_at
ENSMUSG00000065887	ENSMUST00000083953	160998_at
ENSMUSG00000076128	ENSMUST00000102174	101558_s_at
ENSMUSG00000105874	ENSMUST00000200287	93889_f_at
ENSMUSG00000098811	ENSMUST00000184244	99078_at
ENSMUSG00000065305	ENSMUST00000083371	97838_at
ENSMUSG00000093327	ENSMUST00000175586	101054_at
ENSMUSG00000094661	ENSMUST00000118540	96950_at
ENSMUSG00000065680	ENSMUST00000083746	100732_at
ENSMUSG00000065280	ENSMUST00000083346	97838_at
ENSMUSG00000105196	ENSMUST00000198092	102978_at
ENSMUSG00000098597	ENSMUST00000185075	96911_at
ENSMUSG00000098269	ENSMUST00000183361	160384_at
ENSMUSG00000064768	ENSMUST00000082834	103545_at
ENSMUSG00000088625	ENSMUST00000158000	103309_at
ENSMUSG00000065378	ENSMUST00000083444	97838_at
ENSMUSG00000080342	ENSMUST00000116692	97375_at
ENSMUSG00000116275	ENSMUST00000027736	103978_at
ENSMUSG00000116275	ENSMUST00000027736	94845_at
ENSMUSG00000087993	ENSMUST00000157368	101013_at
ENSMUSG00000092819	ENSMUST00000175078	104513_at
ENSMUSG00000098955	ENSMUST00000183615	96573_at
ENSMUSG00000098798	ENSMUST00000184215	97483_at
ENSMUSG00000088219	ENSMUST00000157594	100734_at
ENSMUSG00000065434	ENSMUST00000083500	94041_at
ENSMUSG00000070167	ENSMUST00000093658	104195_at
ENSMUSG00000095118	ENSMUST00000083424	96564_at
ENSMUSG00000098830	ENSMUST00000183676	160616_at
ENSMUSG00000065599	ENSMUST00000083665	97933_at
ENSMUSG00000118642	ENSMUST00000205406	101179_at
ENSMUSG00000098381	ENSMUST00000184178	160761_at
ENSMUSG00000067017	ENSMUST00000086725	93499_at
ENSMUSG00000093358	ENSMUST00000175617	102627_at
ENSMUSG00000093076	ENSMUST00000175335	160318_at
ENSMUSG00000096271	ENSMUST00000178765	103012_at
ENSMUSG00000098683	ENSMUST00000184302	93873_s_at
ENSMUSG00000088835	ENSMUST00000158210	98545_at
ENSMUSG00000098457	ENSMUST00000185150	100509_at
ENSMUSG00000065301	ENSMUST00000083367	100116_at
ENSMUSG00000104813	ENSMUST00000196157	103858_at
ENSMUSG00000088909	ENSMUST00000158284	95109_at
ENSMUSG00000065336	ENSMUST00000083402	94978_at
ENSMUSG00000093365	ENSMUST00000175624	96573_at
ENSMUSG00000098625	ENSMUST00000184745	99160_s_at
ENSMUSG00000098625	ENSMUST00000184745	99161_at
ENSMUSG00000073179	ENSMUST00000084451	103267_i_at
ENSMUSG00000073179	ENSMUST00000084451	103268_r_at
ENSMUSG00000073179	ENSMUST00000084451	103269_f_at
ENSMUSG00000099270	ENSMUST00000185090	93873_s_at
ENSMUSG00000093149	ENSMUST00000175408	96573_at
ENSMUSG00000095523	ENSMUST00000180303	103865_at
ENSMUSG00000065219	ENSMUST00000083285	92834_at
ENSMUSG00000066809	ENSMUST00000086236	100213_f_at
ENSMUSG00000104627	ENSMUST00000197651	100144_at
ENSMUSG00000079800	ENSMUST00000096862	103517_at
ENSMUSG00000025226	ENSMUST00000026256	103594_at
ENSMUSG00000025226	ENSMUST00000177667	103594_at
ENSMUSG00000098331	ENSMUST00000184765	160231_at
ENSMUSG00000098267	ENSMUST00000183486	101325_r_at
ENSMUSG00000104996	ENSMUST00000198919	96538_at
ENSMUSG00000084575	ENSMUST00000122626	101601_at
ENSMUSG00000077212	ENSMUST00000104024	98948_at
ENSMUSG00000064837	ENSMUST00000082903	100144_at
ENSMUSG00000065676	ENSMUST00000083742	94823_at
ENSMUSG00000089542	ENSMUST00000158917	92816_r_at
ENSMUSG00000094263	ENSMUST00000178154	104089_at
ENSMUSG00000064780	ENSMUST00000082846	99340_at
ENSMUSG00000095703	ENSMUST00000179245	102814_f_at
ENSMUSG00000093178	ENSMUST00000175437	96156_at
ENSMUSG00000077575	ENSMUST00000104387	96630_at
ENSMUSG00000065862	ENSMUST00000083928	92816_r_at
ENSMUSG00000077711	ENSMUST00000104523	97647_at
ENSMUSG00000065628	ENSMUST00000083694	92834_at
ENSMUSG00000106463	ENSMUST00000199842	94978_at
ENSMUSG00000078035	ENSMUST00000104841	95954_at
ENSMUSG00000088075	ENSMUST00000157450	95349_g_at
ENSMUSG00000080582	ENSMUST00000116932	94289_r_at
ENSMUSG00000099226	ENSMUST00000184075	103225_at
ENSMUSG00000098487	ENSMUST00000184798	104645_at
ENSMUSG00000098792	ENSMUST00000184052	95486_at
ENSMUSG00000078041	ENSMUST00000104847	95954_at
ENSMUSG00000064696	ENSMUST00000082762	100144_at
ENSMUSG00000106281	ENSMUST00000198851	93834_at
ENSMUSG00000096550	ENSMUST00000178337	103865_at
ENSMUSG00000106591	ENSMUST00000199539	92180_at
ENSMUSG00000051412	ENSMUST00000051100	102885_at
ENSMUSG00000096873	ENSMUST00000178081	103012_at
ENSMUSG00000092763	ENSMUST00000175022	92889_r_at
ENSMUSG00000064816	ENSMUST00000082882	98530_at
ENSMUSG00000106431	ENSMUST00000197012	102557_at
ENSMUSG00000106431	ENSMUST00000197012	102558_at
ENSMUSG00000099254	ENSMUST00000183566	103792_at
ENSMUSG00000098842	ENSMUST00000185101	97483_at
ENSMUSG00000098842	ENSMUST00000185101	102136_r_at
ENSMUSG00000096263	ENSMUST00000101927	96564_at
ENSMUSG00000064767	ENSMUST00000082833	94767_at
ENSMUSG00000065475	ENSMUST00000083541	97933_at
ENSMUSG00000064450	ENSMUST00000082516	102109_at
ENSMUSG00000064390	ENSMUST00000082456	101664_at
ENSMUSG00000093734	ENSMUST00000177296	101937_s_at
ENSMUSG00000064563	ENSMUST00000082629	99198_at
ENSMUSG00000098774	ENSMUST00000183859	100041_at
ENSMUSG00000106169	ENSMUST00000196776	97441_at
ENSMUSG00000065160	ENSMUST00000083226	98530_at
ENSMUSG00000065160	ENSMUST00000083226	98531_g_at
ENSMUSG00000099059	ENSMUST00000183523	94748_g_at
ENSMUSG00000099059	ENSMUST00000183523	94747_at
ENSMUSG00000095221	ENSMUST00000179812	102814_f_at
ENSMUSG00000095221	ENSMUST00000179812	92812_f_at
ENSMUSG00000076010	ENSMUST00000102056	95312_at
ENSMUSG00000064751	ENSMUST00000082817	100732_at
ENSMUSG00000076138	ENSMUST00000102184	94766_at
ENSMUSG00000064440	ENSMUST00000082506	98530_at
ENSMUSG00000064440	ENSMUST00000082506	101885_at
ENSMUSG00000102478	ENSMUST00000191852	94456_at
ENSMUSG00000102478	ENSMUST00000195236	94456_at
ENSMUSG00000073489	ENSMUST00000111214	98466_r_at
ENSMUSG00000073489	ENSMUST00000111214	98465_f_at
ENSMUSG00000032193	ENSMUST00000034713	160832_at
ENSMUSG00000032193	ENSMUST00000213114	160832_at
ENSMUSG00000032193	ENSMUST00000214549	160832_at
ENSMUSG00000032079	ENSMUST00000121598	95728_g_at
ENSMUSG00000032079	ENSMUST00000121598	95729_at
ENSMUSG00000032079	ENSMUST00000121598	95727_at
ENSMUSG00000032079	ENSMUST00000214202	95728_g_at
ENSMUSG00000032079	ENSMUST00000214202	95729_at
ENSMUSG00000032079	ENSMUST00000214202	95727_at
ENSMUSG00000032079	ENSMUST00000215458	95728_g_at
ENSMUSG00000032079	ENSMUST00000215458	95729_at
ENSMUSG00000032079	ENSMUST00000215458	95727_at
ENSMUSG00000032079	ENSMUST00000215187	95729_at
ENSMUSG00000032079	ENSMUST00000213878	95729_at
ENSMUSG00000032079	ENSMUST00000213878	95727_at
ENSMUSG00000032079	ENSMUST00000034584	95728_g_at
ENSMUSG00000032079	ENSMUST00000034584	95729_at
ENSMUSG00000032079	ENSMUST00000034584	95727_at
ENSMUSG00000042622	ENSMUST00000229130	100302_at
ENSMUSG00000042622	ENSMUST00000096350	100302_at
ENSMUSG00000042622	ENSMUST00000163691	100302_at
ENSMUSG00000042622	ENSMUST00000229285	100302_at
ENSMUSG00000021585	ENSMUST00000222588	95062_at
ENSMUSG00000021585	ENSMUST00000223206	95062_at
ENSMUSG00000021585	ENSMUST00000223033	95062_at
ENSMUSG00000021585	ENSMUST00000223126	95062_at
ENSMUSG00000017831	ENSMUST00000017975	94478_at
ENSMUSG00000029648	ENSMUST00000031653	98452_at
ENSMUSG00000029648	ENSMUST00000110529	98453_at
ENSMUSG00000001506	ENSMUST00000001547	94305_at
ENSMUSG00000001506	ENSMUST00000001547	103709_at
ENSMUSG00000031245	ENSMUST00000033597	103654_at
ENSMUSG00000059775	ENSMUST00000077208	98564_f_at
ENSMUSG00000059775	ENSMUST00000212102	98564_f_at
ENSMUSG00000037544	ENSMUST00000043296	98489_at
ENSMUSG00000037544	ENSMUST00000177822	98489_at
ENSMUSG00000037544	ENSMUST00000180299	98489_at
ENSMUSG00000037544	ENSMUST00000178661	98489_at
ENSMUSG00000024222	ENSMUST00000079413	94297_at
ENSMUSG00000024222	ENSMUST00000114792	94297_at
ENSMUSG00000024222	ENSMUST00000233102	94297_at
ENSMUSG00000024222	ENSMUST00000233372	94297_at
ENSMUSG00000024222	ENSMUST00000177939	94297_at
ENSMUSG00000031320	ENSMUST00000033683	100780_at
ENSMUSG00000031320	ENSMUST00000152739	100780_at
ENSMUSG00000051989	ENSMUST00000063641	104076_at
ENSMUSG00000051989	ENSMUST00000118064	104076_at
ENSMUSG00000028017	ENSMUST00000029653	102774_at
ENSMUSG00000028017	ENSMUST00000197079	102774_at
ENSMUSG00000028017	ENSMUST00000199615	102774_at
ENSMUSG00000028017	ENSMUST00000197250	102774_at
ENSMUSG00000053897	ENSMUST00000081978	97442_at
ENSMUSG00000053897	ENSMUST00000029810	97442_at
ENSMUSG00000053897	ENSMUST00000133810	97442_at
ENSMUSG00000053897	ENSMUST00000167390	97442_at
ENSMUSG00000053897	ENSMUST00000180196	97442_at
ENSMUSG00000031246	ENSMUST00000033598	93806_at
ENSMUSG00000094672	ENSMUST00000162046	99700_at
ENSMUSG00000094672	ENSMUST00000233160	99700_at
ENSMUSG00000094672	ENSMUST00000233622	99700_at
ENSMUSG00000040276	ENSMUST00000045896	92949_at
ENSMUSG00000040276	ENSMUST00000232437	92949_at
ENSMUSG00000040276	ENSMUST00000231669	92949_at
ENSMUSG00000010406	ENSMUST00000010550	97443_at
ENSMUSG00000010406	ENSMUST00000199195	97443_at
ENSMUSG00000010406	ENSMUST00000199689	97443_at
ENSMUSG00000010406	ENSMUST00000196273	97443_at
ENSMUSG00000009418	ENSMUST00000067414	103491_at
ENSMUSG00000009418	ENSMUST00000190298	103491_at
ENSMUSG00000009418	ENSMUST00000040599	103491_at
ENSMUSG00000020163	ENSMUST00000138428	99618_at
ENSMUSG00000020163	ENSMUST00000020372	99618_at
ENSMUSG00000020163	ENSMUST00000141683	99618_at
ENSMUSG00000022099	ENSMUST00000022694	103600_at
ENSMUSG00000022099	ENSMUST00000110984	103600_at
ENSMUSG00000022099	ENSMUST00000228295	103600_at
ENSMUSG00000022099	ENSMUST00000228001	103600_at
ENSMUSG00000022099	ENSMUST00000228009	103600_at
ENSMUSG00000022099	ENSMUST00000228824	103600_at
ENSMUSG00000022099	ENSMUST00000022695	103600_at
ENSMUSG00000026883	ENSMUST00000112992	97353_at
ENSMUSG00000026883	ENSMUST00000156669	97353_at
ENSMUSG00000026883	ENSMUST00000112983	97353_at
ENSMUSG00000026883	ENSMUST00000112987	97353_at
ENSMUSG00000026883	ENSMUST00000112986	97353_at
ENSMUSG00000026883	ENSMUST00000065001	97353_at
ENSMUSG00000026883	ENSMUST00000112981	97353_at
ENSMUSG00000026883	ENSMUST00000091010	97353_at
ENSMUSG00000026883	ENSMUST00000145698	97353_at
ENSMUSG00000026883	ENSMUST00000135741	97353_at
ENSMUSG00000038312	ENSMUST00000040833	160789_at
ENSMUSG00000027187	ENSMUST00000028610	160479_at
ENSMUSG00000010830	ENSMUST00000010974	104464_s_at
ENSMUSG00000048163	ENSMUST00000201931	103488_at
ENSMUSG00000048163	ENSMUST00000100874	103488_at
ENSMUSG00000048163	ENSMUST00000201194	103488_at
ENSMUSG00000048163	ENSMUST00000202555	103488_at
ENSMUSG00000048163	ENSMUST00000199109	103488_at
ENSMUSG00000030505	ENSMUST00000032715	97539_at
ENSMUSG00000028546	ENSMUST00000106603	92361_at
ENSMUSG00000028546	ENSMUST00000102723	92361_at
ENSMUSG00000028546	ENSMUST00000106598	92361_at
ENSMUSG00000028546	ENSMUST00000106597	92361_at
ENSMUSG00000028546	ENSMUST00000102722	92361_at
ENSMUSG00000028546	ENSMUST00000106600	92361_at
ENSMUSG00000028546	ENSMUST00000106601	92361_at
ENSMUSG00000028546	ENSMUST00000153200	92361_at
ENSMUSG00000034403	ENSMUST00000113792	101461_f_at
ENSMUSG00000034403	ENSMUST00000113792	101462_r_at
ENSMUSG00000034403	ENSMUST00000036354	101461_f_at
ENSMUSG00000034403	ENSMUST00000036354	101462_r_at
ENSMUSG00000034403	ENSMUST00000113797	101461_f_at
ENSMUSG00000034403	ENSMUST00000113797	101462_r_at
ENSMUSG00000034403	ENSMUST00000113790	101461_f_at
ENSMUSG00000034403	ENSMUST00000113790	101462_r_at
ENSMUSG00000034403	ENSMUST00000167246	101461_f_at
ENSMUSG00000034403	ENSMUST00000167246	101462_r_at
ENSMUSG00000022556	ENSMUST00000228868	100451_at
ENSMUSG00000022556	ENSMUST00000228757	100451_at
ENSMUSG00000022556	ENSMUST00000226872	100451_at
ENSMUSG00000022556	ENSMUST00000072838	100451_at
ENSMUSG00000022556	ENSMUST00000227478	100451_at
ENSMUSG00000022556	ENSMUST00000228371	100451_at
ENSMUSG00000022556	ENSMUST00000226860	100451_at
ENSMUSG00000022556	ENSMUST00000229363	100451_at
ENSMUSG00000022556	ENSMUST00000226238	100451_at
ENSMUSG00000022556	ENSMUST00000228781	100451_at
ENSMUSG00000022556	ENSMUST00000230505	100451_at
ENSMUSG00000022556	ENSMUST00000228688	100451_at
ENSMUSG00000090272	ENSMUST00000220623	94224_s_at
ENSMUSG00000090272	ENSMUST00000186442	94224_s_at
ENSMUSG00000090272	ENSMUST00000188804	94224_s_at
ENSMUSG00000090272	ENSMUST00000189474	94224_s_at
ENSMUSG00000090272	ENSMUST00000190071	94224_s_at
ENSMUSG00000090272	ENSMUST00000190071	97162_at
ENSMUSG00000025323	ENSMUST00000026367	92991_at
ENSMUSG00000025323	ENSMUST00000026367	92992_i_at
ENSMUSG00000025323	ENSMUST00000026367	92993_r_at
ENSMUSG00000025323	ENSMUST00000222314	92991_at
ENSMUSG00000021670	ENSMUST00000022176	104285_at
ENSMUSG00000021670	ENSMUST00000022176	99425_at
ENSMUSG00000021670	ENSMUST00000168855	104285_at
ENSMUSG00000021670	ENSMUST00000168855	99425_at
ENSMUSG00000021670	ENSMUST00000170287	99425_at
ENSMUSG00000021670	ENSMUST00000163201	99425_at
ENSMUSG00000021670	ENSMUST00000169196	99425_at
ENSMUSG00000021670	ENSMUST00000172440	99425_at
ENSMUSG00000021670	ENSMUST00000169966	99425_at
ENSMUSG00000021670	ENSMUST00000171537	99425_at
ENSMUSG00000021670	ENSMUST00000168374	99425_at
ENSMUSG00000040966	ENSMUST00000046959	102947_at
ENSMUSG00000016253	ENSMUST00000109075	94015_at
ENSMUSG00000016253	ENSMUST00000016397	94015_at
ENSMUSG00000016253	ENSMUST00000139390	94015_at
ENSMUSG00000016253	ENSMUST00000137986	94015_at
ENSMUSG00000000708	ENSMUST00000000724	161116_at
ENSMUSG00000000708	ENSMUST00000000724	104070_at
ENSMUSG00000000708	ENSMUST00000171072	161116_at
ENSMUSG00000030769	ENSMUST00000033035	101609_at
ENSMUSG00000114755	ENSMUST00000058004	101806_at
ENSMUSG00000006378	ENSMUST00000006544	160628_at
ENSMUSG00000006378	ENSMUST00000229276	160628_at
ENSMUSG00000020848	ENSMUST00000021209	101191_at
ENSMUSG00000024646	ENSMUST00000235725	98533_at
ENSMUSG00000024646	ENSMUST00000160180	98533_at
ENSMUSG00000024646	ENSMUST00000236742	98533_at
ENSMUSG00000024646	ENSMUST00000163083	98533_at
ENSMUSG00000024646	ENSMUST00000235254	98533_at
ENSMUSG00000024646	ENSMUST00000159837	98533_at
ENSMUSG00000083796	ENSMUST00000119442	101523_at
ENSMUSG00000021975	ENSMUST00000043914	160924_at
ENSMUSG00000021975	ENSMUST00000239450	160924_at
ENSMUSG00000118591	ENSMUST00000239361	101846_r_at
ENSMUSG00000118591	ENSMUST00000239361	101845_s_at
ENSMUSG00000023829	ENSMUST00000233691	100916_at
ENSMUSG00000023829	ENSMUST00000024596	100916_at
ENSMUSG00000023829	ENSMUST00000233601	100916_at
ENSMUSG00000031166	ENSMUST00000033506	94374_at
ENSMUSG00000031166	ENSMUST00000133292	94374_at
ENSMUSG00000031166	ENSMUST00000130832	94374_at
ENSMUSG00000020673	ENSMUST00000021005	98832_at
ENSMUSG00000016256	ENSMUST00000016400	92633_at
ENSMUSG00000096517	ENSMUST00000180049	96290_f_at
ENSMUSG00000024091	ENSMUST00000024897	94889_at
ENSMUSG00000024091	ENSMUST00000232686	94889_at
ENSMUSG00000027611	ENSMUST00000029140	98018_at
ENSMUSG00000027611	ENSMUST00000143493	98018_at
ENSMUSG00000027611	ENSMUST00000155095	98018_at
ENSMUSG00000027611	ENSMUST00000132608	98018_at
ENSMUSG00000026623	ENSMUST00000110855	104260_at
ENSMUSG00000026623	ENSMUST00000110855	104282_at
ENSMUSG00000024142	ENSMUST00000234941	98513_at
ENSMUSG00000024142	ENSMUST00000179163	98513_at
ENSMUSG00000024142	ENSMUST00000070888	98513_at
ENSMUSG00000024142	ENSMUST00000234686	98513_at
ENSMUSG00000024142	ENSMUST00000234543	98513_at
ENSMUSG00000001228	ENSMUST00000001258	99564_at
ENSMUSG00000001228	ENSMUST00000113038	99564_at
ENSMUSG00000001228	ENSMUST00000113035	99564_at
ENSMUSG00000001228	ENSMUST00000113039	99564_at
ENSMUSG00000001228	ENSMUST00000139654	99564_at
ENSMUSG00000024215	ENSMUST00000025054	104008_at
ENSMUSG00000024215	ENSMUST00000233880	104008_at
ENSMUSG00000024215	ENSMUST00000127622	104008_at
ENSMUSG00000024215	ENSMUST00000114870	104008_at
ENSMUSG00000024215	ENSMUST00000167489	104008_at
ENSMUSG00000000957	ENSMUST00000089688	160118_at
ENSMUSG00000000957	ENSMUST00000226710	160118_at
ENSMUSG00000054520	ENSMUST00000067638	92975_at
ENSMUSG00000054520	ENSMUST00000101316	92975_at
ENSMUSG00000054520	ENSMUST00000118545	92975_at
ENSMUSG00000054520	ENSMUST00000179943	92975_at
ENSMUSG00000022403	ENSMUST00000172107	97309_at
ENSMUSG00000022403	ENSMUST00000172107	97310_at
ENSMUSG00000022403	ENSMUST00000023039	97309_at
ENSMUSG00000022403	ENSMUST00000023039	97310_at
ENSMUSG00000022403	ENSMUST00000165582	97310_at
ENSMUSG00000096630	ENSMUST00000032238	99700_at
ENSMUSG00000096630	ENSMUST00000232707	99700_at
ENSMUSG00000096630	ENSMUST00000233955	99700_at
ENSMUSG00000002007	ENSMUST00000002081	92436_at
ENSMUSG00000002007	ENSMUST00000136664	92436_at
ENSMUSG00000002007	ENSMUST00000137045	92436_at
ENSMUSG00000002007	ENSMUST00000139630	92436_at
ENSMUSG00000029403	ENSMUST00000069937	160623_at
ENSMUSG00000029403	ENSMUST00000086978	160623_at
ENSMUSG00000029403	ENSMUST00000136037	160623_at
ENSMUSG00000021610	ENSMUST00000022102	160386_at
ENSMUSG00000021610	ENSMUST00000222343	160386_at
ENSMUSG00000038765	ENSMUST00000041730	101775_at
ENSMUSG00000038765	ENSMUST00000176067	101775_at
ENSMUSG00000038765	ENSMUST00000239476	101775_at
ENSMUSG00000039067	ENSMUST00000044106	103350_at
