Gene stable ID	Transcript stable ID	AFFY Rhesus probe
ENSMMUG00000008636	ENSMMUT00000012079	MmugDNA.5982.1.S1_at
ENSMMUG00000008636	ENSMMUT00000012079	MmugDNA.16449.1.S1_at
ENSMMUG00000050632	ENSMMUT00000106188	MmuSTS.43.1.S1_at
ENSMMUG00000050632	ENSMMUT00000099863	MmuSTS.43.1.S1_at
ENSMMUG00000050632	ENSMMUT00000092115	MmuSTS.43.1.S1_at
ENSMMUG00000050632	ENSMMUT00000092115	MmugDNA.27617.1.S1_at
ENSMMUG00000021388	ENSMMUT00000109025	MmugDNA.11915.1.S1_at
ENSMMUG00000021388	ENSMMUT00000090655	MmugDNA.11915.1.S1_at
ENSMMUG00000021388	ENSMMUT00000030107	MmugDNA.11915.1.S1_at
ENSMMUG00000000016	ENSMMUT00000000024	MmugDNA.27848.1.S1_at
ENSMMUG00000000016	ENSMMUT00000000024	Mmu.4846.2.S1_at
ENSMMUG00000000016	ENSMMUT00000000024	Mmu.4846.1.S1_at
ENSMMUG00000012028	ENSMMUT00000016846	MmugDNA.27617.1.S1_at
ENSMMUG00000012028	ENSMMUT00000047397	MmugDNA.27617.1.S1_at
ENSMMUG00000000015	ENSMMUT00000000019	MmugDNA.5399.1.S1_at
ENSMMUG00000010176	ENSMMUT00000014207	MmuSTS.1283.1.S1_at
ENSMMUG00000010176	ENSMMUT00000014207	MmugDNA.29544.1.S1_at
ENSMMUG00000006252	ENSMMUT00000071036	MmugDNA.32067.1.S1_at
ENSMMUG00000011832	ENSMMUT00000016577	MmugDNA.26168.1.S1_at
ENSMMUG00000008149	ENSMMUT00000011384	MmunewRS.78.1.S1_at
ENSMMUG00000006252	ENSMMUT00000008749	MmugDNA.32067.1.S1_at
ENSMMUG00000015664	ENSMMUT00000021969	MmugDNA.18562.1.S1_at
ENSMMUG00000015664	ENSMMUT00000021969	MmugDNA.37728.1.S1_at
ENSMMUG00000008149	ENSMMUT00000103135	MmunewRS.78.1.S1_at
ENSMMUG00000008149	ENSMMUT00000011386	MmunewRS.78.1.S1_at
ENSMMUG00000008149	ENSMMUT00000085647	MmunewRS.78.1.S1_at
ENSMMUG00000019771	ENSMMUT00000086994	MmuSTS.2394.1.S1_at
ENSMMUG00000019771	ENSMMUT00000102360	MmuSTS.2394.1.S1_at
ENSMMUG00000019771	ENSMMUT00000063401	MmuSTS.2394.1.S1_at
ENSMMUG00000019771	ENSMMUT00000027790	MmuSTS.2394.1.S1_at
ENSMMUG00000044406	ENSMMUT00000053686	MmugDNA.5875.1.S1_at
ENSMMUG00000044406	ENSMMUT00000053686	MmugDNA.3058.1.S1_at
ENSMMUG00000002141	ENSMMUT00000003024	MmugDNA.28429.1.S1_at
ENSMMUG00000002141	ENSMMUT00000003024	MmugDNA.7455.1.S1_at
ENSMMUG00000002141	ENSMMUT00000071194	MmugDNA.28429.1.S1_at
ENSMMUG00000002141	ENSMMUT00000071194	MmugDNA.7455.1.S1_at
ENSMMUG00000008836	ENSMMUT00000012360	MmugDNA.5153.1.S1_at
ENSMMUG00000042021	ENSMMUT00000064546	MmugDNA.16822.1.S1_at
ENSMMUG00000042021	ENSMMUT00000064546	MmugDNA.28060.1.S1_s_at
ENSMMUG00000002142	ENSMMUT00000003026	MmugDNA.38945.1.S1_at
ENSMMUG00000002142	ENSMMUT00000003026	MmugDNA.51.1.S1_at
ENSMMUG00000053224	ENSMMUT00000096985	MmugDNA.10286.1.S1_at
ENSMMUG00000008836	ENSMMUT00000061871	MmuAffx.956.1.S1_at
ENSMMUG00000008836	ENSMMUT00000061871	Mmu.3541.1.S1_at
ENSMMUG00000019995	ENSMMUT00000044490	MmugDNA.9736.1.S1_at
ENSMMUG00000008836	ENSMMUT00000012348	MmuAffx.956.1.S1_at
ENSMMUG00000008836	ENSMMUT00000012348	Mmu.3541.1.S1_at
ENSMMUG00000008836	ENSMMUT00000069229	MmugDNA.24526.1.S1_at
ENSMMUG00000008836	ENSMMUT00000069229	Mmu.3541.1.S1_at
ENSMMUG00000019995	ENSMMUT00000028102	MmugDNA.18087.1.S1_at
ENSMMUG00000019995	ENSMMUT00000028102	MmugDNA.33221.1.S1_at
ENSMMUG00000019995	ENSMMUT00000028102	MmuSTS.2781.1.S1_at
ENSMMUG00000019995	ENSMMUT00000028102	MmugDNA.9736.1.S1_at
ENSMMUG00000015158	ENSMMUT00000064631	MmugDNA.24789.1.S1_at
ENSMMUG00000006251	ENSMMUT00000067719	MmuSTS.4291.1.S1_at
ENSMMUG00000006251	ENSMMUT00000067719	MmugDNA.14502.1.S1_s_at
ENSMMUG00000006251	ENSMMUT00000067719	MmugDNA.12287.1.S1_at
ENSMMUG00000019995	ENSMMUT00000044491	MmugDNA.33221.1.S1_at
ENSMMUG00000019995	ENSMMUT00000044491	MmuSTS.2781.1.S1_at
ENSMMUG00000019995	ENSMMUT00000044491	MmugDNA.9736.1.S1_at
ENSMMUG00000022196	ENSMMUT00000031216	MmugDNA.17463.1.S1_at
ENSMMUG00000006251	ENSMMUT00000008747	MmuSTS.4291.1.S1_at
ENSMMUG00000015158	ENSMMUT00000021254	MmugDNA.24789.1.S1_at
ENSMMUG00000008146	ENSMMUT00000095800	MmugDNA.30780.1.S1_at
ENSMMUG00000008146	ENSMMUT00000095800	Mmu.181.1.S1_at
ENSMMUG00000015158	ENSMMUT00000076362	MmugDNA.24789.1.S1_at
ENSMMUG00000000932	ENSMMUT00000099136	MmugDNA.39487.1.S1_at
ENSMMUG00000000932	ENSMMUT00000099136	MmugDNA.39486.1.S1_at
ENSMMUG00000000932	ENSMMUT00000099136	MmugDNA.21479.1.S1_at
ENSMMUG00000015158	ENSMMUT00000095758	MmugDNA.24789.1.S1_at
ENSMMUG00000008146	ENSMMUT00000011381	MmugDNA.30780.1.S1_at
ENSMMUG00000008146	ENSMMUT00000011381	MmugDNA.39565.1.S1_s_at
ENSMMUG00000008146	ENSMMUT00000011381	Mmu.181.1.S1_at
ENSMMUG00000008835	ENSMMUT00000075562	MmugDNA.25353.1.S1_at
ENSMMUG00000008835	ENSMMUT00000075562	MmugDNA.25000.1.S1_at
ENSMMUG00000008146	ENSMMUT00000103971	MmugDNA.30780.1.S1_at
ENSMMUG00000008146	ENSMMUT00000103971	MmugDNA.39565.1.S1_s_at
ENSMMUG00000008146	ENSMMUT00000103971	Mmu.181.1.S1_at
ENSMMUG00000015158	ENSMMUT00000060043	MmugDNA.24789.1.S1_at
ENSMMUG00000008146	ENSMMUT00000045942	MmugDNA.30780.1.S1_at
ENSMMUG00000008146	ENSMMUT00000045942	MmugDNA.39565.1.S1_s_at
ENSMMUG00000008146	ENSMMUT00000045942	Mmu.181.1.S1_at
ENSMMUG00000015158	ENSMMUT00000021255	MmugDNA.24789.1.S1_at
ENSMMUG00000015158	ENSMMUT00000069789	MmugDNA.24789.1.S1_at
ENSMMUG00000000932	ENSMMUT00000001329	MmugDNA.21479.1.S1_at
ENSMMUG00000015158	ENSMMUT00000021253	MmugDNA.24789.1.S1_at
ENSMMUG00000000932	ENSMMUT00000105220	MmugDNA.39487.1.S1_at
ENSMMUG00000000932	ENSMMUT00000105220	MmugDNA.39486.1.S1_at
ENSMMUG00000000932	ENSMMUT00000105220	MmugDNA.21479.1.S1_at
ENSMMUG00000056564	ENSMMUT00000094088	MmugDNA.11389.1.S1_at
ENSMMUG00000008145	ENSMMUT00000059547	MmugDNA.39565.1.S1_at
ENSMMUG00000008145	ENSMMUT00000059547	MmugDNA.30780.1.S1_at
ENSMMUG00000008145	ENSMMUT00000059547	MmugDNA.39565.1.S1_s_at
ENSMMUG00000003304	ENSMMUT00000098213	MmuSTS.4143.1.S1_at
ENSMMUG00000003304	ENSMMUT00000004672	MmuSTS.4143.1.S1_at
ENSMMUG00000010977	ENSMMUT00000074905	MmugDNA.43424.1.S1_at
ENSMMUG00000031508	ENSMMUT00000030751	MmugDNA.17025.1.S1_at
ENSMMUG00000057586	ENSMMUT00000107375	MmugDNA.37998.1.S1_s_at
ENSMMUG00000015156	ENSMMUT00000021251	MmugDNA.38811.1.S1_at
ENSMMUG00000010977	ENSMMUT00000015355	MmugDNA.43424.1.S1_at
ENSMMUG00000003304	ENSMMUT00000094050	MmuSTS.4143.1.S1_at
ENSMMUG00000010977	ENSMMUT00000056017	MmugDNA.43424.1.S1_at
ENSMMUG00000055518	ENSMMUT00000093773	MmugDNA.40899.1.S1_at
ENSMMUG00000025174	ENSMMUT00000034875	MmugDNA.10367.1.S1_at
ENSMMUG00000045106	ENSMMUT00000097920	MmugDNA.6677.1.S1_at
ENSMMUG00000015155	ENSMMUT00000057236	MmuSTS.534.1.S1_at
ENSMMUG00000050796	ENSMMUT00000098780	MmugDNA.11192.1.S1_at
ENSMMUG00000045106	ENSMMUT00000109286	MmugDNA.6677.1.S1_at
ENSMMUG00000003343	ENSMMUT00000073677	MmugDNA.27186.1.S1_at
ENSMMUG00000045106	ENSMMUT00000079076	MmugDNA.6677.1.S1_at
ENSMMUG00000015155	ENSMMUT00000021248	MmuSTS.534.1.S1_at
ENSMMUG00000003343	ENSMMUT00000004725	MmugDNA.27186.1.S1_at
ENSMMUG00000010973	ENSMMUT00000088632	MmugDNA.42181.1.S1_at
ENSMMUG00000002953	ENSMMUT00000004181	MmugDNA.35776.1.S1_at
ENSMMUG00000010973	ENSMMUT00000015352	MmugDNA.42182.1.S1_at
ENSMMUG00000010973	ENSMMUT00000015352	MmugDNA.42181.1.S1_at
ENSMMUG00000010978	ENSMMUT00000100617	MmuSTS.2361.1.S1_at
ENSMMUG00000010978	ENSMMUT00000087747	MmuSTS.2361.1.S1_at
ENSMMUG00000010973	ENSMMUT00000102336	MmugDNA.42182.1.S1_at
ENSMMUG00000010973	ENSMMUT00000102336	MmugDNA.42181.1.S1_at
ENSMMUG00000010978	ENSMMUT00000015356	MmuSTS.2361.1.S1_at
ENSMMUG00000051774	ENSMMUT00000089451	MmugDNA.10880.1.S1_at
ENSMMUG00000051774	ENSMMUT00000091527	MmugDNA.10880.1.S1_at
ENSMMUG00000031655	ENSMMUT00000045947	MmugDNA.26623.1.S1_at
ENSMMUG00000022199	ENSMMUT00000101678	MmugDNA.40738.1.S1_at
ENSMMUG00000022199	ENSMMUT00000101678	MmuSTS.1112.1.S1_at
ENSMMUG00000019994	ENSMMUT00000028100	MmugDNA.40746.1.S1_at
ENSMMUG00000019994	ENSMMUT00000028100	MmugDNA.42260.1.S1_at
ENSMMUG00000022199	ENSMMUT00000061563	MmugDNA.40738.1.S1_at
ENSMMUG00000022199	ENSMMUT00000061563	MmuSTS.1112.1.S1_at
ENSMMUG00000019994	ENSMMUT00000028101	MmugDNA.40746.1.S1_at
ENSMMUG00000019994	ENSMMUT00000028101	MmugDNA.42260.1.S1_at
ENSMMUG00000010979	ENSMMUT00000015358	MmugDNA.17365.1.S1_at
ENSMMUG00000022884	ENSMMUT00000084074	MmugDNA.41364.1.S1_at
ENSMMUG00000022884	ENSMMUT00000084074	MmugDNA.15517.1.S1_at
ENSMMUG00000022884	ENSMMUT00000084074	MmugDNA.15149.1.S1_at
ENSMMUG00000063102	ENSMMUT00000104745	MmugDNA.5402.1.S1_at
ENSMMUG00000063102	ENSMMUT00000104745	MmugDNA.8048.1.S1_at
ENSMMUG00000010979	ENSMMUT00000045946	MmugDNA.17365.1.S1_at
ENSMMUG00000010970	ENSMMUT00000068328	MmugDNA.20120.1.S1_at
ENSMMUG00000010970	ENSMMUT00000068328	Mmu.4422.1.S1_s_at
ENSMMUG00000010970	ENSMMUT00000068328	Mmu.8798.1.S1_s_at
ENSMMUG00000010970	ENSMMUT00000068328	Mmu.8798.1.S1_at
ENSMMUG00000010970	ENSMMUT00000068328	MmuSTS.587.1.S1_at
ENSMMUG00000010970	ENSMMUT00000015348	MmugDNA.20120.1.S1_at
ENSMMUG00000010970	ENSMMUT00000015348	Mmu.4422.1.S1_s_at
ENSMMUG00000010970	ENSMMUT00000015348	Mmu.8798.1.S1_s_at
ENSMMUG00000010970	ENSMMUT00000015348	Mmu.8798.1.S1_at
ENSMMUG00000010970	ENSMMUT00000015348	MmuSTS.587.1.S1_at
ENSMMUG00000022884	ENSMMUT00000032212	MmugDNA.41364.1.S1_at
ENSMMUG00000022884	ENSMMUT00000032212	MmugDNA.15517.1.S1_at
ENSMMUG00000022884	ENSMMUT00000032212	MmugDNA.15149.1.S1_at
ENSMMUG00000022199	ENSMMUT00000058113	MmugDNA.40738.1.S1_at
ENSMMUG00000022199	ENSMMUT00000058113	MmuSTS.1112.1.S1_at
ENSMMUG00000010980	ENSMMUT00000015360	MmugDNA.26626.1.S1_at
ENSMMUG00000010980	ENSMMUT00000015360	MmugDNA.17370.1.S1_at
ENSMMUG00000010980	ENSMMUT00000015360	MmugDNA.43216.1.S1_at
ENSMMUG00000016974	ENSMMUT00000023858	MmugDNA.21970.1.S1_at
ENSMMUG00000016974	ENSMMUT00000023858	MmugDNA.39238.1.S1_at
ENSMMUG00000016974	ENSMMUT00000023858	MmugDNA.38311.1.S1_at
ENSMMUG00000016974	ENSMMUT00000023858	MmugDNA.19406.1.S1_at
ENSMMUG00000010970	ENSMMUT00000059184	MmugDNA.20120.1.S1_at
