Gene stable ID	Transcript stable ID	AFFY HG U95D probe
ENSG00000206510	ENST00000548769	74546_s_at
ENSG00000227858	ENST00000432222	74546_s_at
ENSG00000278533	ENST00000616461	83455_r_at
ENSG00000278533	ENST00000616758	83455_r_at
ENSG00000278533	ENST00000611715	83455_r_at
ENSG00000278533	ENST00000611143	83455_r_at
ENSG00000278533	ENST00000611322	83455_r_at
ENSG00000223852	ENST00000437216	74546_s_at
ENSG00000223852	ENST00000547542	74546_s_at
ENSG00000223852	ENST00000548574	74546_s_at
ENSG00000281354	ENST00000626452	88185_at
ENSG00000226858	ENST00000435906	74546_s_at
ENSG00000226858	ENST00000549501	74546_s_at
ENSG00000226858	ENST00000549167	74546_s_at
ENSG00000273686	ENST00000617605	74840_s_at
ENSG00000273686	ENST00000633581	74840_s_at
ENSG00000273686	ENST00000632867	74840_s_at
ENSG00000273686	ENST00000633158	74840_s_at
ENSG00000273686	ENST00000631391	74840_s_at
ENSG00000273686	ENST00000632449	74840_s_at
ENSG00000273686	ENST00000631575	74840_s_at
ENSG00000273686	ENST00000633912	74840_s_at
ENSG00000273686	ENST00000633512	74840_s_at
ENSG00000273686	ENST00000619603	74840_s_at
ENSG00000277800	ENST00000628860	67812_at
ENSG00000278211	ENST00000633414	82806_at
ENSG00000278211	ENST00000633106	82806_at
ENSG00000278211	ENST00000631740	82806_at
ENSG00000278211	ENST00000633859	82806_at
ENSG00000278211	ENST00000618398	82806_at
ENSG00000278211	ENST00000631767	82806_at
ENSG00000278211	ENST00000631458	82806_at
ENSG00000278211	ENST00000621836	82806_at
ENSG00000274161	ENST00000632284	89530_at
ENSG00000274161	ENST00000633014	83141_at
ENSG00000282491	ENST00000631608	79417_at
ENSG00000282171	ENST00000634069	77462_at
ENSG00000282171	ENST00000633237	77462_at
ENSG00000278384	ENST00000612565	73422_at
ENSG00000278279	ENST00000616137	91341_at
ENSG00000278279	ENST00000620735	91341_at
ENSG00000278279	ENST00000613131	91341_at
ENSG00000278555	ENST00000615614	91341_at
ENSG00000278555	ENST00000618480	91341_at
ENSG00000277773	ENST00000620650	79152_at
ENSG00000228581	ENST00000437917	91942_at
ENSG00000276053	ENST00000619717	90514_at
ENSG00000273656	ENST00000618618	77893_at
ENSG00000273656	ENST00000615569	77893_at
ENSG00000273656	ENST00000610620	92162_r_at
ENSG00000277036	ENST00000610525	75796_at
ENSG00000275536	ENST00000622714	88795_at
ENSG00000226882	ENST00000417834	91942_at
ENSG00000278458	ENST00000633505	77264_at
ENSG00000278458	ENST00000633819	77264_at
ENSG00000278458	ENST00000632594	77264_at
ENSG00000278458	ENST00000633346	77264_at
ENSG00000278458	ENST00000622036	77264_at
ENSG00000278458	ENST00000610328	77264_at
ENSG00000278458	ENST00000632100	77264_at
ENSG00000278458	ENST00000631434	77264_at
ENSG00000278458	ENST00000613150	77264_at
ENSG00000276042	ENST00000617426	91341_at
ENSG00000276042	ENST00000621368	91341_at
ENSG00000276042	ENST00000617098	91341_at
ENSG00000232143	ENST00000454829	91942_at
ENSG00000231257	ENST00000417183	71484_i_at
ENSG00000231257	ENST00000417183	71486_f_at
ENSG00000231257	ENST00000466585	71484_i_at
ENSG00000231257	ENST00000466585	71486_f_at
ENSG00000231257	ENST00000418248	71484_i_at
ENSG00000231257	ENST00000418248	71486_f_at
ENSG00000231257	ENST00000420586	71484_i_at
ENSG00000231257	ENST00000420586	71486_f_at
ENSG00000231257	ENST00000432643	71484_i_at
ENSG00000231257	ENST00000432643	71486_f_at
ENSG00000231257	ENST00000445973	71484_i_at
ENSG00000231257	ENST00000445973	71486_f_at
ENSG00000231257	ENST00000450220	71484_i_at
ENSG00000231257	ENST00000450220	71486_f_at
ENSG00000231257	ENST00000475404	71484_i_at
ENSG00000231257	ENST00000475404	71486_f_at
ENSG00000231257	ENST00000463945	71484_i_at
ENSG00000231257	ENST00000463945	71486_f_at
ENSG00000231257	ENST00000490845	71484_i_at
ENSG00000231257	ENST00000490845	71486_f_at
ENSG00000275867	ENST00000627698	77264_at
ENSG00000275867	ENST00000629551	77264_at
ENSG00000275867	ENST00000626533	77264_at
ENSG00000275867	ENST00000630200	77264_at
ENSG00000275867	ENST00000626891	77264_at
ENSG00000275867	ENST00000628965	77264_at
ENSG00000275867	ENST00000625290	77264_at
ENSG00000275867	ENST00000629700	77264_at
ENSG00000275867	ENST00000611596	77264_at
ENSG00000206412	ENST00000383450	91942_at
ENSG00000277641	ENST00000616347	73055_at
ENSG00000277730	ENST00000613221	90516_at
ENSG00000277517	ENST00000613905	77155_at
ENSG00000277517	ENST00000611857	77155_at
ENSG00000234549	ENST00000416917	71484_i_at
ENSG00000234549	ENST00000416917	71486_f_at
ENSG00000234549	ENST00000432356	71484_i_at
ENSG00000234549	ENST00000432356	71486_f_at
ENSG00000234549	ENST00000454987	71484_i_at
ENSG00000234549	ENST00000454987	71486_f_at
ENSG00000234549	ENST00000411724	71484_i_at
ENSG00000234549	ENST00000411724	71486_f_at
ENSG00000234549	ENST00000456215	71484_i_at
ENSG00000234549	ENST00000456215	71486_f_at
ENSG00000234549	ENST00000457334	71484_i_at
ENSG00000234549	ENST00000457334	71486_f_at
ENSG00000234549	ENST00000477838	71484_i_at
ENSG00000234549	ENST00000477838	71486_f_at
ENSG00000234549	ENST00000475631	71484_i_at
ENSG00000234549	ENST00000475631	71486_f_at
ENSG00000234549	ENST00000491620	71484_i_at
ENSG00000234549	ENST00000491620	71486_f_at
ENSG00000234549	ENST00000471345	71484_i_at
ENSG00000234549	ENST00000471345	71486_f_at
ENSG00000282634	ENST00000633453	88788_i_at
ENSG00000282720	ENST00000633417	88788_i_at
ENSG00000229470	ENST00000428189	91942_at
ENSG00000235658	ENST00000449905	71484_i_at
ENSG00000235658	ENST00000449905	71486_f_at
ENSG00000235658	ENST00000442844	71484_i_at
ENSG00000235658	ENST00000442844	71486_f_at
ENSG00000235658	ENST00000430611	71484_i_at
ENSG00000235658	ENST00000430611	71486_f_at
ENSG00000235658	ENST00000423654	71484_i_at
ENSG00000235658	ENST00000423654	71486_f_at
ENSG00000235658	ENST00000428764	71484_i_at
ENSG00000235658	ENST00000428764	71486_f_at
ENSG00000235658	ENST00000416435	71484_i_at
ENSG00000235658	ENST00000416435	71486_f_at
ENSG00000235658	ENST00000472552	71484_i_at
ENSG00000235658	ENST00000472552	71486_f_at
ENSG00000235658	ENST00000464565	71484_i_at
ENSG00000235658	ENST00000464565	71486_f_at
ENSG00000235658	ENST00000491201	71484_i_at
ENSG00000235658	ENST00000491201	71486_f_at
ENSG00000235658	ENST00000474976	71484_i_at
ENSG00000235658	ENST00000474976	71486_f_at
ENSG00000206492	ENST00000383596	91942_at
ENSG00000235986	ENST00000441604	91942_at
ENSG00000275551	ENST00000617187	83455_r_at
ENSG00000275551	ENST00000611480	83455_r_at
ENSG00000275551	ENST00000615546	83455_r_at
ENSG00000275551	ENST00000617834	83455_r_at
ENSG00000275551	ENST00000615745	83455_r_at
ENSG00000282515	ENST00000631381	82579_at
ENSG00000282515	ENST00000632818	82579_at
ENSG00000282515	ENST00000634199	82579_at
ENSG00000275949	ENST00000253803	83256_at
ENSG00000275730	ENST00000611165	91341_at
ENSG00000275730	ENST00000612454	91341_at
ENSG00000275730	ENST00000621693	91341_at
ENSG00000275730	ENST00000613090	91341_at
ENSG00000275730	ENST00000614699	91341_at
ENSG00000275730	ENST00000621149	91341_at
ENSG00000275730	ENST00000619525	91341_at
ENSG00000229061	ENST00000443114	71484_i_at
ENSG00000229061	ENST00000443114	71486_f_at
ENSG00000229061	ENST00000454794	71484_i_at
ENSG00000229061	ENST00000454794	71486_f_at
ENSG00000229061	ENST00000443391	71484_i_at
ENSG00000229061	ENST00000443391	71486_f_at
ENSG00000229061	ENST00000446100	71484_i_at
ENSG00000229061	ENST00000446100	71486_f_at
ENSG00000229061	ENST00000456704	71484_i_at
ENSG00000229061	ENST00000456704	71486_f_at
ENSG00000229061	ENST00000448670	71484_i_at
ENSG00000229061	ENST00000448670	71486_f_at
ENSG00000229061	ENST00000481303	71484_i_at
ENSG00000229061	ENST00000481303	71486_f_at
ENSG00000229061	ENST00000481270	71484_i_at
ENSG00000229061	ENST00000481270	71486_f_at
ENSG00000229061	ENST00000478297	71484_i_at
ENSG00000229061	ENST00000478297	71486_f_at
ENSG00000229061	ENST00000471933	71484_i_at
ENSG00000229061	ENST00000471933	71486_f_at
ENSG00000282336	ENST00000632915	88788_i_at
ENSG00000282426	ENST00000632019	88788_i_at
ENSG00000277626	ENST00000611547	73055_at
ENSG00000282225	ENST00000632308	69887_at
ENSG00000223752	ENST00000423338	71484_i_at
ENSG00000223752	ENST00000423338	71486_f_at
ENSG00000223752	ENST00000445486	71484_i_at
ENSG00000223752	ENST00000445486	71486_f_at
ENSG00000223752	ENST00000424121	71484_i_at
ENSG00000223752	ENST00000424121	71486_f_at
ENSG00000223752	ENST00000457161	71484_i_at
ENSG00000223752	ENST00000457161	71486_f_at
ENSG00000223752	ENST00000450003	71484_i_at
ENSG00000223752	ENST00000450003	71486_f_at
ENSG00000223752	ENST00000425448	71484_i_at
ENSG00000223752	ENST00000425448	71486_f_at
ENSG00000223752	ENST00000489189	71484_i_at
ENSG00000223752	ENST00000489189	71486_f_at
ENSG00000223752	ENST00000467417	71484_i_at
ENSG00000223752	ENST00000467417	71486_f_at
ENSG00000223752	ENST00000472887	71484_i_at
ENSG00000223752	ENST00000472887	71486_f_at
ENSG00000223752	ENST00000491312	71484_i_at
ENSG00000223752	ENST00000491312	71486_f_at
ENSG00000206488	ENST00000383584	71484_i_at
ENSG00000206488	ENST00000383584	71486_f_at
ENSG00000206488	ENST00000383585	71484_i_at
ENSG00000206488	ENST00000383585	71486_f_at
ENSG00000206488	ENST00000400576	71484_i_at
ENSG00000206488	ENST00000400576	71486_f_at
ENSG00000206488	ENST00000400575	71484_i_at
ENSG00000206488	ENST00000400575	71486_f_at
ENSG00000206488	ENST00000383583	71484_i_at
ENSG00000206488	ENST00000383583	71486_f_at
ENSG00000206488	ENST00000383582	71484_i_at
ENSG00000206488	ENST00000383582	71486_f_at
ENSG00000206488	ENST00000479580	71484_i_at
ENSG00000206488	ENST00000479580	71486_f_at
ENSG00000206488	ENST00000485442	71484_i_at
ENSG00000206488	ENST00000485442	71486_f_at
ENSG00000206488	ENST00000496415	71484_i_at
ENSG00000206488	ENST00000496415	71486_f_at
ENSG00000206488	ENST00000480981	71484_i_at
ENSG00000206488	ENST00000480981	71486_f_at
ENSG00000277401	ENST00000621049	78685_at
ENSG00000277401	ENST00000613680	78685_at
ENSG00000277401	ENST00000612628	78685_at
ENSG00000237814	ENST00000466574	70780_at
ENSG00000237814	ENST00000454649	70780_at
ENSG00000281093	ENST00000625405	79613_at
ENSG00000282438	ENST00000631586	79784_r_at
ENSG00000278191	ENST00000612826	89954_at
ENSG00000278191	ENST00000634057	89954_at
ENSG00000278191	ENST00000633248	89954_at
ENSG00000278191	ENST00000632953	89954_at
ENSG00000278191	ENST00000632612	89954_at
ENSG00000278191	ENST00000631475	89954_at
ENSG00000278191	ENST00000632514	89954_at
ENSG00000278191	ENST00000633720	89954_at
ENSG00000278191	ENST00000633563	89954_at
ENSG00000281099	ENST00000626673	90891_at
ENSG00000277390	ENST00000617827	89115_at
ENSG00000276982	ENST00000610577	83455_r_at
ENSG00000276982	ENST00000622326	83455_r_at
ENSG00000276982	ENST00000611918	83455_r_at
ENSG00000276982	ENST00000611987	83455_r_at
ENSG00000276982	ENST00000613895	83455_r_at
ENSG00000277564	ENST00000618140	80190_at
ENSG00000276684	ENST00000616773	83891_at
ENSG00000230072	ENST00000429290	70780_at
ENSG00000230072	ENST00000462574	70780_at
ENSG00000265323	ENST00000577348	70780_at
ENSG00000273850	ENST00000612937	89607_r_at
ENSG00000273850	ENST00000612937	71651_at
ENSG00000273850	ENST00000612937	89606_i_at
ENSG00000273850	ENST00000629703	89607_r_at
ENSG00000273850	ENST00000629703	89606_i_at
ENSG00000273850	ENST00000627905	89607_r_at
ENSG00000273850	ENST00000627905	71651_at
ENSG00000273850	ENST00000627905	89606_i_at
ENSG00000273850	ENST00000629050	71651_at
ENSG00000273850	ENST00000626083	71651_at
ENSG00000273850	ENST00000629907	71651_at
ENSG00000273850	ENST00000626780	71651_at
ENSG00000278062	ENST00000633636	71213_at
ENSG00000274338	ENST00000633011	78061_at
ENSG00000274338	ENST00000619027	78061_at
ENSG00000225454	ENST00000457919	70780_at
ENSG00000225454	ENST00000459876	70780_at
ENSG00000276187	ENST00000627446	78678_at
ENSG00000276187	ENST00000621205	78678_at
ENSG00000276187	ENST00000629254	78678_at
ENSG00000276187	ENST00000629523	78678_at
ENSG00000276187	ENST00000616801	78678_at
ENSG00000276187	ENST00000626955	78678_at
ENSG00000276187	ENST00000628674	78678_at
ENSG00000276187	ENST00000611694	78678_at
ENSG00000276187	ENST00000625212	78678_at
ENSG00000276187	ENST00000630950	78678_at
ENSG00000276187	ENST00000631324	78678_at
ENSG00000232251	ENST00000448092	85663_at
ENSG00000282241	ENST00000632720	91781_at
ENSG00000280591	ENST00000626002	90891_at
ENSG00000224246	ENST00000448586	70780_at
ENSG00000224246	ENST00000489761	70780_at
ENSG00000232308	ENST00000416153	85663_at
ENSG00000278016	ENST00000321385	80615_at
ENSG00000206465	ENST00000383539	70780_at
ENSG00000206465	ENST00000460091	70780_at
ENSG00000229284	ENST00000414703	85663_at
ENSG00000276438	ENST00000620224	89607_r_at
ENSG00000276438	ENST00000620224	71651_at
ENSG00000276438	ENST00000620224	89606_i_at
ENSG00000276438	ENST00000626612	89607_r_at
ENSG00000276438	ENST00000626612	89606_i_at
ENSG00000276438	ENST00000627318	89607_r_at
ENSG00000276438	ENST00000627318	71651_at
ENSG00000276438	ENST00000627318	89606_i_at
ENSG00000276438	ENST00000626434	71651_at
ENSG00000276438	ENST00000630435	71651_at
ENSG00000276438	ENST00000628877	71651_at
ENSG00000276438	ENST00000627126	71651_at
ENSG00000281524	ENST00000627955	71947_at
ENSG00000274726	ENST00000633086	73001_r_at
ENSG00000282538	ENST00000631932	77712_at
ENSG00000274287	ENST00000622455	81576_at
ENSG00000274287	ENST00000612204	81576_at
ENSG00000274287	ENST00000631615	81576_at
ENSG00000274287	ENST00000633178	81576_at
ENSG00000274287	ENST00000634208	81576_at
ENSG00000274287	ENST00000611528	81576_at
ENSG00000281930	ENST00000631519	85448_at
ENSG00000231825	ENST00000430737	89874_at
ENSG00000231825	ENST00000422962	89874_at
ENSG00000231825	ENST00000484832	89874_at
ENSG00000282657	ENST00000626472	70102_at
ENSG00000282318	ENST00000631949	89530_at
ENSG00000282318	ENST00000632589	83141_at
ENSG00000278812	ENST00000633261	70697_at
ENSG00000278812	ENST00000632566	70697_at
ENSG00000278812	ENST00000633738	70697_at
ENSG00000277761	ENST00000614110	88903_at
ENSG00000225748	ENST00000454306	89874_at
ENSG00000225748	ENST00000432252	89874_at
ENSG00000225748	ENST00000465869	89874_at
ENSG00000282091	ENST00000633336	81737_at
ENSG00000278494	ENST00000616334	74687_at
ENSG00000278494	ENST00000632447	74687_at
ENSG00000278494	ENST00000631800	74687_at
ENSG00000278494	ENST00000632541	74687_at
ENSG00000226618	ENST00000458561	89874_at
ENSG00000226618	ENST00000414956	89874_at
ENSG00000226618	ENST00000460691	89874_at
ENSG00000231370	ENST00000439762	89874_at
ENSG00000231370	ENST00000416335	89874_at
ENSG00000231370	ENST00000466203	89874_at
ENSG00000275594	ENST00000634081	76877_at
ENSG00000275594	ENST00000618895	76877_at
ENSG00000275594	ENST00000615420	76877_at
ENSG00000275594	ENST00000633589	76877_at
ENSG00000282250	ENST00000634134	69877_at
ENSG00000225164	ENST00000435971	89874_at
ENSG00000225164	ENST00000428775	89874_at
ENSG00000225164	ENST00000493561	89874_at
ENSG00000280805	ENST00000627536	78258_at
ENSG00000280805	ENST00000630284	78258_at
ENSG00000280805	ENST00000625500	78258_at
ENSG00000280805	ENST00000629677	78258_at
ENSG00000276781	ENST00000613166	90057_at
ENSG00000276781	ENST00000630996	90057_at
ENSG00000206427	ENST00000383464	89874_at
ENSG00000206427	ENST00000383455	89874_at
ENSG00000206427	ENST00000467770	89874_at
ENSG00000277222	ENST00000613725	69882_s_at
ENSG00000277222	ENST00000613511	69882_s_at
ENSG00000277222	ENST00000625801	69882_s_at
ENSG00000277222	ENST00000626573	69882_s_at
ENSG00000235696	ENST00000411803	75259_at
ENSG00000235696	ENST00000452763	75259_at
ENSG00000235696	ENST00000491080	75259_at
ENSG00000235696	ENST00000472803	75259_at
ENSG00000235696	ENST00000490020	75259_at
ENSG00000235696	ENST00000492777	75259_at
ENSG00000235696	ENST00000548500	75259_at
ENSG00000235696	ENST00000550045	75259_at
ENSG00000235696	ENST00000549972	75259_at
ENSG00000277018	ENST00000620478	77494_at
ENSG00000277276	ENST00000617748	75947_at
ENSG00000204364	ENST00000485544	75259_at
ENSG00000204364	ENST00000375510	75259_at
ENSG00000204364	ENST00000491097	75259_at
ENSG00000204364	ENST00000383359	75259_at
ENSG00000204364	ENST00000484209	75259_at
ENSG00000204364	ENST00000491566	75259_at
ENSG00000204364	ENST00000548250	75259_at
ENSG00000204364	ENST00000548828	75259_at
ENSG00000204364	ENST00000548995	75259_at
ENSG00000278767	ENST00000614630	76085_at
ENSG00000278767	ENST00000616057	76085_at
ENSG00000233312	ENST00000435500	74611_s_at
ENSG00000233312	ENST00000485492	74611_s_at
ENSG00000233312	ENST00000466864	74611_s_at
ENSG00000233312	ENST00000496446	74611_s_at
ENSG00000233312	ENST00000463341	74611_s_at
ENSG00000233312	ENST00000492701	74611_s_at
ENSG00000233312	ENST00000552464	74611_s_at
ENSG00000228454	ENST00000375177	74611_s_at
ENSG00000228454	ENST00000480097	74611_s_at
