Gene stable ID	Transcript stable ID	AFFY MG U74Cv2 probe
ENSMUSG00000027380	ENSMUST00000028859	167121_i_at
ENSMUSG00000027380	ENSMUST00000110344	167121_i_at
ENSMUSG00000042182	ENSMUST00000115161	137994_f_at
ENSMUSG00000042182	ENSMUST00000129464	137994_f_at
ENSMUSG00000042182	ENSMUST00000062289	137994_f_at
ENSMUSG00000042182	ENSMUST00000126724	137723_at
ENSMUSG00000020687	ENSMUST00000093923	132740_r_at
ENSMUSG00000020687	ENSMUST00000106962	132740_r_at
ENSMUSG00000106825	ENSMUST00000201971	135414_at
ENSMUSG00000045744	ENSMUST00000054946	134023_at
ENSMUSG00000045744	ENSMUST00000238986	134023_at
ENSMUSG00000045744	ENSMUST00000164508	134023_at
ENSMUSG00000021977	ENSMUST00000022548	167509_i_at
ENSMUSG00000021977	ENSMUST00000162674	167509_i_at
ENSMUSG00000021977	ENSMUST00000159858	167509_i_at
ENSMUSG00000078213	ENSMUST00000105011	166032_f_at
ENSMUSG00000026632	ENSMUST00000153757	134760_at
ENSMUSG00000029403	ENSMUST00000069937	139499_at
ENSMUSG00000029403	ENSMUST00000086978	139499_at
ENSMUSG00000029403	ENSMUST00000113143	139499_at
ENSMUSG00000029403	ENSMUST00000113140	139499_at
ENSMUSG00000029403	ENSMUST00000201357	139499_at
ENSMUSG00000062372	ENSMUST00000114747	133867_at
ENSMUSG00000062372	ENSMUST00000074171	133867_at
ENSMUSG00000062372	ENSMUST00000144125	133867_at
ENSMUSG00000062372	ENSMUST00000150734	133867_at
ENSMUSG00000038765	ENSMUST00000041730	135800_at
ENSMUSG00000056941	ENSMUST00000071852	166697_f_at
ENSMUSG00000098212	ENSMUST00000182397	137089_r_at
ENSMUSG00000051728	ENSMUST00000062638	166193_at
ENSMUSG00000024213	ENSMUST00000025050	167078_f_at
ENSMUSG00000024213	ENSMUST00000231742	167078_f_at
ENSMUSG00000024213	ENSMUST00000133048	167078_f_at
ENSMUSG00000024213	ENSMUST00000062397	167078_f_at
ENSMUSG00000094860	ENSMUST00000178143	166032_f_at
ENSMUSG00000090066	ENSMUST00000163080	167084_at
ENSMUSG00000080792	ENSMUST00000119214	166032_f_at
ENSMUSG00000035804	ENSMUST00000039652	165489_f_at
ENSMUSG00000017740	ENSMUST00000202223	165767_at
ENSMUSG00000017740	ENSMUST00000099092	165767_at
ENSMUSG00000017740	ENSMUST00000202479	165767_at
ENSMUSG00000017740	ENSMUST00000137302	165767_at
ENSMUSG00000004821	ENSMUST00000004943	165490_r_at
ENSMUSG00000021779	ENSMUST00000022303	133706_r_at
ENSMUSG00000021779	ENSMUST00000022304	133706_r_at
ENSMUSG00000031949	ENSMUST00000139820	140426_at
ENSMUSG00000027300	ENSMUST00000028761	139126_at
ENSMUSG00000023033	ENSMUST00000201518	133343_at
ENSMUSG00000023033	ENSMUST00000108909	135307_at
ENSMUSG00000023033	ENSMUST00000108909	138007_at
ENSMUSG00000023033	ENSMUST00000201438	135787_at
ENSMUSG00000023033	ENSMUST00000108910	135307_at
ENSMUSG00000023033	ENSMUST00000108910	138007_at
ENSMUSG00000023033	ENSMUST00000082209	135307_at
ENSMUSG00000023033	ENSMUST00000082209	138007_at
ENSMUSG00000102536	ENSMUST00000194370	170154_at
ENSMUSG00000025902	ENSMUST00000027035	165870_i_at
ENSMUSG00000025902	ENSMUST00000195555	165870_i_at
ENSMUSG00000025902	ENSMUST00000192505	165870_i_at
ENSMUSG00000025902	ENSMUST00000191647	165870_i_at
ENSMUSG00000025902	ENSMUST00000191939	165870_i_at
ENSMUSG00000025902	ENSMUST00000192913	165870_i_at
ENSMUSG00000021645	ENSMUST00000022147	167977_f_at
ENSMUSG00000021645	ENSMUST00000147306	167977_f_at
ENSMUSG00000021645	ENSMUST00000135355	167977_f_at
ENSMUSG00000023153	ENSMUST00000131599	129231_at
ENSMUSG00000023153	ENSMUST00000023920	129231_at
ENSMUSG00000023153	ENSMUST00000145796	129231_at
ENSMUSG00000023153	ENSMUST00000178188	129231_at
ENSMUSG00000023153	ENSMUST00000178238	129231_at
ENSMUSG00000035506	ENSMUST00000121925	134291_at
ENSMUSG00000035506	ENSMUST00000122427	134291_at
ENSMUSG00000035506	ENSMUST00000119173	134291_at
ENSMUSG00000035506	ENSMUST00000122314	134291_at
ENSMUSG00000035506	ENSMUST00000117134	134291_at
ENSMUSG00000035506	ENSMUST00000059056	134291_at
ENSMUSG00000031965	ENSMUST00000166018	130790_s_at
ENSMUSG00000062510	ENSMUST00000078259	166694_at
ENSMUSG00000116260	ENSMUST00000230183	167012_at
ENSMUSG00000028979	ENSMUST00000052060	131693_at
ENSMUSG00000025137	ENSMUST00000126148	139034_at
ENSMUSG00000025137	ENSMUST00000160059	139034_at
ENSMUSG00000045275	ENSMUST00000113804	134593_at
ENSMUSG00000045275	ENSMUST00000113804	165608_at
ENSMUSG00000045275	ENSMUST00000233151	134593_at
ENSMUSG00000045275	ENSMUST00000233151	165608_at
ENSMUSG00000045275	ENSMUST00000142620	134593_at
ENSMUSG00000045275	ENSMUST00000054855	134593_at
ENSMUSG00000045275	ENSMUST00000054855	165608_at
ENSMUSG00000024039	ENSMUST00000236853	130704_f_at
ENSMUSG00000030050	ENSMUST00000032129	167240_at
ENSMUSG00000089810	ENSMUST00000162209	165759_at
ENSMUSG00000027613	ENSMUST00000109638	137639_at
ENSMUSG00000032086	ENSMUST00000078111	132443_at
ENSMUSG00000032086	ENSMUST00000034591	132443_at
ENSMUSG00000032086	ENSMUST00000159970	132443_at
ENSMUSG00000073374	ENSMUST00000188481	166719_at
ENSMUSG00000073374	ENSMUST00000097289	166719_at
ENSMUSG00000024728	ENSMUST00000181284	167645_f_at
ENSMUSG00000024728	ENSMUST00000181284	167301_r_at
ENSMUSG00000024728	ENSMUST00000181567	167645_f_at
ENSMUSG00000024728	ENSMUST00000181567	167301_r_at
ENSMUSG00000024728	ENSMUST00000180678	167645_f_at
ENSMUSG00000024728	ENSMUST00000180678	167301_r_at
ENSMUSG00000024728	ENSMUST00000078770	167645_f_at
ENSMUSG00000024728	ENSMUST00000078770	167301_r_at
ENSMUSG00000051674	ENSMUST00000087181	166393_at
ENSMUSG00000051674	ENSMUST00000087181	138089_at
ENSMUSG00000051674	ENSMUST00000087181	167934_at
ENSMUSG00000051674	ENSMUST00000130087	166393_at
ENSMUSG00000051674	ENSMUST00000113558	166393_at
ENSMUSG00000051674	ENSMUST00000113558	138089_at
ENSMUSG00000051674	ENSMUST00000063882	166393_at
ENSMUSG00000051674	ENSMUST00000063882	138089_at
ENSMUSG00000073771	ENSMUST00000153924	167136_at
ENSMUSG00000073771	ENSMUST00000097915	167136_at
ENSMUSG00000073771	ENSMUST00000183310	167136_at
ENSMUSG00000073771	ENSMUST00000125896	167136_at
ENSMUSG00000073771	ENSMUST00000153303	167136_at
ENSMUSG00000073771	ENSMUST00000181979	167136_at
ENSMUSG00000065954	ENSMUST00000210488	133434_at
ENSMUSG00000065954	ENSMUST00000211584	133434_at
ENSMUSG00000051435	ENSMUST00000105780	168200_at
ENSMUSG00000051435	ENSMUST00000137618	168200_at
ENSMUSG00000051435	ENSMUST00000036701	168200_at
ENSMUSG00000051435	ENSMUST00000105779	168200_at
ENSMUSG00000107898	ENSMUST00000205067	133375_at
ENSMUSG00000020770	ENSMUST00000021116	165705_r_at
ENSMUSG00000020770	ENSMUST00000106452	165705_r_at
ENSMUSG00000020770	ENSMUST00000150759	165705_r_at
ENSMUSG00000031928	ENSMUST00000115632	134757_at
ENSMUSG00000033114	ENSMUST00000099441	134666_at
ENSMUSG00000033114	ENSMUST00000221572	134666_at
ENSMUSG00000033114	ENSMUST00000223461	134666_at
ENSMUSG00000033114	ENSMUST00000222794	134666_at
ENSMUSG00000027962	ENSMUST00000196449	167726_at
ENSMUSG00000045333	ENSMUST00000165770	168132_at
ENSMUSG00000045333	ENSMUST00000109655	168132_at
ENSMUSG00000045333	ENSMUST00000052250	168132_at
ENSMUSG00000050600	ENSMUST00000059452	139161_at
ENSMUSG00000051652	ENSMUST00000057608	140641_at
ENSMUSG00000031134	ENSMUST00000133346	139841_at
ENSMUSG00000026572	ENSMUST00000027859	129022_at
ENSMUSG00000026572	ENSMUST00000161777	129022_at
ENSMUSG00000111128	ENSMUST00000216609	165759_at
ENSMUSG00000042790	ENSMUST00000161203	167364_at
ENSMUSG00000042790	ENSMUST00000058720	167364_at
ENSMUSG00000042790	ENSMUST00000161187	167364_at
ENSMUSG00000042790	ENSMUST00000162369	167364_at
ENSMUSG00000042790	ENSMUST00000162699	167364_at
ENSMUSG00000051705	ENSMUST00000051039	140548_at
ENSMUSG00000051705	ENSMUST00000163586	140548_at
ENSMUSG00000051705	ENSMUST00000216329	140548_at
ENSMUSG00000051705	ENSMUST00000217093	140548_at
ENSMUSG00000051705	ENSMUST00000213257	140548_at
ENSMUSG00000051705	ENSMUST00000177963	140548_at
ENSMUSG00000098137	ENSMUST00000182643	133210_r_at
ENSMUSG00000107522	ENSMUST00000203835	135588_at
ENSMUSG00000083294	ENSMUST00000121069	171250_at
ENSMUSG00000091017	ENSMUST00000171798	166104_f_at
ENSMUSG00000039096	ENSMUST00000040487	140194_at
ENSMUSG00000039096	ENSMUST00000132274	140194_at
ENSMUSG00000033105	ENSMUST00000048678	136392_at
ENSMUSG00000033105	ENSMUST00000160671	136392_at
ENSMUSG00000033105	ENSMUST00000162848	136392_at
ENSMUSG00000022401	ENSMUST00000163754	139018_at
ENSMUSG00000022401	ENSMUST00000041609	139018_at
ENSMUSG00000085431	ENSMUST00000144728	170614_at
ENSMUSG00000033066	ENSMUST00000041611	138480_at
ENSMUSG00000033066	ENSMUST00000108682	134625_i_at
ENSMUSG00000033066	ENSMUST00000108682	138480_at
ENSMUSG00000033066	ENSMUST00000108682	134626_r_at
ENSMUSG00000022682	ENSMUST00000230102	133314_at
ENSMUSG00000086555	ENSMUST00000124555	128886_at
ENSMUSG00000078247	ENSMUST00000160932	166911_at
ENSMUSG00000089817	ENSMUST00000161205	130326_at
ENSMUSG00000048794	ENSMUST00000153843	134702_at
ENSMUSG00000048794	ENSMUST00000062750	134702_at
ENSMUSG00000048794	ENSMUST00000165673	134702_at
ENSMUSG00000040620	ENSMUST00000108527	134323_at
ENSMUSG00000040620	ENSMUST00000146203	134323_at
ENSMUSG00000040620	ENSMUST00000049048	134323_at
ENSMUSG00000040620	ENSMUST00000124464	134323_at
ENSMUSG00000035878	ENSMUST00000125983	131646_at
ENSMUSG00000034457	ENSMUST00000037353	134622_f_at
ENSMUSG00000024349	ENSMUST00000235495	168500_s_at
ENSMUSG00000024349	ENSMUST00000237919	168500_s_at
ENSMUSG00000024349	ENSMUST00000115728	168500_s_at
ENSMUSG00000024349	ENSMUST00000235496	168500_s_at
ENSMUSG00000024349	ENSMUST00000237853	168500_s_at
ENSMUSG00000024349	ENSMUST00000235218	168500_s_at
ENSMUSG00000024349	ENSMUST00000236926	168500_s_at
ENSMUSG00000107464	ENSMUST00000203317	129385_r_at
ENSMUSG00000034731	ENSMUST00000226342	138363_at
ENSMUSG00000034731	ENSMUST00000227537	138363_at
ENSMUSG00000034731	ENSMUST00000228362	138363_at
ENSMUSG00000105811	ENSMUST00000196668	130130_at
ENSMUSG00000106037	ENSMUST00000196114	167494_f_at
ENSMUSG00000068696	ENSMUST00000090473	139171_at
ENSMUSG00000068696	ENSMUST00000197759	139171_at
ENSMUSG00000068696	ENSMUST00000199128	139171_at
ENSMUSG00000034430	ENSMUST00000075117	136094_at
ENSMUSG00000055371	ENSMUST00000102759	165447_r_at
ENSMUSG00000055371	ENSMUST00000127316	136689_at
ENSMUSG00000021189	ENSMUST00000021606	167734_at
ENSMUSG00000021189	ENSMUST00000160186	167734_at
ENSMUSG00000021182	ENSMUST00000068411	133171_at
ENSMUSG00000022722	ENSMUST00000023405	132026_at
ENSMUSG00000022722	ENSMUST00000099646	132026_at
ENSMUSG00000097545	ENSMUST00000180610	138139_at
ENSMUSG00000097545	ENSMUST00000180610	133118_at
ENSMUSG00000037594	ENSMUST00000037014	167847_at
ENSMUSG00000037594	ENSMUST00000177808	167847_at
ENSMUSG00000032580	ENSMUST00000182659	130469_s_at
ENSMUSG00000032580	ENSMUST00000183307	130469_s_at
ENSMUSG00000032580	ENSMUST00000182371	130469_s_at
ENSMUSG00000032580	ENSMUST00000035199	130469_s_at
ENSMUSG00000032580	ENSMUST00000182421	130469_s_at
ENSMUSG00000032580	ENSMUST00000193342	130469_s_at
ENSMUSG00000032580	ENSMUST00000192130	130469_s_at
ENSMUSG00000032580	ENSMUST00000182304	130469_s_at
ENSMUSG00000032580	ENSMUST00000182007	130469_s_at
ENSMUSG00000032580	ENSMUST00000182022	130469_s_at
ENSMUSG00000032580	ENSMUST00000183248	130469_s_at
ENSMUSG00000032580	ENSMUST00000182073	130469_s_at
ENSMUSG00000032580	ENSMUST00000182518	130469_s_at
ENSMUSG00000028581	ENSMUST00000151698	167764_f_at
ENSMUSG00000047671	ENSMUST00000134074	166617_at
ENSMUSG00000047671	ENSMUST00000062206	166617_at
ENSMUSG00000047671	ENSMUST00000144269	166617_at
ENSMUSG00000038900	ENSMUST00000134912	165868_f_at
ENSMUSG00000038900	ENSMUST00000133842	165868_f_at
ENSMUSG00000038900	ENSMUST00000125415	165868_f_at
ENSMUSG00000038900	ENSMUST00000144644	165868_f_at
ENSMUSG00000108722	ENSMUST00000205469	134167_at
ENSMUSG00000108722	ENSMUST00000206921	134167_at
ENSMUSG00000108722	ENSMUST00000205978	134167_at
ENSMUSG00000039849	ENSMUST00000041643	138542_at
ENSMUSG00000026504	ENSMUST00000027785	165674_f_at
ENSMUSG00000026504	ENSMUST00000123409	165674_f_at
ENSMUSG00000026504	ENSMUST00000139589	165674_f_at
ENSMUSG00000000531	ENSMUST00000000543	165537_at
ENSMUSG00000025937	ENSMUST00000027071	167250_s_at
ENSMUSG00000008429	ENSMUST00000008573	167651_s_at
ENSMUSG00000022311	ENSMUST00000160658	137719_at
ENSMUSG00000022311	ENSMUST00000162830	137719_at
ENSMUSG00000022311	ENSMUST00000161653	137719_at
ENSMUSG00000022311	ENSMUST00000162006	137719_at
ENSMUSG00000022311	ENSMUST00000100670	137719_at
ENSMUSG00000040428	ENSMUST00000211797	165618_at
ENSMUSG00000040428	ENSMUST00000209517	165618_at
ENSMUSG00000040428	ENSMUST00000211155	165618_at
ENSMUSG00000040428	ENSMUST00000210797	165618_at
ENSMUSG00000040428	ENSMUST00000211348	165618_at
ENSMUSG00000040428	ENSMUST00000211106	165618_at
ENSMUSG00000040428	ENSMUST00000051810	165618_at
ENSMUSG00000091623	ENSMUST00000166606	136741_at
ENSMUSG00000091623	ENSMUST00000046721	136741_at
ENSMUSG00000000568	ENSMUST00000172361	138461_at
ENSMUSG00000087521	ENSMUST00000140987	129270_at
ENSMUSG00000082701	ENSMUST00000121511	131914_at
ENSMUSG00000060510	ENSMUST00000174462	166198_f_at
ENSMUSG00000060510	ENSMUST00000215908	166198_f_at
ENSMUSG00000060510	ENSMUST00000068296	166198_f_at
ENSMUSG00000032057	ENSMUST00000170947	140972_f_at
ENSMUSG00000101481	ENSMUST00000190515	167348_at
ENSMUSG00000032194	ENSMUST00000034717	167430_f_at
ENSMUSG00000032194	ENSMUST00000216008	167430_f_at
ENSMUSG00000026627	ENSMUST00000027940	165839_at
ENSMUSG00000026627	ENSMUST00000027940	166286_r_at
ENSMUSG00000007989	ENSMUST00000131309	133258_s_at
ENSMUSG00000051243	ENSMUST00000163200	166622_at
ENSMUSG00000051243	ENSMUST00000215950	166622_at
ENSMUSG00000051243	ENSMUST00000114144	166622_at
ENSMUSG00000051243	ENSMUST00000170421	166622_at
ENSMUSG00000051243	ENSMUST00000163897	166622_at
ENSMUSG00000051243	ENSMUST00000165276	166622_at
ENSMUSG00000095814	ENSMUST00000105007	166032_f_at
ENSMUSG00000022216	ENSMUST00000174484	138112_at
ENSMUSG00000022216	ENSMUST00000172941	138112_at
ENSMUSG00000022216	ENSMUST00000173544	138112_at
ENSMUSG00000022216	ENSMUST00000174791	138112_at
ENSMUSG00000022216	ENSMUST00000174563	138112_at
ENSMUSG00000022216	ENSMUST00000172738	138112_at
ENSMUSG00000022216	ENSMUST00000089619	138112_at
ENSMUSG00000022216	ENSMUST00000174148	138112_at
ENSMUSG00000022216	ENSMUST00000173113	138112_at
ENSMUSG00000090203	ENSMUST00000159040	136092_at
ENSMUSG00000006818	ENSMUST00000007012	138502_at
ENSMUSG00000030532	ENSMUST00000032747	130319_at
ENSMUSG00000030532	ENSMUST00000205744	130319_at
ENSMUSG00000037204	ENSMUST00000048393	130711_i_at
ENSMUSG00000037204	ENSMUST00000048393	130712_f_at
ENSMUSG00000037204	ENSMUST00000230525	130711_i_at
ENSMUSG00000037204	ENSMUST00000230525	130712_f_at
ENSMUSG00000030898	ENSMUST00000033189	165800_at
ENSMUSG00000048581	ENSMUST00000061706	135310_f_at
ENSMUSG00000068876	ENSMUST00000107272	166884_at
ENSMUSG00000068876	ENSMUST00000107273	166884_at
ENSMUSG00000068876	ENSMUST00000238849	166884_at
ENSMUSG00000022607	ENSMUST00000228180	167825_r_at
ENSMUSG00000032244	ENSMUST00000034775	166531_at
ENSMUSG00000025138	ENSMUST00000153532	168071_i_at
ENSMUSG00000025138	ENSMUST00000127882	168071_i_at
ENSMUSG00000025138	ENSMUST00000133625	168071_i_at
ENSMUSG00000025138	ENSMUST00000134255	168071_i_at
ENSMUSG00000025138	ENSMUST00000154714	168071_i_at
ENSMUSG00000063382	ENSMUST00000218183	137077_at
ENSMUSG00000110613	ENSMUST00000211953	131869_at
ENSMUSG00000068923	ENSMUST00000107503	168346_r_at
ENSMUSG00000068923	ENSMUST00000107503	165460_at
ENSMUSG00000068923	ENSMUST00000107505	168346_r_at
ENSMUSG00000068923	ENSMUST00000107505	165460_at
ENSMUSG00000068923	ENSMUST00000183267	168346_r_at
ENSMUSG00000068923	ENSMUST00000090945	168346_r_at
ENSMUSG00000068923	ENSMUST00000090945	165460_at
ENSMUSG00000018401	ENSMUST00000103179	130988_f_at
ENSMUSG00000018401	ENSMUST00000092802	130988_f_at
ENSMUSG00000032245	ENSMUST00000138276	133501_at
ENSMUSG00000022110	ENSMUST00000162723	135225_at
ENSMUSG00000060380	ENSMUST00000213746	135034_at
ENSMUSG00000060380	ENSMUST00000217463	135034_at
ENSMUSG00000060380	ENSMUST00000136322	135034_at
ENSMUSG00000115490	ENSMUST00000226645	169963_at
ENSMUSG00000027347	ENSMUST00000110898	167498_i_at
ENSMUSG00000038886	ENSMUST00000205318	130968_at
ENSMUSG00000038886	ENSMUST00000098346	130968_at
ENSMUSG00000038886	ENSMUST00000206917	132133_at
ENSMUSG00000025332	ENSMUST00000112584	165867_r_at
ENSMUSG00000024539	ENSMUST00000122412	133095_at
ENSMUSG00000024539	ENSMUST00000122412	166677_r_at
ENSMUSG00000022217	ENSMUST00000174352	166495_f_at
ENSMUSG00000022217	ENSMUST00000173169	166495_f_at
ENSMUSG00000022217	ENSMUST00000022828	166495_f_at
ENSMUSG00000061950	ENSMUST00000073104	168373_f_at
ENSMUSG00000061950	ENSMUST00000160664	168373_f_at
ENSMUSG00000061950	ENSMUST00000162109	168373_f_at
ENSMUSG00000061950	ENSMUST00000097293	168373_f_at
ENSMUSG00000092413	ENSMUST00000221552	133989_at
ENSMUSG00000092413	ENSMUST00000223366	133989_at
ENSMUSG00000109188	ENSMUST00000207850	133989_at
ENSMUSG00000036086	ENSMUST00000086614	134133_at
ENSMUSG00000036086	ENSMUST00000086614	138533_at
ENSMUSG00000036086	ENSMUST00000112538	134133_at
ENSMUSG00000036086	ENSMUST00000112538	138533_at
ENSMUSG00000036086	ENSMUST00000097597	134133_at
ENSMUSG00000073293	ENSMUST00000103006	166849_at
ENSMUSG00000098097	ENSMUST00000183276	135311_at
ENSMUSG00000067150	ENSMUST00000087031	167839_at
ENSMUSG00000067150	ENSMUST00000232971	167839_at
ENSMUSG00000116116	ENSMUST00000231016	133048_at
ENSMUSG00000005883	ENSMUST00000050442	165588_at
ENSMUSG00000005883	ENSMUST00000109126	165588_at
ENSMUSG00000005883	ENSMUST00000109125	165588_at
ENSMUSG00000005883	ENSMUST00000144044	165588_at
ENSMUSG00000005883	ENSMUST00000156471	165588_at
ENSMUSG00000092364	ENSMUST00000172644	134155_at
ENSMUSG00000073787	ENSMUST00000097947	167846_r_at
ENSMUSG00000073787	ENSMUST00000163674	167846_r_at
ENSMUSG00000073787	ENSMUST00000211564	167846_r_at
ENSMUSG00000033701	ENSMUST00000035560	140448_at
ENSMUSG00000004665	ENSMUST00000004784	133264_at
ENSMUSG00000026571	ENSMUST00000193353	131136_at
ENSMUSG00000021242	ENSMUST00000021668	129125_at
ENSMUSG00000021242	ENSMUST00000223200	129125_at
ENSMUSG00000112028	ENSMUST00000219835	167603_at
ENSMUSG00000112028	ENSMUST00000218350	167603_at
ENSMUSG00000079584	ENSMUST00000114725	167804_r_at
ENSMUSG00000032572	ENSMUST00000149207	130998_i_at
ENSMUSG00000032572	ENSMUST00000149207	130999_f_at
ENSMUSG00000032572	ENSMUST00000218471	130998_i_at
ENSMUSG00000032572	ENSMUST00000218471	130999_f_at
ENSMUSG00000032572	ENSMUST00000121963	130998_i_at
ENSMUSG00000032572	ENSMUST00000121963	131119_at
ENSMUSG00000032572	ENSMUST00000121963	130999_f_at
ENSMUSG00000032572	ENSMUST00000137847	131119_at
ENSMUSG00000057240	ENSMUST00000073380	166172_f_at
ENSMUSG00000057240	ENSMUST00000188464	166172_f_at
ENSMUSG00000051354	ENSMUST00000220219	132116_at
ENSMUSG00000051354	ENSMUST00000060716	132116_at
ENSMUSG00000078851	ENSMUST00000108817	167001_at
ENSMUSG00000026418	ENSMUST00000152208	167195_f_at
ENSMUSG00000026418	ENSMUST00000137331	167195_f_at
ENSMUSG00000026418	ENSMUST00000152075	167195_f_at
ENSMUSG00000026418	ENSMUST00000148201	167195_f_at
