Gene stable ID	Transcript stable ID	AFFY HG Focus probe
ENSG00000278025	ENST00000612994	217088_s_at
ENSG00000278025	ENST00000618725	217088_s_at
ENSG00000278025	ENST00000620721	217088_s_at
ENSG00000278025	ENST00000613253	217088_s_at
ENSG00000278091	ENST00000615320	206572_x_at
ENSG00000278091	ENST00000613159	206572_x_at
ENSG00000278091	ENST00000612293	206572_x_at
ENSG00000277334	ENST00000611233	217088_s_at
ENSG00000277334	ENST00000612744	217088_s_at
ENSG00000277334	ENST00000616389	217088_s_at
ENSG00000277334	ENST00000621993	217088_s_at
ENSG00000277334	ENST00000611122	217088_s_at
ENSG00000276450	ENST00000615309	217088_s_at
ENSG00000278726	ENST00000617398	207314_x_at
ENSG00000278726	ENST00000610914	207314_x_at
ENSG00000273666	ENST00000619767	214561_at
ENSG00000273666	ENST00000621852	214561_at
ENSG00000275262	ENST00000615308	207314_x_at
ENSG00000275262	ENST00000613109	207314_x_at
ENSG00000278710	ENST00000621701	207314_x_at
ENSG00000278710	ENST00000615318	207314_x_at
ENSG00000278481	ENST00000615475	211410_x_at
ENSG00000277163	ENST00000614725	208122_x_at
ENSG00000276858	ENST00000612952	207674_at
ENSG00000276858	ENST00000613199	207674_at
ENSG00000276858	ENST00000616248	207674_at
ENSG00000276858	ENST00000613080	207674_at
ENSG00000276858	ENST00000620162	207674_at
ENSG00000276858	ENST00000615040	207674_at
ENSG00000276858	ENST00000622470	207674_at
ENSG00000275521	ENST00000616780	217088_s_at
ENSG00000275521	ENST00000616935	217088_s_at
ENSG00000275521	ENST00000614280	217088_s_at
ENSG00000275521	ENST00000612194	217088_s_at
ENSG00000275521	ENST00000622541	217088_s_at
ENSG00000276177	ENST00000621304	211410_x_at
ENSG00000278403	ENST00000622249	207314_x_at
ENSG00000278403	ENST00000612166	207314_x_at
ENSG00000267728	ENST00000592900	220972_s_at
ENSG00000267728	ENST00000617040	220972_s_at
ENSG00000278573	ENST00000615362	203957_at
ENSG00000278817	ENST00000613204	208024_s_at
ENSG00000274429	ENST00000632221	201681_s_at
ENSG00000274429	ENST00000631962	201681_s_at
ENSG00000274429	ENST00000614211	201681_s_at
ENSG00000274429	ENST00000633777	201681_s_at
ENSG00000279566	ENST00000624335	206695_x_at
ENSG00000279566	ENST00000623359	206695_x_at
ENSG00000279566	ENST00000624732	206695_x_at
ENSG00000279566	ENST00000623648	206695_x_at
ENSG00000263243	ENST00000572470	207811_at
ENSG00000262347	ENST00000575715	220978_at
ENSG00000262808	ENST00000573871	220976_s_at
ENSG00000263091	ENST00000572903	220970_s_at
ENSG00000275517	ENST00000625471	207752_x_at
ENSG00000275517	ENST00000620127	207752_x_at
ENSG00000275517	ENST00000628976	207752_x_at
ENSG00000275517	ENST00000615646	207752_x_at
ENSG00000275517	ENST00000612920	207752_x_at
ENSG00000273883	ENST00000618668	214561_at
ENSG00000273883	ENST00000616378	214561_at
ENSG00000276512	ENST00000614232	214561_at
ENSG00000262594	ENST00000570825	220972_s_at
ENSG00000278361	ENST00000617666	207314_x_at
ENSG00000278361	ENST00000620280	207314_x_at
ENSG00000275626	ENST00000619683	207314_x_at
ENSG00000275626	ENST00000619026	207314_x_at
ENSG00000273922	ENST00000611045	214561_at
ENSG00000273922	ENST00000618615	214561_at
ENSG00000275596	ENST00000613155	211410_x_at
ENSG00000275511	ENST00000615208	207314_x_at
ENSG00000275511	ENST00000617684	207314_x_at
ENSG00000274382	ENST00000614006	211223_at
ENSG00000262156	ENST00000623492	206632_s_at
ENSG00000262156	ENST00000570508	206632_s_at
ENSG00000277603	ENST00000627010	210342_s_at
ENSG00000277603	ENST00000627917	210342_s_at
ENSG00000277603	ENST00000625313	210342_s_at
ENSG00000277603	ENST00000628333	210342_s_at
ENSG00000277603	ENST00000622050	210342_s_at
ENSG00000277603	ENST00000613631	210342_s_at
ENSG00000280635	ENST00000629850	211223_at
ENSG00000278373	ENST00000622133	221453_at
ENSG00000278373	ENST00000612807	221453_at
ENSG00000278373	ENST00000617403	221453_at
ENSG00000278373	ENST00000618310	221453_at
ENSG00000278373	ENST00000622908	221453_at
ENSG00000276582	ENST00000618180	208288_at
ENSG00000276582	ENST00000611248	208288_at
ENSG00000277069	ENST00000616205	221066_at
ENSG00000281919	ENST00000631255	220245_at
ENSG00000281919	ENST00000626332	220245_at
ENSG00000277271	ENST00000610311	214561_at
ENSG00000278759	ENST00000633825	201759_at
ENSG00000278759	ENST00000634076	201759_at
ENSG00000278759	ENST00000632739	201759_at
ENSG00000278759	ENST00000632984	201759_at
ENSG00000278759	ENST00000612762	201759_at
ENSG00000278759	ENST00000633959	201759_at
ENSG00000278759	ENST00000631646	201759_at
ENSG00000282367	ENST00000633628	221005_s_at
ENSG00000282367	ENST00000633722	221005_s_at
ENSG00000282367	ENST00000633502	221005_s_at
ENSG00000282367	ENST00000632264	221005_s_at
ENSG00000262795	ENST00000573079	201642_at
ENSG00000262795	ENST00000571550	201642_at
ENSG00000262795	ENST00000576463	201642_at
ENSG00000262795	ENST00000573887	201642_at
ENSG00000277429	ENST00000613172	219982_s_at
ENSG00000277429	ENST00000625862	219982_s_at
ENSG00000277429	ENST00000627838	219982_s_at
ENSG00000276230	ENST00000621211	206050_s_at
ENSG00000276230	ENST00000632262	206050_s_at
ENSG00000276230	ENST00000619599	206050_s_at
ENSG00000276230	ENST00000632954	206050_s_at
ENSG00000276230	ENST00000633378	206050_s_at
ENSG00000276230	ENST00000631544	206050_s_at
ENSG00000276230	ENST00000631652	206050_s_at
ENSG00000276230	ENST00000632527	206050_s_at
ENSG00000276230	ENST00000633287	206050_s_at
ENSG00000276230	ENST00000612988	206050_s_at
ENSG00000276230	ENST00000617351	206050_s_at
ENSG00000276230	ENST00000634214	206050_s_at
ENSG00000276230	ENST00000618184	206050_s_at
ENSG00000281289	ENST00000630761	202245_at
ENSG00000281289	ENST00000630702	202245_at
ENSG00000273772	ENST00000614773	203852_s_at
ENSG00000273772	ENST00000627341	203852_s_at
ENSG00000273772	ENST00000631104	203852_s_at
ENSG00000273772	ENST00000628642	203852_s_at
ENSG00000273772	ENST00000628000	203852_s_at
ENSG00000273772	ENST00000614610	203852_s_at
ENSG00000263160	ENST00000571778	219600_s_at
ENSG00000263160	ENST00000573374	219600_s_at
ENSG00000263160	ENST00000572455	219600_s_at
ENSG00000263160	ENST00000573687	219600_s_at
ENSG00000273793	ENST00000625578	206374_at
ENSG00000273793	ENST00000617829	206374_at
ENSG00000278165	ENST00000629053	206374_at
ENSG00000278165	ENST00000610856	206374_at
ENSG00000262473	ENST00000573055	212378_at
ENSG00000262473	ENST00000575273	212378_at
ENSG00000262473	ENST00000571089	212378_at
ENSG00000262473	ENST00000574017	212378_at
ENSG00000281380	ENST00000626219	204860_s_at
ENSG00000278066	ENST00000620795	203957_at
ENSG00000262938	ENST00000576372	220543_at
ENSG00000262938	ENST00000576061	220543_at
ENSG00000262938	ENST00000573131	220543_at
ENSG00000262938	ENST00000571812	220543_at
ENSG00000275581	ENST00000614527	219982_s_at
ENSG00000275581	ENST00000625868	219982_s_at
ENSG00000275581	ENST00000627451	219982_s_at
ENSG00000275581	ENST00000630567	219982_s_at
ENSG00000276536	ENST00000631967	212983_at
ENSG00000276536	ENST00000631404	212983_at
ENSG00000276536	ENST00000634098	212983_at
ENSG00000276536	ENST00000632658	212983_at
ENSG00000276536	ENST00000615062	212983_at
ENSG00000276536	ENST00000632849	212983_at
ENSG00000276536	ENST00000616241	212983_at
ENSG00000276536	ENST00000610977	212983_at
ENSG00000276686	ENST00000620638	211410_x_at
ENSG00000281060	ENST00000625828	222021_x_at
ENSG00000281060	ENST00000625573	222021_x_at
ENSG00000281060	ENST00000630003	222021_x_at
ENSG00000281060	ENST00000625739	222021_x_at
ENSG00000281060	ENST00000629147	222021_x_at
ENSG00000281060	ENST00000629493	222021_x_at
ENSG00000277982	ENST00000620485	207314_x_at
ENSG00000277982	ENST00000615608	207314_x_at
ENSG00000275349	ENST00000629122	203852_s_at
ENSG00000275349	ENST00000628353	203852_s_at
ENSG00000275349	ENST00000628043	203852_s_at
ENSG00000275349	ENST00000630432	203852_s_at
ENSG00000275349	ENST00000626580	203852_s_at
ENSG00000276625	ENST00000616302	210890_x_at
ENSG00000281915	ENST00000627485	222021_x_at
ENSG00000281915	ENST00000631060	222021_x_at
ENSG00000281915	ENST00000630621	222021_x_at
ENSG00000281915	ENST00000629345	222021_x_at
ENSG00000281915	ENST00000626115	222021_x_at
ENSG00000281915	ENST00000626549	222021_x_at
ENSG00000276371	ENST00000633573	220147_s_at
ENSG00000276371	ENST00000631598	220147_s_at
ENSG00000276371	ENST00000617411	220147_s_at
ENSG00000274296	ENST00000613476	219664_s_at
ENSG00000274296	ENST00000631856	219664_s_at
ENSG00000274296	ENST00000633143	219664_s_at
ENSG00000274296	ENST00000632042	219664_s_at
ENSG00000274296	ENST00000632607	219664_s_at
ENSG00000274296	ENST00000632810	219664_s_at
ENSG00000274296	ENST00000632074	219664_s_at
ENSG00000276068	ENST00000626150	204860_s_at
ENSG00000276068	ENST00000625431	204860_s_at
ENSG00000276068	ENST00000615009	204860_s_at
ENSG00000276068	ENST00000628482	204860_s_at
ENSG00000276068	ENST00000619206	204860_s_at
ENSG00000276068	ENST00000616766	204860_s_at
ENSG00000263127	ENST00000571381	200089_s_at
ENSG00000273397	ENST00000630971	202001_s_at
ENSG00000273397	ENST00000605927	202001_s_at
ENSG00000273397	ENST00000630511	202001_s_at
ENSG00000273859	ENST00000631421	40359_at
ENSG00000273859	ENST00000620201	40359_at
ENSG00000273859	ENST00000632673	40359_at
ENSG00000273859	ENST00000622100	40359_at
ENSG00000273859	ENST00000622905	40359_at
ENSG00000273859	ENST00000632833	40359_at
ENSG00000277365	ENST00000628740	202001_s_at
ENSG00000277365	ENST00000610887	202001_s_at
ENSG00000277365	ENST00000628004	202001_s_at
ENSG00000278501	ENST00000613269	219184_x_at
ENSG00000276016	ENST00000613981	212895_s_at
ENSG00000276016	ENST00000628336	212895_s_at
ENSG00000276016	ENST00000620170	212895_s_at
ENSG00000272532	ENST00000607853	207498_s_at
ENSG00000272532	ENST00000619390	207498_s_at
ENSG00000275272	ENST00000615500	212455_at
ENSG00000275272	ENST00000613637	212455_at
ENSG00000275272	ENST00000627168	212455_at
ENSG00000276482	ENST00000611005	218066_at
ENSG00000275211	ENST00000625976	207498_s_at
ENSG00000275211	ENST00000615454	207498_s_at
ENSG00000275211	ENST00000628592	207498_s_at
ENSG00000275211	ENST00000612990	207498_s_at
ENSG00000276910	ENST00000628423	221540_x_at
ENSG00000276910	ENST00000425596	221540_x_at
ENSG00000276910	ENST00000612581	221540_x_at
ENSG00000276910	ENST00000630101	221540_x_at
ENSG00000281794	ENST00000630807	222021_x_at
ENSG00000281794	ENST00000625210	222021_x_at
ENSG00000281794	ENST00000627931	222021_x_at
ENSG00000281794	ENST00000628918	222021_x_at
ENSG00000281794	ENST00000627597	222021_x_at
ENSG00000281794	ENST00000629779	222021_x_at
ENSG00000280993	ENST00000626039	222021_x_at
ENSG00000280993	ENST00000628564	222021_x_at
ENSG00000280993	ENST00000625343	222021_x_at
ENSG00000280993	ENST00000629406	222021_x_at
ENSG00000280993	ENST00000628851	222021_x_at
ENSG00000280993	ENST00000629103	222021_x_at
ENSG00000272000	ENST00000607223	207498_s_at
ENSG00000272000	ENST00000606649	207498_s_at
ENSG00000272765	ENST00000605916	202001_s_at
ENSG00000272765	ENST00000607132	202001_s_at
ENSG00000281687	ENST00000629440	222021_x_at
ENSG00000281418	ENST00000628964	222021_x_at
ENSG00000263181	ENST00000574062	207498_s_at
ENSG00000263181	ENST00000575319	207498_s_at
ENSG00000263181	ENST00000614621	207498_s_at
ENSG00000263181	ENST00000619036	207498_s_at
ENSG00000278088	ENST00000618719	207498_s_at
ENSG00000278088	ENST00000629682	207498_s_at
ENSG00000278088	ENST00000620741	207498_s_at
ENSG00000278088	ENST00000627911	207498_s_at
ENSG00000278088	ENST00000617651	207498_s_at
ENSG00000278088	ENST00000616376	207498_s_at
ENSG00000280909	ENST00000625707	222021_x_at
ENSG00000281237	ENST00000629942	222021_x_at
ENSG00000281603	ENST00000627001	222021_x_at
ENSG00000281603	ENST00000630810	222021_x_at
ENSG00000281603	ENST00000626084	222021_x_at
ENSG00000281603	ENST00000626360	222021_x_at
ENSG00000281603	ENST00000631281	222021_x_at
ENSG00000281603	ENST00000630637	222021_x_at
ENSG00000273936	ENST00000621877	209354_at
ENSG00000273936	ENST00000617968	209354_at
ENSG00000273936	ENST00000630160	209354_at
ENSG00000273936	ENST00000625292	209354_at
ENSG00000273936	ENST00000627817	209354_at
ENSG00000273936	ENST00000629696	209354_at
ENSG00000276561	ENST00000631879	208436_s_at
ENSG00000276561	ENST00000633943	208436_s_at
ENSG00000276561	ENST00000621391	208436_s_at
ENSG00000276561	ENST00000633274	208436_s_at
ENSG00000276561	ENST00000632753	208436_s_at
ENSG00000276561	ENST00000634105	208436_s_at
ENSG00000276561	ENST00000633006	208436_s_at
ENSG00000276561	ENST00000632827	208436_s_at
ENSG00000276561	ENST00000632194	208436_s_at
ENSG00000276561	ENST00000632853	208436_s_at
ENSG00000276561	ENST00000633855	208436_s_at
ENSG00000276561	ENST00000612534	208436_s_at
ENSG00000276561	ENST00000617397	208436_s_at
ENSG00000278365	ENST00000617282	218563_at
ENSG00000276296	ENST00000616277	218996_at
ENSG00000275979	ENST00000611252	203239_s_at
ENSG00000275979	ENST00000619567	203239_s_at
ENSG00000275979	ENST00000619557	203239_s_at
ENSG00000273572	ENST00000633633	219796_s_at
ENSG00000273572	ENST00000631565	219796_s_at
ENSG00000273572	ENST00000619215	219796_s_at
ENSG00000273572	ENST00000617105	219796_s_at
ENSG00000263231	ENST00000575568	209093_s_at
ENSG00000262446	ENST00000572338	209093_s_at
ENSG00000262446	ENST00000574670	209093_s_at
ENSG00000262446	ENST00000574935	209093_s_at
ENSG00000262446	ENST00000576421	209093_s_at
ENSG00000262446	ENST00000613861	209093_s_at
ENSG00000262446	ENST00000618489	209093_s_at
ENSG00000277733	ENST00000621875	209179_s_at
ENSG00000277733	ENST00000621146	209179_s_at
ENSG00000277733	ENST00000612567	209179_s_at
ENSG00000275165	ENST00000617902	218132_s_at
ENSG00000275165	ENST00000619994	218132_s_at
ENSG00000278081	ENST00000610953	217747_s_at
ENSG00000278081	ENST00000630852	217747_s_at
ENSG00000280521	ENST00000630694	222021_x_at
ENSG00000262635	ENST00000573403	205943_at
ENSG00000262635	ENST00000576270	205943_at
ENSG00000276739	ENST00000620817	207314_x_at
ENSG00000276739	ENST00000618273	207314_x_at
ENSG00000274359	ENST00000618338	218563_at
ENSG00000274073	ENST00000615534	218996_at
ENSG00000274473	ENST00000622382	221198_at
ENSG00000276825	ENST00000611962	208215_x_at
ENSG00000276825	ENST00000633789	208215_x_at
ENSG00000263238	ENST00000573499	203758_at
ENSG00000282712	ENST00000632113	209407_s_at
ENSG00000282712	ENST00000634067	209407_s_at
ENSG00000282712	ENST00000634194	209407_s_at
ENSG00000228652	ENST00000439723	221451_s_at
ENSG00000262666	ENST00000574749	203550_s_at
ENSG00000262666	ENST00000570577	203550_s_at
ENSG00000262666	ENST00000572488	203550_s_at
ENSG00000262666	ENST00000575430	203550_s_at
ENSG00000262666	ENST00000573675	203550_s_at
ENSG00000262666	ENST00000574503	203550_s_at
ENSG00000262666	ENST00000619949	203550_s_at
ENSG00000228846	ENST00000437251	221382_at
ENSG00000226347	ENST00000457762	208508_s_at
ENSG00000277114	ENST00000619316	203239_s_at
ENSG00000277114	ENST00000617936	203239_s_at
ENSG00000277114	ENST00000615034	203239_s_at
ENSG00000277114	ENST00000622080	203239_s_at
ENSG00000277114	ENST00000618130	203239_s_at
ENSG00000277114	ENST00000617371	203239_s_at
ENSG00000277114	ENST00000620060	203239_s_at
ENSG00000277114	ENST00000618405	203239_s_at
ENSG00000277114	ENST00000616102	203239_s_at
ENSG00000233481	ENST00000414415	221344_at
ENSG00000237258	ENST00000421634	221343_at
ENSG00000237258	ENST00000428144	221343_at
ENSG00000237258	ENST00000552225	221343_at
ENSG00000232397	ENST00000457403	221339_at
ENSG00000232397	ENST00000552404	221339_at
ENSG00000276220	ENST00000612327	218563_at
ENSG00000276323	ENST00000619581	218996_at
ENSG00000215641	ENST00000400720	212118_at
ENSG00000215641	ENST00000417660	212118_at
ENSG00000215641	ENST00000430208	212118_at
ENSG00000215641	ENST00000495323	212118_at
ENSG00000275444	ENST00000617136	207356_at
ENSG00000275605	ENST00000619253	218563_at
ENSG00000237051	ENST00000418225	203146_s_at
ENSG00000237051	ENST00000458612	203146_s_at
ENSG00000237051	ENST00000440316	203146_s_at
ENSG00000237051	ENST00000473033	203146_s_at
ENSG00000237051	ENST00000448754	205890_s_at
ENSG00000237051	ENST00000464091	203146_s_at
ENSG00000237051	ENST00000496077	203146_s_at
ENSG00000278161	ENST00000611514	218996_at
ENSG00000277824	ENST00000615717	217088_s_at
ENSG00000277824	ENST00000617861	217088_s_at
ENSG00000277824	ENST00000617145	217088_s_at
ENSG00000277824	ENST00000613768	217088_s_at
ENSG00000274405	ENST00000628628	210884_s_at
ENSG00000274405	ENST00000615672	210884_s_at
ENSG00000274405	ENST00000620054	210884_s_at
ENSG00000274176	ENST00000612924	203239_s_at
ENSG00000274176	ENST00000614649	203239_s_at
ENSG00000274176	ENST00000617218	203239_s_at
ENSG00000263290	ENST00000572538	201771_at
ENSG00000263290	ENST00000570831	201771_at
ENSG00000263290	ENST00000573013	201771_at
ENSG00000263290	ENST00000572736	201771_at
ENSG00000263290	ENST00000574126	201771_at
ENSG00000263290	ENST00000576213	201771_at
ENSG00000263290	ENST00000571844	201771_at
ENSG00000274616	ENST00000616264	203239_s_at
ENSG00000274616	ENST00000618717	203239_s_at
ENSG00000274616	ENST00000615629	203239_s_at
ENSG00000274616	ENST00000621174	203239_s_at
ENSG00000274616	ENST00000615038	203239_s_at
ENSG00000274616	ENST00000612466	203239_s_at
ENSG00000274616	ENST00000613636	203239_s_at
ENSG00000274616	ENST00000615030	203239_s_at
ENSG00000274616	ENST00000616359	203239_s_at
ENSG00000229006	ENST00000431123	212118_at
ENSG00000229006	ENST00000452265	212118_at
ENSG00000229006	ENST00000437383	212118_at
ENSG00000229006	ENST00000468047	212118_at
ENSG00000274107	ENST00000620294	208312_s_at
ENSG00000276935	ENST00000617012	209179_s_at
ENSG00000276935	ENST00000622772	209179_s_at
ENSG00000276935	ENST00000613056	209179_s_at
ENSG00000276935	ENST00000619104	209179_s_at
ENSG00000276935	ENST00000614279	209179_s_at
ENSG00000206525	ENST00000383654	221451_s_at
ENSG00000261893	ENST00000572269	203229_s_at
ENSG00000261893	ENST00000574445	203229_s_at
ENSG00000261893	ENST00000570717	203229_s_at
ENSG00000261893	ENST00000576584	203229_s_at
ENSG00000261893	ENST00000574877	203229_s_at
ENSG00000233948	ENST00000445968	212118_at
ENSG00000233948	ENST00000440169	212118_at
ENSG00000233948	ENST00000443804	212118_at
ENSG00000233948	ENST00000493318	212118_at
ENSG00000233506	ENST00000434184	221382_at
ENSG00000234746	ENST00000427744	208508_s_at
ENSG00000274566	ENST00000613649	220336_s_at
ENSG00000274566	ENST00000614889	220336_s_at
ENSG00000278322	ENST00000621612	209179_s_at
ENSG00000278322	ENST00000611602	209179_s_at
ENSG00000278322	ENST00000620636	209179_s_at
ENSG00000281121	ENST00000629649	208312_s_at
ENSG00000206517	ENST00000383645	221343_at
ENSG00000206517	ENST00000400715	221343_at
ENSG00000206517	ENST00000547506	221343_at
ENSG00000220550	ENST00000503212	221339_at
ENSG00000220550	ENST00000552782	221339_at
ENSG00000274796	ENST00000611560	218132_s_at
ENSG00000274796	ENST00000622538	218132_s_at
ENSG00000228977	ENST00000420540	221451_s_at
ENSG00000274626	ENST00000616928	217747_s_at
ENSG00000274626	ENST00000626065	217747_s_at
ENSG00000228698	ENST00000430268	221382_at
ENSG00000196231	ENST00000358688	208508_s_at
ENSG00000257770	ENST00000550775	208028_s_at
ENSG00000257770	ENST00000551639	208028_s_at
ENSG00000227639	ENST00000411447	221451_s_at
ENSG00000206511	ENST00000383638	203146_s_at
ENSG00000206511	ENST00000383636	203146_s_at
ENSG00000206511	ENST00000383637	203146_s_at
ENSG00000206511	ENST00000486760	203146_s_at
ENSG00000206511	ENST00000495153	203146_s_at
ENSG00000206511	ENST00000383639	205890_s_at
ENSG00000206511	ENST00000483838	203146_s_at
ENSG00000273884	ENST00000615652	206881_s_at
ENSG00000231670	ENST00000439469	221382_at
ENSG00000278622	ENST00000615975	218132_s_at
ENSG00000278622	ENST00000614948	218132_s_at
ENSG00000278622	ENST00000612393	218132_s_at
ENSG00000278622	ENST00000613589	218132_s_at
ENSG00000278622	ENST00000617559	218132_s_at
ENSG00000278622	ENST00000621740	218132_s_at
ENSG00000226000	ENST00000415857	208508_s_at
ENSG00000204690	ENST00000377140	221344_at
ENSG00000206472	ENST00000383551	221343_at
ENSG00000206472	ENST00000400696	221343_at
ENSG00000206472	ENST00000546665	221343_at
ENSG00000204689	ENST00000391549	221339_at
ENSG00000204689	ENST00000550017	221339_at
ENSG00000237071	ENST00000435528	212118_at
ENSG00000237071	ENST00000427689	212118_at
ENSG00000237071	ENST00000453610	212118_at
ENSG00000237071	ENST00000485666	212118_at
ENSG00000225247	ENST00000432767	221344_at
ENSG00000234495	ENST00000437160	212118_at
ENSG00000234495	ENST00000412687	212118_at
ENSG00000234495	ENST00000417993	212118_at
ENSG00000234495	ENST00000459807	212118_at
ENSG00000223898	ENST00000411967	221343_at
ENSG00000223898	ENST00000418560	221343_at
ENSG00000223898	ENST00000548813	221343_at
ENSG00000276345	ENST00000612848	213897_s_at
ENSG00000262785	ENST00000571194	207858_s_at
ENSG00000262785	ENST00000572740	207858_s_at
ENSG00000235441	ENST00000428644	221339_at
ENSG00000235441	ENST00000550132	221339_at
ENSG00000273592	ENST00000614745	209179_s_at
ENSG00000273592	ENST00000619855	209179_s_at
ENSG00000273592	ENST00000610921	209179_s_at
ENSG00000273592	ENST00000614760	209179_s_at
ENSG00000273592	ENST00000620371	209179_s_at
ENSG00000229328	ENST00000446776	221451_s_at
ENSG00000206466	ENST00000383542	203146_s_at
ENSG00000206466	ENST00000383537	203146_s_at
ENSG00000206466	ENST00000383541	203146_s_at
ENSG00000206466	ENST00000498610	203146_s_at
ENSG00000206466	ENST00000383543	205890_s_at
ENSG00000206466	ENST00000493602	203146_s_at
ENSG00000206466	ENST00000471385	203146_s_at
ENSG00000274646	ENST00000618247	217747_s_at
ENSG00000274646	ENST00000620940	217747_s_at
ENSG00000274646	ENST00000615346	217747_s_at
ENSG00000274646	ENST00000616107	217747_s_at
ENSG00000274646	ENST00000610765	217747_s_at
ENSG00000274646	ENST00000610796	217747_s_at
ENSG00000274646	ENST00000621621	217747_s_at
ENSG00000274646	ENST00000616625	217747_s_at
ENSG00000274646	ENST00000621080	217747_s_at
