Gene stable ID	Transcript stable ID	AFFY RAE230A probe
ENSRNOG00000000798	ENSRNOT00000050373	1398391_at
ENSRNOG00000000798	ENSRNOT00000083617	1398391_at
ENSRNOG00000006642	ENSRNOT00000076699	1373859_at
ENSRNOG00000011276	ENSRNOT00000015011	1372803_at
ENSRNOG00000000798	ENSRNOT00000090999	1398391_at
ENSRNOG00000054495	ENSRNOT00000083566	1375933_at
ENSRNOG00000006642	ENSRNOT00000090942	1373859_at
ENSRNOG00000054495	ENSRNOT00000085078	1375933_at
ENSRNOG00000006839	ENSRNOT00000009181	1369729_at
ENSRNOG00000006839	ENSRNOT00000009181	1374178_at
ENSRNOG00000006839	ENSRNOT00000076134	1369729_at
ENSRNOG00000028746	ENSRNOT00000076367	1389832_at
ENSRNOG00000028746	ENSRNOT00000016851	1389832_at
ENSRNOG00000017434	ENSRNOT00000023434	1369201_at
ENSRNOG00000019687	ENSRNOT00000026644	1370629_at
ENSRNOG00000019687	ENSRNOT00000076039	1370629_at
ENSRNOG00000019687	ENSRNOT00000076714	1370629_at
ENSRNOG00000007710	ENSRNOT00000010786	1376656_at
ENSRNOG00000019687	ENSRNOT00000087792	1370629_at
ENSRNOG00000007710	ENSRNOT00000093713	1376656_at
ENSRNOG00000007710	ENSRNOT00000093562	1376656_at
ENSRNOG00000002669	ENSRNOT00000092478	1398902_at
ENSRNOG00000000720	ENSRNOT00000000911	1373961_at
ENSRNOG00000000481	ENSRNOT00000092330	1398928_at
ENSRNOG00000000481	ENSRNOT00000000568	1398928_at
ENSRNOG00000010085	ENSRNOT00000083269	1372492_at
ENSRNOG00000000481	ENSRNOT00000092419	1398928_at
ENSRNOG00000010085	ENSRNOT00000093403	1372492_at
ENSRNOG00000000481	ENSRNOT00000092486	1398928_at
ENSRNOG00000010085	ENSRNOT00000093487	1372492_at
ENSRNOG00000000481	ENSRNOT00000092407	1398928_at
ENSRNOG00000010085	ENSRNOT00000013520	1372492_at
ENSRNOG00000000481	ENSRNOT00000072319	1398928_at
ENSRNOG00000001006	ENSRNOT00000001331	1373559_at
ENSRNOG00000001006	ENSRNOT00000092271	1373559_at
ENSRNOG00000051232	ENSRNOT00000075964	1389265_at
ENSRNOG00000051232	ENSRNOT00000084765	1389265_at
ENSRNOG00000017553	ENSRNOT00000092569	1377108_at
ENSRNOG00000017553	ENSRNOT00000092569	1374054_at
ENSRNOG00000017553	ENSRNOT00000023843	1377108_at
ENSRNOG00000013679	ENSRNOT00000076794	1377054_at
ENSRNOG00000017553	ENSRNOT00000092235	1377108_at
ENSRNOG00000001479	ENSRNOT00000040356	1371931_at
ENSRNOG00000001479	ENSRNOT00000002020	1371931_at
ENSRNOG00000010984	ENSRNOT00000014941	1388445_at
ENSRNOG00000001479	ENSRNOT00000077189	1371931_at
ENSRNOG00000033883	ENSRNOT00000043872	1377923_at
ENSRNOG00000033883	ENSRNOT00000081662	1377923_at
ENSRNOG00000002569	ENSRNOT00000003460	1377937_at
ENSRNOG00000002569	ENSRNOT00000076962	1377937_at
ENSRNOG00000002569	ENSRNOT00000076539	1377937_at
ENSRNOG00000002569	ENSRNOT00000076320	1377937_at
ENSRNOG00000002569	ENSRNOT00000076016	1377937_at
ENSRNOG00000018273	ENSRNOT00000024712	1398832_at
ENSRNOG00000029598	ENSRNOT00000088878	1382632_at
ENSRNOG00000029598	ENSRNOT00000065748	1382632_at
ENSRNOG00000023879	ENSRNOT00000035857	1388244_s_at
ENSRNOG00000029598	ENSRNOT00000093706	1382632_at
ENSRNOG00000013704	ENSRNOT00000019023	1370151_at
ENSRNOG00000013704	ENSRNOT00000019023	1384334_at
ENSRNOG00000013704	ENSRNOT00000076059	1370151_at
ENSRNOG00000013704	ENSRNOT00000076059	1384334_at
ENSRNOG00000043451	ENSRNOT00000067875	1367581_a_at
ENSRNOG00000043451	ENSRNOT00000075989	1367581_a_at
ENSRNOG00000040287	ENSRNOT00000084171	1368990_at
ENSRNOG00000000483	ENSRNOT00000040859	1368110_a_at
ENSRNOG00000002314	ENSRNOT00000003193	1367865_at
ENSRNOG00000019730	ENSRNOT00000092952	1368022_at
ENSRNOG00000019730	ENSRNOT00000092952	1370651_a_at
ENSRNOG00000000483	ENSRNOT00000000572	1368110_a_at
ENSRNOG00000019730	ENSRNOT00000066915	1368022_at
ENSRNOG00000019730	ENSRNOT00000066915	1370651_a_at
ENSRNOG00000000483	ENSRNOT00000092424	1368110_a_at
ENSRNOG00000002814	ENSRNOT00000093180	1374679_at
ENSRNOG00000002814	ENSRNOT00000003765	1374679_at
ENSRNOG00000046601	ENSRNOT00000076531	1376953_at
ENSRNOG00000046601	ENSRNOT00000078464	1376953_at
ENSRNOG00000025217	ENSRNOT00000038958	1398878_at
ENSRNOG00000046601	ENSRNOT00000073556	1376953_at
ENSRNOG00000017801	ENSRNOT00000065304	1367624_at
ENSRNOG00000017801	ENSRNOT00000092302	1367624_at
ENSRNOG00000046036	ENSRNOT00000075570	1372896_at
ENSRNOG00000025012	ENSRNOT00000034283	1373614_at
ENSRNOG00000062141	ENSRNOT00000092751	1368615_a_at
ENSRNOG00000038970	ENSRNOT00000093505	1379434_at
ENSRNOG00000006877	ENSRNOT00000009635	1374403_at
ENSRNOG00000006877	ENSRNOT00000009635	1369476_at
ENSRNOG00000038970	ENSRNOT00000093576	1379434_at
ENSRNOG00000038970	ENSRNOT00000003443	1379434_at
ENSRNOG00000019346	ENSRNOT00000092470	1390432_at
ENSRNOG00000019346	ENSRNOT00000092501	1390432_at
ENSRNOG00000008258	ENSRNOT00000011224	1369471_at
ENSRNOG00000008258	ENSRNOT00000011224	1390682_at
ENSRNOG00000008258	ENSRNOT00000011224	1375406_s_at
ENSRNOG00000008258	ENSRNOT00000011224	1377342_s_at
ENSRNOG00000019346	ENSRNOT00000026281	1390432_at
ENSRNOG00000008258	ENSRNOT00000042798	1369471_at
ENSRNOG00000008258	ENSRNOT00000042798	1375406_s_at
ENSRNOG00000034078	ENSRNOT00000076387	1368963_at
ENSRNOG00000034078	ENSRNOT00000076387	1372093_at
ENSRNOG00000034078	ENSRNOT00000076779	1368963_at
ENSRNOG00000034078	ENSRNOT00000076779	1372093_at
ENSRNOG00000034078	ENSRNOT00000042822	1368963_at
ENSRNOG00000034078	ENSRNOT00000042822	1372093_at
ENSRNOG00000010950	ENSRNOT00000076645	1374270_at
ENSRNOG00000010950	ENSRNOT00000014621	1374270_at
ENSRNOG00000026799	ENSRNOT00000000574	1377454_at
ENSRNOG00000002818	ENSRNOT00000055176	1371698_at
ENSRNOG00000011015	ENSRNOT00000015131	1368546_at
ENSRNOG00000000485	ENSRNOT00000000576	1368066_at
ENSRNOG00000025806	ENSRNOT00000035838	1371603_at
ENSRNOG00000025806	ENSRNOT00000089869	1371603_at
ENSRNOG00000025806	ENSRNOT00000078658	1371603_at
ENSRNOG00000025806	ENSRNOT00000087568	1371603_at
ENSRNOG00000025806	ENSRNOT00000089788	1371603_at
ENSRNOG00000025806	ENSRNOT00000078538	1371603_at
ENSRNOG00000012184	ENSRNOT00000076740	1388910_at
ENSRNOG00000014833	ENSRNOT00000020539	1388979_at
ENSRNOG00000012184	ENSRNOT00000076874	1388910_at
ENSRNOG00000014833	ENSRNOT00000076121	1388979_at
ENSRNOG00000012184	ENSRNOT00000016468	1388910_at
ENSRNOG00000014616	ENSRNOT00000093637	1376418_a_at
ENSRNOG00000014833	ENSRNOT00000076197	1388979_at
ENSRNOG00000014616	ENSRNOT00000019862	1376418_a_at
ENSRNOG00000014833	ENSRNOT00000075874	1388979_at
ENSRNOG00000014616	ENSRNOT00000086344	1376418_a_at
ENSRNOG00000014833	ENSRNOT00000078670	1388979_at
ENSRNOG00000039980	ENSRNOT00000015085	1388163_at
ENSRNOG00000039980	ENSRNOT00000092523	1388163_at
ENSRNOG00000009735	ENSRNOT00000012927	1390677_at
ENSRNOG00000000486	ENSRNOT00000000577	1375100_at
ENSRNOG00000014160	ENSRNOT00000019531	1368049_at
ENSRNOG00000031517	ENSRNOT00000047308	1367561_at
ENSRNOG00000014160	ENSRNOT00000076422	1368049_at
ENSRNOG00000014160	ENSRNOT00000076684	1368049_at
ENSRNOG00000049911	ENSRNOT00000072384	1368037_at
ENSRNOG00000049911	ENSRNOT00000085961	1368037_at
ENSRNOG00000049693	ENSRNOT00000041838	1368037_at
ENSRNOG00000047848	ENSRNOT00000042283	1368037_at
ENSRNOG00000047848	ENSRNOT00000075985	1368037_at
ENSRNOG00000047339	ENSRNOT00000074071	1371956_at
ENSRNOG00000047339	ENSRNOT00000092571	1371956_at
ENSRNOG00000047339	ENSRNOT00000092321	1371956_at
ENSRNOG00000062002	ENSRNOT00000092240	1369802_at
ENSRNOG00000017164	ENSRNOT00000073346	1374535_at
ENSRNOG00000017164	ENSRNOT00000023113	1374535_at
ENSRNOG00000000729	ENSRNOT00000076655	1387357_at
ENSRNOG00000000729	ENSRNOT00000076901	1387357_at
ENSRNOG00000019634	ENSRNOT00000026646	1373876_at
ENSRNOG00000000729	ENSRNOT00000049573	1387357_at
ENSRNOG00000019634	ENSRNOT00000077005	1373876_at
ENSRNOG00000032930	ENSRNOT00000077201	1377052_at
ENSRNOG00000019634	ENSRNOT00000092534	1373876_at
ENSRNOG00000019634	ENSRNOT00000092493	1373876_at
ENSRNOG00000019634	ENSRNOT00000085476	1373876_at
ENSRNOG00000019634	ENSRNOT00000065743	1373876_at
ENSRNOG00000032930	ENSRNOT00000001019	1377052_at
ENSRNOG00000039985	ENSRNOT00000083861	1388863_at
ENSRNOG00000039985	ENSRNOT00000061455	1388863_at
ENSRNOG00000013285	ENSRNOT00000066913	1371957_at
ENSRNOG00000006523	ENSRNOT00000077543	1372085_at
ENSRNOG00000006523	ENSRNOT00000084673	1372085_at
ENSRNOG00000006523	ENSRNOT00000008988	1372085_at
ENSRNOG00000001007	ENSRNOT00000060843	1375941_at
ENSRNOG00000001007	ENSRNOT00000092610	1375941_at
ENSRNOG00000060407	ENSRNOT00000092608	1370641_s_at
ENSRNOG00000060407	ENSRNOT00000092608	1369211_at
ENSRNOG00000056248	ENSRNOT00000091520	1367865_at
ENSRNOG00000002556	ENSRNOT00000003540	1376985_at
ENSRNOG00000060407	ENSRNOT00000086192	1370641_s_at
ENSRNOG00000060407	ENSRNOT00000084352	1370641_s_at
ENSRNOG00000060407	ENSRNOT00000084352	1369211_at
ENSRNOG00000047520	ENSRNOT00000076466	1370425_at
ENSRNOG00000010352	ENSRNOT00000014182	1370073_at
ENSRNOG00000010352	ENSRNOT00000093411	1370073_at
ENSRNOG00000020371	ENSRNOT00000076894	1370204_at
ENSRNOG00000019473	ENSRNOT00000092680	1374789_at
ENSRNOG00000057367	ENSRNOT00000083446	1387878_at
ENSRNOG00000057367	ENSRNOT00000083446	1370200_at
ENSRNOG00000020371	ENSRNOT00000055235	1370204_at
ENSRNOG00000019473	ENSRNOT00000026370	1374789_at
ENSRNOG00000009513	ENSRNOT00000012879	1367734_at
ENSRNOG00000013234	ENSRNOT00000082531	1373115_at
ENSRNOG00000013234	ENSRNOT00000017722	1373115_at
ENSRNOG00000027864	ENSRNOT00000091873	1398850_at
ENSRNOG00000027864	ENSRNOT00000038275	1398850_at
ENSRNOG00000018285	ENSRNOT00000092365	1370612_at
ENSRNOG00000027864	ENSRNOT00000079015	1398850_at
ENSRNOG00000018285	ENSRNOT00000092450	1370612_at
ENSRNOG00000018285	ENSRNOT00000050149	1370612_at
ENSRNOG00000047356	ENSRNOT00000042495	1371713_at
ENSRNOG00000011540	ENSRNOT00000075850	1371860_at
ENSRNOG00000011540	ENSRNOT00000064836	1371860_at
ENSRNOG00000052795	ENSRNOT00000090925	1368005_at
ENSRNOG00000020393	ENSRNOT00000027641	1389227_at
ENSRNOG00000008664	ENSRNOT00000011480	1398832_at
ENSRNOG00000020393	ENSRNOT00000076499	1389227_at
ENSRNOG00000020393	ENSRNOT00000076592	1389227_at
ENSRNOG00000050090	ENSRNOT00000075653	1370654_at
ENSRNOG00000046298	ENSRNOT00000022314	1377067_at
ENSRNOG00000002755	ENSRNOT00000092712	1398389_at
ENSRNOG00000002755	ENSRNOT00000092712	1387807_at
ENSRNOG00000002755	ENSRNOT00000092712	1392890_at
ENSRNOG00000002755	ENSRNOT00000003696	1398389_at
ENSRNOG00000002755	ENSRNOT00000003696	1387807_at
ENSRNOG00000002755	ENSRNOT00000003696	1392890_at
ENSRNOG00000046333	ENSRNOT00000054679	1388546_at
ENSRNOG00000037185	ENSRNOT00000056134	1370253_at
ENSRNOG00000000799	ENSRNOT00000001049	1398876_at
ENSRNOG00000045569	ENSRNOT00000093381	1373445_at
ENSRNOG00000015596	ENSRNOT00000021168	1376770_at
ENSRNOG00000045569	ENSRNOT00000074667	1373445_at
ENSRNOG00000043182	ENSRNOT00000092546	1398405_at
ENSRNOG00000001701	ENSRNOT00000002310	1373085_at
ENSRNOG00000032576	ENSRNOT00000092660	1369041_at
ENSRNOG00000032576	ENSRNOT00000041111	1369041_at
ENSRNOG00000025909	ENSRNOT00000092533	1389033_at
ENSRNOG00000025909	ENSRNOT00000036871	1389033_at
ENSRNOG00000014582	ENSRNOT00000020064	1399058_at
ENSRNOG00000017225	ENSRNOT00000023247	1390409_at
ENSRNOG00000005214	ENSRNOT00000079167	1390687_at
ENSRNOG00000005214	ENSRNOT00000007044	1390687_at
ENSRNOG00000005326	ENSRNOT00000007104	1372584_at
ENSRNOG00000002079	ENSRNOT00000065965	1377059_at
ENSRNOG00000002079	ENSRNOT00000065965	1369102_at
ENSRNOG00000002079	ENSRNOT00000092395	1377059_at
ENSRNOG00000002079	ENSRNOT00000092395	1369102_at
ENSRNOG00000002079	ENSRNOT00000092719	1369102_at
ENSRNOG00000000510	ENSRNOT00000085996	1368196_at
ENSRNOG00000000510	ENSRNOT00000000611	1368196_at
ENSRNOG00000020425	ENSRNOT00000027685	1376024_at
ENSRNOG00000043348	ENSRNOT00000092726	1367934_at
ENSRNOG00000043348	ENSRNOT00000092317	1367934_at
ENSRNOG00000043348	ENSRNOT00000092310	1367934_at
ENSRNOG00000020425	ENSRNOT00000088370	1376024_at
ENSRNOG00000048795	ENSRNOT00000076520	1388420_at
ENSRNOG00000048795	ENSRNOT00000075125	1388420_at
ENSRNOG00000015796	ENSRNOT00000021538	1368002_at
ENSRNOG00000000511	ENSRNOT00000000612	1371714_at
ENSRNOG00000023577	ENSRNOT00000075967	1376059_at
ENSRNOG00000017105	ENSRNOT00000055723	1367994_at
ENSRNOG00000017105	ENSRNOT00000086125	1367994_at
ENSRNOG00000059166	ENSRNOT00000086627	1371984_at
ENSRNOG00000059166	ENSRNOT00000086627	1375982_at
ENSRNOG00000059166	ENSRNOT00000086627	1375303_at
ENSRNOG00000013631	ENSRNOT00000019379	1373657_at
ENSRNOG00000059166	ENSRNOT00000087521	1371984_at
ENSRNOG00000059166	ENSRNOT00000087521	1375982_at
ENSRNOG00000059166	ENSRNOT00000087521	1375303_at
ENSRNOG00000039994	ENSRNOT00000032618	1376298_at
ENSRNOG00000059166	ENSRNOT00000081631	1372737_at
ENSRNOG00000059166	ENSRNOT00000085414	1371984_at
ENSRNOG00000059166	ENSRNOT00000085414	1375982_at
ENSRNOG00000059166	ENSRNOT00000085414	1375303_at
ENSRNOG00000039994	ENSRNOT00000092588	1376298_at
ENSRNOG00000059166	ENSRNOT00000083623	1371984_at
ENSRNOG00000059166	ENSRNOT00000083623	1375982_at
ENSRNOG00000059166	ENSRNOT00000083623	1375303_at
ENSRNOG00000014269	ENSRNOT00000019109	1369697_at
ENSRNOG00000014269	ENSRNOT00000081711	1369697_at
ENSRNOG00000024128	ENSRNOT00000038612	1367589_at
ENSRNOG00000000512	ENSRNOT00000092383	1389747_at
ENSRNOG00000000512	ENSRNOT00000059264	1389747_at
ENSRNOG00000010702	ENSRNOT00000092992	1373409_at
ENSRNOG00000010702	ENSRNOT00000015232	1373409_at
ENSRNOG00000012103	ENSRNOT00000076049	1387515_at
ENSRNOG00000012103	ENSRNOT00000016215	1387515_at
ENSRNOG00000005609	ENSRNOT00000007662	1394135_at
ENSRNOG00000005609	ENSRNOT00000007662	1387288_at
ENSRNOG00000005609	ENSRNOT00000086507	1394135_at
ENSRNOG00000005609	ENSRNOT00000086507	1387288_at
ENSRNOG00000050431	ENSRNOT00000093577	1381504_at
ENSRNOG00000050431	ENSRNOT00000074041	1381504_at
ENSRNOG00000001009	ENSRNOT00000092487	1371833_at
ENSRNOG00000062220	ENSRNOT00000093261	1390126_at
ENSRNOG00000001009	ENSRNOT00000092432	1371833_at
ENSRNOG00000062220	ENSRNOT00000093639	1390126_at
ENSRNOG00000001009	ENSRNOT00000092576	1371833_at
ENSRNOG00000006899	ENSRNOT00000009123	1369470_at
ENSRNOG00000001009	ENSRNOT00000001336	1371833_at
ENSRNOG00000002919	ENSRNOT00000034401	1368353_at
ENSRNOG00000047786	ENSRNOT00000093561	1385248_a_at
ENSRNOG00000047786	ENSRNOT00000093561	1390450_a_at
ENSRNOG00000047786	ENSRNOT00000072490	1383263_at
ENSRNOG00000047786	ENSRNOT00000072490	1385248_a_at
ENSRNOG00000052226	ENSRNOT00000092639	1388391_at
ENSRNOG00000052226	ENSRNOT00000081761	1388391_at
ENSRNOG00000039560	ENSRNOT00000020648	1387197_at
ENSRNOG00000039560	ENSRNOT00000078029	1387197_at
ENSRNOG00000049908	ENSRNOT00000093160	1375906_at
ENSRNOG00000049908	ENSRNOT00000093217	1375906_at
ENSRNOG00000049908	ENSRNOT00000093387	1375906_at
ENSRNOG00000048239	ENSRNOT00000070827	1369875_at
ENSRNOG00000049908	ENSRNOT00000093476	1375906_at
ENSRNOG00000048239	ENSRNOT00000090868	1369875_at
ENSRNOG00000049908	ENSRNOT00000073957	1375906_at
ENSRNOG00000038965	ENSRNOT00000015146	1373961_at
ENSRNOG00000062231	ENSRNOT00000093701	1376355_at
ENSRNOG00000002764	ENSRNOT00000003750	1376201_at
ENSRNOG00000002764	ENSRNOT00000003750	1375701_at
ENSRNOG00000002764	ENSRNOT00000092652	1371719_at
ENSRNOG00000015667	ENSRNOT00000021135	1388199_at
ENSRNOG00000000513	ENSRNOT00000000617	1367697_at
ENSRNOG00000051204	ENSRNOT00000076259	1374651_at
ENSRNOG00000000513	ENSRNOT00000000618	1367697_at
ENSRNOG00000009508	ENSRNOT00000013049	1368305_at
ENSRNOG00000051204	ENSRNOT00000083594	1374651_at
ENSRNOG00000009508	ENSRNOT00000092954	1368305_at
ENSRNOG00000059412	ENSRNOT00000082045	1374906_at
ENSRNOG00000019635	ENSRNOT00000026581	1398955_at
ENSRNOG00000016660	ENSRNOT00000022487	1386887_at
ENSRNOG00000009218	ENSRNOT00000012234	1375614_at
ENSRNOG00000045752	ENSRNOT00000074058	1371862_at
ENSRNOG00000001111	ENSRNOT00000001475	1368324_at
ENSRNOG00000000515	ENSRNOT00000000621	1369183_at
ENSRNOG00000000465	ENSRNOT00000077357	1389089_at
ENSRNOG00000000465	ENSRNOT00000000541	1389089_at
ENSRNOG00000000465	ENSRNOT00000089622	1389089_at
ENSRNOG00000000465	ENSRNOT00000083873	1389089_at
ENSRNOG00000002894	ENSRNOT00000092606	1375929_at
ENSRNOG00000003151	ENSRNOT00000004217	1388733_at
ENSRNOG00000008287	ENSRNOT00000011320	1389765_at
ENSRNOG00000051077	ENSRNOT00000076784	1388690_at
ENSRNOG00000026267	ENSRNOT00000057900	1369981_at
ENSRNOG00000051077	ENSRNOT00000082286	1388690_at
ENSRNOG00000025164	ENSRNOT00000037251	1387212_at
ENSRNOG00000026267	ENSRNOT00000076176	1369981_at
ENSRNOG00000026267	ENSRNOT00000076293	1369981_at
ENSRNOG00000016789	ENSRNOT00000022779	1390418_at
ENSRNOG00000016789	ENSRNOT00000022779	1373792_at
ENSRNOG00000046548	ENSRNOT00000092622	1370142_at
ENSRNOG00000016789	ENSRNOT00000076692	1390418_at
ENSRNOG00000016789	ENSRNOT00000076692	1373792_at
ENSRNOG00000008249	ENSRNOT00000076169	1388690_at
ENSRNOG00000046548	ENSRNOT00000071376	1370142_at
ENSRNOG00000008249	ENSRNOT00000010948	1388690_at
ENSRNOG00000001010	ENSRNOT00000001347	1375656_at
ENSRNOG00000001010	ENSRNOT00000001347	1373112_at
