Gene stable ID	Transcript stable ID	AFFY DrosGenome1 probe
FBgn0085425	FBtr0112644	147599_at
FBgn0085425	FBtr0112645	147600_at
FBgn0051161	FBtr0304668	150384_at
FBgn0039371	FBtr0084919	150615_at
FBgn0039371	FBtr0346108	150615_at
FBgn0283724	FBtr0073035	148086_at
FBgn0283724	FBtr0332099	148086_at
FBgn0283724	FBtr0332097	148086_at
FBgn0283724	FBtr0332098	148086_at
FBgn0283724	FBtr0073036	148086_at
FBgn0024227	FBtr0080180	154863_at
FBgn0030082	FBtr0301805	144727_at
FBgn0030082	FBtr0309871	144727_at
FBgn0030082	FBtr0071284	144727_at
FBgn0032409	FBtr0080330	146271_at
FBgn0029831	FBtr0070866	141233_at
FBgn0029831	FBtr0343294	141233_at
FBgn0029945	FBtr0071051	144646_at
FBgn0011672	FBtr0306350	143674_at
FBgn0011672	FBtr0330046	143674_at
FBgn0011672	FBtr0301478	143674_at
FBgn0011672	FBtr0306351	143674_at
FBgn0011672	FBtr0089521	143674_at
FBgn0011672	FBtr0301477	143674_at
FBgn0011672	FBtr0301477	154514_at
FBgn0011244	FBtr0078000	152031_at
FBgn0014343	FBtr0075911	143756_at
FBgn0014343	FBtr0330077	143756_at
FBgn0038073	FBtr0310613	149793_at
FBgn0038073	FBtr0335031	149793_at
FBgn0038073	FBtr0335032	149793_at
FBgn0038073	FBtr0335030	149793_at
FBgn0038073	FBtr0335033	149793_at
FBgn0038073	FBtr0335028	149793_at
FBgn0038073	FBtr0335029	149793_at
FBgn0038073	FBtr0300769	149793_at
FBgn0028532	FBtr0080551	144231_at
FBgn0260857	FBtr0074990	149035_at
FBgn0260857	FBtr0074989	149035_at
FBgn0035160	FBtr0072601	147938_at
FBgn0035160	FBtr0331769	147938_at
FBgn0264694	FBtr0082406	149683_at
FBgn0036433	FBtr0075678	153786_at
FBgn0036433	FBtr0301239	153786_at
FBgn0036433	FBtr0075677	153786_at
FBgn0038257	FBtr0336877	149914_at
FBgn0038257	FBtr0083016	149914_at
FBgn0038257	FBtr0336878	149914_at
FBgn0038257	FBtr0083017	149914_at
FBgn0035857	FBtr0076698	153093_at
FBgn0033659	FBtr0347012	147043_at
FBgn0033659	FBtr0347012	147042_at
FBgn0033659	FBtr0088061	147043_at
FBgn0015399	FBtr0332210	141473_at
FBgn0015399	FBtr0346702	141473_at
FBgn0033348	FBtr0290033	146845_at
FBgn0010215	FBtr0070038	154527_at
FBgn0010215	FBtr0339894	154527_at
FBgn0266722	FBtr0083116	149950_at
FBgn0031306	FBtr0077957	145559_at
FBgn0031306	FBtr0332271	145559_at
FBgn0038273	FBtr0289976	149925_at
FBgn0040734	FBtr0086667	151209_at
FBgn0004649	FBtr0073898	143504_at
FBgn0004649	FBtr0073897	143504_at
FBgn0035426	FBtr0073092	148097_at
FBgn0035426	FBtr0308063	148097_at
FBgn0262515	FBtr0088587	153649_at
FBgn0262515	FBtr0088588	153649_at
FBgn0034737	FBtr0071836	147682_at
FBgn0039319	FBtr0084828	150582_at
FBgn0014868	FBtr0071344	142669_at
FBgn0267326	FBtr0079478	145972_at
FBgn0267326	FBtr0079479	145972_at
FBgn0002021	FBtr0081177	146472_at
FBgn0286920	FBtr0475149	154692_at
FBgn0030286	FBtr0073448	144862_at
FBgn0038539	FBtr0083533	150094_at
FBgn0038539	FBtr0346730	150094_at
FBgn0052218	FBtr0304110	151575_at
FBgn0050058	FBtr0087767	147132_at
FBgn0263570	FBtr0309722	148840_at
FBgn0014850	FBtr0075582	143764_at
FBgn0264090	FBtr0331156	145338_at
FBgn0264090	FBtr0331156	153840_at
FBgn0264090	FBtr0343982	145338_at
FBgn0264090	FBtr0343982	153840_at
FBgn0264090	FBtr0331157	145338_at
FBgn0264090	FBtr0331157	153840_at
FBgn0264090	FBtr0332994	145338_at
FBgn0264090	FBtr0332994	153840_at
FBgn0011569	FBtr0076299	148517_at
FBgn0038686	FBtr0083746	152087_at
FBgn0038686	FBtr0332165	152087_at
FBgn0038680	FBtr0083730	150180_at
FBgn0000382	FBtr0070378	143114_at
FBgn0000382	FBtr0070380	143114_at
FBgn0000382	FBtr0070379	143114_at
FBgn0000382	FBtr0333260	143114_at
FBgn0065046	FBtr0091641	151112_s_at
FBgn0034021	FBtr0087359	154836_at
FBgn0034021	FBtr0345392	154836_at
FBgn0034021	FBtr0340003	154836_at
FBgn0024997	FBtr0070480	151891_at
FBgn0034012	FBtr0114456	147244_at
FBgn0039644	FBtr0085387	153894_at
FBgn0039644	FBtr0085386	153894_at
FBgn0024980	FBtr0070494	144040_at
FBgn0024980	FBtr0332496	144040_at
FBgn0027621	FBtr0307192	152692_at
FBgn0027621	FBtr0074719	152692_at
FBgn0027621	FBtr0074717	152692_at
FBgn0027621	FBtr0074718	152692_at
FBgn0027621	FBtr0307194	152692_at
FBgn0027621	FBtr0339439	152692_at
FBgn0027621	FBtr0074713	152692_at
FBgn0027621	FBtr0074716	152692_at
FBgn0027621	FBtr0074720	152692_at
FBgn0027621	FBtr0074714	152692_at
FBgn0027621	FBtr0074715	152692_at
FBgn0027621	FBtr0307193	152692_at
FBgn0027621	FBtr0339440	152692_at
FBgn0285879	FBtr0310301	145174_at
FBgn0285879	FBtr0310301	145173_at
FBgn0285879	FBtr0310303	145174_at
FBgn0285879	FBtr0310303	145173_at
FBgn0285879	FBtr0074251	145174_at
FBgn0285879	FBtr0074251	145173_at
FBgn0285879	FBtr0310302	145174_at
FBgn0285879	FBtr0310302	145173_at
FBgn0040759	FBtr0345490	147059_s_at
FBgn0040759	FBtr0112772	147059_s_at
FBgn0037167	FBtr0078507	149234_at
FBgn0035720	FBtr0300937	142516_at
FBgn0035720	FBtr0300937	151598_at
FBgn0035720	FBtr0076940	142516_at
FBgn0035720	FBtr0333083	142516_at
FBgn0037614	FBtr0300543	152722_at
FBgn0037614	FBtr0300543	142612_at
FBgn0037614	FBtr0300543	149520_at
FBgn0037614	FBtr0300543	151644_at
FBgn0037614	FBtr0300544	142612_at
FBgn0037614	FBtr0300544	149520_at
FBgn0037614	FBtr0300544	151644_at
FBgn0037614	FBtr0081905	142612_at
FBgn0037614	FBtr0081905	149520_at
FBgn0037614	FBtr0081905	151644_at
FBgn0003511	FBtr0346861	143367_at
FBgn0003511	FBtr0346861	153625_at
FBgn0003511	FBtr0346861	155161_at
FBgn0003511	FBtr0085556	153625_at
FBgn0038584	FBtr0083609	153643_at
FBgn0027932	FBtr0079664	141326_at
FBgn0027932	FBtr0079665	141326_at
FBgn0027932	FBtr0340240	141326_at
FBgn0027932	FBtr0079667	141326_at
FBgn0027932	FBtr0079666	141326_at
FBgn0027932	FBtr0340241	141326_at
FBgn0027932	FBtr0340239	141326_at
FBgn0038151	FBtr0302576	149841_at
FBgn0265656	FBtr0340523	147236_at
FBgn0032405	FBtr0342607	146269_at
FBgn0032405	FBtr0302029	146269_at
FBgn0032405	FBtr0305265	146269_at
FBgn0036342	FBtr0345366	148695_at
FBgn0036342	FBtr0332077	148695_at
FBgn0036342	FBtr0075887	148695_at
FBgn0035134	FBtr0072546	147926_at
FBgn0037835	FBtr0082280	149645_at
FBgn0039006	FBtr0084304	152949_at
FBgn0037668	FBtr0081985	149543_at
FBgn0001977	FBtr0080725	143218_at
FBgn0259166	FBtr0299614	151500_at
FBgn0259166	FBtr0299615	142224_at
FBgn0038545	FBtr0083513	150100_at
FBgn0038545	FBtr0305007	150100_at
FBgn0053771	FBtr0303713	149240_at
FBgn0050365	FBtr0339352	146803_at
FBgn0050365	FBtr0088773	146803_at
FBgn0266720	FBtr0082163	149582_at
FBgn0030921	FBtr0074563	151880_at
FBgn0037087	FBtr0332711	149182_at
FBgn0037087	FBtr0078353	149182_at
FBgn0261477	FBtr0086693	152991_at
FBgn0053203	FBtr0301017	150790_at
FBgn0053203	FBtr0301017	150788_at
FBgn0053203	FBtr0301017	150792_at
FBgn0053203	FBtr0301016	150790_at
FBgn0053203	FBtr0301016	150788_at
FBgn0053203	FBtr0301016	150792_at
FBgn0053203	FBtr0330302	150790_at
FBgn0053203	FBtr0330302	150788_at
FBgn0053203	FBtr0330302	150792_at
FBgn0031910	FBtr0079442	141324_at
FBgn0035490	FBtr0073203	153059_at
FBgn0025186	FBtr0071774	144051_at
FBgn0034645	FBtr0071663	147630_at
FBgn0034645	FBtr0113101	147630_at
FBgn0034645	FBtr0113102	147630_at
FBgn0034645	FBtr0300680	147630_at
FBgn0034645	FBtr0300679	147630_at
