Gene stable ID	Transcript stable ID	AFFY Drosophila 2 probe
FBgn0010407	FBtr0079978	1626152_at
FBgn0038078	FBtr0082663	1627099_at
FBgn0038099	FBtr0300278	1638935_at
FBgn0053260	FBtr0302436	1633713_at
FBgn0037338	FBtr0078688	1628679_at
FBgn0037299	FBtr0305002	1636038_at
FBgn0037299	FBtr0305001	1636038_at
FBgn0037299	FBtr0078777	1636038_at
FBgn0086605	FBtr0078949	1632634_at
FBgn0086605	FBtr0344215	1632634_at
FBgn0086605	FBtr0113192	1632634_at
FBgn0085213	FBtr0112377	1634581_at
FBgn0263606	FBtr0112440	1638637_at
FBgn0260224	FBtr0300624	1624071_at
FBgn0020258	FBtr0080638	1630048_at
FBgn0033981	FBtr0087456	1624939_at
FBgn0026086	FBtr0070300	1625062_a_at
FBgn0026086	FBtr0070300	1634276_a_at
FBgn0026086	FBtr0070300	1628620_at
FBgn0026086	FBtr0339272	1625062_a_at
FBgn0026086	FBtr0339272	1634276_a_at
FBgn0026086	FBtr0339272	1628620_at
FBgn0026086	FBtr0305499	1625062_a_at
FBgn0026086	FBtr0305499	1634276_a_at
FBgn0026086	FBtr0305499	1628620_at
FBgn0026086	FBtr0307895	1634276_a_at
FBgn0026086	FBtr0070299	1634276_a_at
FBgn0026086	FBtr0309961	1634276_a_at
FBgn0026086	FBtr0100557	1634276_a_at
FBgn0026086	FBtr0305498	1634276_a_at
FBgn0030244	FBtr0339835	1634136_at
FBgn0030244	FBtr0073382	1634136_at
FBgn0039544	FBtr0100446	1628011_a_at
FBgn0029885	FBtr0070992	1631813_at
FBgn0041723	FBtr0089855	1629010_at
FBgn0032066	FBtr0340230	1637357_at
FBgn0032066	FBtr0079744	1637357_at
FBgn0022709	FBtr0076017	1631377_a_at
FBgn0022709	FBtr0076018	1631377_a_at
FBgn0037676	FBtr0301210	1637076_at
FBgn0037676	FBtr0300335	1637076_at
FBgn0050291	FBtr0071549	1639747_at
FBgn0039659	FBtr0334875	1632930_at
FBgn0039659	FBtr0334874	1632930_at
FBgn0033426	FBtr0088523	1629401_s_at
FBgn0033426	FBtr0088522	1629401_s_at
FBgn0033426	FBtr0088521	1629401_s_at
FBgn0260743	FBtr0334153	1638457_at
FBgn0260743	FBtr0082484	1638457_at
FBgn0032276	FBtr0080103	1624366_at
FBgn0022710	FBtr0100142	1636219_at
FBgn0022710	FBtr0332497	1636219_at
FBgn0022710	FBtr0074073	1636219_at
FBgn0003575	FBtr0340082	1626259_at
FBgn0003575	FBtr0340081	1626259_at
FBgn0003575	FBtr0070120	1626259_at
FBgn0013718	FBtr0100039	1624744_a_at
FBgn0013718	FBtr0100039	1623570_at
FBgn0013718	FBtr0306622	1624744_a_at
FBgn0013718	FBtr0306622	1623570_at
FBgn0013718	FBtr0306622	1634973_s_at
FBgn0013718	FBtr0306619	1624744_a_at
FBgn0013718	FBtr0306619	1623570_at
FBgn0013718	FBtr0306624	1624744_a_at
FBgn0013718	FBtr0100043	1624744_a_at
FBgn0013718	FBtr0100043	1623570_at
FBgn0013718	FBtr0100043	1634973_s_at
FBgn0013718	FBtr0307191	1624744_a_at
FBgn0013718	FBtr0307191	1623570_at
FBgn0013718	FBtr0306623	1624744_a_at
FBgn0013718	FBtr0306623	1623570_at
FBgn0013718	FBtr0306623	1634973_s_at
FBgn0013718	FBtr0100040	1624744_a_at
FBgn0013718	FBtr0100042	1624744_a_at
FBgn0013718	FBtr0100042	1623570_at
FBgn0013718	FBtr0100041	1624744_a_at
FBgn0013718	FBtr0100041	1623570_at
FBgn0013718	FBtr0100044	1624744_a_at
FBgn0013718	FBtr0100044	1623570_at
FBgn0013718	FBtr0100044	1634973_s_at
FBgn0013718	FBtr0306620	1624744_a_at
FBgn0013718	FBtr0306620	1623570_at
FBgn0050419	FBtr0072275	1634578_at
FBgn0023525	FBtr0070417	1623743_at
FBgn0023525	FBtr0342768	1623743_at
FBgn0261938	FBtr0077989	1626738_at
FBgn0261938	FBtr0332273	1626738_at
FBgn0037120	FBtr0113184	1636887_s_at
FBgn0037120	FBtr0332769	1636887_s_at
FBgn0037120	FBtr0078459	1636887_s_at
FBgn0037120	FBtr0078458	1636887_s_at
FBgn0036782	FBtr0310156	1627563_at
FBgn0040010	FBtr0332631	1629792_at
FBgn0040010	FBtr0332632	1632295_s_at
FBgn0040010	FBtr0332632	1629792_at
FBgn0040010	FBtr0332630	1629792_at
FBgn0037486	FBtr0332536	1637271_a_at
FBgn0037486	FBtr0081601	1637271_a_at
FBgn0037486	FBtr0332537	1637271_a_at
FBgn0029084	FBtr0071766	1638676_at
FBgn0039705	FBtr0085529	1633643_a_at
FBgn0039705	FBtr0085530	1633643_a_at
FBgn0039705	FBtr0339144	1633643_a_at
FBgn0039705	FBtr0085528	1633643_a_at
FBgn0040077	FBtr0091748	1638265_s_at
FBgn0040077	FBtr0091747	1638265_s_at
FBgn0052283	FBtr0073060	1624558_at
FBgn0051245	FBtr0083773	1634645_at
FBgn0039642	FBtr0335407	1626082_at
FBgn0039642	FBtr0085411	1626082_at
FBgn0014028	FBtr0086156	1640632_at
FBgn0034797	FBtr0071943	1630476_s_at
FBgn0034797	FBtr0071942	1630476_s_at
FBgn0034797	FBtr0071942	1639489_at
FBgn0034797	FBtr0304795	1630476_s_at
FBgn0034797	FBtr0304795	1639489_at
FBgn0038924	FBtr0084186	1625465_a_at
FBgn0038217	FBtr0082952	1627439_at
FBgn0016978	FBtr0079355	1635063_at
FBgn0016978	FBtr0331375	1635063_at
FBgn0085341	FBtr0333152	1635572_at
FBgn0085341	FBtr0112510	1635572_at
FBgn0085341	FBtr0112510	1626560_at
FBgn0085341	FBtr0346513	1635572_at
FBgn0038621	FBtr0083654	1631855_at
FBgn0025800	FBtr0071192	1628706_at
FBgn0025800	FBtr0071192	1629290_at
FBgn0025800	FBtr0340159	1628706_at
FBgn0025800	FBtr0340159	1629290_at
FBgn0037293	FBtr0078842	1638354_at
FBgn0002936	FBtr0078023	1623862_at
FBgn0033893	FBtr0087599	1623297_at
FBgn0040232	FBtr0332205	1624191_at
FBgn0040232	FBtr0332204	1624191_at
FBgn0040232	FBtr0332202	1624191_at
FBgn0040232	FBtr0332203	1624191_at
FBgn0052106	FBtr0307888	1631445_at
FBgn0052106	FBtr0307887	1631445_at
FBgn0032969	FBtr0344210	1629858_at
FBgn0032969	FBtr0347504	1629858_at
FBgn0046763	FBtr0084047	1623565_at
FBgn0025682	FBtr0089941	1636762_a_at
FBgn0025682	FBtr0089942	1636762_a_at
FBgn0032481	FBtr0080488	1630207_at
FBgn0265190	FBtr0339112	1635250_at
FBgn0259703	FBtr0299956	1635676_at
FBgn0040060	FBtr0077038	1638661_at
FBgn0050169	FBtr0072302	1624941_at
FBgn0034462	FBtr0336983	1623980_at
FBgn0034462	FBtr0303023	1623980_at
FBgn0025631	FBtr0070341	1633112_at
FBgn0025631	FBtr0303043	1633112_at
FBgn0025631	FBtr0310288	1633112_at
FBgn0025631	FBtr0303044	1640236_at
FBgn0025631	FBtr0303044	1633112_at
FBgn0025631	FBtr0303045	1640236_at
FBgn0025631	FBtr0303045	1633112_at
FBgn0025631	FBtr0310289	1633112_at
FBgn0034822	FBtr0071978	1636738_at
FBgn0028418	FBtr0075722	1625059_at
FBgn0038890	FBtr0301211	1636454_at
FBgn0038890	FBtr0334664	1636454_at
FBgn0038890	FBtr0084112	1636454_at
FBgn0266633	FBtr0344923	1634633_s_at
FBgn0004573	FBtr0085746	1632131_at
FBgn0004573	FBtr0334508	1632131_at
FBgn0266229	FBtr0343892	1633868_at
FBgn0039687	FBtr0085461	1639034_at
FBgn0034730	FBtr0071830	1628454_at
FBgn0000449	FBtr0073205	1629265_at
FBgn0043457	FBtr0273268	1632024_at
FBgn0043457	FBtr0340547	1632024_at
FBgn0036689	FBtr0089584	1635468_a_at
FBgn0053806	FBtr0091810	1626867_at
FBgn0053806	FBtr0091810	1638308_s_at
FBgn0022382	FBtr0088438	1625594_s_at
FBgn0022382	FBtr0088437	1625594_s_at
FBgn0267601	FBtr0347047	1640821_at
FBgn0085734	FBtr0114183	1627276_a_at
FBgn0085734	FBtr0114183	1633444_s_at
FBgn0030578	FBtr0073936	1634600_at
FBgn0037885	FBtr0304708	1622948_at
FBgn0037885	FBtr0304707	1622948_at
FBgn0037885	FBtr0082354	1622948_at
FBgn0011274	FBtr0301578	1633246_s_at
FBgn0011274	FBtr0081008	1633246_s_at
FBgn0011274	FBtr0081009	1633246_s_at
FBgn0032613	FBtr0080928	1628716_at
FBgn0028573	FBtr0076064	1633428_at
FBgn0033222	FBtr0113050	1633707_at
FBgn0033222	FBtr0088830	1633707_at
FBgn0034328	FBtr0086729	1629530_at
FBgn0015572	FBtr0081546	1631277_at
FBgn0033234	FBtr0309843	1629732_at
FBgn0033234	FBtr0088849	1629732_at
FBgn0033234	FBtr0304751	1629732_at
FBgn0061196	FBtr0070727	1632999_at
FBgn0050463	FBtr0113380	1633463_s_at
FBgn0050463	FBtr0113379	1633463_s_at
FBgn0050463	FBtr0087112	1640663_at
FBgn0050463	FBtr0087112	1633463_s_at
FBgn0050463	FBtr0087113	1633463_s_at
FBgn0036784	FBtr0075132	1639179_at
FBgn0015838	FBtr0088566	1635743_at
FBgn0015838	FBtr0330624	1635743_at
FBgn0001255	FBtr0310412	1623494_at
FBgn0039799	FBtr0346147	1626698_at
FBgn0039799	FBtr0085700	1626698_at
FBgn0034084	FBtr0087249	1631074_at
FBgn0034460	FBtr0086469	1634399_at
FBgn0029123	FBtr0079733	1631408_at
FBgn0029123	FBtr0330210	1631408_at
FBgn0025595	FBtr0079310	1635442_a_at
FBgn0025595	FBtr0079308	1635442_a_at
FBgn0025595	FBtr0079309	1629609_at
FBgn0025595	FBtr0079309	1635442_a_at
FBgn0025595	FBtr0332331	1635442_a_at
FBgn0038976	FBtr0301486	1640995_at
FBgn0038976	FBtr0084257	1640995_at
FBgn0030344	FBtr0073601	1639499_at
FBgn0038649	FBtr0083682	1636502_at
FBgn0037296	FBtr0078831	1627799_at
FBgn0051410	FBtr0273369	1623732_at
FBgn0003741	FBtr0075364	1626806_at
FBgn0003741	FBtr0100244	1626806_at
FBgn0032877	FBtr0336825	1635647_at
FBgn0032877	FBtr0081391	1635647_at
FBgn0040347	FBtr0070170	1632240_at
FBgn0052600	FBtr0073913	1625732_at
FBgn0052600	FBtr0073913	1623137_s_at
FBgn0052600	FBtr0343518	1625732_at
FBgn0052600	FBtr0343518	1623137_s_at
FBgn0011296	FBtr0336685	1627242_at
FBgn0011296	FBtr0336685	1626416_a_at
FBgn0011296	FBtr0072100	1627242_at
FBgn0011296	FBtr0072100	1626416_a_at
FBgn0033763	FBtr0301237	1638656_at
FBgn0039141	FBtr0445311	1629123_at
FBgn0039141	FBtr0445311	1628019_a_at
FBgn0039141	FBtr0084533	1629123_at
FBgn0039141	FBtr0084533	1628019_a_at
FBgn0039141	FBtr0445310	1628019_a_at
FBgn0039141	FBtr0084534	1628019_a_at
FBgn0039141	FBtr0346099	1629123_at
FBgn0039141	FBtr0346099	1628019_a_at
FBgn0039141	FBtr0321260	1629123_at
FBgn0039141	FBtr0321260	1628019_a_at
FBgn0011703	FBtr0080059	1631007_at
FBgn0266670	FBtr0077519	1629189_at
FBgn0262533	FBtr0304979	1625512_s_at
FBgn0262533	FBtr0345859	1625512_s_at
FBgn0031240	FBtr0078127	1624987_at
FBgn0263032	FBtr0306912	1624255_at
FBgn0263032	FBtr0306912	1633467_a_at
FBgn0036836	FBtr0075046	1629846_at
FBgn0035529	FBtr0300775	1641058_at
FBgn0034601	FBtr0071627	1633858_at
FBgn0034427	FBtr0086561	1626776_at
FBgn0053093	FBtr0084287	1623000_at
FBgn0032602	FBtr0343769	1636792_at
FBgn0032602	FBtr0080933	1636792_at
FBgn0029824	FBtr0343051	1630308_at
FBgn0029824	FBtr0070858	1630308_at
FBgn0265269	FBtr0077471	1628312_at
FBgn0015300	FBtr0072351	1641012_at
FBgn0037583	FBtr0081853	1634601_at
FBgn0031365	FBtr0077901	1639313_at
FBgn0039887	FBtr0344005	1641471_at
FBgn0039887	FBtr0085873	1641471_at
FBgn0020497	FBtr0346708	1622939_at
FBgn0020497	FBtr0079663	1622939_at
FBgn0261954	FBtr0343522	1624378_at
FBgn0261954	FBtr0303047	1624378_at
FBgn0261954	FBtr0070326	1624378_at
FBgn0261954	FBtr0307290	1624378_at
FBgn0261954	FBtr0303046	1624378_at
FBgn0261954	FBtr0307289	1624378_at
FBgn0039026	FBtr0084312	1638893_at
FBgn0039026	FBtr0113271	1638893_at
FBgn0039026	FBtr0310038	1638893_at
FBgn0039026	FBtr0310037	1638893_at
FBgn0039026	FBtr0344297	1638893_at
FBgn0039026	FBtr0113270	1638893_at
FBgn0039089	FBtr0084433	1634725_at
FBgn0039089	FBtr0332427	1634725_at
FBgn0259789	FBtr0074807	1638370_s_at
FBgn0259789	FBtr0074808	1638370_s_at
FBgn0259789	FBtr0345014	1638370_s_at
FBgn0259789	FBtr0344733	1638370_s_at
FBgn0030289	FBtr0290227	1627013_at
FBgn0030289	FBtr0307491	1627013_at
FBgn0039698	FBtr0085483	1630912_at
FBgn0020385	FBtr0082266	1637444_s_at
FBgn0020385	FBtr0305662	1637444_s_at
FBgn0020385	FBtr0082265	1637444_s_at
FBgn0020385	FBtr0082264	1637444_s_at
FBgn0020385	FBtr0100144	1637444_s_at
FBgn0053012	FBtr0332249	1638879_a_at
FBgn0035976	FBtr0346814	1641723_a_at
FBgn0035976	FBtr0308349	1641723_a_at
FBgn0035976	FBtr0089492	1641723_a_at
FBgn0035976	FBtr0472541	1641723_a_at
FBgn0035976	FBtr0089491	1641723_a_at
FBgn0051017	FBtr0085667	1637713_at
FBgn0041241	FBtr0088127	1624952_at
FBgn0041241	FBtr0088127	1641017_at
FBgn0031713	FBtr0079128	1641134_at
FBgn0038487	FBtr0083415	1637568_at
FBgn0034554	FBtr0335284	1629952_at
FBgn0020653	FBtr0071168	1641487_a_at
FBgn0020653	FBtr0071167	1641487_a_at
FBgn0020653	FBtr0071169	1641487_a_at
FBgn0015351	FBtr0336486	1627183_at
FBgn0037700	FBtr0082061	1626076_at
FBgn0052062	FBtr0305095	1626884_a_at
FBgn0052062	FBtr0305096	1626884_a_at
FBgn0052062	FBtr0332985	1626884_a_at
FBgn0052062	FBtr0305093	1626884_a_at
FBgn0023416	FBtr0085897	1625072_s_at
FBgn0038916	FBtr0084151	1638592_at
FBgn0051619	FBtr0110959	1626869_a_at
FBgn0051619	FBtr0110959	1640204_at
FBgn0051619	FBtr0085902	1626869_a_at
FBgn0051619	FBtr0085902	1630226_at
FBgn0051619	FBtr0085901	1626869_a_at
FBgn0051619	FBtr0085901	1640204_at
FBgn0051619	FBtr0339132	1626869_a_at
FBgn0051619	FBtr0339132	1640204_at
FBgn0051619	FBtr0339131	1626869_a_at
FBgn0051619	FBtr0339131	1640204_at
FBgn0051619	FBtr0307497	1626869_a_at
FBgn0051619	FBtr0307497	1640204_at
FBgn0051619	FBtr0301000	1626869_a_at
FBgn0051619	FBtr0301000	1640204_at
FBgn0015773	FBtr0346088	1624408_at
FBgn0015773	FBtr0073942	1624408_at
FBgn0015773	FBtr0308337	1624408_at
FBgn0039810	FBtr0085752	1623974_at
FBgn0083124	FBtr0300230	1630661_at
FBgn0040905	FBtr0070659	1640699_at
FBgn0051869	FBtr0290245	1640279_at
FBgn0051869	FBtr0080189	1640279_at
FBgn0051869	FBtr0290246	1640279_at
FBgn0032126	FBtr0079832	1629407_at
FBgn0032805	FBtr0081276	1629121_at
FBgn0030077	FBtr0339679	1638490_at
FBgn0030077	FBtr0071357	1638490_at
FBgn0030077	FBtr0339680	1638490_at
FBgn0040089	FBtr0339436	1636780_at
FBgn0040089	FBtr0339435	1636780_at
FBgn0040089	FBtr0301703	1636780_at
FBgn0040089	FBtr0074812	1636780_at
FBgn0051253	FBtr0085263	1631239_s_at
FBgn0031849	FBtr0079315	1641384_a_at
FBgn0003942	FBtr0080016	1624906_at
FBgn0011674	FBtr0071562	1625035_at
FBgn0037773	FBtr0082215	1634434_at
FBgn0037773	FBtr0306611	1634434_at
FBgn0053792	FBtr0332251	1627131_at
FBgn0031384	FBtr0330671	1638884_at
FBgn0031384	FBtr0301066	1638884_at
FBgn0031384	FBtr0334774	1638884_at
FBgn0031384	FBtr0334773	1638884_at
FBgn0031384	FBtr0301067	1638884_at
FBgn0031384	FBtr0330672	1638884_at
FBgn0031384	FBtr0301068	1638884_at
FBgn0031996	FBtr0079586	1636842_at
FBgn0039568	FBtr0085260	1630180_at
FBgn0032693	FBtr0081077	1625114_at
FBgn0020445	FBtr0089979	1628224_a_at
FBgn0020445	FBtr0339548	1628224_a_at
FBgn0020445	FBtr0339549	1628224_a_at
FBgn0270924	FBtr0079865	1639955_at
FBgn0085425	FBtr0112644	1640625_at
FBgn0085425	FBtr0112644	1635292_at
FBgn0085425	FBtr0112645	1635292_at
FBgn0266175	FBtr0433522	1627953_at
FBgn0266175	FBtr0433522	1638829_s_at
FBgn0266175	FBtr0433522	1622976_at
FBgn0266175	FBtr0433522	1626650_at
FBgn0266175	FBtr0433522	1638041_at
FBgn0266175	FBtr0433522	1636765_at
FBgn0266175	FBtr0433522	1631742_s_at
FBgn0266175	FBtr0433522	1632973_at
FBgn0266175	FBtr0343754	1627953_at
FBgn0266175	FBtr0343754	1638829_s_at
FBgn0266175	FBtr0343754	1622976_at
FBgn0266175	FBtr0343754	1626650_at
FBgn0266175	FBtr0343754	1638041_at
FBgn0266175	FBtr0343754	1636765_at
FBgn0266175	FBtr0343754	1631742_s_at
FBgn0266175	FBtr0343754	1632973_at
FBgn0051161	FBtr0304668	1635765_at
FBgn0039371	FBtr0084919	1626010_at
FBgn0039371	FBtr0346108	1626010_at
FBgn0283724	FBtr0073035	1626237_at
FBgn0283724	FBtr0332099	1626237_at
FBgn0283724	FBtr0332097	1626237_at
FBgn0283724	FBtr0332098	1626237_at
FBgn0283724	FBtr0073036	1626237_at
FBgn0024227	FBtr0080180	1624154_at
FBgn0030082	FBtr0301805	1635799_at
FBgn0030082	FBtr0309871	1635799_at
FBgn0030082	FBtr0071284	1635799_at
FBgn0032409	FBtr0080330	1626390_at
FBgn0029831	FBtr0070866	1627287_at
FBgn0029831	FBtr0343294	1627287_at
FBgn0029945	FBtr0071051	1639191_at
FBgn0011672	FBtr0330046	1624392_s_at
FBgn0011672	FBtr0301478	1624392_s_at
FBgn0011672	FBtr0089521	1624392_s_at
FBgn0011672	FBtr0301477	1640871_at
FBgn0011672	FBtr0301477	1624392_s_at
FBgn0011244	FBtr0078000	1631238_at
FBgn0014343	FBtr0075912	1635669_a_at
FBgn0014343	FBtr0075911	1639798_at
FBgn0014343	FBtr0075911	1635669_a_at
FBgn0014343	FBtr0330077	1639798_at
FBgn0014343	FBtr0330077	1635669_a_at
FBgn0038073	FBtr0310613	1628093_at
FBgn0038073	FBtr0335031	1628093_at
FBgn0038073	FBtr0335032	1628093_at
FBgn0038073	FBtr0335030	1628093_at
FBgn0038073	FBtr0335033	1628093_at
FBgn0038073	FBtr0335028	1628093_at
FBgn0038073	FBtr0335029	1628093_at
FBgn0038073	FBtr0300769	1628093_at
FBgn0051373	FBtr0082318	1638417_at
FBgn0028532	FBtr0080551	1628364_at
FBgn0260857	FBtr0074990	1637926_s_at
FBgn0260857	FBtr0074989	1637926_s_at
FBgn0035160	FBtr0072601	1641084_at
FBgn0035160	FBtr0331769	1641084_at
FBgn0264694	FBtr0082406	1639895_at
FBgn0036433	FBtr0075678	1634238_a_at
FBgn0036433	FBtr0301239	1634238_a_at
FBgn0036433	FBtr0075677	1634238_a_at
FBgn0042180	FBtr0345664	1627244_at
FBgn0042180	FBtr0071688	1627244_at
FBgn0038257	FBtr0336877	1635450_a_at
FBgn0038257	FBtr0083016	1635450_a_at
FBgn0038257	FBtr0336878	1635450_a_at
FBgn0038257	FBtr0083017	1635450_a_at
FBgn0038257	FBtr0083017	1636973_at
FBgn0035857	FBtr0076698	1628995_at
FBgn0033659	FBtr0347012	1627463_at
FBgn0033659	FBtr0088061	1627463_at
FBgn0015399	FBtr0332210	1634071_at
FBgn0015399	FBtr0346702	1634071_at
FBgn0033348	FBtr0290033	1627576_at
FBgn0010215	FBtr0070038	1632724_at
FBgn0010215	FBtr0339894	1632724_at
FBgn0266722	FBtr0083116	1638671_at
FBgn0031306	FBtr0077957	1640944_at
FBgn0031306	FBtr0332271	1640944_at
FBgn0052023	FBtr0076588	1637821_at
FBgn0038273	FBtr0289976	1631450_at
FBgn0040734	FBtr0086667	1631660_at
FBgn0004649	FBtr0073898	1626299_at
FBgn0004649	FBtr0073897	1626299_at
FBgn0035426	FBtr0073092	1633860_at
FBgn0035426	FBtr0308063	1633860_at
FBgn0262515	FBtr0088587	1626261_s_at
FBgn0262515	FBtr0088588	1626261_s_at
FBgn0034737	FBtr0071836	1626131_at
FBgn0039319	FBtr0084828	1633857_at
FBgn0014868	FBtr0071344	1625055_at
FBgn0267326	FBtr0079478	1626797_a_at
FBgn0267326	FBtr0079479	1626797_a_at
FBgn0002021	FBtr0081177	1639905_at
FBgn0286920	FBtr0475149	1639069_at
FBgn0030286	FBtr0073448	1626575_at
FBgn0038539	FBtr0083533	1630629_at
FBgn0038539	FBtr0346730	1630629_at
FBgn0050058	FBtr0346512	1635572_at
FBgn0050058	FBtr0087767	1635572_at
FBgn0050058	FBtr0087767	1626560_at
FBgn0053744	FBtr0091742	1625925_at
FBgn0263570	FBtr0309722	1637977_a_at
FBgn0014850	FBtr0075582	1630138_at
FBgn0264090	FBtr0331156	1640125_s_at
FBgn0264090	FBtr0331156	1639917_at
FBgn0264090	FBtr0343982	1640125_s_at
FBgn0264090	FBtr0343982	1639917_at
FBgn0264090	FBtr0331157	1640125_s_at
FBgn0264090	FBtr0331157	1639917_at
FBgn0264090	FBtr0332994	1640125_s_at
FBgn0264090	FBtr0332994	1639917_at
FBgn0011569	FBtr0076299	1639670_at
FBgn0038686	FBtr0083746	1639812_at
FBgn0038686	FBtr0332165	1639812_at
FBgn0038680	FBtr0083730	1629771_at
FBgn0000382	FBtr0070378	1625775_a_at
FBgn0000382	FBtr0070380	1625775_a_at
FBgn0000382	FBtr0070379	1625775_a_at
FBgn0000382	FBtr0333260	1625775_a_at
FBgn0034021	FBtr0087359	1629887_at
FBgn0034021	FBtr0345392	1629887_at
FBgn0034021	FBtr0340003	1629887_at
FBgn0024997	FBtr0070480	1625954_at
FBgn0034012	FBtr0114456	1641099_a_at
FBgn0039644	FBtr0085387	1632676_s_at
FBgn0039644	FBtr0085386	1632676_s_at
FBgn0024980	FBtr0070494	1638808_at
FBgn0024980	FBtr0332496	1638808_at
FBgn0027621	FBtr0307192	1633454_s_at
FBgn0027621	FBtr0074719	1633454_s_at
FBgn0027621	FBtr0074717	1633454_s_at
FBgn0027621	FBtr0074718	1633454_s_at
FBgn0027621	FBtr0307194	1633454_s_at
FBgn0027621	FBtr0339439	1633454_s_at
FBgn0027621	FBtr0074713	1633454_s_at
FBgn0027621	FBtr0074716	1633454_s_at
FBgn0027621	FBtr0074720	1633454_s_at
FBgn0027621	FBtr0074714	1633454_s_at
FBgn0027621	FBtr0074715	1633454_s_at
FBgn0027621	FBtr0307193	1633454_s_at
FBgn0027621	FBtr0339440	1633454_s_at
FBgn0285879	FBtr0310301	1623846_at
FBgn0285879	FBtr0310303	1623846_at
FBgn0285879	FBtr0310303	1636916_at
FBgn0285879	FBtr0074251	1623846_at
FBgn0285879	FBtr0310302	1623846_at
FBgn0040759	FBtr0345490	1628197_at
FBgn0040759	FBtr0112772	1628197_at
FBgn0037167	FBtr0078507	1633796_at
FBgn0035720	FBtr0300937	1638060_at
FBgn0035720	FBtr0076940	1629250_at
FBgn0035720	FBtr0333083	1629250_at
FBgn0037614	FBtr0300543	1638323_at
FBgn0037614	FBtr0300543	1632757_a_at
FBgn0037614	FBtr0300543	1630204_a_at
FBgn0037614	FBtr0300544	1638323_at
FBgn0037614	FBtr0300544	1632757_a_at
FBgn0037614	FBtr0081905	1638323_at
FBgn0037614	FBtr0081905	1632757_a_at
FBgn0003511	FBtr0346861	1629270_at
FBgn0003511	FBtr0346861	1632798_at
FBgn0003511	FBtr0346861	1631325_at
FBgn0003511	FBtr0085556	1631325_at
FBgn0038584	FBtr0083609	1632804_at
FBgn0027932	FBtr0079665	1640838_s_at
FBgn0027932	FBtr0340240	1640838_s_at
FBgn0027932	FBtr0079667	1640838_s_at
FBgn0027932	FBtr0079666	1640838_s_at
FBgn0027932	FBtr0340241	1640838_s_at
FBgn0027932	FBtr0340239	1640838_s_at
FBgn0038151	FBtr0302576	1633841_at
FBgn0265656	FBtr0340523	1641262_at
FBgn0032405	FBtr0342607	1623103_at
FBgn0032405	FBtr0302029	1623103_at
FBgn0032405	FBtr0305265	1623103_at
FBgn0036342	FBtr0345366	1631362_at
FBgn0036342	FBtr0332077	1631362_at
FBgn0036342	FBtr0075887	1631362_at
FBgn0035134	FBtr0072546	1638478_at
FBgn0037835	FBtr0082280	1637008_at
FBgn0039006	FBtr0084304	1630802_at
FBgn0037668	FBtr0081985	1627469_at
FBgn0001977	FBtr0080725	1634344_at
FBgn0001977	FBtr0080725	1627249_a_at
FBgn0259166	FBtr0299614	1641372_at
FBgn0259166	FBtr0299615	1632756_at
FBgn0285970	FBtr0077374	1624571_s_at
FBgn0038545	FBtr0083513	1631652_at
FBgn0038545	FBtr0305007	1631652_at
FBgn0053771	FBtr0303713	1628535_at
