Gene stable ID	Transcript stable ID	AFFY Mu11KsubA probe
ENSMUSG00000065676	ENSMUST00000083742	aa538407_s_at
ENSMUSG00000099210	ENSMUST00000184167	aa403731_f_at
ENSMUSG00000093156	ENSMUST00000175415	u05809_s_at
ENSMUSG00000064858	ENSMUST00000082924	AA028426_at
ENSMUSG00000098850	ENSMUST00000184516	C78522_rc_f_at
ENSMUSG00000065862	ENSMUST00000083928	aa152590_f_at
ENSMUSG00000077711	ENSMUST00000104523	M11408_f_at
ENSMUSG00000065628	ENSMUST00000083694	AA408475_rc_s_at
ENSMUSG00000106463	ENSMUST00000199842	aa238264_s_at
ENSMUSG00000078035	ENSMUST00000104841	aa437728_at
ENSMUSG00000065394	ENSMUST00000083460	D26091_s_at
ENSMUSG00000092981	ENSMUST00000175240	aa049941_s_at
ENSMUSG00000098498	ENSMUST00000184238	D18044_rc_at
ENSMUSG00000065282	ENSMUST00000083348	aa266126_at
ENSMUSG00000078041	ENSMUST00000104847	aa437728_at
ENSMUSG00000096550	ENSMUST00000178337	aa589943_at
ENSMUSG00000096873	ENSMUST00000178081	af001980_s_at
ENSMUSG00000092763	ENSMUST00000175022	U41047_s_at
ENSMUSG00000077625	ENSMUST00000104437	aa538407_s_at
ENSMUSG00000098842	ENSMUST00000185101	M62952_f_at
ENSMUSG00000096263	ENSMUST00000101927	u73744_f_at
ENSMUSG00000065475	ENSMUST00000083541	c78378_rc_at
ENSMUSG00000065475	ENSMUST00000083541	c78378_rc_g_at
ENSMUSG00000064540	ENSMUST00000082606	aa538407_s_at
ENSMUSG00000064450	ENSMUST00000082516	U28917_f_at
ENSMUSG00000093734	ENSMUST00000177296	AF005423_at
ENSMUSG00000064563	ENSMUST00000082629	K02060_f_at
ENSMUSG00000106169	ENSMUST00000196776	aa444568_s_at
ENSMUSG00000088929	ENSMUST00000158304	aa266126_at
ENSMUSG00000064612	ENSMUST00000082678	C78522_rc_f_at
ENSMUSG00000099059	ENSMUST00000183523	M34397_s_at
ENSMUSG00000064751	ENSMUST00000082817	C78229_rc_f_at
ENSMUSG00000076138	ENSMUST00000102184	m22432_f_at
ENSMUSG00000102478	ENSMUST00000191852	aa606818_s_at
ENSMUSG00000102478	ENSMUST00000195236	aa606818_s_at
ENSMUSG00000073489	ENSMUST00000111214	m31419_f_at
ENSMUSG00000081344	ENSMUST00000121320	L31609_s_at
ENSMUSG00000029648	ENSMUST00000031653	l07297_s_at
ENSMUSG00000001506	ENSMUST00000001547	u08020_f_at
ENSMUSG00000001506	ENSMUST00000001547	aa562685_f_at
ENSMUSG00000059775	ENSMUST00000077208	U67770_f_at
ENSMUSG00000059775	ENSMUST00000212102	U67770_f_at
ENSMUSG00000037544	ENSMUST00000043296	c78700_rc_at
ENSMUSG00000037544	ENSMUST00000177822	c78700_rc_at
ENSMUSG00000037544	ENSMUST00000180299	c78700_rc_at
ENSMUSG00000037544	ENSMUST00000178661	c78700_rc_at
ENSMUSG00000024222	ENSMUST00000079413	u36220_s_at
ENSMUSG00000024222	ENSMUST00000114792	u36220_s_at
ENSMUSG00000024222	ENSMUST00000233102	u36220_s_at
ENSMUSG00000024222	ENSMUST00000233372	u36220_s_at
ENSMUSG00000024222	ENSMUST00000177939	u36220_s_at
ENSMUSG00000031320	ENSMUST00000033683	M73436_f_at
ENSMUSG00000031320	ENSMUST00000155028	M73436_f_at
ENSMUSG00000051989	ENSMUST00000063641	aa275130_s_at
ENSMUSG00000020163	ENSMUST00000138428	aa198790_s_at
ENSMUSG00000020163	ENSMUST00000020372	aa198790_s_at
ENSMUSG00000020163	ENSMUST00000141683	aa198790_s_at
ENSMUSG00000058715	ENSMUST00000079957	J05020_s_at
ENSMUSG00000058715	ENSMUST00000193973	J05020_s_at
ENSMUSG00000058715	ENSMUST00000150997	J05020_s_at
ENSMUSG00000026883	ENSMUST00000112992	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000156669	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000112983	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000112987	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000112986	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000065001	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000112981	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000091010	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000145698	aa591428_s_at
ENSMUSG00000026883	ENSMUST00000135741	aa591428_s_at
ENSMUSG00000038312	ENSMUST00000040833	aa389917_s_at
ENSMUSG00000027187	ENSMUST00000028610	l25069_s_at
ENSMUSG00000010830	ENSMUST00000010974	aa051505_s_at
ENSMUSG00000028546	ENSMUST00000106603	D31953_s_at
ENSMUSG00000028546	ENSMUST00000102723	D31953_s_at
ENSMUSG00000028546	ENSMUST00000106598	D31953_s_at
ENSMUSG00000028546	ENSMUST00000106597	D31953_s_at
ENSMUSG00000028546	ENSMUST00000102722	D31953_s_at
ENSMUSG00000028546	ENSMUST00000106600	D31953_s_at
ENSMUSG00000028546	ENSMUST00000106601	D31953_s_at
ENSMUSG00000028546	ENSMUST00000153200	D31953_s_at
ENSMUSG00000090272	ENSMUST00000190071	AA200306_s_at
ENSMUSG00000025323	ENSMUST00000026367	U62522_s_at
ENSMUSG00000025323	ENSMUST00000222314	U62522_s_at
ENSMUSG00000030769	ENSMUST00000033035	C80370_rc_at
ENSMUSG00000030769	ENSMUST00000167299	C80370_rc_at
ENSMUSG00000020848	ENSMUST00000021209	D85037_s_at
ENSMUSG00000083796	ENSMUST00000119442	aa529294_s_at
ENSMUSG00000023829	ENSMUST00000233691	U38652_s_at
ENSMUSG00000023829	ENSMUST00000024596	U38652_s_at
ENSMUSG00000023829	ENSMUST00000233601	U38652_s_at
ENSMUSG00000031166	ENSMUST00000033506	aa210315_at
ENSMUSG00000031166	ENSMUST00000133292	aa210315_at
ENSMUSG00000031166	ENSMUST00000130832	aa210315_at
ENSMUSG00000096517	ENSMUST00000180049	U93863_s_at
ENSMUSG00000024091	ENSMUST00000024897	aa162557_s_at
ENSMUSG00000027611	ENSMUST00000029140	l39017_s_at
ENSMUSG00000027611	ENSMUST00000143493	l39017_s_at
ENSMUSG00000027611	ENSMUST00000155095	l39017_s_at
ENSMUSG00000027611	ENSMUST00000132608	l39017_s_at
ENSMUSG00000026623	ENSMUST00000110855	aa537557_s_at
ENSMUSG00000026623	ENSMUST00000110855	aa139510_s_at
ENSMUSG00000026623	ENSMUST00000110855	AA178588_s_at
ENSMUSG00000024142	ENSMUST00000234941	aa103277_s_at
ENSMUSG00000024142	ENSMUST00000179163	aa103277_s_at
ENSMUSG00000024142	ENSMUST00000070888	aa103277_s_at
ENSMUSG00000024142	ENSMUST00000234686	aa103277_s_at
ENSMUSG00000024142	ENSMUST00000234543	aa103277_s_at
ENSMUSG00000000957	ENSMUST00000089688	u54984_s_at
ENSMUSG00000000957	ENSMUST00000226710	u54984_s_at
ENSMUSG00000054520	ENSMUST00000067638	L14543_s_at
ENSMUSG00000054520	ENSMUST00000101316	L14543_s_at
ENSMUSG00000054520	ENSMUST00000118545	L14543_s_at
ENSMUSG00000054520	ENSMUST00000179943	L14543_s_at
ENSMUSG00000021610	ENSMUST00000022102	aa682058_rc_s_at
ENSMUSG00000021610	ENSMUST00000222343	aa682058_rc_s_at
ENSMUSG00000039067	ENSMUST00000044106	m64640_s_at
ENSMUSG00000025537	ENSMUST00000026617	j03293_s_at
ENSMUSG00000026496	ENSMUST00000027777	aa119245_s_at
ENSMUSG00000026496	ENSMUST00000193238	aa119245_s_at
ENSMUSG00000026496	ENSMUST00000191833	aa119245_s_at
ENSMUSG00000026496	ENSMUST00000195560	aa119245_s_at
ENSMUSG00000024217	ENSMUST00000232873	u70315_s_at
ENSMUSG00000024217	ENSMUST00000137581	u70315_s_at
ENSMUSG00000024217	ENSMUST00000233752	u70315_s_at
ENSMUSG00000024217	ENSMUST00000233657	u70315_s_at
ENSMUSG00000024217	ENSMUST00000071006	u70315_s_at
ENSMUSG00000045103	ENSMUST00000114000	M68859_s_at
ENSMUSG00000045103	ENSMUST00000239269	M68859_s_at
ENSMUSG00000045103	ENSMUST00000239019	M68859_s_at
ENSMUSG00000045103	ENSMUST00000113991	M68859_s_at
ENSMUSG00000027104	ENSMUST00000124737	m77167_s_at
ENSMUSG00000027104	ENSMUST00000112010	m77167_s_at
ENSMUSG00000027104	ENSMUST00000090802	m77167_s_at
ENSMUSG00000027104	ENSMUST00000055833	m77167_s_at
ENSMUSG00000027104	ENSMUST00000112007	m77167_s_at
ENSMUSG00000027104	ENSMUST00000112016	m77167_s_at
ENSMUSG00000027104	ENSMUST00000156455	m77167_s_at
ENSMUSG00000027104	ENSMUST00000100009	m77167_s_at
ENSMUSG00000056941	ENSMUST00000071852	AA511262_rc_s_at
ENSMUSG00000056941	ENSMUST00000147822	AA511262_rc_s_at
ENSMUSG00000056941	ENSMUST00000109782	AA511262_rc_s_at
ENSMUSG00000032562	ENSMUST00000192615	M13963_f_at
ENSMUSG00000032562	ENSMUST00000055704	M13963_f_at
ENSMUSG00000032562	ENSMUST00000193538	M13963_f_at
ENSMUSG00000032562	ENSMUST00000195231	M13963_f_at
ENSMUSG00000032562	ENSMUST00000193372	M13963_f_at
ENSMUSG00000032562	ENSMUST00000193394	M13963_f_at
ENSMUSG00000026573	ENSMUST00000027860	u28493_s_at
ENSMUSG00000024213	ENSMUST00000025050	aa286600_s_at
ENSMUSG00000024213	ENSMUST00000231742	aa286600_s_at
ENSMUSG00000024213	ENSMUST00000133048	aa286600_s_at
ENSMUSG00000024213	ENSMUST00000062397	aa286600_s_at
ENSMUSG00000034509	ENSMUST00000171172	aa048950_s_at
ENSMUSG00000034391	ENSMUST00000224467	aa426752_s_at
ENSMUSG00000034391	ENSMUST00000225445	aa426752_s_at
ENSMUSG00000034391	ENSMUST00000223789	aa426752_s_at
ENSMUSG00000034391	ENSMUST00000225015	aa426752_s_at
ENSMUSG00000034391	ENSMUST00000037718	aa426752_s_at
ENSMUSG00000027433	ENSMUST00000028921	D38517_s_at
ENSMUSG00000027433	ENSMUST00000137358	D38517_s_at
ENSMUSG00000021779	ENSMUST00000091471	U15548_s_at
ENSMUSG00000021779	ENSMUST00000022303	U15548_s_at
ENSMUSG00000021779	ENSMUST00000022304	U15548_s_at
ENSMUSG00000018909	ENSMUST00000098266	aa038975_at
ENSMUSG00000018909	ENSMUST00000179755	aa038975_at
ENSMUSG00000059995	ENSMUST00000145484	AA267679_at
ENSMUSG00000059995	ENSMUST00000141516	AA267679_at
ENSMUSG00000059995	ENSMUST00000137387	AA267679_at
ENSMUSG00000059995	ENSMUST00000107134	AA267679_at
ENSMUSG00000059995	ENSMUST00000073234	AA267679_at
ENSMUSG00000059995	ENSMUST00000107132	AA267679_at
ENSMUSG00000027381	ENSMUST00000110341	aa711151_s_at
ENSMUSG00000027381	ENSMUST00000103210	aa711151_s_at
ENSMUSG00000027381	ENSMUST00000019281	aa711151_s_at
ENSMUSG00000046062	ENSMUST00000052529	aa213210_s_at
ENSMUSG00000046062	ENSMUST00000122956	aa213210_s_at
ENSMUSG00000025027	ENSMUST00000237294	c79022_rc_s_at
ENSMUSG00000025027	ENSMUST00000236058	c79022_rc_s_at
ENSMUSG00000025027	ENSMUST00000238001	c79022_rc_s_at
ENSMUSG00000025027	ENSMUST00000182877	c79022_rc_s_at
ENSMUSG00000025027	ENSMUST00000235453	c79022_rc_s_at
ENSMUSG00000025027	ENSMUST00000183108	c79022_rc_s_at
ENSMUSG00000023033	ENSMUST00000108909	U26707_s_at
ENSMUSG00000023033	ENSMUST00000201549	U26707_s_at
ENSMUSG00000023033	ENSMUST00000108908	U26707_s_at
ENSMUSG00000023033	ENSMUST00000200963	U26707_s_at
ENSMUSG00000023033	ENSMUST00000108910	U26707_s_at
ENSMUSG00000023033	ENSMUST00000082209	U26707_s_at
ENSMUSG00000039512	ENSMUST00000114849	aa274832_at
ENSMUSG00000079043	ENSMUST00000110262	aa114714_s_at
ENSMUSG00000079043	ENSMUST00000179273	aa114714_s_at
ENSMUSG00000025902	ENSMUST00000027035	d49473_s_at
ENSMUSG00000025902	ENSMUST00000195555	d49473_s_at
ENSMUSG00000025902	ENSMUST00000192650	d49473_s_at
ENSMUSG00000025902	ENSMUST00000192505	d49473_s_at
ENSMUSG00000025902	ENSMUST00000191647	d49473_s_at
ENSMUSG00000025902	ENSMUST00000191939	d49473_s_at
ENSMUSG00000025902	ENSMUST00000192913	d49473_s_at
ENSMUSG00000051159	ENSMUST00000050551	U65091_s_at
ENSMUSG00000051159	ENSMUST00000101336	U65091_s_at
ENSMUSG00000051159	ENSMUST00000134887	U65091_s_at
ENSMUSG00000051159	ENSMUST00000130589	U65091_s_at
ENSMUSG00000051159	ENSMUST00000136277	U65091_s_at
ENSMUSG00000074649	ENSMUST00000124586	AA164044_s_at
ENSMUSG00000036478	ENSMUST00000038377	l16846_f_at
ENSMUSG00000021645	ENSMUST00000022147	u63294_s_at
ENSMUSG00000021645	ENSMUST00000147306	u63294_s_at
ENSMUSG00000021645	ENSMUST00000135355	u63294_s_at
ENSMUSG00000040659	ENSMUST00000036854	aa409826_rc_s_at
ENSMUSG00000067010	ENSMUST00000176594	AF011426_at
ENSMUSG00000067010	ENSMUST00000079163	AF011426_at
ENSMUSG00000067010	ENSMUST00000232815	AF011426_at
ENSMUSG00000067010	ENSMUST00000233053	AF011426_at
ENSMUSG00000039997	ENSMUST00000123708	af022371_s_at
ENSMUSG00000039997	ENSMUST00000156895	af022371_s_at
ENSMUSG00000039997	ENSMUST00000128430	af022371_s_at
ENSMUSG00000039997	ENSMUST00000042228	af022371_s_at
ENSMUSG00000039997	ENSMUST00000081216	af022371_s_at
ENSMUSG00000056515	ENSMUST00000070673	aa210359_s_at
ENSMUSG00000028057	ENSMUST00000029692	U71205_s_at
ENSMUSG00000028057	ENSMUST00000170377	U71205_s_at
ENSMUSG00000028057	ENSMUST00000166234	U71205_s_at
ENSMUSG00000028057	ENSMUST00000172333	U71205_s_at
ENSMUSG00000028057	ENSMUST00000172252	U71205_s_at
ENSMUSG00000043962	ENSMUST00000080919	aa175935_s_at
ENSMUSG00000043962	ENSMUST00000140390	aa175935_s_at
ENSMUSG00000043962	ENSMUST00000163459	aa175935_s_at
ENSMUSG00000043962	ENSMUST00000154702	aa175935_s_at
ENSMUSG00000083928	ENSMUST00000118899	C79184_rc_s_at
ENSMUSG00000040314	ENSMUST00000015583	m96801_s_at
ENSMUSG00000040314	ENSMUST00000225312	m96801_s_at
ENSMUSG00000005483	ENSMUST00000005620	aa266407_s_at
ENSMUSG00000005483	ENSMUST00000005620	aa542147_s_at
ENSMUSG00000005483	ENSMUST00000212300	aa266407_s_at
ENSMUSG00000005483	ENSMUST00000212300	aa542147_s_at
ENSMUSG00000052160	ENSMUST00000063888	AA189702_at
ENSMUSG00000052160	ENSMUST00000221115	AA189702_at
ENSMUSG00000052160	ENSMUST00000222886	AA189702_at
ENSMUSG00000054889	ENSMUST00000124830	aa600542_s_at
ENSMUSG00000054889	ENSMUST00000124830	aa690887_at
ENSMUSG00000054889	ENSMUST00000127906	aa600542_s_at
ENSMUSG00000054889	ENSMUST00000127906	aa690887_at
ENSMUSG00000023940	ENSMUST00000024736	aa184798_at
ENSMUSG00000028034	ENSMUST00000166984	AA709728_at
ENSMUSG00000028034	ENSMUST00000166984	aa177799_g_at
ENSMUSG00000028034	ENSMUST00000166984	aa177799_at
ENSMUSG00000028034	ENSMUST00000200524	AA709728_at
ENSMUSG00000028034	ENSMUST00000196739	AA709728_at
ENSMUSG00000028034	ENSMUST00000196695	AA709728_at
ENSMUSG00000028034	ENSMUST00000199876	AA709728_at
ENSMUSG00000028034	ENSMUST00000199876	aa177799_g_at
ENSMUSG00000028034	ENSMUST00000199876	aa177799_at
ENSMUSG00000028034	ENSMUST00000200452	AA709728_at
ENSMUSG00000028034	ENSMUST00000199918	AA709728_at
ENSMUSG00000028034	ENSMUST00000198405	AA709728_at
ENSMUSG00000028034	ENSMUST00000198539	AA709728_at
ENSMUSG00000028034	ENSMUST00000198539	aa177799_g_at
ENSMUSG00000028034	ENSMUST00000198539	aa177799_at
ENSMUSG00000028034	ENSMUST00000198046	AA709728_at
ENSMUSG00000028034	ENSMUST00000200207	AA709728_at
ENSMUSG00000028034	ENSMUST00000106121	AA709728_at
ENSMUSG00000059256	ENSMUST00000082093	u66472_f_at
ENSMUSG00000025858	ENSMUST00000026976	aa474352_s_at
ENSMUSG00000025858	ENSMUST00000124420	aa474352_s_at
ENSMUSG00000023952	ENSMUST00000169383	AA189304_s_at
ENSMUSG00000023952	ENSMUST00000024748	AA189304_s_at
ENSMUSG00000023952	ENSMUST00000172170	AA189304_s_at
ENSMUSG00000023952	ENSMUST00000169778	AA189304_s_at
ENSMUSG00000023952	ENSMUST00000169798	AA189304_s_at
ENSMUSG00000023952	ENSMUST00000167681	AA189304_s_at
ENSMUSG00000023952	ENSMUST00000166663	AA189304_s_at
ENSMUSG00000016921	ENSMUST00000193611	aa240359_s_at
ENSMUSG00000016921	ENSMUST00000130411	aa240359_s_at
ENSMUSG00000016921	ENSMUST00000017065	aa240359_s_at
ENSMUSG00000010608	ENSMUST00000048155	aa286536_s_at
ENSMUSG00000010608	ENSMUST00000182450	aa286536_s_at
ENSMUSG00000026630	ENSMUST00000194833	aa711915_at
ENSMUSG00000026630	ENSMUST00000194833	aa711915_g_at
ENSMUSG00000026630	ENSMUST00000193771	aa711915_at
ENSMUSG00000026630	ENSMUST00000193771	aa711915_g_at
ENSMUSG00000026630	ENSMUST00000027943	aa711915_at
ENSMUSG00000026630	ENSMUST00000027943	aa711915_g_at
ENSMUSG00000026630	ENSMUST00000192268	aa711915_at
ENSMUSG00000026630	ENSMUST00000192268	aa711915_g_at
ENSMUSG00000026630	ENSMUST00000191621	aa711915_at
ENSMUSG00000026630	ENSMUST00000191621	aa711915_g_at
ENSMUSG00000026751	ENSMUST00000112883	ab000490_at
ENSMUSG00000026751	ENSMUST00000028084	ab000490_at
ENSMUSG00000041459	ENSMUST00000084125	aa120443_s_at
ENSMUSG00000041459	ENSMUST00000084125	aa000380_s_at
ENSMUSG00000041459	ENSMUST00000188134	aa120443_s_at
ENSMUSG00000041459	ENSMUST00000186729	aa120443_s_at
ENSMUSG00000041459	ENSMUST00000189041	aa120443_s_at
ENSMUSG00000041459	ENSMUST00000187937	aa000380_s_at
ENSMUSG00000041459	ENSMUST00000186317	aa120443_s_at
ENSMUSG00000041459	ENSMUST00000045180	aa120443_s_at
