Gene stable ID	Transcript stable ID	AFFY HG U95A probe
ENSG00000276536	ENST00000632658	1590_s_at
ENSG00000276536	ENST00000615062	35701_at
ENSG00000276536	ENST00000615062	1590_s_at
ENSG00000276536	ENST00000632849	35701_at
ENSG00000276536	ENST00000632849	1590_s_at
ENSG00000276536	ENST00000633137	1590_s_at
ENSG00000276536	ENST00000633700	1590_s_at
ENSG00000276536	ENST00000616241	35701_at
ENSG00000276536	ENST00000616241	1590_s_at
ENSG00000276536	ENST00000610977	35701_at
ENSG00000276536	ENST00000610977	1590_s_at
ENSG00000275349	ENST00000629122	37313_at
ENSG00000275349	ENST00000628353	37313_at
ENSG00000275349	ENST00000628043	37313_at
ENSG00000275349	ENST00000630432	37313_at
ENSG00000275349	ENST00000626580	37313_at
ENSG00000276068	ENST00000626150	37277_at
ENSG00000276068	ENST00000625431	37277_at
ENSG00000276068	ENST00000619206	37277_at
ENSG00000273397	ENST00000630971	38983_at
ENSG00000273397	ENST00000605927	38983_at
ENSG00000273859	ENST00000631421	40359_at
ENSG00000273859	ENST00000620201	40359_at
ENSG00000273859	ENST00000632673	40359_at
ENSG00000273859	ENST00000622100	40359_at
ENSG00000273859	ENST00000622905	40359_at
ENSG00000273859	ENST00000632833	40359_at
ENSG00000277365	ENST00000628740	38983_at
ENSG00000277365	ENST00000610887	38983_at
ENSG00000276016	ENST00000613981	39058_at
ENSG00000276016	ENST00000628336	39058_at
ENSG00000276016	ENST00000620170	39058_at
ENSG00000272532	ENST00000607853	38507_at
ENSG00000272532	ENST00000619390	38507_at
ENSG00000275272	ENST00000615500	39897_at
ENSG00000275272	ENST00000613637	39897_at
ENSG00000275272	ENST00000627168	39897_at
ENSG00000275211	ENST00000625976	38507_at
ENSG00000275211	ENST00000615454	38507_at
ENSG00000275211	ENST00000628592	38507_at
ENSG00000275211	ENST00000612990	38507_at
ENSG00000275338	ENST00000611004	41636_at
ENSG00000275338	ENST00000633920	41636_at
ENSG00000275338	ENST00000610934	41636_at
ENSG00000276910	ENST00000628423	33715_r_at
ENSG00000276910	ENST00000425596	33715_r_at
ENSG00000276910	ENST00000612581	33715_r_at
ENSG00000276910	ENST00000630101	33715_r_at
ENSG00000276910	ENST00000630141	33715_r_at
ENSG00000272000	ENST00000607223	38507_at
ENSG00000272000	ENST00000606649	38507_at
ENSG00000272765	ENST00000605916	38983_at
ENSG00000277132	ENST00000611777	33069_f_at
ENSG00000277132	ENST00000611777	33068_f_at
ENSG00000276429	ENST00000627854	35454_at
ENSG00000276429	ENST00000626246	35454_at
ENSG00000276429	ENST00000627279	35454_at
ENSG00000276429	ENST00000625637	35454_at
ENSG00000276429	ENST00000627778	35454_at
ENSG00000276429	ENST00000620687	35454_at
ENSG00000262024	ENST00000574943	33794_g_at
ENSG00000262024	ENST00000574943	33795_at
ENSG00000262024	ENST00000574943	33793_at
ENSG00000262024	ENST00000576946	33794_g_at
ENSG00000262024	ENST00000576946	33793_at
ENSG00000262024	ENST00000574269	33794_g_at
ENSG00000262024	ENST00000574269	33793_at
ENSG00000276461	ENST00000621408	33794_g_at
ENSG00000276461	ENST00000621408	33795_at
ENSG00000276461	ENST00000621408	33793_at
ENSG00000276461	ENST00000619505	33794_g_at
ENSG00000276461	ENST00000619505	33793_at
ENSG00000276461	ENST00000627133	33794_g_at
ENSG00000276461	ENST00000627133	33793_at
ENSG00000273936	ENST00000621877	39424_at
ENSG00000273936	ENST00000617968	39424_at
ENSG00000273936	ENST00000630160	39424_at
ENSG00000273936	ENST00000625292	39424_at
ENSG00000273936	ENST00000627817	39424_at
ENSG00000273936	ENST00000629696	39424_at
ENSG00000276561	ENST00000631879	36412_s_at
ENSG00000276561	ENST00000633943	36412_s_at
ENSG00000276561	ENST00000621391	36412_s_at
ENSG00000276561	ENST00000633274	36412_s_at
ENSG00000276561	ENST00000632753	36412_s_at
ENSG00000276561	ENST00000634105	36412_s_at
ENSG00000276561	ENST00000633006	36412_s_at
ENSG00000276561	ENST00000632827	36412_s_at
ENSG00000276561	ENST00000632194	36412_s_at
ENSG00000276561	ENST00000632853	36412_s_at
ENSG00000276561	ENST00000633855	36412_s_at
ENSG00000276561	ENST00000612534	36412_s_at
ENSG00000276561	ENST00000617397	36412_s_at
ENSG00000281650	ENST00000627823	41642_at
ENSG00000276421	ENST00000612749	40905_s_at
ENSG00000276421	ENST00000616732	40905_s_at
ENSG00000275979	ENST00000611252	38310_at
ENSG00000275979	ENST00000619567	38310_at
ENSG00000275979	ENST00000619557	38310_at
ENSG00000261905	ENST00000573136	40890_at
ENSG00000263231	ENST00000575568	40889_at
ENSG00000263037	ENST00000573868	40890_at
ENSG00000262446	ENST00000572338	32632_g_at
ENSG00000262446	ENST00000572338	40889_at
ENSG00000262446	ENST00000574670	32632_g_at
ENSG00000262446	ENST00000574670	40889_at
ENSG00000262446	ENST00000571897	32632_g_at
ENSG00000262446	ENST00000571897	40889_at
ENSG00000262446	ENST00000570340	32632_g_at
ENSG00000262446	ENST00000570340	40889_at
ENSG00000262446	ENST00000574935	32632_g_at
ENSG00000262446	ENST00000574935	40889_at
ENSG00000262446	ENST00000576421	32632_g_at
ENSG00000262446	ENST00000576421	40889_at
ENSG00000262446	ENST00000613861	32632_g_at
ENSG00000262446	ENST00000613861	40889_at
ENSG00000262446	ENST00000618489	32632_g_at
ENSG00000262446	ENST00000618489	40889_at
ENSG00000277733	ENST00000621875	180_at
ENSG00000277733	ENST00000621875	181_g_at
ENSG00000277733	ENST00000621146	180_at
ENSG00000277733	ENST00000621146	181_g_at
ENSG00000277733	ENST00000612567	180_at
ENSG00000277733	ENST00000612567	181_g_at
ENSG00000278081	ENST00000610953	31511_at
ENSG00000278081	ENST00000630852	31511_at
ENSG00000262635	ENST00000573403	38606_at
ENSG00000262635	ENST00000576270	38606_at
ENSG00000262635	ENST00000573999	38606_at
ENSG00000277154	ENST00000621588	40905_s_at
ENSG00000277154	ENST00000610903	40905_s_at
ENSG00000276825	ENST00000611962	35042_at
ENSG00000276825	ENST00000633789	35042_at
ENSG00000263238	ENST00000573499	36915_at
ENSG00000282712	ENST00000632113	35771_at
ENSG00000282712	ENST00000634067	35771_at
ENSG00000282712	ENST00000633019	35771_at
ENSG00000282712	ENST00000634194	35771_at
ENSG00000262666	ENST00000574749	33740_at
ENSG00000262666	ENST00000570577	33740_at
ENSG00000262666	ENST00000572488	33740_at
ENSG00000262666	ENST00000575430	33740_at
ENSG00000262666	ENST00000573675	33740_at
ENSG00000262666	ENST00000574503	33740_at
ENSG00000226347	ENST00000457762	31433_at
ENSG00000277114	ENST00000619316	38310_at
ENSG00000277114	ENST00000617936	38310_at
ENSG00000277114	ENST00000615034	38310_at
ENSG00000277114	ENST00000622080	38310_at
ENSG00000277114	ENST00000618130	38310_at
ENSG00000277114	ENST00000617371	38310_at
ENSG00000277114	ENST00000620060	38310_at
ENSG00000277114	ENST00000618405	38310_at
ENSG00000277114	ENST00000616102	38310_at
ENSG00000274392	ENST00000625650	37884_f_at
ENSG00000274392	ENST00000619425	37884_f_at
ENSG00000274392	ENST00000619425	37885_at
ENSG00000274392	ENST00000628488	37885_at
ENSG00000274362	ENST00000617372	37885_at
ENSG00000224395	ENST00000458051	31590_g_at
ENSG00000224395	ENST00000458051	34136_s_at
ENSG00000224395	ENST00000458051	34137_at
ENSG00000224395	ENST00000435958	31590_g_at
ENSG00000224395	ENST00000435958	34136_s_at
ENSG00000224395	ENST00000435958	34137_at
ENSG00000224395	ENST00000415581	31590_g_at
ENSG00000224395	ENST00000415581	34136_s_at
ENSG00000224395	ENST00000494944	31590_g_at
ENSG00000224395	ENST00000494944	34136_s_at
ENSG00000224395	ENST00000494944	34137_at
ENSG00000224395	ENST00000486630	31590_g_at
ENSG00000224395	ENST00000486630	34136_s_at
ENSG00000224395	ENST00000486630	34137_at
ENSG00000224395	ENST00000438840	31590_g_at
ENSG00000224395	ENST00000438840	34136_s_at
ENSG00000275117	ENST00000622387	40905_s_at
ENSG00000275117	ENST00000619956	40905_s_at
ENSG00000215641	ENST00000400720	40176_at
ENSG00000215641	ENST00000400720	1843_at
ENSG00000215641	ENST00000417660	40176_at
ENSG00000215641	ENST00000417660	1843_at
ENSG00000215641	ENST00000487609	40176_at
ENSG00000215641	ENST00000487609	1843_at
ENSG00000215641	ENST00000430208	40176_at
ENSG00000215641	ENST00000430208	1843_at
ENSG00000215641	ENST00000495323	40176_at
ENSG00000215641	ENST00000495323	1843_at
ENSG00000275444	ENST00000617136	32464_at
ENSG00000237051	ENST00000418225	32623_at
ENSG00000237051	ENST00000458612	32623_at
ENSG00000237051	ENST00000440316	32623_at
ENSG00000237051	ENST00000473033	32623_at
ENSG00000237051	ENST00000448754	39959_at
ENSG00000237051	ENST00000464091	32623_at
ENSG00000237051	ENST00000496077	32623_at
ENSG00000277824	ENST00000615717	34040_s_at
ENSG00000277824	ENST00000617861	34040_s_at
ENSG00000277824	ENST00000617145	34040_s_at
ENSG00000277824	ENST00000613768	34040_s_at
ENSG00000277707	ENST00000622636	40905_s_at
ENSG00000277707	ENST00000620861	40905_s_at
ENSG00000274405	ENST00000615672	39606_at
ENSG00000274405	ENST00000620054	39606_at
ENSG00000274405	ENST00000613163	39606_at
ENSG00000274405	ENST00000617162	39606_at
ENSG00000274405	ENST00000617378	39606_at
ENSG00000274176	ENST00000612924	38310_at
ENSG00000274176	ENST00000614649	38310_at
ENSG00000274176	ENST00000617218	38310_at
ENSG00000263290	ENST00000572538	32799_at
ENSG00000263290	ENST00000570831	32799_at
ENSG00000263290	ENST00000573013	32799_at
ENSG00000263290	ENST00000572736	32799_at
ENSG00000263290	ENST00000574126	32799_at
ENSG00000263290	ENST00000576213	32799_at
ENSG00000263290	ENST00000571844	32799_at
ENSG00000274109	ENST00000619361	32408_s_at
ENSG00000274616	ENST00000616264	38310_at
ENSG00000274616	ENST00000618717	38310_at
ENSG00000274616	ENST00000615629	38310_at
ENSG00000274616	ENST00000621174	38310_at
ENSG00000274616	ENST00000615038	38310_at
ENSG00000274616	ENST00000612466	38310_at
ENSG00000274616	ENST00000613636	38310_at
ENSG00000274616	ENST00000615030	38310_at
ENSG00000274616	ENST00000616359	38310_at
ENSG00000273865	ENST00000613240	32408_s_at
ENSG00000229006	ENST00000431123	40176_at
ENSG00000229006	ENST00000431123	1843_at
ENSG00000229006	ENST00000452265	40176_at
ENSG00000229006	ENST00000452265	1843_at
ENSG00000229006	ENST00000437383	40176_at
ENSG00000229006	ENST00000437383	1843_at
ENSG00000229006	ENST00000468047	40176_at
ENSG00000229006	ENST00000468047	1843_at
ENSG00000229006	ENST00000472315	40176_at
ENSG00000229006	ENST00000472315	1843_at
ENSG00000276935	ENST00000617012	180_at
ENSG00000276935	ENST00000617012	181_g_at
ENSG00000276935	ENST00000622772	180_at
ENSG00000276935	ENST00000622772	181_g_at
ENSG00000276935	ENST00000613056	180_at
ENSG00000276935	ENST00000613056	181_g_at
ENSG00000276935	ENST00000619104	180_at
ENSG00000276935	ENST00000619104	181_g_at
ENSG00000276935	ENST00000614279	180_at
ENSG00000276935	ENST00000614279	181_g_at
ENSG00000261893	ENST00000572269	646_s_at
ENSG00000261893	ENST00000574445	646_s_at
ENSG00000261893	ENST00000570717	646_s_at
ENSG00000261893	ENST00000576584	646_s_at
ENSG00000261893	ENST00000574877	646_s_at
ENSG00000233948	ENST00000445968	40176_at
ENSG00000233948	ENST00000445968	1843_at
ENSG00000233948	ENST00000440169	40176_at
ENSG00000233948	ENST00000440169	1843_at
ENSG00000233948	ENST00000443804	40176_at
ENSG00000233948	ENST00000443804	1843_at
ENSG00000233948	ENST00000493318	40176_at
ENSG00000233948	ENST00000493318	1843_at
ENSG00000233948	ENST00000468364	40176_at
ENSG00000233948	ENST00000468364	1843_at
ENSG00000234746	ENST00000427744	31433_at
ENSG00000278322	ENST00000621612	180_at
ENSG00000278322	ENST00000621612	181_g_at
ENSG00000278322	ENST00000611602	180_at
ENSG00000278322	ENST00000611602	181_g_at
ENSG00000278322	ENST00000620636	180_at
ENSG00000278322	ENST00000620636	181_g_at
ENSG00000206516	ENST00000400713	31590_g_at
ENSG00000206516	ENST00000400713	34136_s_at
ENSG00000206516	ENST00000400713	34137_at
ENSG00000206516	ENST00000400714	31590_g_at
ENSG00000206516	ENST00000400714	34136_s_at
ENSG00000206516	ENST00000400714	34137_at
ENSG00000206516	ENST00000383644	31590_g_at
ENSG00000206516	ENST00000383644	34136_s_at
ENSG00000206516	ENST00000461453	31590_g_at
ENSG00000206516	ENST00000461453	34136_s_at
ENSG00000206516	ENST00000461453	34137_at
ENSG00000206516	ENST00000460440	31590_g_at
ENSG00000206516	ENST00000460440	34136_s_at
ENSG00000206516	ENST00000460440	34137_at
ENSG00000206516	ENST00000400712	31590_g_at
ENSG00000206516	ENST00000400712	34136_s_at
ENSG00000274626	ENST00000616928	31511_at
ENSG00000274626	ENST00000626065	31511_at
ENSG00000196231	ENST00000358688	31433_at
ENSG00000206511	ENST00000383638	32623_at
ENSG00000206511	ENST00000383636	32623_at
ENSG00000206511	ENST00000383637	32623_at
ENSG00000206511	ENST00000486760	32623_at
ENSG00000206511	ENST00000495153	32623_at
ENSG00000206511	ENST00000383639	39959_at
ENSG00000206511	ENST00000483838	32623_at
ENSG00000273884	ENST00000615652	35094_f_at
ENSG00000273884	ENST00000615652	35095_r_at
ENSG00000273884	ENST00000615416	35094_f_at
ENSG00000226000	ENST00000415857	31433_at
ENSG00000282379	ENST00000633343	37977_at
ENSG00000282379	ENST00000631700	37977_at
ENSG00000282379	ENST00000634040	37977_at
ENSG00000282379	ENST00000631645	37977_at
ENSG00000282379	ENST00000632696	37977_at
ENSG00000282379	ENST00000631512	37977_at
ENSG00000282379	ENST00000631607	37977_at
ENSG00000206471	ENST00000400693	31590_g_at
ENSG00000206471	ENST00000400693	34136_s_at
ENSG00000206471	ENST00000400693	34137_at
ENSG00000206471	ENST00000400694	31590_g_at
ENSG00000206471	ENST00000400694	34136_s_at
ENSG00000206471	ENST00000400694	34137_at
ENSG00000206471	ENST00000383550	31590_g_at
ENSG00000206471	ENST00000383550	34136_s_at
ENSG00000206471	ENST00000490560	31590_g_at
ENSG00000206471	ENST00000490560	34136_s_at
ENSG00000206471	ENST00000490560	34137_at
ENSG00000206471	ENST00000483331	31590_g_at
ENSG00000206471	ENST00000483331	34136_s_at
ENSG00000206471	ENST00000483331	34137_at
ENSG00000206471	ENST00000400689	31590_g_at
ENSG00000206471	ENST00000400689	34136_s_at
ENSG00000237071	ENST00000435528	40176_at
ENSG00000237071	ENST00000435528	1843_at
ENSG00000237071	ENST00000427689	40176_at
ENSG00000237071	ENST00000427689	1843_at
ENSG00000237071	ENST00000453610	40176_at
ENSG00000237071	ENST00000453610	1843_at
ENSG00000237071	ENST00000485666	40176_at
ENSG00000237071	ENST00000485666	1843_at
ENSG00000237071	ENST00000478121	40176_at
ENSG00000237071	ENST00000478121	1843_at
ENSG00000234495	ENST00000437160	40176_at
ENSG00000234495	ENST00000437160	1843_at
ENSG00000234495	ENST00000412687	40176_at
ENSG00000234495	ENST00000412687	1843_at
ENSG00000234495	ENST00000417993	40176_at
ENSG00000234495	ENST00000417993	1843_at
ENSG00000234495	ENST00000459807	40176_at
ENSG00000234495	ENST00000459807	1843_at
ENSG00000234495	ENST00000494480	40176_at
ENSG00000234495	ENST00000494480	1843_at
ENSG00000276345	ENST00000612848	34358_at
ENSG00000262785	ENST00000571194	37077_at
ENSG00000262785	ENST00000572740	37077_at
ENSG00000229408	ENST00000449826	31590_g_at
ENSG00000229408	ENST00000449826	34136_s_at
ENSG00000229408	ENST00000449826	34137_at
ENSG00000229408	ENST00000439879	31590_g_at
ENSG00000229408	ENST00000439879	34136_s_at
ENSG00000229408	ENST00000439879	34137_at
ENSG00000229408	ENST00000446161	31590_g_at
ENSG00000229408	ENST00000446161	34136_s_at
ENSG00000229408	ENST00000498404	31590_g_at
ENSG00000229408	ENST00000498404	34136_s_at
ENSG00000229408	ENST00000498404	34137_at
ENSG00000229408	ENST00000488377	31590_g_at
ENSG00000229408	ENST00000488377	34136_s_at
ENSG00000229408	ENST00000488377	34137_at
ENSG00000229408	ENST00000418376	31590_g_at
ENSG00000229408	ENST00000418376	34136_s_at
ENSG00000273592	ENST00000614745	180_at
ENSG00000273592	ENST00000614745	181_g_at
ENSG00000273592	ENST00000619855	180_at
ENSG00000273592	ENST00000619855	181_g_at
ENSG00000273592	ENST00000610921	180_at
ENSG00000273592	ENST00000610921	181_g_at
ENSG00000273592	ENST00000614760	180_at
ENSG00000273592	ENST00000614760	181_g_at
ENSG00000273592	ENST00000620371	180_at
ENSG00000273592	ENST00000620371	181_g_at
ENSG00000206466	ENST00000383542	32623_at
ENSG00000206466	ENST00000383537	32623_at
ENSG00000206466	ENST00000383541	32623_at
ENSG00000206466	ENST00000498610	32623_at
ENSG00000206466	ENST00000383543	39959_at
ENSG00000206466	ENST00000493602	32623_at
ENSG00000206466	ENST00000471385	32623_at
ENSG00000274646	ENST00000620940	31511_at
ENSG00000274646	ENST00000615346	31511_at
ENSG00000274646	ENST00000616107	31511_at
ENSG00000274646	ENST00000610765	31511_at
ENSG00000274646	ENST00000610796	31511_at
