Gene stable ID	Transcript stable ID	AFFY MG U74C probe
ENSMUSG00000116965	ENSMUST00000231748	135273_at
ENSMUSG00000028546	ENSMUST00000106603	137513_at
ENSMUSG00000028546	ENSMUST00000102723	137513_at
ENSMUSG00000028546	ENSMUST00000106598	137513_at
ENSMUSG00000028546	ENSMUST00000106597	137513_at
ENSMUSG00000028546	ENSMUST00000102722	137513_at
ENSMUSG00000028546	ENSMUST00000106600	137513_at
ENSMUSG00000028546	ENSMUST00000106601	137513_at
ENSMUSG00000091685	ENSMUST00000195157	134125_at
ENSMUSG00000091685	ENSMUST00000199658	134125_at
ENSMUSG00000042182	ENSMUST00000115161	137994_f_at
ENSMUSG00000042182	ENSMUST00000129464	137994_f_at
ENSMUSG00000042182	ENSMUST00000062289	137994_f_at
ENSMUSG00000042182	ENSMUST00000126724	137723_at
ENSMUSG00000020687	ENSMUST00000093923	132740_r_at
ENSMUSG00000020687	ENSMUST00000106962	132740_r_at
ENSMUSG00000106825	ENSMUST00000201971	135414_at
ENSMUSG00000045744	ENSMUST00000054946	134023_at
ENSMUSG00000045744	ENSMUST00000238986	134023_at
ENSMUSG00000045744	ENSMUST00000164508	134023_at
ENSMUSG00000026632	ENSMUST00000153757	134760_at
ENSMUSG00000002007	ENSMUST00000136664	131745_f_at
ENSMUSG00000002007	ENSMUST00000137045	131745_f_at
ENSMUSG00000002007	ENSMUST00000139630	131745_f_at
ENSMUSG00000029403	ENSMUST00000069937	139499_at
ENSMUSG00000029403	ENSMUST00000086978	139499_at
ENSMUSG00000029403	ENSMUST00000113143	139499_at
ENSMUSG00000029403	ENSMUST00000113140	139499_at
ENSMUSG00000029403	ENSMUST00000201357	139499_at
ENSMUSG00000062372	ENSMUST00000114747	133867_at
ENSMUSG00000062372	ENSMUST00000074171	133867_at
ENSMUSG00000062372	ENSMUST00000144125	133867_at
ENSMUSG00000062372	ENSMUST00000150734	133867_at
ENSMUSG00000038765	ENSMUST00000041730	135800_at
ENSMUSG00000098212	ENSMUST00000182397	137089_r_at
ENSMUSG00000039639	ENSMUST00000051705	134393_at
ENSMUSG00000021779	ENSMUST00000022303	133706_r_at
ENSMUSG00000021779	ENSMUST00000022304	133706_r_at
ENSMUSG00000031949	ENSMUST00000139820	140426_at
ENSMUSG00000027300	ENSMUST00000028761	139126_at
ENSMUSG00000023033	ENSMUST00000201518	133343_at
ENSMUSG00000023033	ENSMUST00000108909	138007_at
ENSMUSG00000023033	ENSMUST00000108909	135307_at
ENSMUSG00000023033	ENSMUST00000201438	135787_at
ENSMUSG00000023033	ENSMUST00000108910	138007_at
ENSMUSG00000023033	ENSMUST00000108910	135307_at
ENSMUSG00000023033	ENSMUST00000082209	138007_at
ENSMUSG00000023033	ENSMUST00000082209	135307_at
ENSMUSG00000025509	ENSMUST00000164016	133073_r_at
ENSMUSG00000025509	ENSMUST00000026583	133073_r_at
ENSMUSG00000025509	ENSMUST00000164924	133073_r_at
ENSMUSG00000023153	ENSMUST00000131599	129231_at
ENSMUSG00000023153	ENSMUST00000023920	129231_at
ENSMUSG00000023153	ENSMUST00000145796	129231_at
ENSMUSG00000023153	ENSMUST00000178188	129231_at
ENSMUSG00000023153	ENSMUST00000178238	129231_at
ENSMUSG00000035506	ENSMUST00000121925	134291_at
ENSMUSG00000035506	ENSMUST00000122427	134291_at
ENSMUSG00000035506	ENSMUST00000119173	134291_at
ENSMUSG00000035506	ENSMUST00000122314	134291_at
ENSMUSG00000035506	ENSMUST00000117134	134291_at
ENSMUSG00000035506	ENSMUST00000059056	134291_at
ENSMUSG00000031965	ENSMUST00000166018	130790_s_at
ENSMUSG00000028979	ENSMUST00000052060	131693_at
ENSMUSG00000025137	ENSMUST00000126148	139034_at
ENSMUSG00000025137	ENSMUST00000160059	139034_at
ENSMUSG00000045275	ENSMUST00000113804	134593_at
ENSMUSG00000045275	ENSMUST00000233151	134593_at
ENSMUSG00000045275	ENSMUST00000142620	134593_at
ENSMUSG00000045275	ENSMUST00000054855	134593_at
ENSMUSG00000024039	ENSMUST00000236853	130704_f_at
ENSMUSG00000027613	ENSMUST00000109638	137639_at
ENSMUSG00000021583	ENSMUST00000169114	132697_f_at
ENSMUSG00000032086	ENSMUST00000078111	140486_at
ENSMUSG00000032086	ENSMUST00000078111	132443_at
ENSMUSG00000032086	ENSMUST00000034591	140486_at
ENSMUSG00000032086	ENSMUST00000034591	132443_at
ENSMUSG00000032086	ENSMUST00000159970	140486_at
ENSMUSG00000032086	ENSMUST00000159970	132443_at
ENSMUSG00000051674	ENSMUST00000087181	138089_at
ENSMUSG00000051674	ENSMUST00000113558	138089_at
ENSMUSG00000051674	ENSMUST00000063882	138089_at
ENSMUSG00000065954	ENSMUST00000210488	133434_at
ENSMUSG00000065954	ENSMUST00000211584	133434_at
ENSMUSG00000107898	ENSMUST00000205067	133375_at
ENSMUSG00000031928	ENSMUST00000115632	134757_at
ENSMUSG00000033114	ENSMUST00000099441	134666_at
ENSMUSG00000033114	ENSMUST00000221572	134666_at
ENSMUSG00000033114	ENSMUST00000223461	134666_at
ENSMUSG00000033114	ENSMUST00000222794	134666_at
ENSMUSG00000050600	ENSMUST00000059452	139161_at
ENSMUSG00000051652	ENSMUST00000057608	140641_at
ENSMUSG00000031134	ENSMUST00000133346	139841_at
ENSMUSG00000026572	ENSMUST00000027859	129022_at
ENSMUSG00000026572	ENSMUST00000161777	129022_at
ENSMUSG00000051705	ENSMUST00000051039	140548_at
ENSMUSG00000051705	ENSMUST00000163586	140548_at
ENSMUSG00000051705	ENSMUST00000216329	140548_at
ENSMUSG00000051705	ENSMUST00000217093	140548_at
ENSMUSG00000051705	ENSMUST00000213257	140548_at
ENSMUSG00000051705	ENSMUST00000177963	140548_at
ENSMUSG00000098137	ENSMUST00000182643	133210_r_at
ENSMUSG00000107522	ENSMUST00000203835	135588_at
ENSMUSG00000039096	ENSMUST00000040487	140194_at
ENSMUSG00000039096	ENSMUST00000132274	140194_at
ENSMUSG00000028862	ENSMUST00000134895	132416_s_at
ENSMUSG00000033105	ENSMUST00000048678	136392_at
ENSMUSG00000033105	ENSMUST00000160671	136392_at
ENSMUSG00000033105	ENSMUST00000162848	136392_at
ENSMUSG00000022401	ENSMUST00000163754	139018_at
ENSMUSG00000022401	ENSMUST00000041609	139018_at
ENSMUSG00000033066	ENSMUST00000041611	138480_at
ENSMUSG00000033066	ENSMUST00000108682	134626_r_at
ENSMUSG00000033066	ENSMUST00000108682	138480_at
ENSMUSG00000033066	ENSMUST00000108682	134625_i_at
ENSMUSG00000022682	ENSMUST00000230102	133314_at
ENSMUSG00000086555	ENSMUST00000124555	128886_at
ENSMUSG00000089817	ENSMUST00000161205	130326_at
ENSMUSG00000048794	ENSMUST00000153843	134702_at
ENSMUSG00000048794	ENSMUST00000062750	134702_at
ENSMUSG00000048794	ENSMUST00000165673	134702_at
ENSMUSG00000040620	ENSMUST00000108527	134323_at
ENSMUSG00000040620	ENSMUST00000146203	134323_at
ENSMUSG00000040620	ENSMUST00000049048	134323_at
ENSMUSG00000040620	ENSMUST00000124464	134323_at
ENSMUSG00000035878	ENSMUST00000125983	131646_at
ENSMUSG00000034457	ENSMUST00000037353	134622_f_at
ENSMUSG00000107464	ENSMUST00000203317	129385_r_at
ENSMUSG00000034731	ENSMUST00000226342	138363_at
ENSMUSG00000034731	ENSMUST00000227537	138363_at
ENSMUSG00000034731	ENSMUST00000228362	138363_at
ENSMUSG00000105811	ENSMUST00000196668	130130_at
ENSMUSG00000068696	ENSMUST00000090473	139171_at
ENSMUSG00000068696	ENSMUST00000197759	139171_at
ENSMUSG00000068696	ENSMUST00000199128	139171_at
ENSMUSG00000034430	ENSMUST00000075117	136094_at
ENSMUSG00000028680	ENSMUST00000126135	129178_i_at
ENSMUSG00000028680	ENSMUST00000076859	129178_i_at
ENSMUSG00000028680	ENSMUST00000147730	129178_i_at
ENSMUSG00000055371	ENSMUST00000127316	136689_at
ENSMUSG00000021182	ENSMUST00000068411	133171_at
ENSMUSG00000022722	ENSMUST00000023405	132026_at
ENSMUSG00000022722	ENSMUST00000099646	132026_at
ENSMUSG00000097545	ENSMUST00000180610	138139_at
ENSMUSG00000097545	ENSMUST00000180610	133118_at
ENSMUSG00000032580	ENSMUST00000182659	130469_s_at
ENSMUSG00000032580	ENSMUST00000183307	130469_s_at
ENSMUSG00000032580	ENSMUST00000182371	130469_s_at
ENSMUSG00000032580	ENSMUST00000035199	130469_s_at
ENSMUSG00000032580	ENSMUST00000182421	130469_s_at
ENSMUSG00000032580	ENSMUST00000193342	130469_s_at
ENSMUSG00000032580	ENSMUST00000192130	130469_s_at
ENSMUSG00000032580	ENSMUST00000182304	130469_s_at
ENSMUSG00000032580	ENSMUST00000182007	130469_s_at
ENSMUSG00000032580	ENSMUST00000182022	130469_s_at
ENSMUSG00000032580	ENSMUST00000183248	130469_s_at
ENSMUSG00000032580	ENSMUST00000182073	130469_s_at
ENSMUSG00000032580	ENSMUST00000182518	130469_s_at
ENSMUSG00000108722	ENSMUST00000205469	134167_at
ENSMUSG00000108722	ENSMUST00000206921	134167_at
ENSMUSG00000108722	ENSMUST00000205978	134167_at
ENSMUSG00000039849	ENSMUST00000041643	138542_at
ENSMUSG00000022311	ENSMUST00000160658	137719_at
ENSMUSG00000022311	ENSMUST00000162830	137719_at
ENSMUSG00000022311	ENSMUST00000161653	137719_at
ENSMUSG00000022311	ENSMUST00000162006	137719_at
ENSMUSG00000022311	ENSMUST00000100670	137719_at
ENSMUSG00000091623	ENSMUST00000166606	136741_at
ENSMUSG00000091623	ENSMUST00000046721	136741_at
ENSMUSG00000000568	ENSMUST00000172361	138461_at
ENSMUSG00000019699	ENSMUST00000111159	130967_f_at
ENSMUSG00000019699	ENSMUST00000111160	130967_f_at
ENSMUSG00000087521	ENSMUST00000140987	129270_at
ENSMUSG00000082701	ENSMUST00000121511	131914_at
ENSMUSG00000032057	ENSMUST00000170947	140972_f_at
ENSMUSG00000007989	ENSMUST00000131309	133258_s_at
ENSMUSG00000026626	ENSMUST00000067976	128603_r_at
ENSMUSG00000022216	ENSMUST00000174484	128898_f_at
ENSMUSG00000022216	ENSMUST00000174484	138112_at
ENSMUSG00000022216	ENSMUST00000174259	128898_f_at
ENSMUSG00000022216	ENSMUST00000172941	128898_f_at
ENSMUSG00000022216	ENSMUST00000172941	138112_at
ENSMUSG00000022216	ENSMUST00000173544	128898_f_at
ENSMUSG00000022216	ENSMUST00000173544	138112_at
ENSMUSG00000022216	ENSMUST00000174791	128898_f_at
ENSMUSG00000022216	ENSMUST00000174791	138112_at
ENSMUSG00000022216	ENSMUST00000228834	128898_f_at
ENSMUSG00000022216	ENSMUST00000173388	128898_f_at
ENSMUSG00000022216	ENSMUST00000174563	128898_f_at
ENSMUSG00000022216	ENSMUST00000174563	138112_at
ENSMUSG00000022216	ENSMUST00000172738	128898_f_at
ENSMUSG00000022216	ENSMUST00000172738	138112_at
ENSMUSG00000022216	ENSMUST00000089619	128898_f_at
ENSMUSG00000022216	ENSMUST00000089619	138112_at
ENSMUSG00000022216	ENSMUST00000174148	128898_f_at
ENSMUSG00000022216	ENSMUST00000174148	138112_at
ENSMUSG00000022216	ENSMUST00000173113	128898_f_at
ENSMUSG00000022216	ENSMUST00000173113	138112_at
ENSMUSG00000022216	ENSMUST00000174419	128898_f_at
ENSMUSG00000090203	ENSMUST00000159040	136092_at
ENSMUSG00000006818	ENSMUST00000007012	138502_at
ENSMUSG00000030532	ENSMUST00000032747	130319_at
ENSMUSG00000030532	ENSMUST00000205744	130319_at
ENSMUSG00000037204	ENSMUST00000048393	130711_i_at
ENSMUSG00000037204	ENSMUST00000048393	130712_f_at
ENSMUSG00000037204	ENSMUST00000230525	130711_i_at
ENSMUSG00000037204	ENSMUST00000230525	130712_f_at
ENSMUSG00000048581	ENSMUST00000061706	135310_f_at
ENSMUSG00000063382	ENSMUST00000218183	137077_at
ENSMUSG00000110613	ENSMUST00000211953	131869_at
ENSMUSG00000018401	ENSMUST00000103179	130988_f_at
ENSMUSG00000018401	ENSMUST00000092802	130988_f_at
ENSMUSG00000058076	ENSMUST00000111336	130962_r_at
ENSMUSG00000032245	ENSMUST00000138276	133501_at
ENSMUSG00000022110	ENSMUST00000162723	135225_at
ENSMUSG00000060380	ENSMUST00000213746	135034_at
ENSMUSG00000060380	ENSMUST00000217463	135034_at
ENSMUSG00000060380	ENSMUST00000136322	135034_at
ENSMUSG00000038886	ENSMUST00000205318	130968_at
ENSMUSG00000038886	ENSMUST00000098346	130968_at
ENSMUSG00000038886	ENSMUST00000206917	132133_at
ENSMUSG00000024539	ENSMUST00000122412	133095_at
ENSMUSG00000022174	ENSMUST00000022781	140391_at
ENSMUSG00000092413	ENSMUST00000221552	133989_at
ENSMUSG00000092413	ENSMUST00000223366	133989_at
ENSMUSG00000109188	ENSMUST00000207850	133989_at
ENSMUSG00000036086	ENSMUST00000086614	138533_at
ENSMUSG00000036086	ENSMUST00000086614	134133_at
ENSMUSG00000036086	ENSMUST00000112538	138533_at
ENSMUSG00000036086	ENSMUST00000112538	134133_at
ENSMUSG00000036086	ENSMUST00000097597	134133_at
ENSMUSG00000098097	ENSMUST00000183276	135311_at
ENSMUSG00000116116	ENSMUST00000231016	133048_at
ENSMUSG00000092364	ENSMUST00000172644	134155_at
ENSMUSG00000048200	ENSMUST00000165194	133073_r_at
ENSMUSG00000033701	ENSMUST00000035560	140448_at
ENSMUSG00000004665	ENSMUST00000004784	133264_at
ENSMUSG00000026571	ENSMUST00000193353	131136_at
ENSMUSG00000021242	ENSMUST00000021668	129125_at
ENSMUSG00000021242	ENSMUST00000223200	129125_at
ENSMUSG00000032572	ENSMUST00000149207	130999_f_at
ENSMUSG00000032572	ENSMUST00000149207	130998_i_at
ENSMUSG00000032572	ENSMUST00000218471	130999_f_at
ENSMUSG00000032572	ENSMUST00000218471	130998_i_at
ENSMUSG00000032572	ENSMUST00000121963	130999_f_at
ENSMUSG00000032572	ENSMUST00000121963	131119_at
ENSMUSG00000032572	ENSMUST00000121963	130998_i_at
ENSMUSG00000032572	ENSMUST00000137847	131119_at
ENSMUSG00000051354	ENSMUST00000220219	132116_at
ENSMUSG00000051354	ENSMUST00000060716	132116_at
ENSMUSG00000116898	ENSMUST00000231565	137517_at
ENSMUSG00000033845	ENSMUST00000130201	135304_at
ENSMUSG00000033845	ENSMUST00000156816	135304_at
ENSMUSG00000112639	ENSMUST00000217956	128523_at
ENSMUSG00000112639	ENSMUST00000217874	128523_at
ENSMUSG00000061080	ENSMUST00000187695	135748_at
ENSMUSG00000061080	ENSMUST00000099761	135748_at
ENSMUSG00000036357	ENSMUST00000057645	135331_at
ENSMUSG00000027849	ENSMUST00000132325	139531_at
ENSMUSG00000027849	ENSMUST00000117221	139531_at
ENSMUSG00000027849	ENSMUST00000090697	139531_at
ENSMUSG00000020258	ENSMUST00000036382	133793_at
ENSMUSG00000020258	ENSMUST00000112543	133793_at
ENSMUSG00000020258	ENSMUST00000217417	133793_at
ENSMUSG00000097081	ENSMUST00000181085	134989_f_at
ENSMUSG00000039804	ENSMUST00000040381	130504_r_at
ENSMUSG00000039804	ENSMUST00000121377	130504_r_at
ENSMUSG00000039804	ENSMUST00000122070	130504_r_at
ENSMUSG00000039804	ENSMUST00000153905	130774_at
ENSMUSG00000115289	ENSMUST00000226696	131700_at
ENSMUSG00000115289	ENSMUST00000228430	131700_at
ENSMUSG00000115289	ENSMUST00000228116	131700_at
ENSMUSG00000027010	ENSMUST00000151937	129870_at
ENSMUSG00000063971	ENSMUST00000023781	138799_at
ENSMUSG00000042121	ENSMUST00000159592	129268_at
ENSMUSG00000042121	ENSMUST00000112298	129268_at
ENSMUSG00000042121	ENSMUST00000162396	137727_at
ENSMUSG00000042121	ENSMUST00000162322	137727_at
ENSMUSG00000037395	ENSMUST00000110849	140329_at
ENSMUSG00000037395	ENSMUST00000073279	140329_at
ENSMUSG00000037395	ENSMUST00000192158	140329_at
ENSMUSG00000037395	ENSMUST00000194750	140329_at
ENSMUSG00000103256	ENSMUST00000194556	140535_r_at
ENSMUSG00000024673	ENSMUST00000169159	133531_at
ENSMUSG00000024673	ENSMUST00000185851	133531_at
ENSMUSG00000033597	ENSMUST00000024958	129867_at
ENSMUSG00000033597	ENSMUST00000234717	129867_at
ENSMUSG00000041757	ENSMUST00000038295	129094_r_at
ENSMUSG00000041757	ENSMUST00000190208	129094_r_at
ENSMUSG00000041757	ENSMUST00000105082	129094_r_at
ENSMUSG00000027994	ENSMUST00000153506	129247_at
ENSMUSG00000086775	ENSMUST00000131841	140217_at
ENSMUSG00000074527	ENSMUST00000134982	139275_at
ENSMUSG00000032376	ENSMUST00000127569	133687_at
ENSMUSG00000032376	ENSMUST00000139547	133687_at
ENSMUSG00000042605	ENSMUST00000162611	131352_r_at
ENSMUSG00000108049	ENSMUST00000204835	137346_at
ENSMUSG00000087461	ENSMUST00000149707	129420_at
ENSMUSG00000071753	ENSMUST00000232283	136259_at
ENSMUSG00000071753	ENSMUST00000144853	136259_at
ENSMUSG00000071753	ENSMUST00000140023	136259_at
ENSMUSG00000071753	ENSMUST00000125930	136259_at
ENSMUSG00000071753	ENSMUST00000232525	136203_r_at
ENSMUSG00000071753	ENSMUST00000232525	136259_at
ENSMUSG00000071753	ENSMUST00000096426	136259_at
ENSMUSG00000021219	ENSMUST00000186848	129833_at
ENSMUSG00000021219	ENSMUST00000200911	129833_at
ENSMUSG00000021219	ENSMUST00000202210	129833_at
ENSMUSG00000021219	ENSMUST00000186458	129833_at
ENSMUSG00000021219	ENSMUST00000186081	129833_at
ENSMUSG00000021219	ENSMUST00000186323	129833_at
ENSMUSG00000021219	ENSMUST00000185674	129833_at
ENSMUSG00000051228	ENSMUST00000050434	131275_at
ENSMUSG00000059187	ENSMUST00000125951	138179_at
ENSMUSG00000113902	ENSMUST00000222608	133205_at
ENSMUSG00000031558	ENSMUST00000173107	133964_at
ENSMUSG00000029851	ENSMUST00000031879	130121_at
ENSMUSG00000118604	ENSMUST00000232361	136259_at
ENSMUSG00000066477	ENSMUST00000160979	133327_f_at
ENSMUSG00000066477	ENSMUST00000160017	133327_f_at
ENSMUSG00000066477	ENSMUST00000160842	133327_f_at
ENSMUSG00000101693	ENSMUST00000189590	135815_at
ENSMUSG00000078954	ENSMUST00000168811	129273_at
ENSMUSG00000078954	ENSMUST00000169075	129273_at
ENSMUSG00000078954	ENSMUST00000172307	129273_at
ENSMUSG00000078954	ENSMUST00000006029	129273_at
ENSMUSG00000072763	ENSMUST00000092720	140565_f_at
ENSMUSG00000085203	ENSMUST00000150252	135195_at
ENSMUSG00000087403	ENSMUST00000195280	140851_at
ENSMUSG00000087403	ENSMUST00000148326	140851_at
ENSMUSG00000087403	ENSMUST00000149098	140851_at
ENSMUSG00000087403	ENSMUST00000181635	140851_at
ENSMUSG00000060890	ENSMUST00000131906	129264_at
ENSMUSG00000027823	ENSMUST00000029405	138060_at
ENSMUSG00000106567	ENSMUST00000198927	135610_at
ENSMUSG00000079053	ENSMUST00000131961	136625_at
ENSMUSG00000105594	ENSMUST00000196584	136691_at
ENSMUSG00000117840	ENSMUST00000236587	131858_at
ENSMUSG00000118080	ENSMUST00000235808	131858_at
ENSMUSG00000037112	ENSMUST00000176824	140661_at
ENSMUSG00000084885	ENSMUST00000130625	139504_at
ENSMUSG00000084885	ENSMUST00000145515	139504_at
ENSMUSG00000084885	ENSMUST00000157022	139504_at
ENSMUSG00000001870	ENSMUST00000146839	129150_at
ENSMUSG00000032786	ENSMUST00000123115	132171_at
ENSMUSG00000032786	ENSMUST00000214989	132171_at
ENSMUSG00000032333	ENSMUST00000034883	131386_at
ENSMUSG00000032333	ENSMUST00000216877	131386_at
ENSMUSG00000032333	ENSMUST00000216864	131386_at
ENSMUSG00000056679	ENSMUST00000137840	136290_at
ENSMUSG00000038902	ENSMUST00000107270	134148_at
ENSMUSG00000038902	ENSMUST00000107269	134148_at
ENSMUSG00000085977	ENSMUST00000131638	137251_f_at
ENSMUSG00000034997	ENSMUST00000036653	135279_at
ENSMUSG00000022680	ENSMUST00000023361	137213_at
ENSMUSG00000022680	ENSMUST00000150435	137213_at
ENSMUSG00000022680	ENSMUST00000127432	137213_at
ENSMUSG00000022680	ENSMUST00000152450	137213_at
ENSMUSG00000019464	ENSMUST00000019608	128995_r_at
ENSMUSG00000019464	ENSMUST00000159935	128995_r_at
ENSMUSG00000019464	ENSMUST00000212519	128995_r_at
ENSMUSG00000051403	ENSMUST00000209190	130936_f_at
ENSMUSG00000051403	ENSMUST00000058444	130936_f_at
ENSMUSG00000051403	ENSMUST00000208678	130936_f_at
ENSMUSG00000033717	ENSMUST00000036700	131189_f_at
ENSMUSG00000033717	ENSMUST00000237285	131189_f_at
ENSMUSG00000110239	ENSMUST00000209980	130228_f_at
ENSMUSG00000117081	ENSMUST00000113795	128582_at
ENSMUSG00000061298	ENSMUST00000136433	136450_at
ENSMUSG00000000159	ENSMUST00000113794	128582_at
ENSMUSG00000000159	ENSMUST00000000163	128582_at
ENSMUSG00000000159	ENSMUST00000081093	128582_at
ENSMUSG00000000159	ENSMUST00000136292	128582_at
ENSMUSG00000091462	ENSMUST00000163843	130183_at
ENSMUSG00000050321	ENSMUST00000058829	138036_at
ENSMUSG00000050321	ENSMUST00000235167	138036_at
ENSMUSG00000021476	ENSMUST00000221904	139224_at
ENSMUSG00000021476	ENSMUST00000021929	139224_at
ENSMUSG00000021476	ENSMUST00000221264	139224_at
ENSMUSG00000021476	ENSMUST00000223328	139224_at
ENSMUSG00000034799	ENSMUST00000030170	140793_r_at
ENSMUSG00000091972	ENSMUST00000231658	135138_at
ENSMUSG00000054204	ENSMUST00000067087	138215_r_at
ENSMUSG00000021408	ENSMUST00000167374	130183_at
ENSMUSG00000023968	ENSMUST00000113465	129339_at
ENSMUSG00000023968	ENSMUST00000164180	129339_at
ENSMUSG00000023968	ENSMUST00000024764	129339_at
ENSMUSG00000023968	ENSMUST00000165993	129339_at
ENSMUSG00000023968	ENSMUST00000165811	129339_at
ENSMUSG00000023968	ENSMUST00000169441	129339_at
ENSMUSG00000023968	ENSMUST00000165750	129339_at
ENSMUSG00000047583	ENSMUST00000052774	131868_at
ENSMUSG00000047583	ENSMUST00000148680	131868_at
ENSMUSG00000047583	ENSMUST00000170461	131868_at
ENSMUSG00000025512	ENSMUST00000153191	139585_at
ENSMUSG00000025512	ENSMUST00000118694	139585_at
ENSMUSG00000025512	ENSMUST00000209452	139585_at
ENSMUSG00000025512	ENSMUST00000147610	139585_at
ENSMUSG00000025512	ENSMUST00000064642	139585_at
ENSMUSG00000025512	ENSMUST00000166082	139585_at
ENSMUSG00000025512	ENSMUST00000026586	139585_at
ENSMUSG00000034472	ENSMUST00000139848	131405_at
ENSMUSG00000035273	ENSMUST00000045617	131004_r_at
ENSMUSG00000035273	ENSMUST00000112908	131004_r_at
ENSMUSG00000041633	ENSMUST00000039424	133763_at
ENSMUSG00000041633	ENSMUST00000112572	133763_at
ENSMUSG00000024542	ENSMUST00000025425	133270_at
ENSMUSG00000024542	ENSMUST00000225077	133270_at
ENSMUSG00000027506	ENSMUST00000120143	130178_at
ENSMUSG00000027506	ENSMUST00000091355	130178_at
ENSMUSG00000027506	ENSMUST00000091354	130178_at
ENSMUSG00000034807	ENSMUST00000212706	135593_at
ENSMUSG00000024672	ENSMUST00000025574	139422_at
