Gene stable ID	Transcript stable ID	AFFY HG U95E probe
ENSG00000276910	ENST00000625259	89507_at
ENSG00000276910	ENST00000626973	89507_at
ENSG00000276910	ENST00000628942	89507_at
ENSG00000276910	ENST00000625641	89507_at
ENSG00000276910	ENST00000629727	89507_at
ENSG00000276910	ENST00000626970	89507_at
ENSG00000276910	ENST00000626950	89507_at
ENSG00000281794	ENST00000631119	67709_at
ENSG00000280993	ENST00000628299	67709_at
ENSG00000272901	ENST00000571525	77862_at
ENSG00000278061	ENST00000294916	73455_f_at
ENSG00000275430	ENST00000630773	67709_at
ENSG00000281630	ENST00000628798	67709_at
ENSG00000275190	ENST00000615213	84404_f_at
ENSG00000275190	ENST00000615213	84407_r_at
ENSG00000275190	ENST00000627047	84404_f_at
ENSG00000275190	ENST00000627047	84407_r_at
ENSG00000278216	ENST00000611042	88743_at
ENSG00000278216	ENST00000626124	88743_at
ENSG00000273494	ENST00000629615	78976_at
ENSG00000276159	ENST00000610794	74937_at
ENSG00000281580	ENST00000626986	82718_s_at
ENSG00000281580	ENST00000629963	82718_s_at
ENSG00000281580	ENST00000625567	82718_s_at
ENSG00000274843	ENST00000630912	67709_at
ENSG00000278114	ENST00000626323	67709_at
ENSG00000281603	ENST00000628487	67709_at
ENSG00000281650	ENST00000627823	77461_at
ENSG00000275330	ENST00000611293	74937_at
ENSG00000273572	ENST00000633633	78328_at
ENSG00000273572	ENST00000633633	75882_at
ENSG00000273572	ENST00000631565	78328_at
ENSG00000273572	ENST00000631565	75882_at
ENSG00000273572	ENST00000619215	78328_at
ENSG00000273572	ENST00000617105	78328_at
ENSG00000273572	ENST00000617105	75882_at
ENSG00000277457	ENST00000616816	84668_at
ENSG00000275577	ENST00000612105	74937_at
ENSG00000276342	ENST00000625459	75728_at
ENSG00000276342	ENST00000620158	75728_at
ENSG00000274887	ENST00000610804	74937_at
ENSG00000277753	ENST00000627110	67709_at
ENSG00000277808	ENST00000616103	84668_at
ENSG00000237051	ENST00000418225	86077_i_at
ENSG00000237051	ENST00000458612	86077_i_at
ENSG00000237051	ENST00000440316	86077_i_at
ENSG00000237051	ENST00000496339	86077_i_at
ENSG00000237051	ENST00000448754	86077_i_at
ENSG00000237051	ENST00000464091	86077_i_at
ENSG00000237051	ENST00000496077	86077_i_at
ENSG00000282461	ENST00000633514	88988_at
ENSG00000282461	ENST00000631915	88988_at
ENSG00000282461	ENST00000631574	88988_at
ENSG00000282781	ENST00000632714	79116_at
ENSG00000275962	ENST00000612864	74937_at
ENSG00000275962	ENST00000620474	74937_at
ENSG00000275962	ENST00000610713	74937_at
ENSG00000277776	ENST00000610981	74445_at
ENSG00000277776	ENST00000613233	74445_at
ENSG00000276774	ENST00000614037	84668_at
ENSG00000278516	ENST00000613622	84668_at
ENSG00000277607	ENST00000617281	74937_at
ENSG00000206511	ENST00000383638	86077_i_at
ENSG00000206511	ENST00000383636	86077_i_at
ENSG00000206511	ENST00000383637	86077_i_at
ENSG00000206511	ENST00000466873	86077_i_at
ENSG00000206511	ENST00000495153	86077_i_at
ENSG00000206511	ENST00000383639	86077_i_at
ENSG00000206511	ENST00000483838	86077_i_at
ENSG00000249032	ENST00000504412	68034_at
ENSG00000249032	ENST00000512141	68034_at
ENSG00000262785	ENST00000571194	92008_s_at
ENSG00000206466	ENST00000383542	86077_i_at
ENSG00000206466	ENST00000383537	86077_i_at
ENSG00000206466	ENST00000383541	86077_i_at
ENSG00000206466	ENST00000495291	86077_i_at
ENSG00000206466	ENST00000383543	86077_i_at
ENSG00000206466	ENST00000493602	86077_i_at
ENSG00000206466	ENST00000471385	86077_i_at
ENSG00000276061	ENST00000620289	72138_at
ENSG00000276061	ENST00000615238	72138_at
ENSG00000237112	ENST00000425097	86077_i_at
ENSG00000237112	ENST00000446436	86077_i_at
ENSG00000237112	ENST00000443440	86077_i_at
ENSG00000237112	ENST00000466282	86077_i_at
ENSG00000237112	ENST00000417759	86077_i_at
ENSG00000237112	ENST00000471103	86077_i_at
ENSG00000237112	ENST00000497560	86077_i_at
ENSG00000232569	ENST00000439457	86077_i_at
ENSG00000232569	ENST00000452300	86077_i_at
ENSG00000232569	ENST00000419674	86077_i_at
ENSG00000232569	ENST00000481198	86077_i_at
ENSG00000232569	ENST00000449163	86077_i_at
ENSG00000232569	ENST00000489750	86077_i_at
ENSG00000232569	ENST00000461230	86077_i_at
ENSG00000232569	ENST00000546913	86077_i_at
ENSG00000280540	ENST00000627312	82496_at
ENSG00000280540	ENST00000625867	82496_at
ENSG00000280540	ENST00000626501	82496_at
ENSG00000280540	ENST00000627389	82496_at
ENSG00000278257	ENST00000621285	84668_at
ENSG00000277868	ENST00000615018	90551_s_at
ENSG00000277868	ENST00000610685	90551_s_at
ENSG00000277868	ENST00000612469	90551_s_at
ENSG00000277868	ENST00000620431	90551_s_at
ENSG00000277868	ENST00000619386	90551_s_at
ENSG00000232632	ENST00000438094	86077_i_at
ENSG00000232632	ENST00000460735	86077_i_at
ENSG00000232632	ENST00000486623	86077_i_at
ENSG00000232632	ENST00000434660	86077_i_at
ENSG00000232632	ENST00000423604	86077_i_at
ENSG00000232632	ENST00000414980	86077_i_at
ENSG00000232632	ENST00000470098	86077_i_at
ENSG00000234669	ENST00000446005	75665_at
ENSG00000234669	ENST00000553137	75665_at
ENSG00000234669	ENST00000547911	75665_at
ENSG00000229698	ENST00000430472	84939_at
ENSG00000229698	ENST00000471304	84939_at
ENSG00000229698	ENST00000476710	84939_at
ENSG00000229698	ENST00000448064	84939_at
ENSG00000275246	ENST00000611774	83388_at
ENSG00000276959	ENST00000610998	84668_at
ENSG00000223858	ENST00000416974	75665_at
ENSG00000223858	ENST00000552898	75665_at
ENSG00000223858	ENST00000552809	75665_at
ENSG00000232099	ENST00000448114	75665_at
ENSG00000232099	ENST00000548337	75665_at
ENSG00000232099	ENST00000548001	75665_at
ENSG00000273579	ENST00000627601	81124_at
ENSG00000273579	ENST00000627601	73528_at
ENSG00000273579	ENST00000628697	81124_at
ENSG00000273579	ENST00000628697	73528_at
ENSG00000273579	ENST00000630973	73528_at
ENSG00000273579	ENST00000626888	73528_at
ENSG00000281377	ENST00000627560	82690_at
ENSG00000237508	ENST00000445657	84939_at
ENSG00000237508	ENST00000474636	84939_at
ENSG00000237508	ENST00000480742	84939_at
ENSG00000237508	ENST00000452916	84939_at
ENSG00000276066	ENST00000612436	74937_at
ENSG00000274174	ENST00000615467	74445_at
ENSG00000274174	ENST00000613325	74445_at
ENSG00000274174	ENST00000613487	74445_at
ENSG00000274174	ENST00000618343	74445_at
ENSG00000274174	ENST00000620183	74445_at
ENSG00000206510	ENST00000383628	75665_at
ENSG00000206510	ENST00000552987	75665_at
ENSG00000206510	ENST00000548769	75665_at
ENSG00000262139	ENST00000573650	82325_at
ENSG00000262139	ENST00000575847	82325_at
ENSG00000262139	ENST00000570509	82325_at
ENSG00000206509	ENST00000383627	84939_at
ENSG00000206509	ENST00000485463	84939_at
ENSG00000206509	ENST00000483860	84939_at
ENSG00000206509	ENST00000425139	84939_at
ENSG00000262217	ENST00000572861	82800_at
ENSG00000227858	ENST00000432222	75665_at
ENSG00000274437	ENST00000620697	80262_at
ENSG00000274437	ENST00000614504	90509_at
ENSG00000274437	ENST00000625630	72104_at
ENSG00000223852	ENST00000437216	75665_at
ENSG00000223852	ENST00000547542	75665_at
ENSG00000223852	ENST00000548574	75665_at
ENSG00000235220	ENST00000428296	84939_at
ENSG00000235220	ENST00000490333	84939_at
ENSG00000235220	ENST00000489795	84939_at
ENSG00000235220	ENST00000426470	84939_at
ENSG00000262607	ENST00000575724	79484_r_at
ENSG00000262607	ENST00000571363	79484_r_at
ENSG00000262607	ENST00000574111	79484_r_at
ENSG00000262607	ENST00000573139	79484_r_at
ENSG00000275744	ENST00000618502	91223_r_at
ENSG00000275744	ENST00000619254	91223_r_at
ENSG00000275744	ENST00000630215	91223_r_at
ENSG00000275744	ENST00000625663	91223_r_at
ENSG00000275744	ENST00000619667	91223_r_at
ENSG00000275744	ENST00000628520	91223_r_at
ENSG00000275744	ENST00000626541	91223_r_at
ENSG00000275744	ENST00000631328	91223_r_at
ENSG00000275744	ENST00000618114	91223_r_at
ENSG00000276907	ENST00000631711	79965_at
ENSG00000276907	ENST00000632017	79965_at
ENSG00000276907	ENST00000633003	79965_at
ENSG00000276907	ENST00000611188	79965_at
ENSG00000276907	ENST00000610792	79965_at
ENSG00000275045	ENST00000622222	89507_at
ENSG00000275045	ENST00000620205	89507_at
ENSG00000275045	ENST00000612808	89507_at
ENSG00000275045	ENST00000617228	89507_at
ENSG00000275045	ENST00000621491	89507_at
ENSG00000275045	ENST00000619997	89507_at
ENSG00000275045	ENST00000621171	89507_at
ENSG00000275045	ENST00000615242	89507_at
ENSG00000275045	ENST00000616846	89507_at
ENSG00000275045	ENST00000619345	89507_at
ENSG00000275045	ENST00000611753	89507_at
ENSG00000275045	ENST00000611072	89507_at
ENSG00000226858	ENST00000435906	75665_at
ENSG00000226858	ENST00000549501	75665_at
ENSG00000226858	ENST00000549167	75665_at
ENSG00000276458	ENST00000617297	86946_s_at
ENSG00000276628	ENST00000619669	84668_at
ENSG00000137403	ENST00000383516	84939_at
ENSG00000137403	ENST00000470816	84939_at
ENSG00000137403	ENST00000488237	84939_at
ENSG00000137403	ENST00000458026	84939_at
ENSG00000273633	ENST00000617756	78567_at
ENSG00000273633	ENST00000622855	78567_at
ENSG00000273686	ENST00000617605	84385_at
ENSG00000273686	ENST00000633581	84385_at
ENSG00000273686	ENST00000632867	84385_at
ENSG00000273686	ENST00000631391	84385_at
ENSG00000273686	ENST00000632449	84385_at
ENSG00000273686	ENST00000631575	84385_at
ENSG00000273686	ENST00000633512	84385_at
ENSG00000273686	ENST00000619603	84385_at
ENSG00000276896	ENST00000613977	70698_f_at
ENSG00000276896	ENST00000618263	70698_f_at
ENSG00000275544	ENST00000612690	77386_at
ENSG00000275544	ENST00000617317	77386_at
ENSG00000274161	ENST00000620101	71751_at
ENSG00000274161	ENST00000620226	71751_at
ENSG00000273651	ENST00000633770	70698_f_at
ENSG00000273651	ENST00000620624	70698_f_at
ENSG00000273651	ENST00000614276	70698_f_at
ENSG00000273651	ENST00000618768	70698_f_at
ENSG00000282331	ENST00000631385	77901_at
ENSG00000282331	ENST00000631861	77901_at
ENSG00000230467	ENST00000457092	76208_at
ENSG00000230467	ENST00000457092	84067_at
ENSG00000230467	ENST00000420562	76208_at
ENSG00000230467	ENST00000420562	84067_at
ENSG00000230332	ENST00000451425	76208_at
ENSG00000230332	ENST00000451425	84067_at
ENSG00000230332	ENST00000432647	76208_at
ENSG00000230332	ENST00000432647	84067_at
ENSG00000274305	ENST00000611878	86946_s_at
ENSG00000278384	ENST00000612565	85497_at
ENSG00000273622	ENST00000611094	78567_at
ENSG00000273622	ENST00000610368	78567_at
ENSG00000277179	ENST00000618672	74445_at
ENSG00000277179	ENST00000618261	74445_at
ENSG00000276701	ENST00000613839	86505_at
ENSG00000237733	ENST00000417541	76208_at
ENSG00000237733	ENST00000417541	84067_at
ENSG00000237733	ENST00000449145	76208_at
ENSG00000237733	ENST00000449145	84067_at
ENSG00000224619	ENST00000451842	70747_at
ENSG00000224619	ENST00000447211	70747_at
ENSG00000224619	ENST00000440939	70747_at
ENSG00000224619	ENST00000437023	70747_at
ENSG00000224619	ENST00000432895	70747_at
ENSG00000282067	ENST00000633517	91841_at
ENSG00000282067	ENST00000633517	91843_g_at
ENSG00000282067	ENST00000632082	91841_at
ENSG00000282067	ENST00000632082	91843_g_at
ENSG00000282067	ENST00000633458	91841_at
ENSG00000282067	ENST00000633458	91843_g_at
ENSG00000228581	ENST00000437917	88610_at
ENSG00000228581	ENST00000437917	72711_at
ENSG00000228581	ENST00000497917	72711_at
ENSG00000277106	ENST00000621383	75578_at
ENSG00000277956	ENST00000622106	80210_at
ENSG00000277956	ENST00000620070	80210_at
ENSG00000277956	ENST00000620818	80210_at
ENSG00000277956	ENST00000612872	80210_at
ENSG00000277956	ENST00000618825	80210_at
ENSG00000277956	ENST00000618029	80210_at
ENSG00000282271	ENST00000633229	82396_at
ENSG00000282271	ENST00000633045	82396_at
ENSG00000277786	ENST00000618740	74445_at
ENSG00000277786	ENST00000615699	74445_at
ENSG00000236967	ENST00000441449	76208_at
ENSG00000236967	ENST00000441449	84067_at
ENSG00000236967	ENST00000450015	76208_at
ENSG00000236967	ENST00000450015	84067_at
ENSG00000278839	ENST00000622553	77978_at
ENSG00000278839	ENST00000614330	77978_at
ENSG00000276836	ENST00000626860	79965_at
ENSG00000276836	ENST00000627233	79965_at
ENSG00000276836	ENST00000628164	79965_at
ENSG00000276836	ENST00000618949	79965_at
ENSG00000276836	ENST00000615350	79965_at
ENSG00000275311	ENST00000618270	81146_at
ENSG00000230660	ENST00000431304	70747_at
ENSG00000230660	ENST00000425304	70747_at
ENSG00000230660	ENST00000445913	70747_at
ENSG00000230660	ENST00000442807	70747_at
ENSG00000230660	ENST00000443079	70747_at
ENSG00000275483	ENST00000622199	74445_at
ENSG00000275483	ENST00000621584	74445_at
ENSG00000274675	ENST00000619880	89507_at
ENSG00000274675	ENST00000621406	89507_at
ENSG00000274675	ENST00000619699	89507_at
ENSG00000274675	ENST00000616295	89507_at
ENSG00000274675	ENST00000610491	89507_at
ENSG00000274675	ENST00000612211	89507_at
ENSG00000274675	ENST00000612324	89507_at
ENSG00000282075	ENST00000634153	88988_at
ENSG00000282075	ENST00000633362	88988_at
ENSG00000282075	ENST00000631827	88988_at
ENSG00000281767	ENST00000629470	79116_at
ENSG00000226882	ENST00000417834	88610_at
ENSG00000226882	ENST00000417834	72711_at
ENSG00000226882	ENST00000489631	72711_at
ENSG00000235022	ENST00000456156	76208_at
ENSG00000235022	ENST00000456156	84067_at
ENSG00000235022	ENST00000442063	76208_at
ENSG00000235022	ENST00000442063	84067_at
ENSG00000277844	ENST00000622019	68179_at
ENSG00000206500	ENST00000376750	76208_at
ENSG00000206500	ENST00000376750	84067_at
ENSG00000206500	ENST00000383611	76208_at
ENSG00000206500	ENST00000383611	84067_at
ENSG00000278458	ENST00000633819	78263_at
ENSG00000278458	ENST00000633346	78263_at
ENSG00000278458	ENST00000622036	78263_at
ENSG00000278458	ENST00000610328	78263_at
ENSG00000278458	ENST00000632215	78263_at
ENSG00000278458	ENST00000633540	78263_at
ENSG00000278458	ENST00000633448	78263_at
ENSG00000278458	ENST00000613150	78263_at
ENSG00000235727	ENST00000423157	70747_at
ENSG00000235727	ENST00000429862	70747_at
ENSG00000235727	ENST00000438668	70747_at
ENSG00000235727	ENST00000414569	70747_at
ENSG00000235727	ENST00000421520	70747_at
ENSG00000227171	ENST00000425956	76208_at
ENSG00000227171	ENST00000425956	84067_at
ENSG00000227171	ENST00000442378	76208_at
ENSG00000227171	ENST00000442378	84067_at
ENSG00000276276	ENST00000632007	79944_at
ENSG00000276276	ENST00000612181	79944_at
ENSG00000276276	ENST00000620856	79944_at
ENSG00000275748	ENST00000628199	79944_at
ENSG00000275748	ENST00000616412	79944_at
ENSG00000232143	ENST00000454829	88610_at
ENSG00000232143	ENST00000454829	72711_at
ENSG00000232143	ENST00000480572	72711_at
ENSG00000275797	ENST00000620975	74619_at
ENSG00000224705	ENST00000412668	70747_at
ENSG00000224705	ENST00000445302	70747_at
ENSG00000224705	ENST00000436512	70747_at
ENSG00000224705	ENST00000444625	70747_at
ENSG00000224705	ENST00000458584	70747_at
ENSG00000275470	ENST00000620880	72056_at
ENSG00000275470	ENST00000614723	72056_at
ENSG00000275867	ENST00000626557	78263_at
ENSG00000275867	ENST00000628726	78263_at
ENSG00000275867	ENST00000627698	78263_at
ENSG00000275867	ENST00000629079	78263_at
ENSG00000275867	ENST00000629551	78263_at
ENSG00000275867	ENST00000626533	78263_at
ENSG00000275867	ENST00000630200	78263_at
ENSG00000275867	ENST00000611596	78263_at
ENSG00000276681	ENST00000619260	86946_s_at
ENSG00000206412	ENST00000383450	88610_at
ENSG00000206412	ENST00000383450	72711_at
ENSG00000206412	ENST00000478748	72711_at
ENSG00000234893	ENST00000443909	70747_at
ENSG00000234893	ENST00000443641	70747_at
ENSG00000234893	ENST00000432631	70747_at
ENSG00000234893	ENST00000448669	70747_at
ENSG00000234893	ENST00000457778	70747_at
ENSG00000228894	ENST00000419487	70747_at
ENSG00000228894	ENST00000456773	70747_at
ENSG00000228894	ENST00000416033	70747_at
ENSG00000228894	ENST00000419994	70747_at
ENSG00000228894	ENST00000416289	70747_at
ENSG00000278444	ENST00000619217	78567_at
ENSG00000230341	ENST00000438815	91615_at
ENSG00000276155	ENST00000626571	80210_at
ENSG00000272670	ENST00000496357	80942_at
ENSG00000228854	ENST00000467546	91615_at
ENSG00000228854	ENST00000446443	91615_at
ENSG00000228854	ENST00000485103	91615_at
ENSG00000228854	ENST00000464436	91615_at
ENSG00000228854	ENST00000422664	91615_at
ENSG00000228854	ENST00000477315	91615_at
ENSG00000228854	ENST00000461144	91615_at
ENSG00000228854	ENST00000427944	91615_at
ENSG00000228854	ENST00000613827	91615_at
ENSG00000282365	ENST00000633976	79382_at
ENSG00000229470	ENST00000428189	88610_at
ENSG00000229470	ENST00000428189	72711_at
ENSG00000229470	ENST00000478986	72711_at
ENSG00000206492	ENST00000383596	88610_at
ENSG00000206492	ENST00000383596	72711_at
ENSG00000206492	ENST00000469494	72711_at
ENSG00000281578	ENST00000629948	91841_at
ENSG00000281578	ENST00000629948	91843_g_at
ENSG00000281578	ENST00000628274	91841_at
ENSG00000281578	ENST00000628274	91843_g_at
ENSG00000281578	ENST00000630938	91841_at
ENSG00000281578	ENST00000630938	91843_g_at
ENSG00000278194	ENST00000610319	75578_at
ENSG00000225060	ENST00000437121	91615_at
ENSG00000235986	ENST00000441604	88610_at
ENSG00000235986	ENST00000441604	72711_at
ENSG00000235986	ENST00000465483	72711_at
ENSG00000274953	ENST00000610629	74937_at
ENSG00000234809	ENST00000482500	91615_at
ENSG00000234809	ENST00000411883	91615_at
ENSG00000234809	ENST00000459649	91615_at
ENSG00000234809	ENST00000460999	91615_at
ENSG00000234809	ENST00000450138	91615_at
ENSG00000234809	ENST00000464509	91615_at
ENSG00000234809	ENST00000488021	91615_at
ENSG00000234809	ENST00000422181	91615_at
ENSG00000234809	ENST00000612190	91615_at
ENSG00000237889	ENST00000462334	72981_at
ENSG00000237889	ENST00000493350	72981_at
ENSG00000237889	ENST00000448800	72981_at
ENSG00000237889	ENST00000426766	72981_at
ENSG00000237889	ENST00000420337	72981_at
ENSG00000237889	ENST00000487410	72981_at
ENSG00000237889	ENST00000437943	72981_at
ENSG00000237889	ENST00000463430	72981_at
ENSG00000237889	ENST00000412386	72981_at
ENSG00000237889	ENST00000460622	72981_at
ENSG00000237889	ENST00000467581	72981_at
ENSG00000237889	ENST00000432549	72981_at
ENSG00000281487	ENST00000628610	78263_at
ENSG00000277015	ENST00000631929	72559_at
ENSG00000277015	ENST00000631929	80288_at
ENSG00000277015	ENST00000614883	72559_at
ENSG00000277015	ENST00000614883	80288_at
ENSG00000277015	ENST00000633643	72559_at
ENSG00000277015	ENST00000633643	80288_at
ENSG00000277015	ENST00000633138	72559_at
ENSG00000277015	ENST00000633138	80288_at
ENSG00000277015	ENST00000612458	72559_at
ENSG00000277015	ENST00000612458	80288_at
ENSG00000278426	ENST00000617592	84668_at
ENSG00000276802	ENST00000632916	89333_at
ENSG00000276802	ENST00000633685	89112_at
ENSG00000224862	ENST00000432236	80230_at
ENSG00000278173	ENST00000619082	74445_at
ENSG00000278173	ENST00000619096	74445_at
ENSG00000278173	ENST00000622173	74445_at
ENSG00000278173	ENST00000614922	74445_at
ENSG00000278173	ENST00000621787	74445_at
ENSG00000278310	ENST00000617165	70698_f_at
ENSG00000278310	ENST00000634079	70698_f_at
ENSG00000229998	ENST00000443517	91615_at
ENSG00000277090	ENST00000633386	70698_f_at
ENSG00000277090	ENST00000632095	70698_f_at
ENSG00000277090	ENST00000633656	70698_f_at
ENSG00000277090	ENST00000631742	70698_f_at
ENSG00000228867	ENST00000493410	91615_at
ENSG00000228867	ENST00000434776	91615_at
ENSG00000228867	ENST00000485030	91615_at
ENSG00000228867	ENST00000467043	91615_at
ENSG00000228867	ENST00000449041	91615_at
ENSG00000228867	ENST00000468014	91615_at
ENSG00000228867	ENST00000462270	91615_at
ENSG00000228867	ENST00000431322	91615_at
ENSG00000228867	ENST00000610775	91615_at
ENSG00000282540	ENST00000631569	70133_at
ENSG00000282540	ENST00000633839	70133_at
ENSG00000234674	ENST00000446038	87817_at
ENSG00000234674	ENST00000416433	87817_at
ENSG00000277071	ENST00000615426	74445_at
ENSG00000277071	ENST00000614879	74445_at
ENSG00000237582	ENST00000495227	80448_f_at
ENSG00000234000	ENST00000455935	91615_at
ENSG00000231854	ENST00000438645	80230_at
ENSG00000278119	ENST00000611771	89519_f_at
ENSG00000236843	ENST00000491048	91615_at
ENSG00000236843	ENST00000444252	91615_at
ENSG00000236843	ENST00000493210	91615_at
ENSG00000236843	ENST00000475256	91615_at
ENSG00000236843	ENST00000445058	91615_at
ENSG00000236843	ENST00000469697	91615_at
ENSG00000236843	ENST00000493215	91615_at
ENSG00000236843	ENST00000422747	91615_at
ENSG00000236843	ENST00000617159	91615_at
ENSG00000274734	ENST00000621228	70247_at
ENSG00000231247	ENST00000412189	91615_at
ENSG00000263014	ENST00000573121	90107_at
ENSG00000263014	ENST00000571439	90107_at
ENSG00000263014	ENST00000575971	90107_at
ENSG00000263014	ENST00000367381	90107_at
ENSG00000282750	ENST00000632513	91373_at
ENSG00000206485	ENST00000400554	91615_at
ENSG00000232804	ENST00000450744	90877_f_at
ENSG00000232804	ENST00000417199	90877_f_at
ENSG00000235773	ENST00000465737	91615_at
ENSG00000235773	ENST00000436892	91615_at
ENSG00000235773	ENST00000484533	91615_at
ENSG00000235773	ENST00000485127	91615_at
ENSG00000235773	ENST00000456720	91615_at
ENSG00000235773	ENST00000477619	91615_at
ENSG00000235773	ENST00000460461	91615_at
ENSG00000235773	ENST00000438502	91615_at
ENSG00000235773	ENST00000620249	91615_at
ENSG00000206484	ENST00000491032	91615_at
ENSG00000206484	ENST00000430286	91615_at
ENSG00000206484	ENST00000497353	91615_at
ENSG00000206484	ENST00000474673	91615_at
ENSG00000206484	ENST00000383570	91615_at
ENSG00000206484	ENST00000477164	91615_at
ENSG00000206484	ENST00000467989	91615_at
ENSG00000206484	ENST00000383571	91615_at
ENSG00000206484	ENST00000617220	91615_at
ENSG00000278632	ENST00000617942	91373_at
ENSG00000274571	ENST00000610853	74445_at
ENSG00000274571	ENST00000611597	74445_at
ENSG00000274571	ENST00000621238	74445_at
ENSG00000274571	ENST00000621903	74445_at
ENSG00000274571	ENST00000610424	74445_at
ENSG00000274571	ENST00000610790	74445_at
ENSG00000275746	ENST00000621843	91887_f_at
ENSG00000275746	ENST00000621843	86941_at
ENSG00000275746	ENST00000616962	91887_f_at
ENSG00000275746	ENST00000616962	86941_at
ENSG00000282953	ENST00000634330	67709_at
ENSG00000282613	ENST00000634097	89341_at
ENSG00000278488	ENST00000632093	89340_at
ENSG00000278488	ENST00000632139	89340_at
ENSG00000278488	ENST00000633197	89340_at
ENSG00000278488	ENST00000632890	89340_at
ENSG00000278488	ENST00000631461	89340_at
ENSG00000278488	ENST00000632378	89340_at
ENSG00000278488	ENST00000631881	89340_at
ENSG00000278488	ENST00000621955	89340_at
ENSG00000224056	ENST00000414348	86474_at
ENSG00000224472	ENST00000442190	87817_at
ENSG00000224472	ENST00000449558	87817_at
