Gene stable ID	Transcript stable ID	AFFY C elegans probe
WBGene00000028	Y105C5A.4.1	172605_x_at
WBGene00000028	Y105C5A.4.1	172552_x_at
WBGene00000028	Y105C5A.4.1	172573_x_at
WBGene00000028	Y105C5A.4.1	172442_x_at
WBGene00000028	Y105C5A.4.1	172585_x_at
WBGene00000028	Y105C5A.4.1	172443_x_at
WBGene00000029	C03A7.7.1	172360_x_at
WBGene00000029	C03A7.7.1	172323_x_at
WBGene00000029	C03A7.7.1	172587_x_at
WBGene00000029	C03A7.7.1	172321_x_at
WBGene00000030	C03A7.8.1	172323_x_at
WBGene00000030	C03A7.8.1	172587_x_at
WBGene00000030	C03A7.8.1	172321_x_at
WBGene00000030	C03A7.8.1	194211_x_at
WBGene00000031	C03A7.14.1	172360_x_at
WBGene00000031	C03A7.14.1	172323_x_at
WBGene00000031	C03A7.14.1	172587_x_at
WBGene00000031	C03A7.14.1	172321_x_at
WBGene00000031	C03A7.14.1	194211_x_at
WBGene00000031	C03A7.14.2	172360_x_at
WBGene00000031	C03A7.14.2	172323_x_at
WBGene00000031	C03A7.14.2	172587_x_at
WBGene00000031	C03A7.14.2	172321_x_at
WBGene00000031	C03A7.14.2	194211_x_at
WBGene00000032	R09F10.2.1	185654_s_at
WBGene00000033	F35A5.3.1	179983_at
WBGene00000034	T01D1.6.1	173482_s_at
WBGene00000035	W09B12.1.1	174041_at
WBGene00000035	W09B12.1.1	176613_at
WBGene00000035	W09B12.1.2	174041_at
WBGene00000035	W09B12.1.2	176613_at
WBGene00000036	Y44E3A.2.1	175746_at
WBGene00000036	Y44E3A.2.1	191822_s_at
WBGene00000037	Y48B6A.8.1	187990_s_at
WBGene00000038	Y48B6A.7.1	187856_s_at
WBGene00000038	Y48B6A.7.1	192237_s_at
WBGene00000039	C42D8.5a.1	173654_at
WBGene00000039	C42D8.5a.1	188527_s_at
WBGene00000039	C42D8.5a.2	173654_at
WBGene00000039	C42D8.5a.2	188527_s_at
WBGene00000039	C42D8.5b.1	173654_at
WBGene00000039	C42D8.5b.1	188527_s_at
WBGene00000040	ZK455.1.1	193891_at
WBGene00000040	ZK455.1.2	193891_at
WBGene00000041	F54H12.1a.1	184052_s_at
WBGene00000041	F54H12.1c.1	184052_s_at
WBGene00000041	F54H12.1c.2	184052_s_at
WBGene00000042	K11G12.2.1	193868_at
WBGene00000043	K11G12.7.1	193304_at
WBGene00000044	K03F8.2.1	189313_at
WBGene00000045	ZK973.5.1	192075_at
WBGene00000046	T09A5.3.1	192741_at
WBGene00000047	ZC504.2.1	193222_at
WBGene00000047	ZC504.2.2	193222_at
WBGene00000048	C40C9.2.1	192254_at
WBGene00000049	R02E12.8.1	188342_at
WBGene00000050	D2092.3.1	193580_at
WBGene00000051	R01E6.4a.1	193235_at
WBGene00000051	R01E6.4b.1	193235_at
WBGene00000053	T05C12.2.1	193789_at
WBGene00000054	F25G6.4.1	189872_at
WBGene00000055	F25G6.3.1	193648_at
WBGene00000056	F53E10.2a	193413_at
WBGene00000056	F53E10.2b.1	193413_at
WBGene00000056	F53E10.2c	193413_at
WBGene00000056	F53E10.2g.1	193413_at
WBGene00000057	F28F8.1.1	192412_at
WBGene00000058	C31H5.3a.1	193424_at
WBGene00000058	C31H5.3b.1	193424_at
WBGene00000059	R06A4.10a.1	192309_at
WBGene00000059	R06A4.10b.1	192309_at
WBGene00000059	R06A4.10c.1	192309_at
WBGene00000060	F27B3.2a.1	189416_at
WBGene00000060	F27B3.2b.1	189416_at
WBGene00000060	F27B3.2c.1	189416_at
WBGene00000060	F27B3.2d.1	189416_at
WBGene00000061	F48E3.7.1	192482_s_at
WBGene00000061	F48E3.7.1	192481_at
WBGene00000062	F59B1.9a.1	191566_at
WBGene00000062	F59B1.9b.1	191566_at
WBGene00000063	T04C12.6.1	AFFX-r2-13514-5_x_at
WBGene00000063	T04C12.6.1	190043_s_at
WBGene00000063	T04C12.6.1	AFFX-r2-13514-3_s_at
WBGene00000063	T04C12.6.1	AFFX-Ce_Actin_M_s_at
WBGene00000063	T04C12.6.1	176923_s_at
WBGene00000063	T04C12.6.1	172816_x_at
WBGene00000063	T04C12.6.1	AFFX-Ce_Actin_5_f_at
WBGene00000063	T04C12.6.1	AFFX-Ce_Actin_3_s_at
WBGene00000063	T04C12.6.2	AFFX-r2-13514-5_x_at
WBGene00000063	T04C12.6.2	190043_s_at
WBGene00000063	T04C12.6.2	AFFX-r2-13514-3_s_at
WBGene00000063	T04C12.6.2	AFFX-Ce_Actin_M_s_at
WBGene00000063	T04C12.6.2	176923_s_at
WBGene00000063	T04C12.6.2	172816_x_at
WBGene00000063	T04C12.6.2	AFFX-Ce_Actin_5_f_at
WBGene00000063	T04C12.6.2	AFFX-Ce_Actin_3_s_at
WBGene00000063	T04C12.6.3	AFFX-r2-13514-5_x_at
WBGene00000063	T04C12.6.3	190043_s_at
WBGene00000063	T04C12.6.3	AFFX-r2-13514-3_s_at
WBGene00000063	T04C12.6.3	AFFX-Ce_Actin_M_s_at
WBGene00000063	T04C12.6.3	176923_s_at
WBGene00000063	T04C12.6.3	172816_x_at
WBGene00000063	T04C12.6.3	AFFX-Ce_Actin_5_f_at
WBGene00000063	T04C12.6.3	AFFX-Ce_Actin_3_s_at
WBGene00000063	T04C12.6.4	AFFX-r2-13514-5_x_at
WBGene00000063	T04C12.6.4	190043_s_at
WBGene00000063	T04C12.6.4	AFFX-r2-13514-3_s_at
WBGene00000063	T04C12.6.4	AFFX-Ce_Actin_M_s_at
WBGene00000063	T04C12.6.4	176923_s_at
WBGene00000063	T04C12.6.4	172816_x_at
WBGene00000063	T04C12.6.4	AFFX-Ce_Actin_5_f_at
WBGene00000063	T04C12.6.4	AFFX-Ce_Actin_3_s_at
WBGene00000064	T04C12.5.1	190043_s_at
WBGene00000064	T04C12.5.1	AFFX-r2-13514-3_s_at
WBGene00000064	T04C12.5.1	AFFX-Ce_Actin_M_s_at
WBGene00000064	T04C12.5.1	176923_s_at
WBGene00000064	T04C12.5.1	172816_x_at
WBGene00000064	T04C12.5.1	AFFX-Ce_Actin_3_s_at
WBGene00000064	T04C12.5.2	190043_s_at
WBGene00000064	T04C12.5.2	AFFX-r2-13514-3_s_at
WBGene00000064	T04C12.5.2	AFFX-Ce_Actin_M_s_at
WBGene00000064	T04C12.5.2	176923_s_at
WBGene00000064	T04C12.5.2	172816_x_at
WBGene00000064	T04C12.5.2	AFFX-Ce_Actin_3_s_at
WBGene00000064	T04C12.5.3	190043_s_at
WBGene00000064	T04C12.5.3	AFFX-r2-13514-3_s_at
WBGene00000064	T04C12.5.3	AFFX-Ce_Actin_M_s_at
WBGene00000064	T04C12.5.3	176923_s_at
WBGene00000064	T04C12.5.3	172816_x_at
WBGene00000064	T04C12.5.3	AFFX-Ce_Actin_3_s_at
WBGene00000065	T04C12.4.1	173992_at
WBGene00000065	T04C12.4.1	AFFX-r2-13514-5_x_at
WBGene00000065	T04C12.4.1	190043_s_at
WBGene00000065	T04C12.4.1	AFFX-r2-13514-3_s_at
WBGene00000065	T04C12.4.1	AFFX-Ce_Actin_M_s_at
WBGene00000065	T04C12.4.1	176923_s_at
WBGene00000065	T04C12.4.1	172816_x_at
WBGene00000065	T04C12.4.1	AFFX-Ce_Actin_5_f_at
WBGene00000065	T04C12.4.1	AFFX-Ce_Actin_3_s_at
WBGene00000065	T04C12.4.2	173992_at
WBGene00000065	T04C12.4.2	AFFX-r2-13514-5_x_at
WBGene00000065	T04C12.4.2	190043_s_at
WBGene00000065	T04C12.4.2	AFFX-r2-13514-3_s_at
WBGene00000065	T04C12.4.2	AFFX-Ce_Actin_M_s_at
WBGene00000065	T04C12.4.2	176923_s_at
WBGene00000065	T04C12.4.2	172816_x_at
WBGene00000065	T04C12.4.2	AFFX-Ce_Actin_5_f_at
WBGene00000065	T04C12.4.2	AFFX-Ce_Actin_3_s_at
WBGene00000065	T04C12.4.3	173992_at
WBGene00000065	T04C12.4.3	AFFX-r2-13514-5_x_at
WBGene00000065	T04C12.4.3	190043_s_at
WBGene00000065	T04C12.4.3	AFFX-r2-13514-3_s_at
WBGene00000065	T04C12.4.3	AFFX-Ce_Actin_M_s_at
WBGene00000065	T04C12.4.3	176923_s_at
WBGene00000065	T04C12.4.3	172816_x_at
WBGene00000065	T04C12.4.3	AFFX-Ce_Actin_5_f_at
WBGene00000065	T04C12.4.3	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2a.1	174795_at
WBGene00000066	M03F4.2a.1	176923_s_at
WBGene00000066	M03F4.2a.1	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2b.1	174795_at
WBGene00000066	M03F4.2b.1	176923_s_at
WBGene00000066	M03F4.2b.1	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2b.2	174795_at
WBGene00000066	M03F4.2b.2	176923_s_at
WBGene00000066	M03F4.2b.2	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2b.3	174795_at
WBGene00000066	M03F4.2b.3	176923_s_at
WBGene00000066	M03F4.2b.3	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2b.4	174795_at
WBGene00000066	M03F4.2b.4	176923_s_at
WBGene00000066	M03F4.2b.4	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2b.5	174795_at
WBGene00000066	M03F4.2b.5	176923_s_at
WBGene00000066	M03F4.2b.5	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2b.6	174795_at
WBGene00000066	M03F4.2b.6	176923_s_at
WBGene00000066	M03F4.2b.6	AFFX-Ce_Actin_3_s_at
WBGene00000066	M03F4.2c.1	174795_at
WBGene00000066	M03F4.2c.1	176923_s_at
WBGene00000066	M03F4.2c.1	AFFX-Ce_Actin_3_s_at
WBGene00000067	T25C8.2.1	189551_s_at
WBGene00000067	T25C8.2.2	189551_s_at
WBGene00000067	T25C8.2.3	189551_s_at
WBGene00000068	F17C8.1.1	191633_s_at
WBGene00000069	C10F3.3.1	191877_at
WBGene00000070	C44F1.5.1	179161_at
WBGene00000070	C44F1.5.1	193920_at
WBGene00000070	C44F1.5.2	179161_at
WBGene00000070	C44F1.5.2	193920_at
WBGene00000071	T01C2.1.1	174405_at
WBGene00000072	F39C12.2a.1	187854_s_at
WBGene00000072	F39C12.2a.1	175727_s_at
WBGene00000072	F39C12.2b.1	175732_at
WBGene00000072	F39C12.2b.1	187854_s_at
WBGene00000072	F39C12.2b.1	175727_s_at
WBGene00000072	F39C12.2c.1	175732_at
WBGene00000072	F39C12.2c.1	187854_s_at
WBGene00000072	F39C12.2c.1	175727_s_at
WBGene00000072	F39C12.2d.1	175732_at
WBGene00000072	F39C12.2d.1	187854_s_at
WBGene00000072	F39C12.2d.1	175727_s_at
WBGene00000072	F39C12.2e.1	175732_at
WBGene00000072	F39C12.2e.1	187854_s_at
WBGene00000072	F39C12.2e.1	175727_s_at
WBGene00000073	F57F5.4a.1	173448_s_at
WBGene00000073	F57F5.4a.2	173448_s_at
WBGene00000073	F57F5.4a.3	173448_s_at
WBGene00000073	F57F5.4b.1	173448_s_at
WBGene00000074	C04A11.4a.1	192244_s_at
WBGene00000074	C04A11.4b.1	192244_s_at
WBGene00000075	ZK154.7.1	191363_s_at
WBGene00000079	H15N14.1c.1	193552_s_at
WBGene00000079	H15N14.1d.1	193552_s_at
WBGene00000079	H15N14.1e.1	193552_s_at
WBGene00000079	H15N14.1f.1	193552_s_at
WBGene00000080	T20H4.4.1	188416_s_at
WBGene00000080	T20H4.4.2	188416_s_at
WBGene00000081	Y50D7A.7.1	176769_s_at
WBGene00000082	C02B4.1.1	190550_at
WBGene00000083	F08C6.1a.1	189243_at
WBGene00000083	F08C6.1a.1	174723_at
WBGene00000083	F08C6.1a.2	189243_at
WBGene00000083	F08C6.1a.2	174723_at
WBGene00000083	F08C6.1b.1	189243_at
WBGene00000083	F08C6.1b.1	174723_at
WBGene00000083	F08C6.1b.2	189243_at
WBGene00000083	F08C6.1b.2	174723_at
WBGene00000083	F08C6.1c.1	189243_at
WBGene00000083	F08C6.1c.2	189243_at
WBGene00000084	D2030.10a.1	182454_at
WBGene00000084	D2030.10a.2	182454_at
WBGene00000084	D2030.10b.1	182454_at
WBGene00000085	T14B1.2.1	192554_at
WBGene00000086	C02H7.3a.1	173456_at
WBGene00000086	C02H7.3a.1	188458_s_at
WBGene00000086	C02H7.3b.1	188458_s_at
WBGene00000088	F32A7.6.1	193818_s_at
WBGene00000089	Y87G2A.4.1	182292_at
WBGene00000089	Y87G2A.4.1	173226_s_at
WBGene00000090	B0334.8a.1	171838_x_at
WBGene00000090	B0334.8a.1	193074_s_at
WBGene00000090	B0334.8b.1	171838_x_at
WBGene00000090	B0334.8b.1	193074_s_at
WBGene00000090	B0334.8b.1	185120_at
WBGene00000092	F32A6.4a.1	174401_at
WBGene00000092	F32A6.4a.1	188296_at
WBGene00000092	F32A6.4a.2	174401_at
WBGene00000092	F32A6.4a.2	188296_at
WBGene00000092	F32A6.4b	174401_at
WBGene00000092	F32A6.4b	188296_at
WBGene00000092	F32A6.4c	174401_at
WBGene00000092	F32A6.4c	188296_at
WBGene00000092	F32A6.4d.1	174401_at
WBGene00000092	F32A6.4d.1	188296_at
WBGene00000092	F32A6.4e.1	174401_at
WBGene00000092	F32A6.4e.1	188296_at
WBGene00000092	F32A6.4f.1	174401_at
WBGene00000092	F32A6.4f.1	188296_at
WBGene00000092	F32A6.4g.1	174401_at
WBGene00000092	F32A6.4g.1	188296_at
WBGene00000092	F32A6.4g.2	174401_at
WBGene00000092	F32A6.4g.2	188296_at
WBGene00000092	F32A6.4g.3	174401_at
WBGene00000093	Y62E10A.5a.1	185698_at
WBGene00000093	Y62E10A.5a.2	185698_at
WBGene00000093	Y62E10A.5b.1	185698_at
WBGene00000094	F09E5.13.1	185038_at
WBGene00000095	C25A1.11a.1	172057_x_at
WBGene00000095	C25A1.11a.1	172967_x_at
WBGene00000095	C25A1.11b.1	172057_x_at
WBGene00000095	C25A1.11b.1	172967_x_at
WBGene00000096	C41G7.5a.1	193149_at
WBGene00000096	C41G7.5b.1	193149_at
WBGene00000097	F58E10.4.1	183597_at
WBGene00000098	K07C11.2.1	191329_s_at
WBGene00000098	K07C11.2.2	191329_s_at
WBGene00000099	B0207.4.1	191184_at
WBGene00000100	C25A11.4a.1	189079_s_at
WBGene00000100	C25A11.4a.1	188333_s_at
WBGene00000100	C25A11.4a.1	188324_at
WBGene00000100	C25A11.4a.1	176976_at
WBGene00000100	C25A11.4b.1	175053_at
WBGene00000100	C25A11.4b.1	188333_s_at
WBGene00000100	C25A11.4b.1	176976_at
WBGene00000100	C25A11.4c.1	188333_s_at
WBGene00000100	C25A11.4c.1	194256_x_at
WBGene00000100	C25A11.4c.1	188324_at
WBGene00000100	C25A11.4c.1	176976_at
WBGene00000100	C25A11.4c.2	188333_s_at
WBGene00000100	C25A11.4c.2	194256_x_at
WBGene00000100	C25A11.4c.2	188324_at
WBGene00000100	C25A11.4c.2	176976_at
WBGene00000100	C25A11.4d.1	189079_s_at
WBGene00000100	C25A11.4d.1	188333_s_at
WBGene00000100	C25A11.4d.1	188324_at
WBGene00000100	C25A11.4d.1	176976_at
WBGene00000100	C25A11.4e.1	189079_s_at
WBGene00000100	C25A11.4e.1	188333_s_at
WBGene00000100	C25A11.4e.1	188324_at
WBGene00000100	C25A11.4f.1	189079_s_at
WBGene00000100	C25A11.4f.1	188333_s_at
WBGene00000100	C25A11.4f.1	188324_at
WBGene00000100	C25A11.4f.1	176976_at
WBGene00000100	C25A11.4f.2	189079_s_at
WBGene00000100	C25A11.4f.2	188333_s_at
WBGene00000100	C25A11.4f.2	188324_at
WBGene00000100	C25A11.4f.2	176976_at
WBGene00000100	C25A11.4g.1	189079_s_at
WBGene00000100	C25A11.4g.1	188333_s_at
WBGene00000100	C25A11.4g.1	188324_at
WBGene00000100	C25A11.4g.1	176976_at
WBGene00000100	C25A11.4h.1	189079_s_at
WBGene00000100	C25A11.4h.1	188333_s_at
WBGene00000100	C25A11.4h.1	188324_at
WBGene00000100	C25A11.4i.1	189079_s_at
WBGene00000100	C25A11.4i.1	188333_s_at
WBGene00000100	C25A11.4i.1	188324_at
WBGene00000100	C25A11.4j.1	189079_s_at
WBGene00000100	C25A11.4j.1	188333_s_at
WBGene00000100	C25A11.4j.1	188324_at
WBGene00000100	C25A11.4k.1	189079_s_at
WBGene00000100	C25A11.4k.1	188333_s_at
WBGene00000100	C25A11.4k.1	188324_at
WBGene00000100	C25A11.4k.1	176976_at
WBGene00000100	C25A11.4l.1	189079_s_at
WBGene00000100	C25A11.4l.1	177037_at
WBGene00000100	C25A11.4l.1	188333_s_at
WBGene00000100	C25A11.4l.1	188324_at
WBGene00000100	C25A11.4l.1	176976_at
WBGene00000100	C25A11.4m.1	189079_s_at
WBGene00000100	C25A11.4m.1	188333_s_at
WBGene00000100	C25A11.4m.1	188324_at
WBGene00000100	C25A11.4m.1	176976_at
WBGene00000101	D1022.7a.1	173468_at
WBGene00000101	D1022.7a.1	183889_s_at
WBGene00000101	D1022.7a.2	173468_at
WBGene00000101	D1022.7a.2	183889_s_at
WBGene00000101	D1022.7b.1	173468_at
WBGene00000101	D1022.7b.1	183889_s_at
WBGene00000101	D1022.7b.2	173468_at
WBGene00000101	D1022.7b.2	183889_s_at
WBGene00000102	C12D8.10a.1	175808_s_at
WBGene00000102	C12D8.10a.1	194058_s_at
WBGene00000102	C12D8.10a.2	175808_s_at
WBGene00000102	C12D8.10a.2	194058_s_at
WBGene00000102	C12D8.10b.1	175808_s_at
WBGene00000102	C12D8.10b.1	194058_s_at
WBGene00000102	C12D8.10b.2	175808_s_at
WBGene00000102	C12D8.10b.2	194058_s_at
WBGene00000102	C12D8.10c.1	175808_s_at
WBGene00000102	C12D8.10c.1	194058_s_at
WBGene00000103	F28H6.1a.1	194014_s_at
WBGene00000103	F28H6.1a.1	175809_at
WBGene00000103	F28H6.1b.1	194014_s_at
WBGene00000103	F28H6.1b.1	175809_at
WBGene00000105	F48F7.1a.1	174286_at
WBGene00000105	F48F7.1a.1	174189_at
WBGene00000105	F48F7.1a.1	177915_at
WBGene00000105	F48F7.1b.1	174286_at
WBGene00000105	F48F7.1b.1	174189_at
WBGene00000105	F48F7.1b.1	177915_at
WBGene00000106	T07D3.7a.1	174804_at
WBGene00000106	T07D3.7a.1	179952_at
WBGene00000106	T07D3.7b.1	174804_at
WBGene00000106	T07D3.7b.1	179952_at
WBGene00000107	F54D8.3a.1	190851_at
WBGene00000107	F54D8.3a.2	190851_at
WBGene00000107	F54D8.3b.1	190851_at
WBGene00000107	F54D8.3b.2	190851_at
WBGene00000107	F54D8.3b.3	190851_at
WBGene00000107	F54D8.3b.4	190851_at
WBGene00000108	K04F1.15.1	190712_at
WBGene00000109	F36H1.6.1	192633_at
WBGene00000110	T05H4.13a.1	190728_s_at
WBGene00000110	T05H4.13a.1	190762_at
WBGene00000110	T05H4.13a.2	190728_s_at
WBGene00000110	T05H4.13a.2	190762_at
WBGene00000110	T05H4.13b.1	174469_at
WBGene00000110	T05H4.13b.1	190728_s_at
WBGene00000110	T05H4.13b.1	185059_at
WBGene00000110	T05H4.13b.1	190762_at
WBGene00000110	T05H4.13b.2	174469_at
WBGene00000110	T05H4.13b.2	190728_s_at
WBGene00000110	T05H4.13b.2	185059_at
WBGene00000110	T05H4.13b.2	190762_at
WBGene00000110	T05H4.13c.1	174469_at
WBGene00000110	T05H4.13c.1	190728_s_at
WBGene00000110	T05H4.13c.1	190762_at
WBGene00000110	T05H4.13c.2	174469_at
WBGene00000110	T05H4.13c.2	190728_s_at
WBGene00000110	T05H4.13c.2	190762_at
WBGene00000111	T08B1.3.1	190620_s_at
WBGene00000112	F56D12.1a.1	190694_s_at
WBGene00000112	F56D12.1a.2	190694_s_at
WBGene00000112	F56D12.1a.3	190694_s_at
WBGene00000112	F56D12.1b.1	190694_s_at
WBGene00000112	F56D12.1b.2	190694_s_at
WBGene00000112	F56D12.1b.3	190694_s_at
WBGene00000112	F56D12.1c.1	190694_s_at
WBGene00000112	F56D12.1c.2	190694_s_at
WBGene00000112	F56D12.1c.3	190694_s_at
WBGene00000112	F56D12.1d.1	190694_s_at
WBGene00000113	F45H10.1a.1	192937_at
WBGene00000113	F45H10.1a.2	192937_at
WBGene00000113	F45H10.1b.1	192937_at
WBGene00000114	F13D12.4a.1	193502_s_at
WBGene00000114	F13D12.4a.2	193502_s_at
WBGene00000114	F13D12.4a.3	193502_s_at
WBGene00000114	F13D12.4b.1	193502_s_at
WBGene00000115	F01F1.6.1	190995_at
WBGene00000115	F01F1.6.2	190995_at
WBGene00000116	C54D1.4.1	190590_s_at
WBGene00000117	F42G9.5a.1	192098_at
WBGene00000117	F42G9.5b.1	192098_at
WBGene00000117	F42G9.5b.2	192098_at
WBGene00000118	Y69F12A.2a.1	190920_at
WBGene00000118	Y69F12A.2a.2	190920_at
WBGene00000118	Y69F12A.2b.1	190920_at
WBGene00000118	Y69F12A.2b.2	190920_at
WBGene00000120	C01F6.5.1	193736_at
WBGene00000121	F23B2.6.1	188872_at
WBGene00000122	M18.7a.1	193709_at
WBGene00000122	M18.7a.2	193709_at
WBGene00000122	M18.7b	193709_at
WBGene00000123	F36A4.7.1	191893_s_at
WBGene00000123	F36A4.7.2	191893_s_at
WBGene00000133	C05E11.4.1	190834_at
WBGene00000134	F49E11.3.1	191751_at
WBGene00000135	M195.3.1	189908_at
WBGene00000135	M195.3.1	174714_at
WBGene00000136	C05E11.5.1	190301_s_at
WBGene00000137	R13G10.2.1	190272_at
WBGene00000138	B0019.1.1	178588_s_at
WBGene00000139	F25C8.2a.1	179196_at
WBGene00000139	F25C8.2b.1	179196_at
WBGene00000140	ZK973.6a.1	181623_at
WBGene00000140	ZK973.6a.1	174791_s_at
WBGene00000140	ZK973.6a.1	188397_at
WBGene00000140	ZK973.6a.1	174489_at
WBGene00000140	ZK973.6a.1	179827_at
WBGene00000140	ZK973.6a.1	182844_s_at
WBGene00000140	ZK973.6b.1	181623_at
WBGene00000140	ZK973.6b.1	174791_s_at
WBGene00000140	ZK973.6b.1	174489_at
WBGene00000140	ZK973.6b.1	182844_s_at
WBGene00000140	ZK973.6c.1	181623_at
WBGene00000140	ZK973.6c.1	174791_s_at
WBGene00000140	ZK973.6c.1	188397_at
WBGene00000140	ZK973.6c.1	174489_at
WBGene00000140	ZK973.6c.1	179827_at
WBGene00000140	ZK973.6c.1	182844_s_at
WBGene00000142	C08B6.9.1	191344_s_at
WBGene00000143	K06H7.6.1	187508_at
WBGene00000143	K06H7.6.1	176913_at
WBGene00000144	F15H10.3a.1	192203_s_at
WBGene00000144	F15H10.3a.2	192203_s_at
WBGene00000144	F15H10.3a.3	192203_s_at
WBGene00000144	F15H10.3b.1	192203_s_at
WBGene00000144	F15H10.3c.1	192203_s_at
WBGene00000144	F15H10.3d.1	192203_s_at
WBGene00000145	F35G12.9.1	192918_at
WBGene00000145	F35G12.9.2	192918_at
WBGene00000146	F46F3.4a.1	190680_s_at
WBGene00000146	F46F3.4b.1	190680_s_at
WBGene00000146	F46F3.4c.1	190680_s_at
WBGene00000146	F46F3.4d.1	190680_s_at
WBGene00000147	VF36H2L.1.1	186386_s_at
WBGene00000148	ZC434.6a.1	188329_at
WBGene00000148	ZC434.6b.1	188329_at
WBGene00000149	C42D8.8a.1	173504_at
WBGene00000149	C42D8.8a.1	188878_s_at
WBGene00000149	C42D8.8a.1	173505_s_at
WBGene00000149	C42D8.8b.1	173504_at
WBGene00000149	C42D8.8b.1	188878_s_at
WBGene00000149	C42D8.8b.1	173505_s_at
WBGene00000150	F55A12.7.1	193878_s_at
WBGene00000151	T05H10.2.1	193194_at
WBGene00000151	T05H10.2.2	193194_at
WBGene00000155	W03G9.4.1	189115_s_at
WBGene00000156	K04G2.8a.1	188110_s_at
WBGene00000156	K04G2.8b.1	188110_s_at
WBGene00000157	F02E8.3.1	192044_at
WBGene00000158	Y105E8A.9.1	172129_x_at
WBGene00000158	Y105E8A.9.1	174981_at
WBGene00000158	Y105E8A.9.1	176969_at
WBGene00000159	F29G9.3.1	192028_at
WBGene00000160	Y71H2B.10a.1	187113_at
WBGene00000160	Y71H2B.10a.1	173376_s_at
WBGene00000160	Y71H2B.10b.1	173376_s_at
WBGene00000160	Y71H2B.10c.1	187113_at
WBGene00000161	T20B5.1.1	174879_at
WBGene00000161	T20B5.1.1	189016_at
WBGene00000161	T20B5.1.2	174879_at
WBGene00000161	T20B5.1.2	189016_at
WBGene00000161	T20B5.1.3	174879_at
WBGene00000161	T20B5.1.3	189016_at
WBGene00000162	W09G10.4a.1	187833_s_at
WBGene00000162	W09G10.4b.1	187833_s_at
WBGene00000163	R11A5.1a.1	191561_s_at
WBGene00000163	R11A5.1b.1	191561_s_at
WBGene00000164	F53H8.1.1	192100_at
WBGene00000166	W04G3.4.1	192903_at
WBGene00000168	K08D9.3a.1	175612_at
WBGene00000168	K08D9.3a.1	188062_s_at
WBGene00000168	K08D9.3b	188062_s_at
WBGene00000168	K08D9.3c	188062_s_at
WBGene00000168	K08D9.3d	188062_s_at
WBGene00000168	K08D9.3e.1	175612_at
WBGene00000168	K08D9.3e.1	188062_s_at
WBGene00000169	F32A5.5a.1	180913_at
WBGene00000169	F32A5.5b.1	180913_at
WBGene00000169	F32A5.5b.2	180913_at
WBGene00000170	C01G6.1a.1	192699_s_at
WBGene00000170	C01G6.1a.1	171910_x_at
WBGene00000170	C01G6.1a.2	192699_s_at
