#exp_id	sample_id	library_id	cutoff	PP_all	PP_protein	PP_intronic	PP_intergenic	all_reads	mapped_left	mapped_right	pr_mapped_left	pr_mapped_right	min_read_length	max_read_length	library_type	library_orientation
SRP000401	SRX004866	SRX004866	1	62.782	29.583	NA	4.794	55550848	38580035	NA	69.45	NA	36	36	single	unstranded
SRP000401	SRX047653	SRX047653	1	58.001	26.302	NA	0.959	28172961	20297472	NA	72.046	NA	76	76	single	unstranded
SRP001010	SRX007170	SRX007170	1	64.062	29.575	NA	2.02	41072491	36613357	NA	89.143	NA	35	37	single	unstranded
SRP000401	SRX037197	SRX037197	1	68.059	36.56	NA	53.692	50781048	39279986	NA	77.352	NA	36	36	single	unstranded
SRP000401	SRX004863	SRX004863	1	58.872	26.884	NA	2.897	38246864	27208778	NA	71.14	NA	36	36	single	unstranded
GSE22410	GSM577107	SRX028190	1	64.413	29.844	NA	1.387	25075373	15673621	NA	62.506	NA	36	36	single	unstranded
GSE41367	GSM1015703	SRX191948	1	57.096	26.001	NA	1.897	28711730	26550566	NA	92.473	NA	36	36	single	unstranded
GSE41367	GSM1015706	SRX191951	1	68.351	31.321	NA	2.978	27405842	24851434	NA	90.679	NA	36	36	single	unstranded
GSE16552	GSM415886	SRX006986	1	56.506	26.623	NA	5.406	18801626	7411901	NA	39.422	NA	34	34	single	unstranded
GSE16552	GSM415889	SRX006989	1	70.191	34.85	NA	38.637	19107712	5390432	NA	28.211	NA	34	34	single	unstranded
GSE41367	GSM1015702	SRX191947	1	54.048	24.56	NA	1.612	26708038	25699351	NA	96.223	NA	36	36	single	unstranded
GSE16552	GSM415885	SRX006985	1	56.872	26.867	NA	6.487	19294142	4234268	NA	21.946	NA	34	34	single	unstranded
GSE41367	GSM1015707	SRX191952	1	68.458	31.406	NA	3.386	24957082	21921228	NA	87.836	NA	36	36	single	unstranded
GSE16552	GSM415888	SRX006988	1	71.423	35.443	NA	48.654	18619226	3655678	NA	19.634	NA	34	34	single	unstranded
GSE41367	GSM1015705	SRX191950	1	68.375	31.336	NA	3.223	23534532	21644991	NA	91.971	NA	36	36	single	unstranded
GSE41367	GSM1015704	SRX191949	1	55.187	25.157	NA	1.938	20174660	17694196	NA	87.705	NA	36	36	single	unstranded
SRP015688	SRX185637	SRX185637	1	42.223	18.974	NA	0.347	16155370	11210227	NA	69.39	NA	38	38	single	unstranded
GSE16552	GSM415887	SRX006987	1	67.402	33.298	NA	22.623	13734907	6205307	NA	45.179	NA	34	34	single	unstranded
GSE16552	GSM415884	SRX006984	1	56.307	26.713	NA	4.855	13202626	6658196	NA	50.431	NA	34	34	single	unstranded
SRP015688	SRX185660	SRX185660	1	18.733	8.516	NA	0.551	14291807	5465354	NA	38.241	NA	38	38	single	unstranded
SRP000401	SRX099908	SRX099908	1	41.76	18.889	NA	1.714	5436972	4576667	NA	84.177	NA	101	101	single	unstranded
SRP000401	SRX085217	SRX085217	1	42.286	19.655	NA	2.081	3384227	3140371	3048041	92.794	90.066	76	76	paired	unstranded
SRP015688	SRX185639	SRX185639	1	22.594	10.127	NA	0.102	10112911	8764714	NA	86.669	NA	38	38	single	unstranded
SRP015688	SRX185661	SRX185661	1	20.442	9.228	NA	0.367	10303633	4753546	NA	46.135	NA	38	38	single	unstranded
SRP000401	SRX085287	SRX085287	1	48.226	22.283	NA	2.591	2434193	2252224	2173322	92.524	89.283	76	76	paired	unstranded
SRP000401	SRX099902	SRX099902	1	42.359	18.957	NA	1.714	1755180	1462572	NA	83.329	NA	101	101	single	unstranded
SRP000401	SRX050630	SRX050630	1	77.431	37.647	NA	43.309	2873023	1453832	NA	50.603	NA	36	36	single	unstranded
SRP000401	SRX099907	SRX099907	1	42.082	19.017	NA	1.979	944553	802553	NA	84.966	NA	100	100	single	unstranded
SRP000401	SRX099901	SRX099901	1	39.755	17.75	NA	1.714	304589	258329	NA	84.812	NA	100	100	single	unstranded
