Paper	PMID	GSE	Platform	Experiment	Type	GSM	Tissue	Life_stage	Genotype	Species
WBPaper00004966	11697852	GSE3680	GPL2646,GPL2655,GPL3097(SMD2)	WBPaper00004966:7a_DMSO_vs_7b_naph	microarray	GEO record: GSM85230	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00004966	11697852	GSE3680	GPL2646,GPL2655,GPL3097(SMD2)	WBPaper00004966:8a_DMSO_vs_8b_naph	microarray	GEO record: GSM85232	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006265	N.A.	N.A.	GPL?(SMD2)	WBPaper00006265:daf-2_1-1_vs_daf-16_1-1	microarray	N.A.	N.A. vs. N.A.	WBls:0000038(L4 larva Ce) vs. WBls:0000038(L4 larva Ce)	glp-4(bn2); daf-2(e1370) vs. daf-16(m27) glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00006265	N.A.	N.A.	GPL?(SMD2)	WBPaper00006265:daf-2_2-1_vs_daf-16_2-1	microarray	N.A.	N.A. vs. N.A.	WBls:0000038(L4 larva Ce) vs. WBls:0000038(L4 larva Ce)	glp-4(bn2); daf-2(e1370) vs. daf-16(m27) glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00006265	N.A.	N.A.	GPL?(SMD2)	WBPaper00006265:daf-2_3-1_vs_daf-16_3-1	microarray	N.A.	N.A. vs. N.A.	WBls:0000038(L4 larva Ce) vs. WBls:0000038(L4 larva Ce)	glp-4(bn2); daf-2(e1370) vs. daf-16(m27) glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00006265	N.A.	N.A.	GPL?(SMD2)	WBPaper00006265:daf-2_4-1_vs_daf-16_4-1	microarray	N.A.	N.A. vs. N.A.	WBls:0000038(L4 larva Ce) vs. WBls:0000038(L4 larva Ce)	glp-4(bn2); daf-2(e1370) vs. daf-16(m27) glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_0_hr	microarray	GEO record: GSM12883	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_8_hr	microarray	GEO record: GSM12884	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_16_hr	microarray	GEO record: GSM12885	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_28_hr	microarray	GEO record: GSM12886	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_52_hr	microarray	GEO record: GSM12887	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_96_hr	microarray	GEO record: GSM12888	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:Adult_144_hr	microarray	GEO record: GSM12889	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. N.A.	fer-15(b26) II; fem-1(hc17) IV. vs. N.A.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_0_hr	microarray	GEO record: GSM15008	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_2_hr	microarray	GEO record: GSM15009	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_4_hr	microarray	GEO record: GSM15010	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_6_hr	microarray	GEO record: GSM15011	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_8_hr	microarray	GEO record: GSM15012	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_10_hr	microarray	GEO record: GSM15013	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006365	14730301	GSE832,GSE946	GPL576,GPL924(UCSF_C.elegans_20K_PCR_array)	WBPaper00006365:HeatShock_12_hr	microarray	GEO record: GSM15014	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	fer-15(b26) II; fem-1(hc17) IV. vs. fer-15(b26) II; fem-1(hc17) IV.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_6hr-3	microarray	GEO record: GSM85969	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_6hr-4	microarray	GEO record: GSM85973	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_6hr-5	microarray	GEO record: GSM85968	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_6hr-7	microarray	GEO record: GSM85967	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_15min-1	microarray	GEO record: GSM85971	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_15min-2	microarray	GEO record: GSM85970	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00006465	15028283	GSE3727	GPL2646,GPL2653,GPL3097(SMD2)	WBPaper00006465:EtOH_treated_30min	microarray	GEO record: GSM85972	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000041(adult Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_daf-2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_daf-2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_daf-2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_daf-2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_daf-2_5	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_N2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_N2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_N2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:4_days_N2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_daf-2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_daf-2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_daf-2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_daf-2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_daf-2_5	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_N2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_N2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_N2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_N2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:9_days_N2_5	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_daf-2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_daf-2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_daf-2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_daf-2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_N2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_N2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_N2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_N2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:14_days_N2_5	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_daf-2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_daf-2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_daf-2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_daf-2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	daf-2(e1370) III. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_N2_1	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_N2_2	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_N2_3	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_N2_4	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013462	15153179	N.A.	GPL?(Buck_Institute_C.elegans_0.94k)	WBPaper00013462:19_days_N2_5	microarray	N.A.	N.A. vs. N.A.	WBls:0000041(adult Ce) vs. WBls:0000002(all stages Ce)	C. elegans wild isolate. vs. C. elegans wild isolate.	Caenorhabditis elegans
WBPaper00013489	15183729	GSE3979	GPL2646,GPL3308,GPL3309(SMD1)	WBPaper00013489:Ray_vs_noRay	microarray	N.A.	N.A. vs. N.A.	N.A. vs. N.A.	dpy-28(y1ts)III; lin-22(mu2)IV; him-5(e1490)V vs. hlh-2(bx108)I; dpy-28(y1ts)III; him-5(e1490)V; lin-32(e1926)X	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370df50_1	microarray	N.A.	N.A.	N.A.	glp-4(bn2) daf-16(mgdf50); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370df50_2	microarray	N.A.	N.A.	N.A.	glp-4(bn2) daf-16(mgdf50); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370df50_3	microarray	N.A.	N.A.	N.A.	glp-4(bn2) daf-16(mgdf50); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370df50_4	microarray	N.A.	N.A.	N.A.	glp-4(bn2) daf-16(mgdf50); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370df50_5	microarray	N.A.	N.A.	N.A.	glp-4(bn2) daf-16(mgdf50); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370_1	microarray	N.A.	N.A.	N.A.	glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370_2	microarray	N.A.	N.A.	N.A.	glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370_3	microarray	N.A.	N.A.	N.A.	glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370_4	microarray	N.A.	N.A.	N.A.	glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:e1370_5	microarray	N.A.	N.A.	N.A.	glp-4(bn2); daf-2(e1370)	Caenorhabditis elegans
WBPaper00024278	15308663	GSE1762	GPL200(Affymetrix_C.elegans_Genome_Array)	WBPaper00024278:m577df50_1	microarray	N.A.	N.A.	N.A.	glp-4(bn2) daf-16(mgdf50); daf-2(m577)	Caenorhabditis elegans
