ID	ENSEMBL_ID	NAME	DESCRIPTION	SPECIES_ID
552352	ENSOCUG00000000017	LIPE	lipase, hormone-sensitive [Source:HGNC Symbol;Acc:HGNC:6621]	9986
552353	ENSOCUG00000000018		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCF2]	9986
552354	ENSOCUG00000000020	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]	9986
552355	ENSOCUG00000000021	DNM1L	dynamin 1-like [Source:HGNC Symbol;Acc:HGNC:2973]	9986
552356	ENSOCUG00000000022	YARS2	tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249]	9986
552357	ENSOCUG00000000023	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	9986
552358	ENSOCUG00000000024	CENPN	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	9986
552359	ENSOCUG00000000025	SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	9986
552360	ENSOCUG00000000026	NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	9986
552361	ENSOCUG00000000028	ZNF503	zinc finger protein 503 [Source:HGNC Symbol;Acc:HGNC:23589]	9986
552362	ENSOCUG00000000030	SLC17A5	sialin [Source:RefSeq peptide;Acc:NP_001164764]	9986
552363	ENSOCUG00000000031	PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	9986
552364	ENSOCUG00000000032	NUGGC	nuclear GTPase, germinal center associated [Source:HGNC Symbol;Acc:HGNC:33550]	9986
552365	ENSOCUG00000000034	ELP3	elongator acetyltransferase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20696]	9986
552366	ENSOCUG00000000036		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCG6]	9986
552367	ENSOCUG00000000038	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	9986
552368	ENSOCUG00000000040	BNIP1	BCL2/adenovirus E1B 19kDa interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1082]	9986
552369	ENSOCUG00000000041	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	9986
552370	ENSOCUG00000000044	C11orf65	chromosome 11 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:28519]	9986
552371	ENSOCUG00000000045		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCH2]	9986
552372	ENSOCUG00000000046	RTP1	receptor (chemosensory) transporter protein 1 [Source:HGNC Symbol;Acc:HGNC:28580]	9986
552373	ENSOCUG00000000049		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1U128]	9986
552374	ENSOCUG00000000051	DMXL1	Dmx-like 1 [Source:HGNC Symbol;Acc:HGNC:2937]	9986
552375	ENSOCUG00000000052		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1U240]	9986
552376	ENSOCUG00000000054			9986
552377	ENSOCUG00000000055	PPP1R32	protein phosphatase 1 regulatory subunit 32 [Source:HGNC Symbol;Acc:HGNC:28869]	9986
552378	ENSOCUG00000000057	DYNC1H1	dynein, cytoplasmic 1, heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	9986
552379	ENSOCUG00000000059		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1TWT5]	9986
552380	ENSOCUG00000000060	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	9986
552381	ENSOCUG00000000061	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	9986
552382	ENSOCUG00000000063		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCI1]	9986
552383	ENSOCUG00000000064	DNAJB6	Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCI2]	9986
552384	ENSOCUG00000000065			9986
552385	ENSOCUG00000000066	USP27X	ubiquitin specific peptidase 27, X-linked [Source:HGNC Symbol;Acc:HGNC:13486]	9986
552386	ENSOCUG00000000068	FRMPD1	FERM and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29159]	9986
552387	ENSOCUG00000000069	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	9986
552388	ENSOCUG00000000070			9986
552389	ENSOCUG00000000071	ZNF567	zinc finger protein 567 [Source:HGNC Symbol;Acc:HGNC:28696]	9986
552390	ENSOCUG00000000072	CBLN4	cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]	9986
552391	ENSOCUG00000000073	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	9986
552392	ENSOCUG00000000074			9986
552393	ENSOCUG00000000075	PITPNA	phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001]	9986
552394	ENSOCUG00000000076	SLC43A2	solute carrier family 43 (amino acid system L transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:23087]	9986
552395	ENSOCUG00000000077	RILP	Rab interacting lysosomal protein [Source:HGNC Symbol;Acc:HGNC:30266]	9986
552396	ENSOCUG00000000078	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	9986
552397	ENSOCUG00000000079	MS4A8	membrane-spanning 4-domains, subfamily A, member 8 [Source:HGNC Symbol;Acc:HGNC:13380]	9986
552398	ENSOCUG00000000080	PLEKHA2	pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]	9986
552399	ENSOCUG00000000081	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	9986
552400	ENSOCUG00000000083	HTRA4	HtrA serine peptidase 4 [Source:HGNC Symbol;Acc:HGNC:26909]	9986
552401	ENSOCUG00000000085	TM2D2	TM2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24127]	9986
552402	ENSOCUG00000000086		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1TMM7]	9986
552403	ENSOCUG00000000087	TLCD2	TLC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33522]	9986
552404	ENSOCUG00000000089			9986
552405	ENSOCUG00000000090	WDR81	WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]	9986
552406	ENSOCUG00000000091	SERPINF2	alpha-2-antiplasmin precursor [Source:RefSeq peptide;Acc:NP_001076210]	9986
552407	ENSOCUG00000000092	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1 [Source:HGNC Symbol;Acc:HGNC:8824]	9986
552408	ENSOCUG00000000093	SMYD4	SET and MYND domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21067]	9986
552409	ENSOCUG00000000094	PTGIS	prostaglandin I2 (prostacyclin) synthase [Source:HGNC Symbol;Acc:HGNC:9603]	9986
552410	ENSOCUG00000000095	RBBP5	retinoblastoma binding protein 5 [Source:HGNC Symbol;Acc:HGNC:9888]	9986
552411	ENSOCUG00000000096			9986
552412	ENSOCUG00000000097	DSTYK	dual serine/threonine and tyrosine protein kinase [Source:HGNC Symbol;Acc:HGNC:29043]	9986
552413	ENSOCUG00000000098	SLC16A10	solute carrier family 16 (aromatic amino acid transporter), member 10 [Source:HGNC Symbol;Acc:HGNC:17027]	9986
552414	ENSOCUG00000000100	FIP1L1	factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]	9986
552415	ENSOCUG00000000101	KIAA1919	KIAA1919 [Source:HGNC Symbol;Acc:HGNC:21053]	9986
552416	ENSOCUG00000000102	BBS9	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000]	9986
552417	ENSOCUG00000000103	MIXL1	Mix paired-like homeobox [Source:HGNC Symbol;Acc:HGNC:13363]	9986
552418	ENSOCUG00000000104	ERG	v-ets avian erythroblastosis virus E26 oncogene homolog [Source:HGNC Symbol;Acc:HGNC:3446]	9986
552419	ENSOCUG00000000105	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1-like [Source:HGNC Symbol;Acc:HGNC:29022]	9986
552420	ENSOCUG00000000107	MPPE1	metallophosphoesterase 1 [Source:HGNC Symbol;Acc:HGNC:15988]	9986
552421	ENSOCUG00000000108	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	9986
552422	ENSOCUG00000000109	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]	9986
552423	ENSOCUG00000000111	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen) [Source:HGNC Symbol;Acc:HGNC:2204]	9986
552424	ENSOCUG00000000114	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	9986
552425	ENSOCUG00000000116		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCM2]	9986
552426	ENSOCUG00000000117	TM4SF20	transmembrane 4 L six family member 20 [Source:HGNC Symbol;Acc:HGNC:26230]	9986
552427	ENSOCUG00000000119	SLC51A	solute carrier family 51 alpha subunit [Source:HGNC Symbol;Acc:HGNC:29955]	9986
552428	ENSOCUG00000000120	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I [Source:HGNC Symbol;Acc:HGNC:242]	9986
552429	ENSOCUG00000000121	LRR1	leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]	9986
552430	ENSOCUG00000000122	FKRP	fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]	9986
552431	ENSOCUG00000000123	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]	9986
552432	ENSOCUG00000000125	PLEKHF1	pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]	9986
552433	ENSOCUG00000000127	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	9986
552434	ENSOCUG00000000128	C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	9986
552435	ENSOCUG00000000129	LUC7L	LUC7-like [Source:HGNC Symbol;Acc:HGNC:6723]	9986
552436	ENSOCUG00000000131	NXPE3	neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238]	9986
552437	ENSOCUG00000000133	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta [Source:HGNC Symbol;Acc:HGNC:29805]	9986
552438	ENSOCUG00000000134	NTNG2	netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288]	9986
552439	ENSOCUG00000000136	BNC1	basonuclin 1 [Source:HGNC Symbol;Acc:HGNC:1081]	9986
552440	ENSOCUG00000000137	CCT3	chaperonin containing TCP1, subunit 3 (gamma) [Source:HGNC Symbol;Acc:HGNC:1616]	9986
552441	ENSOCUG00000000140	AP3B1	adaptor related protein complex 3, beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:566]	9986
552442	ENSOCUG00000000141	ACTR6	ARP6 actin-related protein 6 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:24025]	9986
552443	ENSOCUG00000000142	F8	coagulation factor VIII, procoagulant component [Source:HGNC Symbol;Acc:HGNC:3546]	9986
552444	ENSOCUG00000000143		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCP2]	9986
552445	ENSOCUG00000000144	CACNB4	calcium channel, voltage-dependent, beta 4 subunit [Source:HGNC Symbol;Acc:HGNC:1404]	9986
552446	ENSOCUG00000000145	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	9986
552447	ENSOCUG00000000146	IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	9986
552448	ENSOCUG00000000147		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1U9G9]	9986
552449	ENSOCUG00000000148	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	9986
552450	ENSOCUG00000000149	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	9986
552451	ENSOCUG00000000151	SSMEM1	serine-rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29580]	9986
552452	ENSOCUG00000000152	EDEM3	ER degradation enhancer, mannosidase alpha-like 3 [Source:HGNC Symbol;Acc:HGNC:16787]	9986
552453	ENSOCUG00000000153			9986
552454	ENSOCUG00000000154	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	9986
552455	ENSOCUG00000000155	NSRP1	nuclear speckle splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25305]	9986
552456	ENSOCUG00000000156	TRAK2	trafficking protein, kinesin binding 2 [Source:HGNC Symbol;Acc:HGNC:13206]	9986
552457	ENSOCUG00000000157	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]	9986
552458	ENSOCUG00000000158	GPAA1	glycosylphosphatidylinositol anchor attachment 1 [Source:HGNC Symbol;Acc:HGNC:4446]	9986
552459	ENSOCUG00000000159	RGMB	repulsive guidance molecule family member b [Source:HGNC Symbol;Acc:HGNC:26896]	9986
552460	ENSOCUG00000000161	SH3BP2	SH3-domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]	9986
552461	ENSOCUG00000000162		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCQ8]	9986
552462	ENSOCUG00000000163	PIGG	phosphatidylinositol glycan anchor biosynthesis class G [Source:HGNC Symbol;Acc:HGNC:25985]	9986
552463	ENSOCUG00000000164	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]	9986
552464	ENSOCUG00000000165	FOLR1	folate receptor 1 (adult) [Source:HGNC Symbol;Acc:HGNC:3791]	9986
552465	ENSOCUG00000000166	LYRM7	LYR motif containing 7 [Source:HGNC Symbol;Acc:HGNC:28072]	9986
552466	ENSOCUG00000000167	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	9986
552467	ENSOCUG00000000169	PHOX2A	paired-like homeobox 2a [Source:HGNC Symbol;Acc:HGNC:691]	9986
552468	ENSOCUG00000000170	NUP155	nucleoporin 155kDa [Source:HGNC Symbol;Acc:HGNC:8063]	9986
552469	ENSOCUG00000000171	GREM2	gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]	9986
552470	ENSOCUG00000000172	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	9986
552471	ENSOCUG00000000173	CEP170	centrosomal protein 170kDa [Source:HGNC Symbol;Acc:HGNC:28920]	9986
552472	ENSOCUG00000000174	EXOC6	exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]	9986
552473	ENSOCUG00000000175	TMEM74	transmembrane protein 74 [Source:HGNC Symbol;Acc:HGNC:26409]	9986
552474	ENSOCUG00000000176	CYP26C1	cytochrome P450 family 26 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:20577]	9986
552475	ENSOCUG00000000178	CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	9986
552476	ENSOCUG00000000179			9986
552477	ENSOCUG00000000181	GPR39	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	9986
552478	ENSOCUG00000000182	LYPD1	LY6/PLAUR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28431]	9986
552479	ENSOCUG00000000184	NCKAP5	NCK-associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]	9986
552480	ENSOCUG00000000185	ANO6	anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240]	9986
552481	ENSOCUG00000000186		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCS9]	9986
552482	ENSOCUG00000000187	CKAP4	cytoskeleton-associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	9986
552483	ENSOCUG00000000188	PREP	prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]	9986
552484	ENSOCUG00000000191	YPEL4	yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328]	9986
552485	ENSOCUG00000000193		Coronin [Source:UniProtKB/TrEMBL;Acc:G1SCT5]	9986
552486	ENSOCUG00000000194	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	9986
552487	ENSOCUG00000000195	PEBP4	phosphatidylethanolamine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:28319]	9986
552488	ENSOCUG00000000197	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	9986
552489	ENSOCUG00000000199	CCDC67	coiled-coil domain containing 67 [Source:HGNC Symbol;Acc:HGNC:26344]	9986
552490	ENSOCUG00000000200	RAP1GAP2	RAP1 GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:29176]	9986
552491	ENSOCUG00000000201	COL25A1	collagen, type XXV, alpha 1 [Source:HGNC Symbol;Acc:HGNC:18603]	9986
552492	ENSOCUG00000000203		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCT9]	9986
552493	ENSOCUG00000000204		Olfactory receptor [Source:UniProtKB/TrEMBL;Acc:G1SCU1]	9986
552494	ENSOCUG00000000205		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCU2]	9986
552495	ENSOCUG00000000206	CRYBA2	Beta-crystallin A2 [Source:UniProtKB/Swiss-Prot;Acc:A4L9I9]	9986
552496	ENSOCUG00000000208	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	9986
552497	ENSOCUG00000000210		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1TXV8]	9986
552498	ENSOCUG00000000213	NTM	neurotrimin [Source:HGNC Symbol;Acc:HGNC:17941]	9986
552499	ENSOCUG00000000214	ELP6	elongator acetyltransferase complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25976]	9986
552500	ENSOCUG00000000215	PER2	period circadian clock 2 [Source:HGNC Symbol;Acc:HGNC:8846]	9986
552501	ENSOCUG00000000218	OTUD6B	OTU domain containing 6B [Source:HGNC Symbol;Acc:HGNC:24281]	9986
552502	ENSOCUG00000000219	ZIC2	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	9986
552503	ENSOCUG00000000220	MBNL2	muscleblind-like splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:16746]	9986
552504	ENSOCUG00000000221	DEFB135	defensin beta 135 [Source:HGNC Symbol;Acc:HGNC:32400]	9986
552505	ENSOCUG00000000222	ANO5	anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]	9986
552506	ENSOCUG00000000224			9986
552507	ENSOCUG00000000227	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	9986
552508	ENSOCUG00000000228	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	9986
552509	ENSOCUG00000000229	SIPA1L1	signal-induced proliferation-associated 1 like 1 [Source:HGNC Symbol;Acc:HGNC:20284]	9986
552510	ENSOCUG00000000230	KBTBD3	kelch repeat and BTB (POZ) domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22934]	9986
552511	ENSOCUG00000000231	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]	9986
552512	ENSOCUG00000000232		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SCV8]	9986
552513	ENSOCUG00000000233	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	9986
552514	ENSOCUG00000000234	RAPGEF1	Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]	9986
552515	ENSOCUG00000000236	RGMA	repulsive guidance molecule family member a [Source:HGNC Symbol;Acc:HGNC:30308]	9986
552516	ENSOCUG00000000237	TRIM45	tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]	9986
552517	ENSOCUG00000000239	ATP6V1G3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265]	9986
552518	ENSOCUG00000000241			9986
552519	ENSOCUG00000000242	ASB10	ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:HGNC:17185]	9986
552520	ENSOCUG00000000243	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	9986
552521	ENSOCUG00000000244	GRAMD4	GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113]	9986
552522	ENSOCUG00000000245	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]	9986
552523	ENSOCUG00000000247	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]	9986
552524	ENSOCUG00000000248		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1TX44]	9986
552525	ENSOCUG00000000249	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	9986
552526	ENSOCUG00000000250			9986
552527	ENSOCUG00000000251	ZC3H11A	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]	9986
552528	ENSOCUG00000000252	DIRAS2	DIRAS family, GTP-binding RAS-like 2 [Source:HGNC Symbol;Acc:HGNC:19323]	9986
552529	ENSOCUG00000000255	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	9986
552530	ENSOCUG00000000256	PTPDC1	protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]	9986
552531	ENSOCUG00000000258			9986
552532	ENSOCUG00000000259	EIF4E3	eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:HGNC:31837]	9986
552533	ENSOCUG00000000263	ZNF333	zinc finger protein 333 [Source:HGNC Symbol;Acc:HGNC:15624]	9986
552534	ENSOCUG00000000264	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	9986
552535	ENSOCUG00000000265	SNAP91	synaptosome associated protein 91kDa [Source:HGNC Symbol;Acc:HGNC:14986]	9986
552536	ENSOCUG00000000266	WNT2B	wingless-type MMTV integration site family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	9986
552537	ENSOCUG00000000268	PCDH15	protocadherin-related 15 [Source:HGNC Symbol;Acc:HGNC:14674]	9986
552538	ENSOCUG00000000269	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]	9986
552539	ENSOCUG00000000270			9986
552540	ENSOCUG00000000271	MAMDC2	MAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23673]	9986
552541	ENSOCUG00000000272	EMC1	ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]	9986
552542	ENSOCUG00000000274	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]	9986
552543	ENSOCUG00000000276	MOV10	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	9986
552544	ENSOCUG00000000277	MICU3	mitochondrial calcium uptake family member 3 [Source:HGNC Symbol;Acc:HGNC:27820]	9986
552545	ENSOCUG00000000278	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:28996]	9986
552546	ENSOCUG00000000280	FAM19A3	family with sequence similarity 19 (chemokine (C-C motif)-like), member A3 [Source:HGNC Symbol;Acc:HGNC:21590]	9986
552547	ENSOCUG00000000281	ALG6	ALG6, alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]	9986
552548	ENSOCUG00000000285	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	9986
552549	ENSOCUG00000000286	EFCAB7	EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379]	9986
552550	ENSOCUG00000000289	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3 [Source:HGNC Symbol;Acc:HGNC:20364]	9986
552551	ENSOCUG00000000290	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	9986
552552	ENSOCUG00000000291	UBXN4	UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]	9986
552553	ENSOCUG00000000292	SPTB	spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	9986
552554	ENSOCUG00000000293		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SD00]	9986
552555	ENSOCUG00000000297			9986
552556	ENSOCUG00000000298	COPS6	COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:HGNC:21749]	9986
552557	ENSOCUG00000000299		Uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:G1SD03]	9986
552558	ENSOCUG00000000300	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	9986
552559	ENSOCUG00000000301	NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	9986
552560	ENSOCUG00000000302	ZDHHC24	zinc finger, DHHC-type containing 24 [Source:HGNC Symbol;Acc:HGNC:27387]	9986
552561	ENSOCUG00000000303	PPP1R3A	Protein phosphatase 1 regulatory subunit 3A [Source:UniProtKB/Swiss-Prot;Acc:Q00756]	9986
